"date, price"
"2014-12-04","15.090000"
"2014-12-05","15.190000"
"2014-12-08","15.510000"
"2014-12-09","15.050000"
"2014-12-10","15.150000"
"2014-12-11","15.290000"
"2014-12-12","14.810000"
"2014-12-15","14.940000"
"2014-12-16","14.440000"
"2014-12-17","15.130000"
"2014-12-18","15.370000"
"2014-12-19","15.370000"
"2014-12-22","15.400000"
"2014-12-23","15.290000"
"2014-12-24","15.500000"
"2014-12-26","15.680000"
"2014-12-29","15.700000"
"2014-12-30","15.890000"
"2014-12-31","15.860000"
"2015-01-02","15.790000"
"2015-01-05","15.220000"
"2015-01-06","14.970000"
"2015-01-07","15.100000"
"2015-01-08","14.880000"
"2015-01-09","14.380000"
"2015-01-12","14.550000"
"2015-01-13","14.810000"
"2015-01-14","14.670000"
"2015-01-15","14.750000"
"2015-01-16","14.850000"
"2015-01-20","15.220000"
"2015-01-21","15.280000"
"2015-01-22","16.480000"
"2015-01-23","16.549999"
"2015-01-26","16.400000"
"2015-01-27","16.250000"
"2015-01-28","15.770000"
"2015-01-29","17.160000"
"2015-01-30","16.790001"
"2015-02-02","16.639999"
"2015-02-03","16.180000"
"2015-02-04","16.730000"
"2015-02-05","16.879999"
"2015-02-06","17.000000"
"2015-02-09","16.379999"
"2015-02-10","16.719999"
"2015-02-11","16.559999"
"2015-02-12","16.740000"
"2015-02-13","16.830000"
"2015-02-17","16.820000"
"2015-02-18","16.830000"
"2015-02-19","17.020000"
"2015-02-20","17.490000"
"2015-02-23","17.780001"
"2015-02-24","18.070000"
"2015-02-25","17.530001"
"2015-02-26","17.350000"
"2015-02-27","17.190001"
"2015-03-02","17.570000"
"2015-03-03","17.879999"
"2015-03-04","17.940001"
"2015-03-05","17.480000"
"2015-03-06","17.180000"
"2015-03-09","17.190001"
"2015-03-10","16.980000"
"2015-03-11","17.139999"
"2015-03-12","18.100000"
"2015-03-13","18.120001"
"2015-03-16","18.700001"
"2015-03-17","19.160000"
"2015-03-18","19.240000"
"2015-03-19","19.370001"
"2015-03-20","19.480000"
"2015-03-23","19.440001"
"2015-03-24","19.580000"
"2015-03-25","18.780001"
"2015-03-26","18.520000"
"2015-03-27","19.280001"
"2015-03-30","19.360001"
"2015-03-31","19.250000"
"2015-04-01","18.840000"
"2015-04-02","18.910000"
"2015-04-06","18.559999"
"2015-04-07","18.580000"
"2015-04-08","19.290001"
"2015-04-09","19.129999"
"2015-04-10","19.049999"
"2015-04-13","19.850000"
"2015-04-14","19.700001"
"2015-04-15","19.430000"
"2015-04-16","19.559999"
"2015-04-17","19.420000"
"2015-04-20","19.570000"
"2015-04-21","19.830000"
"2015-04-22","19.670000"
"2015-04-23","19.750000"
"2015-04-24","19.889999"
"2015-04-27","19.709999"
"2015-04-28","21.020000"
"2015-04-29","20.730000"
"2015-04-30","20.530001"
"2015-05-01","21.559999"
