"date, price"
"2014-12-04","24.469999"
"2014-12-05","23.850000"
"2014-12-08","23.240000"
"2014-12-09","25.420000"
"2014-12-10","24.750000"
"2014-12-11","24.790001"
"2014-12-12","23.969999"
"2014-12-15","23.260000"
"2014-12-16","23.129999"
"2014-12-17","23.500000"
"2014-12-18","24.270000"
"2014-12-19","24.570000"
"2014-12-22","24.900000"
"2014-12-23","24.730000"
"2014-12-24","24.610001"
"2014-12-26","24.559999"
"2014-12-29","24.080000"
"2014-12-30","23.250000"
"2014-12-31","23.139999"
"2015-01-02","24.020000"
"2015-01-05","24.580000"
"2015-01-06","24.530001"
"2015-01-07","24.809999"
"2015-01-08","25.080000"
"2015-01-09","24.940001"
"2015-01-12","24.110001"
"2015-01-13","23.840000"
"2015-01-14","23.820000"
"2015-01-15","23.320000"
"2015-01-16","24.070000"
"2015-01-20","24.559999"
"2015-01-21","24.480000"
"2015-01-22","24.340000"
"2015-01-23","24.650000"
"2015-01-26","25.010000"
"2015-01-27","25.340000"
"2015-01-28","25.990000"
"2015-01-29","24.690001"
"2015-01-30","24.840000"
"2015-02-02","25.480000"
"2015-02-03","26.320000"
"2015-02-04","26.709999"
"2015-02-05","26.809999"
"2015-02-06","26.459999"
"2015-02-09","26.610001"
"2015-02-10","26.320000"
"2015-02-11","26.450001"
"2015-02-12","26.500000"
"2015-02-13","26.230000"
"2015-02-17","27.299999"
"2015-02-18","28.000000"
"2015-02-19","27.830000"
"2015-02-20","28.209999"
"2015-02-23","28.110001"
"2015-02-24","27.490000"
"2015-02-25","27.299999"
"2015-02-26","28.000000"
"2015-02-27","27.670000"
"2015-03-02","28.150000"
"2015-03-03","27.530001"
"2015-03-04","27.719999"
"2015-03-05","29.000000"
"2015-03-06","28.620001"
"2015-03-09","28.920000"
"2015-03-10","28.250000"
"2015-03-11","27.510000"
"2015-03-12","28.200001"
"2015-03-13","28.080000"
"2015-03-16","27.719999"
"2015-03-17","28.530001"
"2015-03-18","29.010000"
"2015-03-19","28.940001"
"2015-03-20","29.110001"
"2015-03-23","29.000000"
"2015-03-24","29.740000"
"2015-03-25","29.709999"
"2015-03-26","29.780001"
"2015-03-27","30.080000"
"2015-03-30","29.750000"
"2015-03-31","29.379999"
"2015-04-01","29.219999"
"2015-04-02","29.490000"
"2015-04-06","30.030001"
"2015-04-07","31.000000"
