"date, price"
"2018-10-04","10.160000"
"2018-10-05","10.430000"
"2018-10-08","10.020000"
"2018-10-09","9.900000"
"2018-10-10","9.700000"
"2018-10-11","9.900000"
"2018-10-12","10.050000"
"2018-10-15","9.980000"
"2018-10-16","9.970000"
"2018-10-17","9.890000"
"2018-10-18","9.740000"
"2018-10-19","9.700000"
"2018-10-22","9.880000"
"2018-10-23","9.610000"
"2018-10-24","9.270000"
"2018-10-25","9.560000"
"2018-10-26","9.980000"
"2018-10-29","9.750000"
"2018-10-30","9.880000"
"2018-10-31","9.910000"
"2018-11-01","9.990000"
"2018-11-02","9.790000"
"2018-11-05","9.390000"
"2018-11-06","9.130000"
"2018-11-07","8.820000"
"2018-11-08","8.850000"
"2018-11-09","8.640000"
"2018-11-12","8.000000"
"2018-11-13","8.150000"
"2018-11-14","8.640000"
"2018-11-15","8.700000"
"2018-11-16","9.560000"
"2018-11-19","8.790000"
"2018-11-20","7.770000"
"2018-11-21","9.770000"
"2018-11-23","9.500000"
"2018-11-26","9.280000"
"2018-11-27","9.380000"
"2018-11-28","9.220000"
"2018-11-29","9.010000"
"2018-11-30","9.250000"
"2018-12-03","7.950000"
"2018-12-04","7.600000"
"2018-12-06","9.300000"
"2018-12-07","10.000000"
"2018-12-10","8.450000"
"2018-12-11","8.660000"
"2018-12-12","8.230000"
"2018-12-13","7.710000"
"2018-12-14","7.010000"
"2018-12-17","6.660000"
"2018-12-18","6.820000"
"2018-12-19","6.680000"
"2018-12-20","6.520000"
"2018-12-21","6.110000"
"2018-12-24","7.340000"
"2018-12-26","8.220000"
"2018-12-27","7.250000"
"2018-12-28","6.620000"
"2018-12-31","7.100000"
"2019-01-02","7.340000"
"2019-01-03","7.930000"
"2019-01-04","7.550000"
"2019-01-07","8.160000"
"2019-01-08","8.930000"
"2019-01-09","9.440000"
"2019-01-10","9.080000"
"2019-01-11","9.000000"
"2019-01-14","8.600000"
"2019-01-15","8.390000"
"2019-01-16","8.610000"
"2019-01-17","8.390000"
"2019-01-18","8.500000"
"2019-01-22","8.190000"
"2019-01-23","7.920000"
"2019-01-24","7.860000"
"2019-01-25","8.000000"
"2019-01-28","8.130000"
"2019-01-29","7.990000"
"2019-01-30","7.990000"
"2019-01-31","7.680000"
"2019-02-01","7.860000"
"2019-02-04","7.500000"
"2019-02-05","7.500000"
"2019-02-06","7.500000"
"2019-02-07","7.150000"
"2019-02-08","7.000000"
"2019-02-11","6.750000"
"2019-02-12","7.000000"
"2019-02-13","6.900000"
"2019-02-14","6.760000"
"2019-02-15","6.850000"
"2019-02-19","6.830000"
"2019-02-20","7.000000"
"2019-02-21","6.760000"
"2019-02-22","7.000000"
"2019-02-25","6.890000"
"2019-02-26","6.980000"
"2019-02-27","6.990000"
"2019-02-28","7.000000"
"2019-03-01","7.070000"
"2019-03-04","6.990000"
"2019-03-05","6.960000"
"2019-03-06","6.990000"
"2019-03-07","6.470000"
"2019-03-08","6.510000"
"2019-03-11","6.780000"
"2019-03-12","6.660000"
"2019-03-13","6.950000"
"2019-03-14","7.000000"
"2019-03-15","6.970000"
"2019-03-18","6.990000"
"2019-03-19","7.020000"
"2019-03-20","6.990000"
"2019-03-21","6.830000"
"2019-03-22","6.600000"
"2019-03-25","6.430000"
"2019-03-26","7.000000"
"2019-03-27","6.670000"
"2019-03-28","6.620000"
"2019-03-29","6.530000"
"2019-04-01","6.450000"
"2019-04-02","6.200000"
"2019-04-03","6.310000"
"2019-04-04","6.850000"
"2019-04-05","6.500000"
"2019-04-08","6.920000"
"2019-04-09","7.060000"
"2019-04-10","6.990000"
"2019-04-11","7.160000"
"2019-04-12","7.060000"
"2019-04-15","6.980000"
"2019-04-16","7.020000"
"2019-04-17","6.980000"
"2019-04-18","7.350000"
"2019-04-22","7.160000"
"2019-04-23","7.200000"
"2019-04-24","7.420000"
"2019-04-25","7.350000"
"2019-04-26","7.410000"
"2019-04-29","7.300000"
"2019-04-30","7.420000"
"2019-05-01","7.450000"
"2019-05-02","7.430000"
"2019-05-03","7.550000"
"2019-05-06","7.490000"
"2019-05-07","7.250000"
"2019-05-08","7.440000"
"2019-05-09","7.470000"
"2019-05-10","7.490000"
"2019-05-13","7.470000"
"2019-05-14","7.500000"
"2019-05-15","7.720000"
"2019-05-16","8.660000"
"2019-05-17","9.010000"
"2019-05-20","8.860000"
"2019-05-21","9.100000"
"2019-05-22","10.240000"
"2019-05-23","10.000000"
"2019-05-24","9.530000"
"2019-05-28","9.600000"
"2019-05-29","9.940000"
"2019-05-30","9.570000"
"2019-05-31","9.880000"
"2019-06-03","10.130000"
"2019-06-04","10.350000"
