"date, price"
"2015-04-02","14.000000"
"2015-04-06","13.530000"
"2015-04-07","13.840000"
"2015-04-08","13.560000"
"2015-04-09","13.540000"
"2015-04-10","14.440000"
"2015-04-13","14.360000"
"2015-04-14","14.860000"
"2015-04-15","15.500000"
"2015-04-16","15.700000"
"2015-04-17","14.410000"
"2015-04-20","14.685000"
"2015-04-21","14.990000"
"2015-04-22","14.990000"
"2015-04-23","14.820000"
"2015-04-24","14.900000"
"2015-04-27","14.770000"
"2015-04-28","14.590000"
"2015-04-29","14.400000"
"2015-04-30","14.900000"
"2015-05-01","14.560000"
"2015-05-04","13.760000"
"2015-05-05","13.495000"
"2015-05-06","13.550000"
"2015-05-07","14.420000"
"2015-05-08","14.940000"
"2015-05-11","14.990000"
"2015-05-12","14.455000"
"2015-05-13","14.770000"
"2015-05-14","15.290000"
"2015-05-15","15.600000"
"2015-05-18","16.639999"
"2015-05-19","16.120001"
"2015-05-20","16.480000"
"2015-05-21","16.549999"
"2015-05-22","16.139999"
"2015-05-26","15.300000"
"2015-05-27","14.600000"
"2015-05-28","14.270000"
"2015-05-29","14.270000"
"2015-06-01","14.400000"
"2015-06-02","15.080000"
"2015-06-03","14.430000"
"2015-06-04","14.700000"
"2015-06-05","14.350000"
"2015-06-08","13.140000"
"2015-06-09","13.300000"
"2015-06-10","13.540000"
"2015-06-11","13.630000"
"2015-06-12","13.940000"
"2015-06-15","13.890000"
"2015-06-16","14.660000"
"2015-06-17","14.090000"
"2015-06-18","14.020000"
"2015-06-19","14.560000"
"2015-06-22","14.280000"
"2015-06-23","14.580000"
"2015-06-24","14.510000"
"2015-06-25","14.510000"
"2015-06-26","14.440000"
"2015-06-29","14.260000"
"2015-06-30","13.760000"
"2015-07-01","13.750000"
"2015-07-02","13.340000"
"2015-07-06","14.370000"
"2015-07-07","14.190000"
"2015-07-08","14.140000"
"2015-07-09","14.530000"
"2015-07-10","14.500000"
"2015-07-13","14.450000"
"2015-07-14","14.200000"
"2015-07-15","14.160000"
"2015-07-16","14.100000"
"2015-07-17","14.050000"
"2015-07-20","14.160000"
"2015-07-21","14.250000"
"2015-07-22","14.510000"
"2015-07-23","14.750000"
"2015-07-24","14.700000"
"2015-07-27","14.800000"
"2015-07-28","14.590000"
"2015-07-29","14.690000"
"2015-07-30","14.630000"
"2015-07-31","14.540000"
"2015-08-03","14.850000"
"2015-08-04","14.970000"
"2015-08-05","14.440000"
"2015-08-06","14.320000"
"2015-08-07","13.640000"
"2015-08-10","13.930000"
"2015-08-11","13.500000"
"2015-08-12","13.120000"
"2015-08-13","13.260000"
"2015-08-14","13.160000"
"2015-08-17","13.000000"
"2015-08-18","13.110000"
"2015-08-19","13.200000"
"2015-08-20","13.320000"
"2015-08-21","13.560000"
"2015-08-24","13.190000"
"2015-08-25","13.430000"
"2015-08-26","13.110000"
"2015-08-27","13.130000"
"2015-08-28","12.780000"
"2015-08-31","12.250000"
"2015-09-01","11.790000"
"2015-09-02","11.920000"
"2015-09-03","12.060000"
"2015-09-04","12.040000"
"2015-09-08","12.340000"
"2015-09-09","12.360000"
"2015-09-10","12.000000"
"2015-09-11","12.710000"
"2015-09-14","12.390000"
"2015-09-15","13.000000"
"2015-09-16","12.780000"
"2015-09-17","12.970000"
"2015-09-18","12.840000"
