"date, price"
"2014-12-04","6.550000"
"2014-12-05","6.740000"
"2014-12-08","6.480000"
"2014-12-09","6.610000"
"2014-12-10","6.130000"
"2014-12-11","6.480000"
"2014-12-12","6.280000"
"2014-12-15","6.340000"
"2014-12-16","6.370000"
"2014-12-17","6.370000"
"2014-12-18","6.570000"
"2014-12-19","6.670000"
"2014-12-22","6.750000"
"2014-12-23","6.800000"
"2014-12-24","6.850000"
"2014-12-26","6.830000"
"2014-12-29","6.840000"
"2014-12-30","6.820000"
"2014-12-31","6.890000"
"2015-01-02","6.910000"
"2015-01-05","6.770000"
"2015-01-06","6.630000"
"2015-01-07","6.740000"
"2015-01-08","6.790000"
"2015-01-09","6.760000"
"2015-01-12","6.710000"
"2015-01-13","6.710000"
"2015-01-14","6.750000"
"2015-01-15","6.510000"
"2015-01-16","6.700000"
"2015-01-20","6.740000"
"2015-01-21","6.780000"
"2015-01-22","6.690000"
"2015-01-23","6.620000"
"2015-01-26","6.590000"
"2015-01-27","7.300000"
"2015-01-28","7.180000"
"2015-01-29","7.360000"
"2015-01-30","7.130000"
"2015-02-02","7.070000"
"2015-02-03","7.190000"
"2015-02-04","6.540000"
"2015-02-05","6.250000"
"2015-02-06","6.100000"
"2015-02-09","5.950000"
"2015-02-10","5.960000"
"2015-02-11","6.040000"
"2015-02-12","6.080000"
"2015-02-13","6.100000"
"2015-02-17","6.030000"
"2015-02-18","6.190000"
"2015-02-19","6.380000"
"2015-02-20","6.330000"
"2015-02-23","6.400000"
"2015-02-24","6.510000"
"2015-02-25","6.540000"
"2015-02-26","6.700000"
"2015-02-27","6.720000"
"2015-03-02","6.760000"
"2015-03-03","6.700000"
"2015-03-04","6.710000"
"2015-03-05","6.710000"
"2015-03-06","6.760000"
"2015-03-09","6.760000"
"2015-03-10","6.680000"
"2015-03-11","6.680000"
"2015-03-12","6.740000"
"2015-03-13","6.730000"
"2015-03-16","6.820000"
"2015-03-17","6.800000"
"2015-03-18","6.860000"
"2015-03-19","6.870000"
"2015-03-20","6.860000"
"2015-03-23","6.790000"
"2015-03-24","6.720000"
"2015-03-25","6.430000"
"2015-03-26","6.360000"
"2015-03-27","6.590000"
"2015-03-30","6.460000"
"2015-03-31","6.340000"
"2015-04-01","6.280000"
"2015-04-02","6.290000"
"2015-04-06","6.280000"
"2015-04-07","6.210000"
"2015-04-08","6.360000"
"2015-04-09","6.340000"
"2015-04-10","6.500000"
"2015-04-13","6.510000"
"2015-04-14","6.360000"
"2015-04-15","6.470000"
"2015-04-16","6.490000"
"2015-04-17","6.350000"
"2015-04-20","6.430000"
"2015-04-21","6.380000"
"2015-04-22","6.380000"
"2015-04-23","6.340000"
"2015-04-24","6.060000"
"2015-04-27","6.140000"
"2015-04-28","6.120000"
"2015-04-29","6.030000"
"2015-04-30","5.930000"
"2015-05-01","6.120000"
"2015-05-04","6.190000"
"2015-05-05","6.230000"
"2015-05-06","6.160000"
"2015-05-07","6.210000"
"2015-05-08","6.270000"
"2015-05-11","6.210000"
"2015-05-12","6.160000"
"2015-05-13","6.070000"
"2015-05-14","6.140000"
"2015-05-15","6.110000"
"2015-05-18","6.190000"
"2015-05-19","6.140000"
"2015-05-20","6.060000"
"2015-05-21","6.040000"
"2015-05-22","6.060000"
"2015-05-26","6.050000"
"2015-05-27","6.260000"
"2015-05-28","6.260000"
"2015-05-29","6.260000"
"2015-06-01","6.440000"
"2015-06-02","6.300000"
"2015-06-03","6.350000"
"2015-06-04","6.510000"
"2015-06-05","6.420000"
"2015-06-08","6.280000"
"2015-06-09","6.440000"
"2015-06-10","6.560000"
"2015-06-11","6.410000"
"2015-06-12","6.390000"
"2015-06-15","6.330000"
"2015-06-16","6.370000"
"2015-06-17","6.350000"
"2015-06-18","6.420000"
"2015-06-19","6.380000"
"2015-06-22","6.340000"
"2015-06-23","6.360000"
"2015-06-24","6.320000"
"2015-06-25","6.250000"
"2015-06-26","6.090000"
"2015-06-29","5.950000"
"2015-06-30","5.890000"
"2015-07-01","5.790000"
"2015-07-02","6.090000"
"2015-07-06","6.020000"
"2015-07-07","6.060000"
"2015-07-08","5.890000"
"2015-07-09","5.850000"
"2015-07-10","5.890000"
"2015-07-13","5.980000"
"2015-07-14","5.990000"
"2015-07-15","5.900000"
"2015-07-16","5.910000"
"2015-07-17","5.890000"
"2015-07-20","5.780000"
"2015-07-21","5.710000"
"2015-07-22","5.380000"
"2015-07-23","5.390000"
"2015-07-24","5.000000"
"2015-07-27","4.920000"
"2015-07-28","4.840000"
"2015-07-29","5.000000"
"2015-07-30","5.020000"
"2015-07-31","4.920000"
"2015-08-03","4.360000"
"2015-08-04","4.150000"
"2015-08-05","4.170000"
"2015-08-06","4.100000"
"2015-08-07","4.130000"
"2015-08-10","4.300000"
"2015-08-11","4.150000"
"2015-08-12","4.140000"
"2015-08-13","4.030000"
"2015-08-14","4.050000"
"2015-08-17","4.070000"
"2015-08-18","3.920000"
"2015-08-19","3.960000"
"2015-08-20","3.800000"
"2015-08-21","3.870000"
"2015-08-24","3.900000"
"2015-08-25","3.980000"
"2015-08-26","4.140000"
"2015-08-27","4.250000"
"2015-08-28","4.250000"
"2015-08-31","4.180000"
"2015-09-01","4.100000"
"2015-09-02","4.250000"
"2015-09-03","4.230000"
"2015-09-04","4.090000"
"2015-09-08","4.320000"
"2015-09-09","4.210000"
"2015-09-10","4.190000"
"2015-09-11","4.140000"
"2015-09-14","4.090000"
"2015-09-15","4.030000"
"2015-09-16","4.060000"
"2015-09-17","4.160000"
"2015-09-18","4.110000"
"2015-09-21","4.060000"
"2015-09-22","3.950000"
"2015-09-23","3.990000"
"2015-09-24","4.100000"
"2015-09-25","4.000000"
"2015-09-28","3.810000"
"2015-09-29","3.790000"
"2015-09-30","3.850000"
"2015-10-01","3.770000"
"2015-10-02","3.730000"
"2015-10-05","3.720000"
"2015-10-06","3.840000"
"2015-10-07","3.950000"
"2015-10-08","3.960000"
"2015-10-09","3.910000"
"2015-10-12","4.220000"
"2015-10-13","4.540000"
"2015-10-14","4.560000"
"2015-10-15","4.400000"
"2015-10-16","4.510000"
"2015-10-19","4.650000"
"2015-10-20","4.690000"
"2015-10-21","4.310000"
"2015-10-22","4.560000"
"2015-10-23","4.630000"
"2015-10-26","4.490000"
"2015-10-27","4.400000"
"2015-10-28","4.490000"
"2015-10-29","4.450000"
"2015-10-30","4.580000"
"2015-11-02","4.820000"
"2015-11-03","4.690000"
"2015-11-04","4.690000"
"2015-11-05","4.670000"
"2015-11-06","4.980000"
"2015-11-09","5.180000"
"2015-11-10","5.090000"
"2015-11-11","5.070000"
"2015-11-12","5.010000"
"2015-11-13","4.880000"
"2015-11-16","4.930000"
"2015-11-17","5.360000"
"2015-11-18","5.800000"
"2015-11-19","5.540000"
"2015-11-20","5.770000"
"2015-11-23","5.600000"
"2015-11-24","5.880000"
"2015-11-25","6.000000"
"2015-11-27","5.980000"
"2015-11-30","6.290000"
"2015-12-01","6.220000"
"2015-12-02","6.080000"
"2015-12-03","6.020000"
"2015-12-04","6.090000"
"2015-12-07","5.790000"
"2015-12-08","5.850000"
"2015-12-09","5.900000"
"2015-12-10","6.260000"
"2015-12-11","5.980000"
"2015-12-14","5.910000"
"2015-12-15","6.000000"
"2015-12-16","5.980000"
"2015-12-17","5.970000"
"2015-12-18","6.030000"
"2015-12-21","6.010000"
"2015-12-22","6.000000"
"2015-12-23","6.050000"
"2015-12-24","6.120000"
"2015-12-28","6.290000"
"2015-12-29","6.770000"
"2015-12-30","6.560000"
"2015-12-31","6.470000"
"2016-01-04","6.270000"
"2016-01-05","6.150000"
"2016-01-06","6.210000"
"2016-01-07","5.820000"
"2016-01-08","5.450000"
"2016-01-11","5.140000"
"2016-01-12","5.140000"
"2016-01-13","4.710000"
"2016-01-14","4.640000"
"2016-01-15","4.360000"
"2016-01-19","4.430000"
"2016-01-20","4.460000"
"2016-01-21","4.940000"
"2016-01-22","5.080000"
"2016-01-25","4.830000"
"2016-01-26","4.840000"
"2016-01-27","4.880000"
"2016-01-28","4.420000"
"2016-01-29","4.860000"
