"date, price"
"2014-12-04","45.919998"
"2014-12-05","45.509998"
"2014-12-08","44.930000"
"2014-12-09","47.730000"
"2014-12-10","46.700001"
"2014-12-11","50.959999"
"2014-12-12","52.950001"
"2014-12-15","53.869999"
"2014-12-16","52.500000"
"2014-12-17","53.240002"
"2014-12-18","53.150002"
"2014-12-19","53.500000"
"2014-12-22","53.959999"
"2014-12-23","54.560001"
"2014-12-24","54.400002"
"2014-12-26","54.770000"
"2014-12-29","55.380001"
"2014-12-30","55.750000"
"2014-12-31","55.790001"
"2015-01-02","55.340000"
"2015-01-05","55.959999"
"2015-01-06","55.570000"
"2015-01-07","57.650002"
"2015-01-08","59.070000"
"2015-01-09","58.630001"
"2015-01-12","62.590000"
"2015-01-13","63.060001"
"2015-01-14","63.400002"
"2015-01-15","62.509998"
"2015-01-16","63.000000"
"2015-01-20","63.000000"
"2015-01-21","62.860001"
"2015-01-22","63.759998"
"2015-01-23","66.199997"
"2015-01-26","66.760002"
"2015-01-27","67.480003"
"2015-01-28","66.160004"
"2015-01-29","67.190002"
"2015-01-30","66.239998"
"2015-02-02","65.519997"
"2015-02-03","66.489998"
"2015-02-04","65.660004"
"2015-02-05","65.290001"
"2015-02-06","64.440002"
"2015-02-09","65.430000"
"2015-02-10","65.760002"
"2015-02-11","65.589996"
"2015-02-12","66.040001"
"2015-02-13","65.980003"
"2015-02-17","66.000000"
"2015-02-18","66.419998"
"2015-02-19","66.889999"
"2015-02-20","67.370003"
"2015-02-23","66.080002"
"2015-02-24","66.099998"
"2015-02-25","67.089996"
"2015-02-26","66.480003"
"2015-02-27","68.440002"
"2015-03-02","67.489998"
"2015-03-03","65.870003"
"2015-03-04","65.519997"
"2015-03-05","64.849998"
"2015-03-06","62.299999"
"2015-03-09","62.240002"
"2015-03-10","62.080002"
"2015-03-11","62.270000"
"2015-03-12","62.820000"
"2015-03-13","63.119999"
"2015-03-16","63.610001"
"2015-03-17","64.419998"
"2015-03-18","64.400002"
"2015-03-19","64.400002"
"2015-03-20","65.739998"
"2015-03-23","63.709999"
"2015-03-24","63.299999"
"2015-03-25","60.959999"
"2015-03-26","63.970001"
"2015-03-27","64.320000"
"2015-03-30","64.830002"
"2015-03-31","64.019997"
"2015-04-01","63.099998"
"2015-04-02","63.349998"
"2015-04-06","64.410004"
"2015-04-07","66.410004"
"2015-04-08","68.709999"
"2015-04-09","69.769997"
"2015-04-10","68.860001"
"2015-04-13","68.199997"
"2015-04-14","67.650002"
"2015-04-15","67.389999"
"2015-04-16","67.500000"
"2015-04-17","66.699997"
"2015-04-20","66.190002"
