"date, price"
"2019-03-29","78.290001"
"2019-04-01","69.010002"
"2019-04-02","68.970001"
"2019-04-03","70.000000"
"2019-04-04","72.000000"
"2019-04-05","74.449997"
"2019-04-08","70.230003"
"2019-04-09","67.440002"
"2019-04-10","60.119999"
"2019-04-11","61.009998"
"2019-04-12","59.895000"
"2019-04-15","56.110001"
"2019-04-16","56.250000"
"2019-04-17","59.509998"
"2019-04-18","58.360001"
"2019-04-22","60.939999"
"2019-04-23","60.250000"
"2019-04-24","57.820000"
"2019-04-25","56.340000"
"2019-04-26","57.240002"
"2019-04-29","60.590000"
"2019-04-30","59.799999"
"2019-05-01","58.750000"
"2019-05-02","61.500000"
"2019-05-03","62.509998"
"2019-05-06","60.570000"
"2019-05-07","59.340000"
"2019-05-08","52.910000"
"2019-05-09","55.180000"
"2019-05-10","51.090000"
"2019-05-13","48.150002"
"2019-05-14","50.520000"
"2019-05-15","54.040001"
"2019-05-16","55.599998"
"2019-05-17","53.790001"
"2019-05-20","54.630001"
"2019-05-21","55.509998"
"2019-05-22","57.880001"
"2019-05-23","58.110001"
"2019-05-24","57.099998"
"2019-05-28","56.889999"
"2019-05-29","56.259998"
"2019-05-30","54.830002"
"2019-05-31","57.619999"
"2019-06-03","59.540001"
"2019-06-04","59.169998"
"2019-06-05","63.009998"
"2019-06-06","61.630001"
"2019-06-07","59.259998"
"2019-06-10","56.759998"
"2019-06-11","58.070000"
"2019-06-12","58.410000"
"2019-06-13","61.209999"
"2019-06-14","60.959999"
"2019-06-17","63.599998"
"2019-06-18","64.400002"
"2019-06-19","63.549999"
"2019-06-20","62.840000"
"2019-06-21","64.260002"
"2019-06-24","63.759998"
"2019-06-25","64.040001"
"2019-06-26","62.970001"
"2019-06-27","65.269997"
"2019-06-28","65.709999"
"2019-07-01","62.000000"
"2019-07-02","60.349998"
"2019-07-03","60.599998"
"2019-07-05","59.389999"
"2019-07-08","59.790001"
"2019-07-09","61.830002"
"2019-07-10","62.299999"
"2019-07-11","61.849998"
"2019-07-12","64.250000"
"2019-07-15","64.790001"
"2019-07-16","64.800003"
"2019-07-17","65.169998"
"2019-07-18","66.000000"
"2019-07-19","67.449997"
"2019-07-22","66.000000"
"2019-07-23","64.930000"
"2019-07-24","65.230003"
"2019-07-25","65.010002"
"2019-07-26","65.519997"
"2019-07-29","64.029999"
"2019-07-30","62.459999"
"2019-07-31","60.869999"
"2019-08-01","59.770000"
"2019-08-02","58.610001"
"2019-08-05","59.509998"
"2019-08-06","58.700001"
"2019-08-07","60.290001"
"2019-08-08","62.099998"
"2019-08-09","59.119999"
"2019-08-12","56.180000"
"2019-08-13","58.080002"
"2019-08-14","54.490002"
"2019-08-15","52.799999"
"2019-08-16","52.470001"
"2019-08-19","51.680000"
"2019-08-20","53.650002"
"2019-08-21","54.150002"
"2019-08-22","51.360001"
"2019-08-23","49.110001"
"2019-08-26","51.209999"
"2019-08-27","49.610001"
"2019-08-28","48.840000"
"2019-08-29","49.730000"
"2019-08-30","48.970001"
"2019-09-03","45.419998"
"2019-09-04","46.349998"
"2019-09-05","46.400002"
"2019-09-06","44.500000"
"2019-09-09","44.380001"
"2019-09-10","45.450001"
"2019-09-11","46.529999"
"2019-09-12","46.990002"
"2019-09-13","46.099998"
"2019-09-16","47.790001"
"2019-09-17","48.060001"
"2019-09-18","46.619999"
"2019-09-19","47.279999"
"2019-09-20","46.430000"
"2019-09-23","45.310001"
"2019-09-24","41.880001"
"2019-09-25","41.779999"
"2019-09-26","41.900002"
"2019-09-27","41.349998"
"2019-09-30","40.840000"
"2019-10-01","39.570000"
"2019-10-02","38.389999"
"2019-10-03","39.520000"
"2019-10-04","39.160000"
"2019-10-07","39.240002"
"2019-10-08","38.660000"
"2019-10-09","38.200001"
"2019-10-10","37.700001"
"2019-10-11","39.485001"
"2019-10-14","39.799999"
"2019-10-15","41.080002"
"2019-10-16","40.509998"
"2019-10-17","41.669998"
"2019-10-18","40.790001"
"2019-10-21","40.880001"
"2019-10-22","43.560001"
"2019-10-23","43.080002"
"2019-10-24","43.720001"
"2019-10-25","44.540001"
"2019-10-28","44.419998"
"2019-10-29","43.680000"
"2019-10-30","44.110001"
"2019-10-31","41.439999"
"2019-11-01","42.980000"
"2019-11-04","42.830002"
"2019-11-05","41.369999"
"2019-11-06","42.919998"
"2019-11-07","43.290001"
"2019-11-08","43.230000"
"2019-11-11","42.970001"
"2019-11-12","42.330002"
"2019-11-13","43.299999"
"2019-11-14","41.919998"
"2019-11-15","43.040001"
"2019-11-18","44.860001"
"2019-11-19","44.150002"
"2019-11-20","43.950001"
"2019-11-21","46.759998"
"2019-11-22","46.459999"
"2019-11-25","48.939999"
"2019-11-26","49.000000"
"2019-11-27","49.369999"
"2019-11-29","48.980000"
"2019-12-02","47.389999"
"2019-12-03","47.509998"
"2019-12-04","47.314999"
"2019-12-05","45.064999"
"2019-12-06","45.200001"
"2019-12-09","45.419998"
"2019-12-10","45.259998"
"2019-12-11","47.360001"
"2019-12-12","46.599998"
"2019-12-13","46.750000"
"2019-12-16","47.930000"
"2019-12-17","47.500000"
"2019-12-18","47.009998"
"2019-12-19","46.279999"
"2019-12-20","47.919998"
"2019-12-23","45.540001"
"2019-12-24","45.700001"
"2019-12-26","45.730000"
"2019-12-27","45.840000"
"2019-12-30","43.500000"
"2019-12-31","43.020000"
"2020-01-02","43.580002"
"2020-01-03","43.189999"
"2020-01-06","43.099998"
"2020-01-07","44.250000"
"2020-01-08","45.080002"
"2020-01-09","45.590000"
"2020-01-10","46.060001"
"2020-01-13","46.349998"
"2020-01-14","47.680000"
"2020-01-15","47.080002"
"2020-01-16","46.830002"
"2020-01-17","46.520000"
"2020-01-21","47.980000"
"2020-01-22","47.470001"
"2020-01-23","48.480000"
"2020-01-24","48.430000"
"2020-01-27","47.360001"
"2020-01-28","48.209999"
"2020-01-29","46.840000"
"2020-01-30","47.790001"
"2020-01-31","47.480000"
"2020-02-03","47.959999"
"2020-02-04","50.000000"
"2020-02-05","48.060001"
"2020-02-06","47.419998"
"2020-02-07","49.919998"
"2020-02-10","53.720001"
"2020-02-11","53.939999"
"2020-02-12","48.459999"
"2020-02-13","47.029999"
"2020-02-14","44.689999"
"2020-02-18","45.099998"
"2020-02-19","46.240002"
"2020-02-20","45.470001"
"2020-02-21","44.700001"
"2020-02-24","42.520000"
"2020-02-25","41.820000"
"2020-02-26","39.860001"
"2020-02-27","37.779999"
"2020-02-28","38.119999"
"2020-03-02","36.910000"
"2020-03-03","36.970001"
"2020-03-04","40.270000"
"2020-03-05","37.080002"
"2020-03-06","36.020000"
"2020-03-09","32.810001"
"2020-03-10","32.889999"
"2020-03-11","29.010000"
"2020-03-12","23.879999"
"2020-03-13","24.170000"
"2020-03-16","19.120001"
"2020-03-17","18.660000"
"2020-03-18","16.049999"
"2020-03-19","20.700001"
"2020-03-20","21.270000"
"2020-03-23","22.610001"
"2020-03-24","27.059999"
"2020-03-25","27.950001"
"2020-03-26","29.940001"
"2020-03-27","27.600000"
"2020-03-30","26.920000"
"2020-03-31","26.850000"
"2020-04-01","23.500000"
"2020-04-02","22.450001"
"2020-04-03","22.000000"
"2020-04-06","25.730000"
"2020-04-07","27.500000"
"2020-04-08","29.639999"
"2020-04-09","30.330000"
"2020-04-13","30.660000"
"2020-04-14","30.500000"
"2020-04-15","28.389999"
"2020-04-16","27.139999"
"2020-04-17","29.070000"
"2020-04-20","30.100000"
"2020-04-21","29.250000"
"2020-04-22","30.700001"
"2020-04-23","30.090000"
"2020-04-24","31.959999"
"2020-04-27","34.320000"
"2020-04-28","32.740002"
"2020-04-29","34.060001"
"2020-04-30","32.830002"
"2020-05-01","29.605000"
"2020-05-04","27.030001"
"2020-05-05","26.680000"
"2020-05-06","26.120001"
"2020-05-07","31.780001"
"2020-05-08","32.730000"
"2020-05-11","31.360001"
"2020-05-12","29.530001"
"2020-05-13","28.370001"
"2020-05-14","27.719999"
"2020-05-15","28.150000"
"2020-05-18","30.430000"
"2020-05-19","30.690001"
"2020-05-20","30.820000"
"2020-05-21","30.389999"
"2020-05-22","31.260000"
"2020-05-26","32.470001"
"2020-05-27","33.750000"
"2020-05-28","31.730000"
"2020-05-29","31.260000"
"2020-06-01","32.590000"
"2020-06-02","31.680000"
"2020-06-03","34.439999"
"2020-06-04","36.075001"
"2020-06-05","38.610001"
"2020-06-08","40.980000"
"2020-06-09","39.209999"
"2020-06-10","38.560001"
"2020-06-11","35.320000"
"2020-06-12","36.889999"
"2020-06-15","36.209999"
"2020-06-16","36.709999"
"2020-06-17","35.320000"
"2020-06-18","35.830002"
"2020-06-19","34.820000"
"2020-06-22","34.250000"
"2020-06-23","35.599998"
"2020-06-24","32.794998"
"2020-06-25","33.189999"
"2020-06-26","32.270000"
"2020-06-29","33.060001"
"2020-06-30","33.009998"
"2020-07-01","32.000000"
"2020-07-02","31.820000"
"2020-07-06","33.220001"
"2020-07-07","30.940001"
"2020-07-08","32.180000"
"2020-07-09","29.900000"
"2020-07-10","30.700001"
"2020-07-13","28.809999"
"2020-07-14","27.920000"
"2020-07-15","30.780001"
"2020-07-16","29.580000"
"2020-07-17","29.730000"
"2020-07-20","30.570000"
"2020-07-21","30.490000"
"2020-07-22","30.840000"
"2020-07-23","30.860001"
"2020-07-24","30.420000"
"2020-07-27","29.889999"
"2020-07-28","29.490000"
"2020-07-29","29.889999"
"2020-07-30","29.480000"
"2020-07-31","29.230000"
"2020-08-03","29.090000"
"2020-08-04","30.500000"
"2020-08-05","30.889999"
"2020-08-06","32.340000"
"2020-08-07","30.190001"
"2020-08-10","31.049999"
"2020-08-11","30.650000"
"2020-08-12","30.520000"
"2020-08-13","28.879999"
"2020-08-14","28.510000"
"2020-08-17","27.170000"
"2020-08-18","27.940001"
"2020-08-19","28.139999"
"2020-08-20","29.760000"
"2020-08-21","28.930000"
"2020-08-24","28.980000"
"2020-08-25","29.010000"
"2020-08-26","29.520000"
"2020-08-27","29.700001"
"2020-08-28","30.770000"
"2020-08-31","29.670000"
"2020-09-01","29.430000"
"2020-09-02","28.610001"
"2020-09-03","28.559999"
"2020-09-04","28.969999"
"2020-09-08","30.100000"
"2020-09-09","29.870001"
"2020-09-10","29.510000"
"2020-09-11","30.760000"
"2020-09-14","31.969999"
"2020-09-15","30.230000"
"2020-09-16","30.700001"
"2020-09-17","31.240000"
"2020-09-18","30.590000"
"2020-09-21","28.900000"
"2020-09-22","28.309999"
"2020-09-23","26.969999"
"2020-09-24","26.770000"
"2020-09-25","27.530001"
"2020-09-28","28.049999"
"2020-09-29","27.139999"
"2020-09-30","27.549999"
"2020-10-01","27.809999"
"2020-10-02","27.629999"
"2020-10-05","26.690001"
"2020-10-06","26.410000"
"2020-10-07","26.270000"
"2020-10-08","27.209999"
"2020-10-09","27.799999"
"2020-10-12","27.240000"
"2020-10-13","26.330000"
"2020-10-14","26.750000"
"2020-10-15","25.600000"
"2020-10-16","25.530001"
"2020-10-19","24.629999"
"2020-10-20","25.129999"
"2020-10-21","24.660000"
"2020-10-22","25.580000"
"2020-10-23","26.020000"
"2020-10-26","24.840000"
"2020-10-27","22.940001"
"2020-10-28","22.230000"
"2020-10-29","22.930000"
"2020-10-30","22.830000"
"2020-11-02","24.500000"
"2020-11-03","26.230000"
"2020-11-04","29.190001"
"2020-11-05","29.030001"
"2020-11-06","29.840000"
"2020-11-09","37.689999"
"2020-11-10","36.049999"
"2020-11-11","36.410000"
"2020-11-12","36.459999"
"2020-11-13","37.540001"
"2020-11-16","39.919998"
"2020-11-17","39.419998"
"2020-11-18","39.770000"
"2020-11-19","40.110001"
"2020-11-20","38.099998"
"2020-11-23","39.349998"
"2020-11-24","39.490002"
"2020-11-25","39.520000"
"2020-11-27","39.040001"
"2020-11-30","38.169998"
"2020-12-01","39.610001"
"2020-12-02","43.400002"
"2020-12-03","43.099998"
"2020-12-04","46.099998"
"2020-12-07","46.555000"
"2020-12-08","46.520000"
"2020-12-09","47.529999"
"2020-12-10","48.110001"
"2020-12-11","46.869999"
"2020-12-14","46.770000"
"2020-12-15","49.299999"
"2020-12-16","49.910000"
"2020-12-17","49.470001"
"2020-12-18","49.980000"
"2020-12-21","49.910000"
"2020-12-22","49.509998"
"2020-12-23","50.070000"
"2020-12-24","48.860001"
"2020-12-28","49.770000"
"2020-12-29","49.250000"
"2020-12-30","50.340000"
"2020-12-31","49.130001"
"2021-01-04","47.279999"
"2021-01-05","48.849998"
