"date, price"
"2014-12-04","130.559998"
"2014-12-05","141.279999"
"2014-12-08","142.399994"
"2014-12-09","138.399994"
"2014-12-10","140.639999"
"2014-12-11","139.199997"
"2014-12-12","138.720001"
"2014-12-15","144.479996"
"2014-12-16","149.039993"
"2014-12-17","144.080002"
"2014-12-18","141.919998"
"2014-12-19","146.800003"
"2014-12-22","149.520004"
"2014-12-23","154.720001"
"2014-12-24","149.119995"
"2014-12-26","145.600006"
"2014-12-29","142.880005"
"2014-12-30","137.119995"
"2014-12-31","134.720001"
"2015-01-02","133.759995"
"2015-01-05","126.720001"
"2015-01-06","124.959999"
"2015-01-07","134.880005"
"2015-01-08","129.440002"
"2015-01-09","125.760002"
"2015-01-12","125.760002"
"2015-01-13","122.080002"
"2015-01-14","117.120003"
"2015-01-15","122.400002"
"2015-01-16","121.599998"
"2015-01-20","115.519997"
"2015-01-21","112.639999"
"2015-01-22","111.839996"
"2015-01-23","106.879997"
"2015-01-26","114.080002"
"2015-01-27","122.239998"
"2015-01-28","119.040001"
"2015-01-29","121.599998"
"2015-01-30","118.239998"
"2015-02-02","115.519997"
"2015-02-03","114.080002"
"2015-02-04","111.199997"
"2015-02-05","108.800003"
"2015-02-06","114.559998"
"2015-02-09","111.199997"
"2015-02-10","109.120003"
"2015-02-11","103.360001"
"2015-02-12","107.360001"
"2015-02-13","106.720001"
"2015-02-17","110.239998"
"2015-02-18","109.599998"
"2015-02-19","109.599998"
"2015-02-20","112.639999"
"2015-02-23","113.279999"
"2015-02-24","112.160004"
"2015-02-25","115.360001"
"2015-02-26","120.800003"
"2015-02-27","117.440002"
"2015-03-02","119.519997"
"2015-03-03","121.440002"
"2015-03-04","120.160004"
"2015-03-05","119.839996"
"2015-03-06","117.919998"
"2015-03-09","111.040001"
"2015-03-10","105.919998"
"2015-03-11","107.839996"
"2015-03-12","111.839996"
"2015-03-13","108.000000"
"2015-03-16","107.680000"
"2015-03-17","107.360001"
"2015-03-18","105.760002"
"2015-03-19","105.760002"
"2015-03-20","105.599998"
"2015-03-23","111.040001"
"2015-03-24","108.160004"
"2015-03-25","100.639999"
"2015-03-26","99.199997"
"2015-03-27","96.480003"
"2015-03-30","89.440002"
"2015-03-31","92.959999"
"2015-04-01","90.400002"
"2015-04-02","90.400002"
"2015-04-06","87.040001"
"2015-04-07","85.760002"
"2015-04-08","84.480003"
"2015-04-09","83.199997"
"2015-04-10","93.279999"
"2015-04-13","93.279999"
"2015-04-14","95.199997"
"2015-04-15","96.160004"
"2015-04-16","94.080002"
"2015-04-17","93.279999"
"2015-04-20","95.360001"
"2015-04-21","91.199997"
"2015-04-22","92.480003"
"2015-04-23","92.320000"
"2015-04-24","96.959999"
"2015-04-27","92.480003"
"2015-04-28","92.959999"
"2015-04-29","91.680000"
"2015-04-30","92.160004"
"2015-05-01","91.519997"
"2015-05-04","94.400002"
"2015-05-05","91.199997"
"2015-05-06","93.120003"
"2015-05-07","91.680000"
"2015-05-08","92.639999"
"2015-05-11","91.040001"
"2015-05-12","86.239998"
"2015-05-13","83.199997"
"2015-05-14","87.040001"
"2015-05-15","89.760002"
"2015-05-18","88.320000"
"2015-05-19","88.480003"
"2015-05-20","85.919998"
"2015-05-21","82.720001"
"2015-05-22","80.800003"
"2015-05-26","77.440002"
"2015-05-27","78.400002"
"2015-05-28","81.279999"
"2015-05-29","80.320000"
"2015-06-01","74.559998"
"2015-06-02","72.000000"
"2015-06-03","74.720001"
"2015-06-04","73.120003"
"2015-06-05","77.440002"
"2015-06-08","73.919998"
"2015-06-09","79.199997"
"2015-06-10","85.599998"
"2015-06-11","53.759998"
"2015-06-12","50.880001"
"2015-06-15","52.320000"
"2015-06-16","50.560001"
"2015-06-17","51.200001"
"2015-06-18","49.919998"
"2015-06-19","49.439999"
"2015-06-22","50.400002"
"2015-06-23","48.959999"
"2015-06-24","46.880001"
"2015-06-25","45.599998"
"2015-06-26","46.720001"
"2015-06-29","45.759998"
"2015-06-30","46.400002"
"2015-07-01","45.439999"
"2015-07-02","47.360001"
"2015-07-06","46.240002"
"2015-07-07","45.919998"
"2015-07-08","47.360001"
"2015-07-09","47.200001"
"2015-07-10","47.040001"
"2015-07-13","47.840000"
"2015-07-14","48.160000"
"2015-07-15","53.119999"
"2015-07-16","52.320000"
"2015-07-17","50.880001"
"2015-07-20","48.639999"
"2015-07-21","48.320000"
"2015-07-22","48.320000"
"2015-07-23","48.000000"
"2015-07-24","46.240002"
"2015-07-27","46.560001"
"2015-07-28","46.400002"
"2015-07-29","48.480000"
"2015-07-30","48.160000"
"2015-07-31","48.160000"
"2015-08-03","47.200001"
"2015-08-04","48.000000"
"2015-08-05","47.040001"
"2015-08-06","41.599998"
"2015-08-07","41.119999"
"2015-08-10","45.919998"
"2015-08-11","44.160000"
"2015-08-12","44.799999"
"2015-08-13","46.880001"
"2015-08-14","46.720001"
"2015-08-17","40.480000"
"2015-08-18","37.279999"
"2015-08-19","35.520000"
"2015-08-20","34.240002"
"2015-08-21","34.400002"
"2015-08-24","30.719999"
"2015-08-25","32.959999"
"2015-08-26","32.799999"
"2015-08-27","34.560001"
"2015-08-28","36.639999"
"2015-08-31","36.480000"
"2015-09-01","33.599998"
"2015-09-02","33.279999"
"2015-09-03","32.959999"
"2015-09-04","34.400002"
"2015-09-08","33.599998"
"2015-09-09","33.439999"
"2015-09-10","33.119999"
"2015-09-11","34.720001"
"2015-09-14","34.560001"
"2015-09-15","32.959999"
"2015-09-16","32.480000"
"2015-09-17","33.439999"
"2015-09-18","34.400002"
"2015-09-21","35.680000"
"2015-09-22","36.000000"
"2015-09-23","35.040001"
"2015-09-24","35.040001"
"2015-09-25","34.400002"
"2015-09-28","32.959999"
"2015-09-29","29.920000"
"2015-09-30","29.600000"
"2015-10-01","28.799999"
"2015-10-02","29.440001"
"2015-10-05","30.400000"
"2015-10-06","29.920000"
"2015-10-07","30.879999"
"2015-10-08","32.000000"
"2015-10-09","31.680000"
"2015-10-12","31.680000"
"2015-10-13","30.719999"
"2015-10-14","29.760000"
"2015-10-15","29.600000"
"2015-10-16","30.719999"
"2015-10-19","30.400000"
"2015-10-20","29.280001"
"2015-10-21","28.639999"
"2015-10-22","28.959999"
"2015-10-23","28.480000"
"2015-10-26","27.520000"
"2015-10-27","26.559999"
"2015-10-28","28.320000"
"2015-10-29","28.000000"
"2015-10-30","27.360001"
"2015-11-02","27.200001"
"2015-11-03","26.879999"
"2015-11-04","27.200001"
"2015-11-05","27.360001"
"2015-11-06","27.200001"
"2015-11-09","27.200001"
"2015-11-10","24.480000"
"2015-11-11","23.680000"
"2015-11-12","23.520000"
"2015-11-13","21.440001"
"2015-11-16","22.400000"
"2015-11-17","26.080000"
"2015-11-18","27.200001"
"2015-11-19","27.840000"
"2015-11-20","23.680000"
"2015-11-23","25.600000"
"2015-11-24","28.320000"
"2015-11-25","29.920000"
"2015-11-27","28.000000"
"2015-11-30","27.840000"
"2015-12-01","29.280001"
"2015-12-02","29.760000"
"2015-12-03","29.440001"
"2015-12-04","30.080000"
"2015-12-07","28.480000"
"2015-12-08","26.400000"
"2015-12-09","25.760000"
"2015-12-10","28.320000"
"2015-12-11","26.080000"
"2015-12-14","25.760000"
"2015-12-15","24.000000"
"2015-12-16","23.360001"
"2015-12-17","26.400000"
"2015-12-18","26.240000"
"2015-12-21","25.920000"
"2015-12-22","25.600000"
"2015-12-23","25.920000"
"2015-12-24","26.400000"
"2015-12-28","22.879999"
"2015-12-29","24.639999"
"2015-12-30","25.920000"
"2015-12-31","25.600000"
"2016-01-04","25.440001"
"2016-01-05","24.959999"
"2016-01-06","26.879999"
"2016-01-07","26.719999"
"2016-01-08","26.080000"
"2016-01-11","24.959999"
"2016-01-12","24.639999"
"2016-01-13","24.639999"
"2016-01-14","24.799999"
"2016-01-15","24.320000"
"2016-01-19","25.600000"
"2016-01-20","23.840000"
"2016-01-21","24.799999"
"2016-01-22","27.840000"
"2016-01-25","25.920000"
"2016-01-26","28.000000"
"2016-01-27","28.959999"
"2016-01-28","28.799999"
"2016-01-29","28.799999"
"2016-02-01","30.719999"
"2016-02-02","29.920000"
