"date, price"
"2014-12-04","27.139999"
"2014-12-05","28.660000"
"2014-12-08","28.889999"
"2014-12-09","29.639999"
"2014-12-10","28.910000"
"2014-12-11","29.340000"
"2014-12-12","29.290001"
"2014-12-15","30.459999"
"2014-12-16","30.090000"
"2014-12-17","30.830000"
"2014-12-18","31.830000"
"2014-12-19","31.480000"
"2014-12-22","32.000000"
"2014-12-23","31.820000"
"2014-12-24","32.389999"
"2014-12-26","32.169998"
"2014-12-29","31.959999"
"2014-12-30","31.250000"
"2014-12-31","31.280001"
"2015-01-02","31.530001"
"2015-01-05","29.680000"
"2015-01-06","28.600000"
"2015-01-07","28.900000"
"2015-01-08","30.490000"
"2015-01-09","30.490000"
"2015-01-12","30.469999"
"2015-01-13","30.469999"
"2015-01-14","29.490000"
"2015-01-15","28.410000"
"2015-01-16","28.980000"
"2015-01-20","31.340000"
"2015-01-21","31.190001"
"2015-01-22","31.879999"
"2015-01-23","34.790001"
"2015-01-26","34.099998"
"2015-01-27","33.990002"
"2015-01-28","33.430000"
"2015-01-29","33.790001"
"2015-01-30","32.509998"
"2015-02-02","32.299999"
"2015-02-03","29.900000"
"2015-02-04","30.760000"
"2015-02-05","30.600000"
"2015-02-06","32.439999"
"2015-02-09","32.560001"
"2015-02-10","33.049999"
"2015-02-11","35.160000"
"2015-02-12","34.580002"
"2015-02-13","33.060001"
"2015-02-17","33.709999"
"2015-02-18","34.090000"
"2015-02-19","34.270000"
"2015-02-20","34.250000"
"2015-02-23","33.430000"
"2015-02-24","34.790001"
"2015-02-25","33.529999"
"2015-02-26","33.990002"
"2015-02-27","33.720001"
"2015-03-02","35.130001"
"2015-03-03","33.939999"
"2015-03-04","34.310001"
"2015-03-05","33.820000"
"2015-03-06","33.209999"
"2015-03-09","34.360001"
"2015-03-10","34.150002"
"2015-03-11","33.799999"
"2015-03-12","33.599998"
"2015-03-13","33.520000"
"2015-03-16","35.160000"
"2015-03-17","36.650002"
"2015-03-18","37.009998"
"2015-03-19","37.910000"
"2015-03-20","38.590000"
"2015-03-23","38.860001"
"2015-03-24","39.070000"
"2015-03-25","37.529999"
"2015-03-26","34.900002"
"2015-03-27","35.810001"
"2015-03-30","37.000000"
"2015-03-31","37.259998"
"2015-04-01","37.380001"
"2015-04-02","36.700001"
"2015-04-06","35.590000"
"2015-04-07","34.410000"
"2015-04-08","35.169998"
"2015-04-09","35.220001"
"2015-04-10","36.200001"
"2015-04-13","36.160000"
"2015-04-14","35.970001"
"2015-04-15","36.900002"
"2015-04-16","36.900002"
"2015-04-17","34.720001"
"2015-04-20","34.250000"
"2015-04-21","34.730000"
"2015-04-22","34.459999"
"2015-04-23","33.330002"
"2015-04-24","31.410000"
"2015-04-27","31.650000"
"2015-04-28","32.189999"
"2015-04-29","33.009998"
"2015-04-30","30.469999"
"2015-05-01","32.000000"
"2015-05-04","33.590000"
"2015-05-05","33.660000"
"2015-05-06","34.029999"
"2015-05-07","34.869999"
