"date, price"
"2014-12-04","43.290001"
"2014-12-05","43.410000"
"2014-12-08","42.619999"
"2014-12-09","42.720001"
"2014-12-10","41.889999"
"2014-12-11","42.189999"
"2014-12-12","40.700001"
"2014-12-15","40.700001"
"2014-12-16","40.650002"
"2014-12-17","40.849998"
"2014-12-18","42.720001"
"2014-12-19","42.939999"
"2014-12-22","42.939999"
"2014-12-23","42.840000"
"2014-12-24","42.810001"
"2014-12-26","42.549999"
"2014-12-29","41.990002"
"2014-12-30","41.560001"
"2014-12-31","41.450001"
"2015-01-02","41.459999"
"2015-01-05","40.049999"
"2015-01-06","39.689999"
"2015-01-07","39.730000"
"2015-01-08","40.549999"
"2015-01-09","40.650002"
"2015-01-12","39.869999"
"2015-01-13","39.320000"
"2015-01-14","38.889999"
"2015-01-15","38.459999"
"2015-01-16","38.750000"
"2015-01-20","38.529999"
"2015-01-21","38.509998"
"2015-01-22","39.660000"
"2015-01-23","39.480000"
"2015-01-26","38.900002"
"2015-01-27","38.070000"
"2015-01-28","38.009998"
"2015-01-29","38.060001"
"2015-01-30","37.799999"
"2015-02-02","38.290001"
"2015-02-03","39.259998"
"2015-02-04","38.919998"
"2015-02-05","38.790001"
"2015-02-06","38.869999"
"2015-02-09","38.849998"
"2015-02-10","39.439999"
"2015-02-11","39.790001"
"2015-02-12","36.900002"
"2015-02-13","38.220001"
"2015-02-17","37.790001"
"2015-02-18","37.799999"
"2015-02-19","37.849998"
"2015-02-20","38.200001"
"2015-02-23","38.509998"
"2015-02-24","38.570000"
"2015-02-25","38.619999"
"2015-02-26","38.650002"
"2015-02-27","38.650002"
"2015-03-02","38.580002"
"2015-03-03","38.029999"
"2015-03-04","37.799999"
"2015-03-05","38.549999"
"2015-03-06","38.200001"
"2015-03-09","38.439999"
"2015-03-10","37.939999"
"2015-03-11","37.820000"
"2015-03-12","37.410000"
"2015-03-13","36.820000"
"2015-03-16","37.160000"
"2015-03-17","36.779999"
"2015-03-18","37.299999"
"2015-03-19","36.700001"
"2015-03-20","37.320000"
"2015-03-23","36.639999"
"2015-03-24","35.849998"
"2015-03-25","35.740002"
"2015-03-26","35.549999"
"2015-03-27","35.099998"
