"date, price"
"2014-12-04","15.710000"
"2014-12-05","15.820000"
"2014-12-08","15.500000"
"2014-12-09","15.690000"
"2014-12-10","15.340000"
"2014-12-11","15.330000"
"2014-12-12","15.050000"
"2014-12-15","14.760000"
"2014-12-16","14.630000"
"2014-12-17","14.890000"
"2014-12-18","15.020000"
"2014-12-19","15.220000"
"2014-12-22","15.380000"
"2014-12-23","15.610000"
"2014-12-24","15.480000"
"2014-12-26","15.570000"
"2014-12-29","15.740000"
"2014-12-30","15.770000"
"2014-12-31","15.690000"
"2015-01-02","15.590000"
"2015-01-05","15.120000"
"2015-01-06","14.910000"
"2015-01-07","14.870000"
"2015-01-08","15.340000"
"2015-01-09","15.410000"
"2015-01-12","15.280000"
"2015-01-13","15.230000"
"2015-01-14","15.100000"
"2015-01-15","15.010000"
"2015-01-16","15.060000"
"2015-01-20","14.930000"
"2015-01-21","14.950000"
"2015-01-22","15.200000"
"2015-01-23","15.180000"
"2015-01-26","15.540000"
"2015-01-27","15.450000"
"2015-01-28","15.140000"
"2015-01-29","14.930000"
"2015-01-30","14.890000"
"2015-02-02","14.940000"
"2015-02-03","15.610000"
"2015-02-04","15.590000"
"2015-02-05","15.730000"
"2015-02-06","16.260000"
"2015-02-09","16.719999"
"2015-02-10","16.770000"
"2015-02-11","16.760000"
"2015-02-12","16.840000"
"2015-02-13","16.889999"
"2015-02-17","17.110001"
"2015-02-18","16.959999"
"2015-02-19","17.040001"
"2015-02-20","17.139999"
"2015-02-23","17.320000"
"2015-02-24","17.290001"
"2015-02-25","17.440001"
"2015-02-26","17.330000"
"2015-02-27","17.270000"
"2015-03-02","17.440001"
"2015-03-03","17.209999"
"2015-03-04","17.090000"
"2015-03-05","17.100000"
"2015-03-06","16.830000"
"2015-03-09","16.680000"
"2015-03-10","16.230000"
"2015-03-11","16.400000"
"2015-03-12","16.750000"
"2015-03-13","16.700001"
"2015-03-16","16.920000"
"2015-03-17","16.750000"
"2015-03-18","16.889999"
"2015-03-19","16.690001"
"2015-03-20","16.840000"
"2015-03-23","16.879999"
"2015-03-24","16.770000"
"2015-03-25","16.420000"
"2015-03-26","16.180000"
"2015-03-27","16.150000"
"2015-03-30","16.219999"
"2015-03-31","16.010000"
"2015-04-01","16.110001"
"2015-04-02","16.180000"
"2015-04-06","16.250000"
"2015-04-07","16.120001"
"2015-04-08","16.059999"
"2015-04-09","15.940000"
"2015-04-10","15.920000"
"2015-04-13","16.070000"
"2015-04-14","15.980000"
"2015-04-15","15.950000"
"2015-04-16","15.890000"
"2015-04-17","15.590000"
"2015-04-20","15.650000"
"2015-04-21","15.520000"
"2015-04-22","15.560000"
"2015-04-23","15.560000"
"2015-04-24","15.530000"
"2015-04-27","15.570000"
"2015-04-28","15.970000"
"2015-04-29","15.790000"
"2015-04-30","15.780000"
"2015-05-01","16.049999"
"2015-05-04","16.170000"
"2015-05-05","16.020000"
"2015-05-06","14.990000"
"2015-05-07","14.970000"
"2015-05-08","15.140000"
"2015-05-11","15.710000"
"2015-05-12","15.350000"
"2015-05-13","15.260000"
"2015-05-14","15.390000"
"2015-05-15","15.550000"
"2015-05-18","15.680000"
"2015-05-19","15.680000"
"2015-05-20","15.630000"
"2015-05-21","15.630000"
"2015-05-22","15.540000"
"2015-05-26","15.340000"
"2015-05-27","15.440000"
"2015-05-28","15.350000"
"2015-05-29","15.150000"
"2015-06-01","15.230000"
"2015-06-02","15.160000"
"2015-06-03","15.220000"
"2015-06-04","15.000000"
"2015-06-05","15.000000"
"2015-06-08","14.840000"
"2015-06-09","14.560000"
"2015-06-10","14.650000"
"2015-06-11","14.580000"
"2015-06-12","14.410000"
"2015-06-15","14.200000"
"2015-06-16","14.200000"
"2015-06-17","14.220000"
"2015-06-18","14.540000"
"2015-06-19","14.970000"
"2015-06-22","15.050000"
"2015-06-23","14.990000"
"2015-06-24","14.830000"
"2015-06-25","14.750000"
"2015-06-26","15.200000"
"2015-06-29","14.450000"
"2015-06-30","14.590000"
"2015-07-01","14.640000"
"2015-07-02","14.600000"
"2015-07-06","14.300000"
"2015-07-07","14.350000"
"2015-07-08","14.160000"
"2015-07-09","14.180000"
"2015-07-10","14.250000"
"2015-07-13","14.430000"
"2015-07-14","14.430000"
"2015-07-15","14.430000"
"2015-07-16","14.660000"
"2015-07-17","14.810000"
"2015-07-20","14.900000"
"2015-07-21","14.580000"
"2015-07-22","14.610000"
"2015-07-23","14.720000"
"2015-07-24","14.860000"
"2015-07-27","14.830000"
"2015-07-28","14.790000"
"2015-07-29","14.830000"
"2015-07-30","14.800000"
"2015-07-31","14.730000"
"2015-08-03","14.540000"
"2015-08-04","14.560000"
"2015-08-05","14.600000"
"2015-08-06","14.020000"
"2015-08-07","14.110000"
"2015-08-10","14.350000"
"2015-08-11","13.960000"
"2015-08-12","14.120000"
"2015-08-13","15.190000"
"2015-08-14","15.180000"
"2015-08-17","15.250000"
"2015-08-18","15.130000"
