"date, price"
"2014-12-04","32.500000"
"2014-12-05","33.080002"
"2014-12-08","33.049999"
"2014-12-09","33.959999"
"2014-12-10","32.910000"
"2014-12-11","33.439999"
"2014-12-12","33.189999"
"2014-12-15","32.900002"
"2014-12-16","32.630001"
"2014-12-17","32.180000"
"2014-12-18","32.389999"
"2014-12-19","32.660000"
"2014-12-22","33.070000"
"2014-12-23","33.220001"
"2014-12-24","33.599998"
"2014-12-26","33.750000"
"2014-12-29","33.470001"
"2014-12-30","33.000000"
"2014-12-31","33.119999"
"2015-01-02","32.200001"
"2015-01-05","31.809999"
"2015-01-06","31.170000"
"2015-01-07","31.389999"
"2015-01-08","32.200001"
"2015-01-09","31.320000"
"2015-01-12","31.120001"
"2015-01-13","31.580000"
"2015-01-14","31.340000"
"2015-01-15","30.709999"
"2015-01-16","31.379999"
"2015-01-20","31.110001"
"2015-01-21","31.150000"
"2015-01-22","32.230000"
"2015-01-23","32.340000"
"2015-01-26","32.380001"
"2015-01-27","32.070000"
"2015-01-28","31.590000"
"2015-01-29","32.029999"
"2015-01-30","31.830000"
"2015-02-02","31.450001"
"2015-02-03","32.540001"
"2015-02-04","33.110001"
"2015-02-05","33.240002"
"2015-02-06","34.020000"
"2015-02-09","33.599998"
"2015-02-10","34.730000"
"2015-02-11","34.590000"
"2015-02-12","35.259998"
"2015-02-13","35.290001"
"2015-02-17","35.380001"
"2015-02-18","35.169998"
"2015-02-19","35.279999"
"2015-02-20","35.209999"
"2015-02-23","35.430000"
"2015-02-24","35.200001"
"2015-02-25","35.439999"
"2015-02-26","35.340000"
"2015-02-27","35.049999"
"2015-03-02","35.220001"
"2015-03-03","33.080002"
"2015-03-04","32.889999"
"2015-03-05","32.990002"
"2015-03-06","32.480000"
"2015-03-09","32.840000"
"2015-03-10","32.099998"
"2015-03-11","31.709999"
"2015-03-12","32.750000"
"2015-03-13","31.719999"
"2015-03-16","31.500000"
"2015-03-17","30.900000"
"2015-03-18","32.290001"
"2015-03-19","33.160000"
"2015-03-20","33.820000"
"2015-03-23","33.380001"
"2015-03-24","33.570000"
"2015-03-25","32.320000"
"2015-03-26","32.549999"
