"date, price"
"2014-12-04","25.040001"
"2014-12-05","25.520000"
"2014-12-08","23.920000"
"2014-12-09","24.520000"
"2014-12-10","23.440001"
"2014-12-11","24.120001"
"2014-12-12","23.639999"
"2014-12-15","22.959999"
"2014-12-16","23.639999"
"2014-12-17","24.680000"
"2014-12-18","24.639999"
"2014-12-19","24.480000"
"2014-12-22","25.480000"
"2014-12-23","25.480000"
"2014-12-24","25.480000"
"2014-12-26","26.080000"
"2014-12-29","26.360001"
"2014-12-30","26.639999"
"2014-12-31","27.959999"
"2015-01-02","26.879999"
"2015-01-05","27.200001"
"2015-01-06","25.879999"
"2015-01-07","25.280001"
"2015-01-08","24.639999"
"2015-01-09","24.360001"
"2015-01-12","22.799999"
"2015-01-13","23.600000"
"2015-01-14","23.840000"
"2015-01-15","23.000000"
"2015-01-16","23.840000"
"2015-01-20","23.600000"
"2015-01-21","23.680000"
"2015-01-22","23.639999"
"2015-01-23","23.680000"
"2015-01-26","23.680000"
"2015-01-27","23.200001"
"2015-01-28","22.879999"
"2015-01-29","23.200001"
"2015-01-30","23.000000"
"2015-02-02","23.040001"
"2015-02-03","22.719999"
"2015-02-04","22.400000"
"2015-02-05","22.639999"
"2015-02-06","24.240000"
"2015-02-09","24.040001"
"2015-02-10","24.520000"
"2015-02-11","24.559999"
"2015-02-12","24.400000"
"2015-02-13","24.160000"
"2015-02-17","24.480000"
"2015-02-18","24.639999"
"2015-02-19","24.240000"
"2015-02-20","24.160000"
"2015-02-23","23.639999"
"2015-02-24","23.680000"
"2015-02-25","23.959999"
"2015-02-26","23.680000"
"2015-02-27","24.440001"
"2015-03-02","20.799999"
"2015-03-03","21.680000"
"2015-03-04","20.840000"
"2015-03-05","20.840000"
"2015-03-06","20.680000"
"2015-03-09","17.200001"
"2015-03-10","14.440000"
"2015-03-11","13.800000"
"2015-03-12","15.400000"
"2015-03-13","17.000000"
"2015-03-16","17.120001"
"2015-03-17","18.360001"
"2015-03-18","18.799999"
"2015-03-19","18.200001"
"2015-03-20","17.959999"
"2015-03-23","17.879999"
"2015-03-24","17.920000"
"2015-03-25","17.320000"
"2015-03-26","17.280001"
"2015-03-27","17.520000"
"2015-03-30","17.160000"
"2015-03-31","17.719999"
"2015-04-01","17.559999"
"2015-04-02","17.840000"
"2015-04-06","18.719999"
"2015-04-07","19.040001"
"2015-04-08","19.080000"
"2015-04-09","20.080000"
"2015-04-10","21.600000"
"2015-04-13","20.959999"
"2015-04-14","21.160000"
"2015-04-15","21.040001"
"2015-04-16","20.959999"
"2015-04-17","21.040001"
"2015-04-20","20.639999"
"2015-04-21","20.760000"
"2015-04-22","20.920000"
"2015-04-23","21.000000"
"2015-04-24","21.040001"
"2015-04-27","20.680000"
"2015-04-28","20.400000"
"2015-04-29","20.160000"
"2015-04-30","18.799999"
"2015-05-01","18.639999"
"2015-05-04","19.440001"
"2015-05-05","18.480000"
"2015-05-06","18.080000"
"2015-05-07","17.639999"
"2015-05-08","14.520000"
"2015-05-11","15.880000"
"2015-05-12","15.920000"
"2015-05-13","16.240000"
"2015-05-14","16.320000"
"2015-05-15","16.160000"
"2015-05-18","16.080000"
"2015-05-19","15.880000"
"2015-05-20","14.960000"
"2015-05-21","15.040000"
"2015-05-22","15.120000"
"2015-05-26","14.560000"
"2015-05-27","14.760000"
"2015-05-28","14.600000"
"2015-05-29","14.200000"
"2015-06-01","13.720000"
"2015-06-02","14.400000"
"2015-06-03","13.960000"
"2015-06-04","14.520000"
"2015-06-05","14.280000"
"2015-06-08","14.360000"
"2015-06-09","14.520000"
"2015-06-10","14.040000"
"2015-06-11","14.360000"
"2015-06-12","14.960000"
"2015-06-15","15.160000"
"2015-06-16","15.160000"
"2015-06-17","14.360000"
"2015-06-18","14.600000"
"2015-06-19","14.520000"
"2015-06-22","15.360000"
"2015-06-23","14.880000"
"2015-06-24","14.520000"
"2015-06-25","14.400000"
"2015-06-26","14.080000"
"2015-06-29","15.000000"
"2015-06-30","14.520000"
"2015-07-01","14.280000"
"2015-07-02","13.600000"
"2015-07-06","13.080000"
"2015-07-07","12.760000"
"2015-07-08","12.080000"
"2015-07-09","12.120000"
"2015-07-10","12.160000"
"2015-07-13","12.840000"
"2015-07-14","13.400000"
"2015-07-15","12.840000"
"2015-07-16","12.560000"
"2015-07-17","12.840000"
"2015-07-20","12.000000"
"2015-07-21","11.920000"
"2015-07-22","11.000000"
"2015-07-23","10.200000"
"2015-07-24","10.200000"
