"date, price"
"2014-12-04","10.070000"
"2014-12-05","9.850000"
"2014-12-08","9.830000"
"2014-12-09","10.500000"
"2014-12-10","10.030000"
"2014-12-11","9.830000"
"2014-12-12","9.760000"
"2014-12-15","9.030000"
"2014-12-16","8.910000"
"2014-12-17","9.280000"
"2014-12-18","9.500000"
"2014-12-19","9.630000"
"2014-12-22","9.040000"
"2014-12-23","8.800000"
"2014-12-24","9.050000"
"2014-12-26","9.120000"
"2014-12-29","8.890000"
"2014-12-30","9.250000"
"2014-12-31","9.200000"
"2015-01-02","9.570000"
"2015-01-05","9.890000"
"2015-01-06","10.240000"
"2015-01-07","10.090000"
"2015-01-08","9.890000"
"2015-01-09","10.270000"
"2015-01-12","10.700000"
"2015-01-13","10.410000"
"2015-01-14","10.320000"
"2015-01-15","10.720000"
"2015-01-16","11.000000"
"2015-01-20","11.360000"
"2015-01-21","11.420000"
"2015-01-22","11.440000"
"2015-01-23","11.180000"
"2015-01-26","11.510000"
"2015-01-27","11.920000"
"2015-01-28","11.290000"
"2015-01-29","11.110000"
"2015-01-30","11.660000"
"2015-02-02","11.820000"
"2015-02-03","11.540000"
"2015-02-04","11.830000"
"2015-02-05","11.940000"
"2015-02-06","11.460000"
"2015-02-09","11.650000"
"2015-02-10","11.460000"
"2015-02-11","11.450000"
"2015-02-12","11.670000"
"2015-02-13","11.850000"
"2015-02-17","11.250000"
"2015-02-18","11.480000"
"2015-02-19","10.690000"
"2015-02-20","10.000000"
"2015-02-23","9.870000"
"2015-02-24","9.710000"
"2015-02-25","9.900000"
"2015-02-26","9.580000"
"2015-02-27","9.680000"
"2015-03-02","9.680000"
"2015-03-03","9.440000"
"2015-03-04","9.440000"
"2015-03-05","9.450000"
"2015-03-06","9.090000"
"2015-03-09","8.820000"
"2015-03-10","8.730000"
"2015-03-11","9.020000"
"2015-03-12","8.960000"
"2015-03-13","9.010000"
"2015-03-16","8.890000"
"2015-03-17","8.830000"
"2015-03-18","9.250000"
"2015-03-19","9.230000"
"2015-03-20","9.500000"
"2015-03-23","9.640000"
"2015-03-24","9.440000"
