"date, price"
"2014-12-04","6.690000"
"2014-12-05","6.700000"
"2014-12-08","6.540000"
"2014-12-09","6.800000"
"2014-12-10","6.710000"
"2014-12-11","6.770000"
"2014-12-12","6.810000"
"2014-12-15","6.560000"
"2014-12-16","6.620000"
"2014-12-17","6.980000"
"2014-12-18","7.270000"
"2014-12-19","7.500000"
"2014-12-22","7.700000"
"2014-12-23","7.450000"
"2014-12-24","7.460000"
"2014-12-26","7.830000"
"2014-12-29","7.770000"
"2014-12-30","7.570000"
"2014-12-31","7.840000"
"2015-01-02","7.810000"
"2015-01-05","7.740000"
"2015-01-06","7.600000"
"2015-01-07","7.680000"
"2015-01-08","7.730000"
"2015-01-09","7.560000"
"2015-01-12","8.300000"
"2015-01-13","8.070000"
"2015-01-14","8.160000"
"2015-01-15","7.590000"
"2015-01-16","7.860000"
"2015-01-20","8.120000"
"2015-01-21","7.810000"
"2015-01-22","7.900000"
"2015-01-23","7.880000"
"2015-01-26","8.030000"
"2015-01-27","8.260000"
"2015-01-28","7.990000"
"2015-01-29","8.170000"
"2015-01-30","8.040000"
"2015-02-02","8.150000"
"2015-02-03","8.330000"
"2015-02-04","6.810000"
"2015-02-05","7.050000"
"2015-02-06","6.800000"
"2015-02-09","6.820000"
"2015-02-10","6.930000"
"2015-02-11","7.070000"
"2015-02-12","7.020000"
"2015-02-13","6.960000"
"2015-02-17","6.910000"
"2015-02-18","6.970000"
"2015-02-19","6.750000"
"2015-02-20","6.850000"
"2015-02-23","6.870000"
"2015-02-24","6.810000"
"2015-02-25","6.790000"
"2015-02-26","6.750000"
"2015-02-27","6.300000"
"2015-03-02","6.320000"
"2015-03-03","6.310000"
"2015-03-04","6.360000"
"2015-03-05","6.390000"
"2015-03-06","6.170000"
"2015-03-09","5.920000"
"2015-03-10","5.900000"
"2015-03-11","5.810000"
"2015-03-12","5.870000"
"2015-03-13","5.860000"
"2015-03-16","5.720000"
"2015-03-17","5.690000"
"2015-03-18","5.710000"
"2015-03-19","5.710000"
"2015-03-20","5.630000"
"2015-03-23","5.720000"
"2015-03-24","5.730000"
"2015-03-25","5.510000"
"2015-03-26","5.420000"
"2015-03-27","5.590000"
"2015-03-30","6.200000"
"2015-03-31","5.840000"
"2015-04-01","5.940000"
"2015-04-02","5.780000"
"2015-04-06","5.850000"
"2015-04-07","5.870000"
"2015-04-08","5.890000"
"2015-04-09","6.000000"
"2015-04-10","5.950000"
"2015-04-13","6.020000"
"2015-04-14","6.000000"
"2015-04-15","6.440000"
"2015-04-16","6.430000"
"2015-04-17","6.150000"
"2015-04-20","6.210000"
"2015-04-21","5.970000"
"2015-04-22","5.900000"
"2015-04-23","5.900000"
"2015-04-24","5.760000"
"2015-04-27","5.590000"
"2015-04-28","5.590000"
"2015-04-29","5.470000"
"2015-04-30","5.160000"
"2015-05-01","5.670000"
"2015-05-04","6.010000"
"2015-05-05","5.830000"
"2015-05-06","5.980000"
"2015-05-07","5.970000"
"2015-05-08","6.090000"
"2015-05-11","6.170000"
"2015-05-12","6.120000"
"2015-05-13","6.100000"
"2015-05-14","6.080000"
"2015-05-15","5.900000"
"2015-05-18","5.950000"
"2015-05-19","5.830000"
"2015-05-20","5.790000"
"2015-05-21","5.820000"
"2015-05-22","5.740000"
"2015-05-26","5.550000"
"2015-05-27","5.590000"
"2015-05-28","5.460000"
"2015-05-29","5.640000"
"2015-06-01","5.600000"
"2015-06-02","5.750000"
"2015-06-03","5.890000"
"2015-06-04","5.960000"
"2015-06-05","6.000000"
"2015-06-08","5.960000"
"2015-06-09","5.900000"
"2015-06-10","5.830000"
"2015-06-11","5.850000"
"2015-06-12","5.580000"
"2015-06-15","5.430000"
"2015-06-16","5.380000"
"2015-06-17","5.320000"
"2015-06-18","5.460000"
"2015-06-19","5.380000"
"2015-06-22","5.360000"
"2015-06-23","5.240000"
"2015-06-24","5.150000"
"2015-06-25","5.230000"
"2015-06-26","5.610000"
"2015-06-29","5.710000"
"2015-06-30","5.760000"
"2015-07-01","5.410000"
"2015-07-02","5.200000"
"2015-07-06","5.370000"
"2015-07-07","5.310000"
"2015-07-08","5.020000"
"2015-07-09","5.080000"
"2015-07-10","5.280000"
"2015-07-13","5.470000"
"2015-07-14","5.570000"
"2015-07-15","5.300000"
"2015-07-16","5.360000"
"2015-07-17","5.380000"
"2015-07-20","5.100000"
"2015-07-21","5.260000"
"2015-07-22","5.390000"
"2015-07-23","5.690000"
"2015-07-24","5.650000"
"2015-07-27","5.510000"
"2015-07-28","5.590000"
"2015-07-29","5.420000"
"2015-07-30","5.540000"
"2015-07-31","5.690000"
"2015-08-03","5.550000"
"2015-08-04","5.800000"
"2015-08-05","5.720000"
"2015-08-06","4.800000"
"2015-08-07","4.540000"
"2015-08-10","4.640000"
"2015-08-11","4.460000"
"2015-08-12","4.520000"
"2015-08-13","4.500000"
"2015-08-14","4.520000"
"2015-08-17","4.680000"
"2015-08-18","4.690000"
"2015-08-19","4.580000"
"2015-08-20","4.500000"
"2015-08-21","4.600000"
"2015-08-24","4.440000"
"2015-08-25","4.460000"
"2015-08-26","4.580000"
"2015-08-27","4.860000"
"2015-08-28","5.070000"
"2015-08-31","4.980000"
"2015-09-01","4.790000"
"2015-09-02","4.940000"
"2015-09-03","4.700000"
"2015-09-04","4.710000"
