"date, price"
"2014-12-04","35.799999"
"2014-12-05","36.560001"
"2014-12-08","35.639999"
"2014-12-09","36.200001"
"2014-12-10","36.860001"
"2014-12-11","37.509998"
"2014-12-12","37.349998"
"2014-12-15","35.790001"
"2014-12-16","35.279999"
"2014-12-17","36.070000"
"2014-12-18","37.090000"
"2014-12-19","39.310001"
"2014-12-22","39.070000"
"2014-12-23","38.939999"
"2014-12-24","38.889999"
"2014-12-26","40.169998"
"2014-12-29","38.610001"
"2014-12-30","37.410000"
"2014-12-31","37.750000"
"2015-01-02","37.310001"
"2015-01-05","36.970001"
"2015-01-06","35.669998"
"2015-01-07","36.950001"
"2015-01-08","38.110001"
"2015-01-09","36.820000"
"2015-01-12","36.619999"
"2015-01-13","37.080002"
"2015-01-14","36.740002"
"2015-01-15","36.040001"
"2015-01-16","37.590000"
"2015-01-20","39.049999"
"2015-01-21","38.820000"
"2015-01-22","39.320000"
"2015-01-23","39.650002"
"2015-01-26","38.680000"
"2015-01-27","38.430000"
"2015-01-28","38.520000"
"2015-01-29","39.090000"
"2015-01-30","38.020000"
"2015-02-02","37.959999"
"2015-02-03","37.560001"
"2015-02-04","38.720001"
"2015-02-05","40.889999"
"2015-02-06","40.349998"
"2015-02-09","40.849998"
"2015-02-10","46.939999"
"2015-02-11","45.849998"
"2015-02-12","46.490002"
"2015-02-13","47.950001"
"2015-02-17","46.310001"
"2015-02-18","45.400002"
"2015-02-19","46.660000"
"2015-02-20","47.889999"
"2015-02-23","48.020000"
"2015-02-24","48.450001"
"2015-02-25","47.779999"
"2015-02-26","47.299999"
"2015-02-27","46.029999"
"2015-03-02","47.509998"
"2015-03-03","47.270000"
"2015-03-04","47.480000"
"2015-03-05","49.740002"
"2015-03-06","47.450001"
"2015-03-09","45.400002"
"2015-03-10","43.849998"
"2015-03-11","43.849998"
"2015-03-12","43.990002"
"2015-03-13","43.540001"
"2015-03-16","44.660000"
"2015-03-17","46.570000"
"2015-03-18","47.279999"
"2015-03-19","46.650002"
"2015-03-20","46.400002"
"2015-03-23","45.169998"
"2015-03-24","44.430000"
"2015-03-25","42.970001"
"2015-03-26","44.959999"
"2015-03-27","45.340000"
"2015-03-30","46.700001"
"2015-03-31","46.480000"
"2015-04-01","47.049999"
"2015-04-02","47.270000"
"2015-04-06","48.330002"
"2015-04-07","49.080002"
"2015-04-08","52.430000"
"2015-04-09","51.880001"
"2015-04-10","54.070000"
"2015-04-13","51.119999"
"2015-04-14","50.580002"
"2015-04-15","51.730000"
"2015-04-16","51.410000"
"2015-04-17","50.270000"
"2015-04-20","50.869999"
"2015-04-21","53.150002"
"2015-04-22","52.380001"
"2015-04-23","53.700001"
"2015-04-24","53.049999"
"2015-04-27","52.820000"
"2015-04-28","52.700001"
"2015-04-29","52.090000"
"2015-04-30","49.520000"
"2015-05-01","52.139999"
"2015-05-04","55.080002"
"2015-05-05","37.029999"
"2015-05-06","37.740002"
"2015-05-07","37.070000"
"2015-05-08","36.980000"
"2015-05-11","37.139999"
"2015-05-12","37.910000"
"2015-05-13","37.630001"
"2015-05-14","38.529999"
"2015-05-15","38.610001"
"2015-05-18","40.080002"
"2015-05-19","39.959999"
"2015-05-20","40.169998"
"2015-05-21","40.090000"
"2015-05-22","39.360001"
"2015-05-26","39.750000"
"2015-05-27","39.860001"
"2015-05-28","40.139999"
"2015-05-29","40.720001"
"2015-06-01","40.410000"
"2015-06-02","39.810001"
"2015-06-03","41.330002"
"2015-06-04","40.680000"
"2015-06-05","42.389999"
"2015-06-08","41.439999"
"2015-06-09","42.200001"
"2015-06-10","42.639999"
"2015-06-11","41.959999"
"2015-06-12","41.810001"
"2015-06-15","43.790001"
"2015-06-16","44.790001"
"2015-06-17","45.389999"
"2015-06-18","47.349998"
"2015-06-19","47.639999"
"2015-06-22","46.500000"
"2015-06-23","46.900002"
"2015-06-24","42.970001"
"2015-06-25","44.000000"
"2015-06-26","41.590000"
"2015-06-29","39.619999"
"2015-06-30","40.349998"
"2015-07-01","40.040001"
"2015-07-02","38.570000"
"2015-07-06","38.310001"
"2015-07-07","37.480000"
"2015-07-08","36.500000"
"2015-07-09","37.549999"
"2015-07-10","37.220001"
"2015-07-13","36.080002"
"2015-07-14","37.610001"
"2015-07-15","36.730000"
"2015-07-16","37.169998"
"2015-07-17","37.009998"
"2015-07-20","36.730000"
"2015-07-21","37.599998"
"2015-07-22","36.889999"
"2015-07-23","39.029999"
"2015-07-24","38.959999"
"2015-07-27","37.130001"
"2015-07-28","37.130001"
"2015-07-29","37.529999"
"2015-07-30","37.279999"
"2015-07-31","36.959999"
"2015-08-03","36.369999"
"2015-08-04","38.790001"
"2015-08-05","38.590000"
"2015-08-06","33.250000"
"2015-08-07","33.490002"
"2015-08-10","33.889999"
"2015-08-11","33.119999"
"2015-08-12","32.150002"
"2015-08-13","32.529999"
"2015-08-14","31.870001"
"2015-08-17","33.169998"
"2015-08-18","33.020000"
"2015-08-19","32.790001"
"2015-08-20","31.559999"
"2015-08-21","29.620001"
"2015-08-24","28.190001"
"2015-08-25","28.320000"
"2015-08-26","29.420000"
"2015-08-27","29.410000"
"2015-08-28","30.000000"
"2015-08-31","29.059999"
"2015-09-01","27.879999"
"2015-09-02","28.820000"
"2015-09-03","28.809999"
"2015-09-04","29.590000"
"2015-09-08","30.450001"
"2015-09-09","30.500000"
"2015-09-10","31.030001"
"2015-09-11","31.250000"
"2015-09-14","31.510000"
"2015-09-15","31.910000"
"2015-09-16","32.910000"
"2015-09-17","33.139999"
"2015-09-18","32.900002"
"2015-09-21","32.389999"
"2015-09-22","31.709999"
"2015-09-23","31.610001"
"2015-09-24","31.059999"
"2015-09-25","29.760000"
"2015-09-28","28.480000"
"2015-09-29","28.559999"
"2015-09-30","28.459999"
"2015-10-01","29.600000"
"2015-10-02","30.230000"
"2015-10-05","30.450001"
"2015-10-06","30.580000"
"2015-10-07","31.059999"
"2015-10-08","33.099998"
"2015-10-09","32.919998"
"2015-10-12","32.970001"
"2015-10-13","33.189999"
"2015-10-14","32.419998"
"2015-10-15","33.700001"
"2015-10-16","34.410000"
"2015-10-19","34.950001"
"2015-10-20","34.650002"
"2015-10-21","33.529999"
"2015-10-22","35.209999"
"2015-10-23","34.980000"
"2015-10-26","34.860001"
"2015-10-27","34.799999"
"2015-10-28","36.110001"
"2015-10-29","34.970001"
"2015-10-30","35.320000"
"2015-11-02","35.889999"
"2015-11-03","35.560001"
"2015-11-04","36.540001"
"2015-11-05","36.369999"
"2015-11-06","37.470001"
"2015-11-09","37.270000"
"2015-11-10","36.380001"
"2015-11-11","36.650002"
"2015-11-12","37.570000"
"2015-11-13","35.950001"
"2015-11-16","36.110001"
"2015-11-17","36.000000"
"2015-11-18","36.730000"
"2015-11-19","37.930000"
"2015-11-20","38.959999"
"2015-11-23","37.610001"
"2015-11-24","38.869999"
"2015-11-25","38.700001"
"2015-11-27","38.509998"
"2015-11-30","38.459999"
"2015-12-01","38.580002"
"2015-12-02","39.000000"
"2015-12-03","37.880001"
"2015-12-04","39.270000"
"2015-12-07","37.880001"
"2015-12-08","38.459999"
"2015-12-09","37.759998"
"2015-12-10","36.119999"
"2015-12-11","35.279999"
"2015-12-14","35.410000"
"2015-12-15","35.500000"
"2015-12-16","35.070000"
"2015-12-17","34.119999"
"2015-12-18","32.310001"
"2015-12-21","32.810001"
"2015-12-22","32.889999"
"2015-12-23","32.950001"
"2015-12-24","33.410000"
"2015-12-28","33.560001"
"2015-12-29","34.470001"
"2015-12-30","33.709999"
"2015-12-31","33.090000"
"2016-01-04","31.990000"
"2016-01-05","31.820000"
"2016-01-06","30.940001"
"2016-01-07","29.170000"
"2016-01-08","28.660000"
"2016-01-11","29.299999"
"2016-01-12","30.110001"
"2016-01-13","28.809999"
"2016-01-14","30.049999"
"2016-01-15","29.370001"
"2016-01-19","28.000000"
"2016-01-20","28.370001"
"2016-01-21","28.389999"
"2016-01-22","29.660000"
"2016-01-25","29.400000"
"2016-01-26","29.290001"
"2016-01-27","27.920000"
"2016-01-28","25.900000"
"2016-01-29","25.990000"
"2016-02-01","26.850000"
"2016-02-02","26.389999"
"2016-02-03","25.440001"
"2016-02-04","25.170000"
"2016-02-05","23.969999"
"2016-02-08","22.510000"
"2016-02-09","17.360001"
"2016-02-10","19.990000"
"2016-02-11","20.830000"
"2016-02-12","20.740000"
"2016-02-16","22.000000"
"2016-02-17","22.940001"
"2016-02-18","22.670000"
"2016-02-19","23.040001"
"2016-02-22","23.340000"
"2016-02-23","23.200001"
"2016-02-24","23.940001"
"2016-02-25","24.230000"
"2016-02-26","25.110001"
"2016-02-29","24.969999"
"2016-03-01","26.570000"
"2016-03-02","26.719999"
"2016-03-03","26.600000"
"2016-03-04","26.350000"
"2016-03-07","26.010000"
"2016-03-08","25.440001"
"2016-03-09","25.540001"
"2016-03-10","24.260000"
"2016-03-11","25.389999"
"2016-03-14","25.590000"
"2016-03-15","25.000000"
"2016-03-16","25.740000"
"2016-03-17","26.190001"
"2016-03-18","26.680000"
"2016-03-21","25.850000"
"2016-03-22","25.879999"
