"date, price"
"2017-09-28","23.500000"
"2017-09-29","26.540001"
"2017-10-02","23.559999"
"2017-10-03","20.809999"
"2017-10-04","20.850000"
"2017-10-05","22.010000"
"2017-10-06","23.200001"
"2017-10-09","24.540001"
"2017-10-10","22.930000"
"2017-10-11","23.660000"
"2017-10-12","23.629999"
"2017-10-13","23.020000"
"2017-10-16","22.190001"
"2017-10-17","22.090000"
"2017-10-18","22.049999"
"2017-10-19","22.030001"
"2017-10-20","21.870001"
"2017-10-23","20.370001"
"2017-10-24","19.770000"
"2017-10-25","18.920000"
"2017-10-26","18.570000"
"2017-10-27","18.790001"
"2017-10-30","19.500000"
"2017-10-31","20.379999"
"2017-11-01","19.799999"
"2017-11-02","19.750000"
"2017-11-03","19.549999"
"2017-11-06","19.340000"
"2017-11-07","19.129999"
"2017-11-08","18.840000"
"2017-11-09","29.190001"
"2017-11-10","33.250000"
"2017-11-13","42.709999"
"2017-11-14","36.950001"
"2017-11-15","39.320000"
"2017-11-16","39.790001"
"2017-11-17","38.590000"
"2017-11-20","39.020000"
"2017-11-21","37.259998"
"2017-11-22","40.599998"
"2017-11-24","39.470001"
"2017-11-27","46.520000"
"2017-11-28","46.430000"
"2017-11-29","44.869999"
"2017-11-30","43.900002"
"2017-12-01","43.549999"
"2017-12-04","41.730000"
"2017-12-05","39.450001"
"2017-12-06","44.259998"
"2017-12-07","42.520000"
"2017-12-08","44.790001"
"2017-12-11","47.980000"
"2017-12-12","46.950001"
"2017-12-13","45.459999"
"2017-12-14","46.150002"
"2017-12-15","52.310001"
"2017-12-18","56.099998"
"2017-12-19","56.580002"
"2017-12-20","52.889999"
"2017-12-21","53.849998"
"2017-12-22","51.619999"
"2017-12-26","54.869999"
"2017-12-27","54.759998"
"2017-12-28","53.189999"
"2017-12-29","51.779999"
"2018-01-02","52.070000"
"2018-01-03","55.439999"
"2018-01-04","51.240002"
"2018-01-05","46.279999"
"2018-01-08","47.470001"
"2018-01-09","44.730000"
"2018-01-10","44.709999"
"2018-01-11","43.869999"
"2018-01-12","43.380001"
"2018-01-16","39.189999"
"2018-01-17","41.540001"
"2018-01-18","40.759998"
"2018-01-19","40.220001"
"2018-01-22","43.619999"
"2018-01-23","42.619999"
"2018-01-24","42.250000"
"2018-01-25","44.099998"
"2018-01-26","42.910000"
"2018-01-29","42.360001"
"2018-01-30","41.520000"
"2018-01-31","40.619999"
"2018-02-01","39.919998"
"2018-02-02","40.459999"
"2018-02-05","40.169998"
"2018-02-06","41.900002"
"2018-02-07","45.689999"
"2018-02-08","43.700001"
"2018-02-09","42.459999"
"2018-02-12","43.230000"
"2018-02-13","43.020000"
"2018-02-14","44.849998"
"2018-02-15","45.639999"
"2018-02-16","48.130001"
"2018-02-20","51.180000"
"2018-02-21","51.099998"
"2018-02-22","42.049999"
"2018-02-23","41.520000"
"2018-02-26","40.439999"
"2018-02-27","40.910000"
"2018-02-28","40.770000"
"2018-03-01","38.720001"
"2018-03-02","37.570000"
"2018-03-05","39.000000"
"2018-03-06","38.580002"
"2018-03-07","38.889999"
"2018-03-08","38.689999"
"2018-03-09","38.500000"
"2018-03-12","37.869999"
"2018-03-13","37.369999"
