"date, price"
"2014-12-04","40.090000"
"2014-12-05","40.709999"
"2014-12-08","40.810001"
"2014-12-09","40.639999"
"2014-12-10","40.110001"
"2014-12-11","40.250000"
"2014-12-12","39.560001"
"2014-12-15","39.250000"
"2014-12-16","39.029999"
"2014-12-17","39.730000"
"2014-12-18","40.139999"
"2014-12-19","40.009998"
"2014-12-22","40.400002"
"2014-12-23","40.520000"
"2014-12-24","40.580002"
"2014-12-26","40.509998"
"2014-12-29","40.490002"
"2014-12-30","40.480000"
"2014-12-31","40.040001"
"2015-01-02","39.599998"
"2015-01-05","38.950001"
"2015-01-06","38.380001"
"2015-01-07","38.939999"
"2015-01-08","39.430000"
"2015-01-09","39.740002"
"2015-01-12","39.770000"
"2015-01-13","39.860001"
"2015-01-14","39.580002"
"2015-01-15","39.200001"
"2015-01-16","39.549999"
"2015-01-20","39.540001"
"2015-01-21","39.610001"
"2015-01-22","40.430000"
"2015-01-23","40.380001"
"2015-01-26","40.919998"
"2015-01-27","40.389999"
"2015-01-28","40.340000"
"2015-01-29","40.860001"
"2015-01-30","40.169998"
"2015-02-02","40.650002"
"2015-02-03","41.209999"
"2015-02-04","41.770000"
"2015-02-05","42.330002"
"2015-02-06","42.230000"
"2015-02-09","42.009998"
"2015-02-10","42.590000"
"2015-02-11","42.830002"
"2015-02-12","43.130001"
"2015-02-13","43.200001"
"2015-02-17","43.189999"
"2015-02-18","43.290001"
"2015-02-19","42.799999"
"2015-02-20","43.369999"
"2015-02-23","42.950001"
"2015-02-24","43.040001"
"2015-02-25","43.480000"
"2015-02-26","43.270000"
"2015-02-27","43.040001"
"2015-03-02","43.400002"
"2015-03-03","42.950001"
"2015-03-04","42.389999"
"2015-03-05","42.570000"
"2015-03-06","42.090000"
"2015-03-09","42.240002"
"2015-03-10","42.049999"
"2015-03-11","42.860001"
"2015-03-12","43.549999"
"2015-03-13","43.049999"
"2015-03-16","43.730000"
"2015-03-17","43.790001"
"2015-03-18","43.939999"
"2015-03-19","43.740002"
"2015-03-20","44.580002"
"2015-03-23","44.119999"
"2015-03-24","44.070000"
"2015-03-25","43.169998"
"2015-03-26","43.560001"
"2015-03-27","43.340000"
"2015-03-30","44.180000"
"2015-03-31","44.090000"
"2015-04-01","44.130001"
"2015-04-02","43.900002"
"2015-04-06","43.740002"
"2015-04-07","43.500000"
"2015-04-08","43.599998"
"2015-04-09","43.599998"
"2015-04-10","43.490002"
"2015-04-13","43.720001"
"2015-04-14","44.119999"
"2015-04-15","44.130001"
"2015-04-16","44.369999"
"2015-04-17","43.810001"
"2015-04-20","44.810001"
"2015-04-21","45.310001"
"2015-04-22","45.990002"
"2015-04-23","46.250000"
"2015-04-24","46.400002"
"2015-04-27","45.970001"
"2015-04-28","46.470001"
"2015-04-29","46.290001"
"2015-04-30","45.660000"
"2015-05-01","46.430000"
"2015-05-04","46.849998"
"2015-05-05","45.910000"
"2015-05-06","45.889999"
"2015-05-07","46.230000"
"2015-05-08","46.650002"
"2015-05-11","46.799999"
"2015-05-12","46.830002"
"2015-05-13","46.540001"
"2015-05-14","47.119999"
"2015-05-15","46.930000"
"2015-05-18","47.689999"
"2015-05-19","47.860001"
"2015-05-20","47.709999"
"2015-05-21","47.509998"
"2015-05-22","47.349998"
"2015-05-26","46.959999"
"2015-05-27","47.770000"
"2015-05-28","47.759998"
"2015-05-29","47.840000"
"2015-06-01","47.680000"
"2015-06-02","47.869999"
"2015-06-03","48.549999"
"2015-06-04","48.169998"
"2015-06-05","48.619999"
"2015-06-08","48.400002"
"2015-06-09","48.290001"
"2015-06-10","49.330002"
"2015-06-11","49.700001"
"2015-06-12","49.259998"
"2015-06-15","49.250000"
"2015-06-16","49.560001"
"2015-06-17","49.450001"
"2015-06-18","50.000000"
"2015-06-19","49.869999"
"2015-06-22","50.570000"
"2015-06-23","50.560001"
"2015-06-24","50.119999"
"2015-06-25","49.820000"
"2015-06-26","50.290001"
"2015-06-29","48.590000"
"2015-06-30","49.029999"
"2015-07-01","49.360001"
"2015-07-02","49.500000"
"2015-07-06","49.160000"
"2015-07-07","49.380001"
"2015-07-08","48.450001"
"2015-07-09","48.720001"
"2015-07-10","49.349998"
"2015-07-13","49.270000"
"2015-07-14","49.650002"
"2015-07-15","49.689999"
"2015-07-16","49.919998"
"2015-07-17","49.759998"
"2015-07-20","49.750000"
"2015-07-21","49.560001"
"2015-07-22","52.939999"
"2015-07-23","52.490002"
"2015-07-24","52.450001"
"2015-07-27","52.150002"
"2015-07-28","52.020000"
"2015-07-29","52.110001"
"2015-07-30","52.910000"
"2015-07-31","53.310001"
"2015-08-03","53.450001"
"2015-08-04","54.169998"
"2015-08-05","54.639999"
"2015-08-06","54.419998"
"2015-08-07","54.310001"
"2015-08-10","55.209999"
"2015-08-11","55.029999"
"2015-08-12","54.500000"
"2015-08-13","54.380001"
"2015-08-14","54.790001"
"2015-08-17","55.029999"
"2015-08-18","54.720001"
"2015-08-19","54.290001"
"2015-08-20","52.990002"
"2015-08-21","51.410000"
"2015-08-24","47.759998"
"2015-08-25","47.189999"
"2015-08-26","48.490002"
"2015-08-27","50.680000"
"2015-08-28","51.220001"
"2015-08-31","50.580002"
"2015-09-01","49.209999"
"2015-09-02","49.529999"
"2015-09-03","49.900002"
"2015-09-04","49.419998"
"2015-09-08","50.720001"
"2015-09-09","50.480000"
"2015-09-10","50.840000"
"2015-09-11","50.910000"
"2015-09-14","50.549999"
"2015-09-15","50.500000"
"2015-09-16","50.639999"
"2015-09-17","50.250000"
"2015-09-18","49.110001"
"2015-09-21","49.560001"
"2015-09-22","48.770000"
"2015-09-23","48.660000"
"2015-09-24","47.820000"
"2015-09-25","48.130001"
"2015-09-28","46.740002"
"2015-09-29","46.639999"
"2015-09-30","48.230000"
"2015-10-01","48.669998"
"2015-10-02","48.669998"
"2015-10-05","49.119999"
"2015-10-06","48.959999"
"2015-10-07","49.540001"
"2015-10-08","49.619999"
"2015-10-09","49.470001"
"2015-10-12","49.509998"
"2015-10-13","48.759998"
"2015-10-14","48.439999"
"2015-10-15","49.669998"
"2015-10-16","50.139999"
"2015-10-19","50.680000"
"2015-10-20","50.240002"
"2015-10-21","48.619999"
"2015-10-22","49.459999"
"2015-10-23","50.580002"
"2015-10-26","51.330002"
"2015-10-27","51.040001"
"2015-10-28","52.599998"
"2015-10-29","52.279999"
"2015-10-30","51.820000"
"2015-11-02","53.470001"
"2015-11-03","52.720001"
"2015-11-04","53.169998"
"2015-11-05","53.459999"
"2015-11-06","53.869999"
"2015-11-09","53.310001"
"2015-11-10","53.470001"
"2015-11-11","53.810001"
"2015-11-12","53.049999"
"2015-11-13","52.060001"
"2015-11-16","53.360001"
"2015-11-17","52.889999"
"2015-11-18","53.830002"
"2015-11-19","54.049999"
"2015-11-20","54.439999"
"2015-11-23","54.360001"
"2015-11-24","54.270000"
"2015-11-25","54.299999"
"2015-11-27","54.700001"
"2015-11-30","54.389999"
"2015-12-01","54.900002"
"2015-12-02","54.389999"
"2015-12-03","53.380001"
"2015-12-04","54.660000"
"2015-12-07","54.430000"
"2015-12-08","53.340000"
"2015-12-09","51.889999"
"2015-12-10","52.230000"
"2015-12-11","50.990002"
"2015-12-14","51.049999"
"2015-12-15","52.009998"
"2015-12-16","53.770000"
"2015-12-17","52.470001"
"2015-12-18","51.689999"
"2015-12-21","51.610001"
"2015-12-22","51.869999"
"2015-12-23","52.110001"
"2015-12-24","52.090000"
"2015-12-28","52.660000"
"2015-12-29","52.849998"
"2015-12-30","52.820000"
"2015-12-31","52.400002"
"2016-01-04","50.980000"
"2016-01-05","51.540001"
"2016-01-06","50.220001"
"2016-01-07","48.709999"
"2016-01-08","47.500000"
"2016-01-11","47.049999"
"2016-01-12","47.470001"
"2016-01-13","45.639999"
"2016-01-14","46.250000"
"2016-01-15","44.730000"
"2016-01-19","44.889999"
"2016-01-20","43.849998"
"2016-01-21","43.180000"
"2016-01-22","44.919998"
"2016-01-25","43.759998"
"2016-01-26","45.000000"
"2016-01-27","39.290001"
"2016-01-28","37.320000"
"2016-01-29","39.240002"
"2016-02-01","39.150002"
"2016-02-02","37.549999"
"2016-02-03","37.730000"
"2016-02-04","36.810001"
"2016-02-05","36.130001"
"2016-02-08","34.669998"
"2016-02-09","34.599998"
"2016-02-10","35.119999"
"2016-02-11","33.860001"
"2016-02-12","36.340000"
"2016-02-16","36.669998"
"2016-02-17","37.290001"
"2016-02-18","36.820000"
"2016-02-19","37.240002"
"2016-02-22","38.060001"
"2016-02-23","38.330002"
"2016-02-24","38.180000"
"2016-02-25","38.320000"
"2016-02-26","38.560001"
