"date, price"
"2014-12-04","14.760000"
"2014-12-05","14.650000"
"2014-12-08","13.890000"
"2014-12-09","13.650000"
"2014-12-10","13.240000"
"2014-12-11","13.420000"
"2014-12-12","12.730000"
"2014-12-15","12.120000"
"2014-12-16","11.540000"
"2014-12-17","12.530000"
"2014-12-18","12.760000"
"2014-12-19","13.210000"
"2014-12-22","13.070000"
"2014-12-23","13.160000"
"2014-12-24","13.090000"
"2014-12-26","13.200000"
"2014-12-29","13.430000"
"2014-12-30","13.140000"
"2014-12-31","12.730000"
"2015-01-02","12.480000"
"2015-01-05","13.470000"
"2015-01-06","12.940000"
"2015-01-07","13.070000"
"2015-01-08","12.120000"
"2015-01-09","12.590000"
"2015-01-12","12.780000"
"2015-01-13","12.580000"
"2015-01-14","12.660000"
"2015-01-15","12.320000"
"2015-01-16","12.080000"
"2015-01-20","11.800000"
"2015-01-21","11.860000"
"2015-01-22","12.030000"
"2015-01-23","12.740000"
"2015-01-26","13.240000"
"2015-01-27","13.210000"
"2015-01-28","12.400000"
"2015-01-29","12.200000"
"2015-01-30","11.810000"
"2015-02-02","11.590000"
"2015-02-03","12.010000"
"2015-02-04","11.860000"
"2015-02-05","12.820000"
"2015-02-06","13.070000"
"2015-02-09","13.060000"
"2015-02-10","13.380000"
"2015-02-11","12.790000"
"2015-02-12","13.790000"
"2015-02-13","14.150000"
"2015-02-17","13.910000"
"2015-02-18","13.990000"
"2015-02-19","13.780000"
"2015-02-20","13.750000"
"2015-02-23","13.490000"
"2015-02-24","13.400000"
"2015-02-25","13.790000"
"2015-02-26","13.760000"
"2015-02-27","13.510000"
"2015-03-02","13.840000"
"2015-03-03","13.890000"
"2015-03-04","13.990000"
"2015-03-05","14.190000"
"2015-03-06","13.730000"
"2015-03-09","14.040000"
"2015-03-10","14.120000"
"2015-03-11","13.900000"
"2015-03-12","12.620000"
"2015-03-13","11.690000"
"2015-03-16","11.360000"
"2015-03-17","10.840000"
"2015-03-18","11.380000"
"2015-03-19","11.280000"
"2015-03-20","11.070000"
"2015-03-23","11.260000"
"2015-03-24","11.410000"
"2015-03-25","11.010000"
"2015-03-26","10.550000"
"2015-03-27","9.990000"
"2015-03-30","10.320000"
"2015-03-31","10.470000"
"2015-04-01","10.650000"
"2015-04-02","11.050000"
"2015-04-06","11.290000"
"2015-04-07","11.310000"
"2015-04-08","11.750000"
"2015-04-09","12.050000"
"2015-04-10","12.240000"
"2015-04-13","12.090000"
"2015-04-14","12.740000"
"2015-04-15","13.070000"
"2015-04-16","12.570000"
"2015-04-17","12.380000"
"2015-04-20","12.380000"
"2015-04-21","12.230000"
"2015-04-22","12.480000"
"2015-04-23","12.600000"
"2015-04-24","12.800000"
"2015-04-27","12.760000"
"2015-04-28","13.220000"
"2015-04-29","12.950000"
"2015-04-30","12.670000"
"2015-05-01","12.880000"
"2015-05-04","13.260000"
"2015-05-05","13.210000"
"2015-05-06","12.970000"
"2015-05-07","13.610000"
"2015-05-08","12.350000"
"2015-05-11","13.070000"
"2015-05-12","13.060000"
"2015-05-13","13.110000"
"2015-05-14","12.970000"
"2015-05-15","13.020000"
"2015-05-18","14.640000"
"2015-05-19","14.780000"
"2015-05-20","14.530000"
"2015-05-21","14.990000"
"2015-05-22","14.970000"
"2015-05-26","14.850000"
"2015-05-27","15.050000"
"2015-05-28","15.160000"
"2015-05-29","15.220000"
"2015-06-01","15.360000"
"2015-06-02","15.960000"
"2015-06-03","16.160000"
"2015-06-04","16.000000"
"2015-06-05","16.290001"
"2015-06-08","15.850000"
"2015-06-09","16.280001"
"2015-06-10","16.750000"
"2015-06-11","16.930000"
"2015-06-12","16.709999"
"2015-06-15","16.719999"
"2015-06-16","16.370001"
"2015-06-17","16.500000"
"2015-06-18","16.850000"
"2015-06-19","16.940001"
"2015-06-22","16.500000"
"2015-06-23","16.520000"
"2015-06-24","16.080000"
"2015-06-25","16.430000"
"2015-06-26","16.049999"
"2015-06-29","15.600000"
"2015-06-30","15.540000"
"2015-07-01","16.080000"
"2015-07-02","15.890000"
"2015-07-06","15.520000"
"2015-07-07","15.940000"
"2015-07-08","15.280000"
"2015-07-09","16.049999"
"2015-07-10","16.219999"
"2015-07-13","16.690001"
"2015-07-14","16.690001"
"2015-07-15","15.970000"
"2015-07-16","16.150000"
"2015-07-17","16.010000"
"2015-07-20","15.750000"
"2015-07-21","15.990000"
"2015-07-22","16.139999"
"2015-07-23","15.850000"
"2015-07-24","15.520000"
"2015-07-27","14.320000"
"2015-07-28","14.660000"
"2015-07-29","14.830000"
"2015-07-30","15.080000"
"2015-07-31","15.100000"
"2015-08-03","15.060000"
"2015-08-04","12.700000"
"2015-08-05","13.130000"
"2015-08-06","12.850000"
"2015-08-07","12.770000"
"2015-08-10","12.180000"
"2015-08-11","12.240000"
"2015-08-12","12.500000"
"2015-08-13","12.070000"
"2015-08-14","12.050000"
"2015-08-17","12.080000"
"2015-08-18","12.140000"
"2015-08-19","11.140000"
"2015-08-20","10.580000"
"2015-08-21","10.670000"
"2015-08-24","9.940000"
"2015-08-25","9.930000"
"2015-08-26","10.400000"
"2015-08-27","11.420000"
"2015-08-28","11.620000"
"2015-08-31","11.020000"
"2015-09-01","10.810000"
"2015-09-02","11.260000"
"2015-09-03","11.520000"
"2015-09-04","11.410000"
"2015-09-08","12.110000"
"2015-09-09","12.020000"
"2015-09-10","11.680000"
"2015-09-11","11.670000"
"2015-09-14","11.560000"
"2015-09-15","11.590000"
"2015-09-16","12.090000"
"2015-09-17","12.040000"
"2015-09-18","12.210000"
"2015-09-21","12.550000"
"2015-09-22","12.160000"
"2015-09-23","12.120000"
"2015-09-24","11.940000"
"2015-09-25","12.000000"
"2015-09-28","11.030000"
"2015-09-29","10.350000"
"2015-09-30","10.450000"
"2015-10-01","9.710000"
"2015-10-02","10.190000"
"2015-10-05","10.360000"
"2015-10-06","10.900000"
"2015-10-07","10.840000"
"2015-10-08","11.440000"
"2015-10-09","11.720000"
