"date, price"
"2019-11-20","13.000000"
"2019-11-21","18.650000"
"2019-11-22","18.049999"
"2019-11-25","17.150000"
"2019-11-26","17.010000"
"2019-11-27","17.490000"
"2019-11-29","17.400000"
"2019-12-02","16.600000"
"2019-12-03","16.740000"
"2019-12-04","16.940001"
"2019-12-05","16.799999"
"2019-12-06","18.030001"
"2019-12-09","20.500000"
"2019-12-10","19.639999"
"2019-12-11","20.340000"
"2019-12-12","19.250000"
"2019-12-13","19.629999"
"2019-12-16","21.290001"
"2019-12-17","22.260000"
"2019-12-18","21.520000"
"2019-12-19","21.070000"
"2019-12-20","21.639999"
"2019-12-23","21.110001"
"2019-12-24","21.209999"
"2019-12-26","21.590000"
"2019-12-27","22.740000"
"2019-12-30","24.370001"
"2019-12-31","25.500000"
"2020-01-02","24.340000"
"2020-01-03","23.330000"
"2020-01-06","22.150000"
"2020-01-07","22.129999"
"2020-01-08","22.549999"
"2020-01-09","22.309999"
"2020-01-10","22.799999"
"2020-01-13","22.430000"
"2020-01-14","23.469999"
"2020-01-15","24.000000"
"2020-01-16","24.900000"
"2020-01-17","25.410000"
"2020-01-21","24.680000"
"2020-01-22","23.980000"
"2020-01-23","23.540001"
"2020-01-24","25.010000"
"2020-01-27","24.110001"
"2020-01-28","26.440001"
"2020-01-29","26.010000"
"2020-01-30","24.870001"
"2020-01-31","25.420000"
"2020-02-03","25.740000"
"2020-02-04","26.750000"
"2020-02-05","27.330000"
"2020-02-06","30.270000"
"2020-02-07","31.000000"
"2020-02-10","30.780001"
"2020-02-11","31.370001"
"2020-02-12","31.549999"
"2020-02-13","29.840000"
"2020-02-14","28.850000"
"2020-02-18","28.000000"
"2020-02-19","30.250000"
"2020-02-20","31.180000"
"2020-02-21","30.430000"
"2020-02-24","28.570000"
"2020-02-25","27.120001"
"2020-02-26","26.820000"
"2020-02-27","25.700001"
"2020-02-28","22.660000"
"2020-03-02","24.670000"
"2020-03-03","24.799999"
"2020-03-04","25.549999"
"2020-03-05","24.690001"
"2020-03-06","23.400000"
"2020-03-09","21.020000"
"2020-03-10","21.250000"
"2020-03-11","19.280001"
"2020-03-12","16.980000"
"2020-03-13","20.430000"
"2020-03-16","18.350000"
"2020-03-17","21.719999"
"2020-03-18","16.799999"
"2020-03-19","17.950001"
"2020-03-20","23.610001"
"2020-03-23","19.340000"
"2020-03-24","21.040001"
"2020-03-25","22.290001"
"2020-03-26","21.549999"
"2020-03-27","20.760000"
"2020-03-30","22.549999"
"2020-03-31","21.770000"
"2020-04-01","20.920000"
"2020-04-02","19.870001"
"2020-04-03","19.700001"
"2020-04-06","23.500000"
"2020-04-07","22.260000"
"2020-04-08","21.299999"
"2020-04-09","21.030001"
"2020-04-13","19.690001"
"2020-04-14","20.820000"
"2020-04-15","20.000000"
"2020-04-16","19.410000"
"2020-04-17","19.549999"
"2020-04-20","18.850000"
"2020-04-21","17.700001"
"2020-04-22","19.270000"
"2020-04-23","19.650000"
"2020-04-24","19.530001"
"2020-04-27","21.139999"
"2020-04-28","21.900000"
"2020-04-29","22.520000"
"2020-04-30","21.660000"
"2020-05-01","21.280001"
"2020-05-04","21.570000"
"2020-05-05","22.719999"
"2020-05-06","22.684999"
"2020-05-07","25.100000"
"2020-05-08","25.870001"
"2020-05-11","25.639999"
"2020-05-12","25.430000"
"2020-05-13","24.820000"
"2020-05-14","25.200001"
"2020-05-15","25.080000"
"2020-05-18","28.020000"
"2020-05-19","30.930000"
"2020-05-20","32.520000"
"2020-05-21","32.299999"
"2020-05-22","33.400002"
"2020-05-26","31.430000"
"2020-05-27","32.009998"
"2020-05-28","30.980000"
"2020-05-29","29.809999"
"2020-06-01","31.000000"
"2020-06-02","31.959999"
"2020-06-03","33.480000"
"2020-06-04","33.889999"
"2020-06-05","33.790001"
"2020-06-08","35.689999"
"2020-06-09","38.599998"
"2020-06-10","37.919998"
"2020-06-11","32.740002"
"2020-06-12","35.750000"
"2020-06-15","39.209999"
"2020-06-16","41.500000"
"2020-06-17","46.660000"
"2020-06-18","46.840000"
"2020-06-19","46.250000"
"2020-06-22","46.790001"
"2020-06-23","48.049999"
"2020-06-24","47.709999"
