"date, price"
"2014-12-04","106.750000"
"2014-12-05","110.580002"
"2014-12-08","110.279999"
"2014-12-09","113.739998"
"2014-12-10","109.809998"
"2014-12-11","109.949997"
"2014-12-12","108.470001"
"2014-12-15","106.949997"
"2014-12-16","108.260002"
"2014-12-17","111.900002"
"2014-12-18","115.660004"
"2014-12-19","115.029999"
"2014-12-22","114.839996"
"2014-12-23","116.419998"
"2014-12-24","116.930000"
"2014-12-26","116.949997"
"2014-12-29","118.089996"
"2014-12-30","117.720001"
"2014-12-31","116.070000"
"2015-01-02","115.129997"
"2015-01-05","111.930000"
"2015-01-06","108.290001"
"2015-01-07","110.239998"
"2015-01-08","113.279999"
"2015-01-09","109.870003"
"2015-01-12","108.339996"
"2015-01-13","107.690002"
"2015-01-14","105.230003"
"2015-01-15","103.019997"
"2015-01-16","106.029999"
"2015-01-20","105.199997"
"2015-01-21","104.669998"
"2015-01-22","110.580002"
"2015-01-23","113.849998"
"2015-01-26","118.290001"
"2015-01-27","116.500000"
"2015-01-28","111.449997"
"2015-01-29","113.480003"
"2015-01-30","112.900002"
"2015-02-02","116.779999"
"2015-02-03","119.180000"
"2015-02-04","118.940002"
"2015-02-05","122.610001"
"2015-02-06","125.250000"
"2015-02-09","123.040001"
"2015-02-10","123.800003"
"2015-02-11","123.709999"
"2015-02-12","125.099998"
"2015-02-13","126.129997"
"2015-02-17","126.550003"
"2015-02-18","123.150002"
"2015-02-19","122.389999"
"2015-02-20","123.080002"
"2015-02-23","122.680000"
"2015-02-24","123.120003"
"2015-02-25","123.720001"
"2015-02-26","123.910004"
"2015-02-27","122.900002"
"2015-03-02","125.059998"
"2015-03-03","124.769997"
"2015-03-04","123.440002"
"2015-03-05","124.269997"
"2015-03-06","126.769997"
"2015-03-09","126.940002"
"2015-03-10","123.559998"
"2015-03-11","123.730003"
"2015-03-12","126.730003"
"2015-03-13","125.839996"
"2015-03-16","126.169998"
"2015-03-17","127.300003"
"2015-03-18","124.839996"
"2015-03-19","123.699997"
"2015-03-20","125.879997"
"2015-03-23","124.459999"
"2015-03-24","124.339996"
"2015-03-25","121.389999"
"2015-03-26","121.940002"
"2015-03-27","121.730003"
"2015-03-30","126.879997"
"2015-03-31","127.040001"
"2015-04-01","124.839996"
"2015-04-02","125.889999"
"2015-04-06","124.989998"
"2015-04-07","124.870003"
"2015-04-08","124.709999"
"2015-04-09","125.080002"
"2015-04-10","126.330002"
"2015-04-13","128.940002"
"2015-04-14","128.130005"
"2015-04-15","129.559998"
"2015-04-16","129.869995"
"2015-04-17","127.000000"
"2015-04-20","128.320007"
"2015-04-21","129.259995"
"2015-04-22","129.899994"
"2015-04-23","130.729996"
"2015-04-24","128.759995"
"2015-04-27","127.839996"
"2015-04-28","130.789993"
"2015-04-29","133.119995"
"2015-04-30","132.759995"
"2015-05-01","129.809998"
"2015-05-04","131.589996"
"2015-05-05","130.020004"
"2015-05-06","130.759995"
"2015-05-07","129.169998"
"2015-05-08","131.460007"
"2015-05-11","133.720001"
"2015-05-12","134.070007"
"2015-05-13","136.110001"
"2015-05-14","136.990005"
"2015-05-15","132.750000"
"2015-05-18","135.240005"
"2015-05-19","136.259995"
"2015-05-20","135.690002"
"2015-05-21","134.919998"
"2015-05-22","134.559998"
"2015-05-26","133.169998"
"2015-05-27","135.199997"
"2015-05-28","134.899994"
"2015-05-29","134.910004"
"2015-06-01","133.300003"
"2015-06-02","136.339996"
"2015-06-03","139.490005"
"2015-06-04","138.600006"
"2015-06-05","141.960007"
"2015-06-08","142.509995"
"2015-06-09","144.529999"
"2015-06-10","146.550003"
"2015-06-11","145.100006"
"2015-06-12","145.050003"
"2015-06-15","143.460007"
"2015-06-16","145.550003"
"2015-06-17","142.070007"
"2015-06-18","141.610001"
"2015-06-19","142.440002"
"2015-06-22","146.970001"
"2015-06-23","148.690002"
"2015-06-24","147.070007"
"2015-06-25","146.800003"
"2015-06-26","147.869995"
"2015-06-29","143.229996"
"2015-06-30","143.979996"
"2015-07-01","146.699997"
"2015-07-02","143.380005"
"2015-07-06","143.139999"
"2015-07-07","139.750000"
"2015-07-08","137.960007"
"2015-07-09","140.779999"
"2015-07-10","142.820007"
"2015-07-13","145.130005"
"2015-07-14","147.130005"
"2015-07-15","148.190002"
"2015-07-16","148.539993"
"2015-07-17","147.789993"
"2015-07-20","150.630005"
"2015-07-21","147.509995"
"2015-07-22","149.750000"
"2015-07-23","148.789993"
"2015-07-24","143.440002"
"2015-07-27","137.899994"
"2015-07-28","138.850006"
"2015-07-29","142.639999"
"2015-07-30","144.559998"
"2015-07-31","143.100006"
"2015-08-03","143.380005"
"2015-08-04","145.240005"
"2015-08-05","147.699997"
"2015-08-06","145.440002"
"2015-08-07","145.750000"
"2015-08-10","149.559998"
"2015-08-11","146.369995"
"2015-08-12","137.770004"
"2015-08-13","138.550003"
"2015-08-14","140.740005"
"2015-08-17","141.559998"
"2015-08-18","141.240005"
"2015-08-19","137.660004"
"2015-08-20","129.550003"
"2015-08-21","127.059998"
"2015-08-24","116.459999"
"2015-08-25","112.739998"
"2015-08-26","116.330002"
"2015-08-27","123.309998"
"2015-08-28","124.940002"
"2015-08-31","125.080002"
"2015-09-01","120.980003"
"2015-09-02","122.870003"
"2015-09-03","124.449997"
"2015-09-04","122.629997"
"2015-09-08","126.690002"
"2015-09-09","124.459999"
"2015-09-10","125.849998"
"2015-09-11","126.250000"
"2015-09-14","126.160004"
"2015-09-15","127.519997"
"2015-09-16","127.459999"
"2015-09-17","123.720001"
"2015-09-18","119.709999"
"2015-09-21","121.139999"
"2015-09-22","118.669998"
"2015-09-23","119.400002"
"2015-09-24","119.339996"
"2015-09-25","119.580002"
"2015-09-28","113.959999"
"2015-09-29","113.180000"
"2015-09-30","115.540001"
"2015-10-01","115.199997"
"2015-10-02","114.419998"
"2015-10-05","115.519997"
"2015-10-06","116.820000"
"2015-10-07","119.389999"
"2015-10-08","121.779999"
"2015-10-09","120.199997"
"2015-10-12","121.209999"
"2015-10-13","119.419998"
"2015-10-14","116.010002"
"2015-10-15","117.139999"
"2015-10-16","116.970001"
"2015-10-19","116.849998"
"2015-10-20","117.000000"
"2015-10-21","114.389999"
"2015-10-22","115.320000"
"2015-10-23","124.110001"
"2015-10-26","122.320000"
"2015-10-27","121.099998"
"2015-10-28","128.669998"
"2015-10-29","126.980003"
"2015-10-30","122.070000"
"2015-11-02","125.470001"
"2015-11-03","124.260002"
"2015-11-04","125.190002"
"2015-11-05","128.509995"
"2015-11-06","136.970001"
"2015-11-09","136.750000"
"2015-11-10","136.149994"
"2015-11-11","135.000000"
"2015-11-12","131.449997"
"2015-11-13","127.470001"
"2015-11-16","128.949997"
"2015-11-17","128.610001"
"2015-11-18","130.059998"
"2015-11-19","127.790001"
"2015-11-20","129.139999"
"2015-11-23","131.130005"
"2015-11-24","131.889999"
"2015-11-25","131.899994"
