"date, price"
"2019-12-13","16.600000"
"2019-12-16","16.750000"
"2019-12-17","16.780001"
"2019-12-18","16.559999"
"2019-12-19","16.020000"
"2019-12-20","16.000000"
"2019-12-23","15.980000"
"2019-12-24","16.000000"
"2019-12-26","16.000000"
"2019-12-27","16.120001"
"2019-12-30","16.010000"
"2019-12-31","16.049999"
"2020-01-02","16.549999"
"2020-01-03","16.580000"
"2020-01-06","17.299999"
"2020-01-07","17.780001"
"2020-01-08","17.440001"
"2020-01-09","17.700001"
"2020-01-10","18.129999"
"2020-01-13","18.520000"
"2020-01-14","19.030001"
"2020-01-15","19.110001"
"2020-01-16","19.110001"
"2020-01-17","18.709999"
"2020-01-21","20.000000"
"2020-01-22","21.010000"
"2020-01-23","20.969999"
"2020-01-24","20.240000"
"2020-01-27","19.240000"
"2020-01-28","19.580000"
"2020-01-29","20.000000"
"2020-01-30","20.680000"
"2020-01-31","20.530001"
"2020-02-03","20.969999"
"2020-02-04","21.719999"
"2020-02-05","20.850000"
"2020-02-06","20.240000"
"2020-02-07","19.129999"
"2020-02-10","18.900000"
"2020-02-11","19.450001"
"2020-02-12","19.990000"
"2020-02-13","20.950001"
"2020-02-14","21.049999"
"2020-02-18","20.219999"
"2020-02-19","20.420000"
"2020-02-20","19.690001"
"2020-02-21","20.110001"
"2020-02-24","19.549999"
"2020-02-25","18.870001"
"2020-02-26","17.700001"
"2020-02-27","20.290001"
"2020-02-28","19.650000"
"2020-03-02","20.490000"
"2020-03-03","20.590000"
"2020-03-04","20.120001"
"2020-03-05","18.940001"
"2020-03-06","18.799999"
"2020-03-09","15.290000"
"2020-03-10","17.520000"
"2020-03-11","16.540001"
"2020-03-12","14.500000"
"2020-03-13","15.330000"
"2020-03-16","14.530000"
"2020-03-17","14.680000"
"2020-03-18","13.240000"
"2020-03-19","13.770000"
"2020-03-20","13.990000"
"2020-03-23","13.000000"
"2020-03-24","14.070000"
"2020-03-25","16.020000"
"2020-03-26","15.650000"
"2020-03-27","14.250000"
"2020-03-30","15.060000"
"2020-03-31","15.960000"
"2020-04-01","13.880000"
"2020-04-02","13.000000"
"2020-04-03","12.970000"
"2020-04-06","13.550000"
"2020-04-07","13.750000"
"2020-04-08","13.470000"
"2020-04-09","13.170000"
"2020-04-13","12.040000"
"2020-04-14","12.950000"
"2020-04-15","13.130000"
"2020-04-16","13.680000"
"2020-04-17","14.030000"
"2020-04-20","14.660000"
"2020-04-21","14.380000"
"2020-04-22","15.050000"
"2020-04-23","14.530000"
"2020-04-24","14.700000"
"2020-04-27","15.120000"
"2020-04-28","15.490000"
"2020-04-29","16.520000"
"2020-04-30","16.820000"
"2020-05-01","16.350000"
"2020-05-04","16.389999"
"2020-05-05","17.120001"
"2020-05-06","18.010000"
"2020-05-07","21.700001"
"2020-05-08","22.190001"
"2020-05-11","23.389999"
"2020-05-12","22.610001"
"2020-05-13","22.670000"
"2020-05-14","22.209999"
"2020-05-15","22.990000"
"2020-05-18","24.360001"
"2020-05-19","26.170000"
"2020-05-20","27.510000"
"2020-05-21","27.610001"
"2020-05-22","26.309999"
"2020-05-26","25.980000"
"2020-05-27","24.920000"
"2020-05-28","24.240000"
"2020-05-29","27.549999"
"2020-06-01","29.090000"
"2020-06-02","29.870001"
"2020-06-03","31.110001"
"2020-06-04","31.309999"
"2020-06-05","32.240002"
"2020-06-08","31.049999"
"2020-06-09","28.840000"
"2020-06-10","28.250000"
"2020-06-11","26.520000"
"2020-06-12","26.500000"
"2020-06-15","26.740000"
"2020-06-16","28.750000"
"2020-06-17","27.780001"
"2020-06-18","27.900000"
"2020-06-19","28.030001"
"2020-06-22","28.440001"
"2020-06-23","28.400000"
"2020-06-24","27.504999"
"2020-06-25","27.389999"
"2020-06-26","26.830000"
"2020-06-29","24.969999"
"2020-06-30","27.000000"
"2020-07-01","27.660000"
"2020-07-02","27.680000"
"2020-07-06","27.670000"
"2020-07-07","27.230000"
"2020-07-08","27.930000"
"2020-07-09","29.180000"
"2020-07-10","27.400000"
"2020-07-13","25.500000"
"2020-07-14","25.690001"
"2020-07-15","26.590000"
"2020-07-16","27.110001"
"2020-07-17","28.520000"
"2020-07-20","29.000000"
"2020-07-21","28.690001"
"2020-07-22","28.990000"
"2020-07-23","29.740000"
"2020-07-24","27.070000"
"2020-07-27","27.660000"
"2020-07-28","27.299999"
"2020-07-29","27.790001"
"2020-07-30","28.379999"
"2020-07-31","28.889999"
"2020-08-03","29.049999"
"2020-08-04","29.219999"
"2020-08-05","31.440001"
"2020-08-06","29.610001"
"2020-08-07","28.400000"
"2020-08-10","27.750000"
"2020-08-11","27.170000"
"2020-08-12","29.459999"
"2020-08-13","30.520000"
"2020-08-14","30.620001"
"2020-08-17","31.490000"
"2020-08-18","32.169998"
"2020-08-19","32.020000"
"2020-08-20","33.060001"
"2020-08-21","34.259998"
"2020-08-24","34.169998"
"2020-08-25","35.119999"
"2020-08-26","34.090000"
"2020-08-27","34.910000"
"2020-08-28","36.610001"
"2020-08-31","38.750000"
"2020-09-01","40.599998"
"2020-09-02","39.090000"
"2020-09-03","35.509998"
"2020-09-04","33.529999"
"2020-09-08","32.779999"
"2020-09-09","33.680000"
"2020-09-10","33.060001"
"2020-09-11","32.310001"
"2020-09-14","34.099998"
"2020-09-15","33.959999"
"2020-09-16","33.610001"
"2020-09-17","34.000000"
"2020-09-18","34.939999"
"2020-09-21","34.970001"
"2020-09-22","37.369999"
"2020-09-23","36.689999"
"2020-09-24","36.220001"
"2020-09-25","37.119999"
"2020-09-28","37.490002"
"2020-09-29","38.650002"
"2020-09-30","38.500000"
"2020-10-01","38.860001"
"2020-10-02","38.139999"
"2020-10-05","39.080002"
"2020-10-06","41.759998"
"2020-10-07","44.419998"
"2020-10-08","45.520000"
"2020-10-09","46.950001"
"2020-10-12","48.560001"
"2020-10-13","48.330002"
"2020-10-14","49.130001"
"2020-10-15","47.540001"
"2020-10-16","50.290001"
"2020-10-19","48.540001"
"2020-10-20","49.049999"
"2020-10-21","48.740002"
"2020-10-22","46.849998"
"2020-10-23","47.549999"
"2020-10-26","45.490002"
"2020-10-27","46.450001"
"2020-10-28","45.480000"
"2020-10-29","44.730000"
"2020-10-30","43.700001"
"2020-11-02","42.959999"
"2020-11-03","43.930000"
"2020-11-04","46.020000"
"2020-11-05","49.389999"
"2020-11-06","48.330002"
"2020-11-09","43.740002"
"2020-11-10","46.299999"
"2020-11-11","47.680000"
"2020-11-12","50.090000"
"2020-11-13","50.880001"
"2020-11-16","46.990002"
"2020-11-17","44.720001"
"2020-11-18","42.459999"
"2020-11-19","44.549999"
"2020-11-20","47.880001"
"2020-11-23","47.110001"
"2020-11-24","46.830002"
