"date, price"
"2014-12-04","66.089996"
"2014-12-05","66.400002"
"2014-12-08","66.239998"
"2014-12-09","65.760002"
"2014-12-10","65.220001"
"2014-12-11","65.500000"
"2014-12-12","64.040001"
"2014-12-15","63.709999"
"2014-12-16","63.270000"
"2014-12-17","65.010002"
"2014-12-18","67.610001"
"2014-12-19","68.400002"
"2014-12-22","68.629997"
"2014-12-23","68.650002"
"2014-12-24","68.820000"
"2014-12-26","68.760002"
"2014-12-29","68.190002"
"2014-12-30","67.250000"
"2014-12-31","66.500000"
"2015-01-02","66.019997"
"2015-01-05","65.669998"
"2015-01-06","63.860001"
"2015-01-07","64.269997"
"2015-01-08","65.430000"
"2015-01-09","66.440002"
"2015-01-12","65.040001"
"2015-01-13","64.750000"
"2015-01-14","64.589996"
"2015-01-15","62.279999"
"2015-01-16","63.410000"
"2015-01-20","63.119999"
"2015-01-21","63.290001"
"2015-01-22","63.939999"
"2015-01-23","63.980000"
"2015-01-26","59.060001"
"2015-01-27","57.070000"
"2015-01-28","57.529999"
"2015-01-29","58.700001"
"2015-01-30","56.439999"
"2015-02-02","57.799999"
"2015-02-03","59.250000"
"2015-02-04","59.930000"
"2015-02-05","60.410000"
"2015-02-06","59.939999"
"2015-02-09","60.400002"
"2015-02-10","60.200001"
"2015-02-11","60.799999"
"2015-02-12","61.160000"
"2015-02-13","61.840000"
"2015-02-17","61.150002"
"2015-02-18","61.180000"
"2015-02-19","61.459999"
"2015-02-20","62.180000"
"2015-02-23","61.990002"
"2015-02-24","60.700001"
"2015-02-25","60.020000"
"2015-02-26","60.680000"
"2015-02-27","61.119999"
"2015-03-02","61.560001"
"2015-03-03","58.820000"
"2015-03-04","58.080002"
"2015-03-05","58.439999"
"2015-03-06","56.900002"
"2015-03-09","56.980000"
"2015-03-10","54.410000"
"2015-03-11","54.360001"
"2015-03-12","54.540001"
"2015-03-13","53.759998"
"2015-03-16","54.840000"
"2015-03-17","53.669998"
"2015-03-18","55.299999"
"2015-03-19","55.709999"
"2015-03-20","56.509998"
"2015-03-23","55.849998"
"2015-03-24","55.330002"
"2015-03-25","53.610001"
"2015-03-26","53.529999"
"2015-03-27","52.759998"
"2015-03-30","53.080002"
"2015-03-31","52.029999"
"2015-04-01","51.790001"
"2015-04-02","52.450001"
"2015-04-06","52.740002"
"2015-04-07","53.750000"
"2015-04-08","53.310001"
"2015-04-09","54.689999"
"2015-04-10","55.580002"
"2015-04-13","55.410000"
"2015-04-14","55.770000"
"2015-04-15","56.669998"
"2015-04-16","55.959999"
"2015-04-17","57.430000"
"2015-04-20","59.139999"
"2015-04-21","58.410000"
"2015-04-22","58.230000"
"2015-04-23","58.750000"
"2015-04-24","58.340000"
"2015-04-27","57.919998"
"2015-04-28","59.000000"
"2015-04-29","58.169998"
"2015-04-30","58.720001"
"2015-05-01","59.630001"
"2015-05-04","59.209999"
"2015-05-05","57.700001"
"2015-05-06","56.290001"
"2015-05-07","56.430000"
"2015-05-08","57.240002"
"2015-05-11","56.759998"
"2015-05-12","56.160000"
"2015-05-13","56.590000"
"2015-05-14","57.430000"
"2015-05-15","56.889999"
"2015-05-18","56.900002"
"2015-05-19","55.150002"
"2015-05-20","54.599998"
"2015-05-21","55.369999"
"2015-05-22","55.790001"
"2015-05-26","54.590000"
"2015-05-27","55.340000"
"2015-05-28","56.369999"
"2015-05-29","55.639999"
"2015-06-01","55.200001"
"2015-06-02","55.290001"
"2015-06-03","55.669998"
"2015-06-04","54.540001"
"2015-06-05","54.430000"
"2015-06-08","53.040001"
"2015-06-09","52.619999"
"2015-06-10","53.590000"
"2015-06-11","54.299999"
"2015-06-12","53.549999"
"2015-06-15","53.369999"
"2015-06-16","53.200001"
"2015-06-17","53.180000"
"2015-06-18","54.139999"
"2015-06-19","53.349998"
"2015-06-22","53.869999"
"2015-06-23","52.290001"
"2015-06-24","51.970001"
"2015-06-25","50.689999"
"2015-06-26","50.060001"
"2015-06-29","49.020000"
"2015-06-30","47.500000"
"2015-07-01","47.570000"
"2015-07-02","48.150002"
"2015-07-06","47.020000"
"2015-07-07","47.820000"
"2015-07-08","46.400002"
"2015-07-09","46.040001"
"2015-07-10","45.950001"
"2015-07-13","46.279999"
"2015-07-14","47.610001"
"2015-07-15","47.299999"
"2015-07-16","47.900002"
"2015-07-17","48.150002"
"2015-07-20","47.730000"
"2015-07-21","48.110001"
"2015-07-22","49.060001"
"2015-07-23","48.009998"
"2015-07-24","47.320000"
"2015-07-27","47.910000"
"2015-07-28","48.869999"
"2015-07-29","49.419998"
"2015-07-30","51.290001"
"2015-07-31","50.599998"
"2015-08-03","51.459999"
"2015-08-04","51.389999"
"2015-08-05","51.860001"
"2015-08-06","51.320000"
"2015-08-07","49.490002"
"2015-08-10","51.139999"
"2015-08-11","51.009998"
"2015-08-12","51.619999"
"2015-08-13","51.369999"
"2015-08-14","52.020000"
"2015-08-17","52.450001"
"2015-08-18","52.049999"
"2015-08-19","49.430000"
"2015-08-20","48.650002"
"2015-08-21","48.720001"
"2015-08-24","47.619999"
"2015-08-25","46.330002"
"2015-08-26","47.889999"
"2015-08-27","50.040001"
"2015-08-28","50.680000"
"2015-08-31","51.400002"
"2015-09-01","50.599998"
"2015-09-02","49.770000"
"2015-09-03","49.490002"
"2015-09-04","48.209999"
"2015-09-08","49.610001"
"2015-09-09","50.099998"
"2015-09-10","49.220001"
"2015-09-11","48.939999"
"2015-09-14","48.330002"
"2015-09-15","48.610001"
"2015-09-16","49.150002"
"2015-09-17","47.759998"
"2015-09-18","45.650002"
"2015-09-21","46.200001"
"2015-09-22","43.790001"
"2015-09-23","43.549999"
"2015-09-24","44.099998"
"2015-09-25","42.889999"
"2015-09-28","42.070000"
"2015-09-29","41.779999"
"2015-09-30","44.799999"
"2015-10-01","42.860001"
"2015-10-02","43.180000"
"2015-10-05","44.840000"
"2015-10-06","46.200001"
"2015-10-07","47.290001"
"2015-10-08","48.330002"
"2015-10-09","49.029999"
"2015-10-12","49.020000"
"2015-10-13","48.619999"
"2015-10-14","47.799999"
"2015-10-15","41.439999"
"2015-10-16","39.560001"
"2015-10-19","38.750000"
"2015-10-20","38.520000"
"2015-10-21","37.130001"
"2015-10-22","39.240002"
"2015-10-23","41.150002"
"2015-10-26","39.549999"
"2015-10-27","39.200001"
"2015-10-28","39.340000"
"2015-10-29","38.060001"
"2015-10-30","38.060001"
"2015-11-02","38.880001"
"2015-11-03","40.369999"
"2015-11-04","38.810001"
"2015-11-05","38.869999"
"2015-11-06","38.810001"
"2015-11-09","38.279999"
"2015-11-10","36.540001"
"2015-11-11","36.119999"
"2015-11-12","34.080002"
"2015-11-13","33.070000"
"2015-11-16","34.299999"
"2015-11-17","33.880001"
"2015-11-18","34.380001"
"2015-11-19","34.279999"
"2015-11-20","34.410000"
"2015-11-23","34.700001"
"2015-11-24","34.270000"
"2015-11-25","34.570000"
"2015-11-27","34.619999"
"2015-11-30","35.939999"
"2015-12-01","36.509998"
"2015-12-02","34.540001"
"2015-12-03","33.770000"
"2015-12-04","34.450001"
"2015-12-07","35.099998"
"2015-12-08","35.430000"
"2015-12-09","35.720001"
"2015-12-10","36.220001"
"2015-12-11","35.980000"
"2015-12-14","33.669998"
"2015-12-15","34.250000"
"2015-12-16","34.779999"
"2015-12-17","33.919998"
"2015-12-18","34.099998"
"2015-12-21","34.700001"
"2015-12-22","35.450001"
"2015-12-23","36.619999"
"2015-12-24","36.650002"
"2015-12-28","36.740002"
"2015-12-29","37.150002"
"2015-12-30","37.180000"
"2015-12-31","36.660000"
"2016-01-04","36.270000"
"2016-01-05","36.330002"
"2016-01-06","34.750000"
"2016-01-07","34.540001"
"2016-01-08","32.540001"
"2016-01-11","31.350000"
"2016-01-12","31.570000"
"2016-01-13","31.070000"
"2016-01-14","32.110001"
"2016-01-15","30.889999"
"2016-01-19","29.830000"
"2016-01-20","29.219999"
"2016-01-21","27.559999"
"2016-01-22","27.930000"
"2016-01-25","26.400000"
"2016-01-26","27.740000"
"2016-01-27","26.969999"
"2016-01-28","26.760000"
"2016-01-29","29.049999"
"2016-02-01","30.410000"
"2016-02-02","28.610001"
"2016-02-03","30.520000"
"2016-02-04","32.189999"
"2016-02-05","31.590000"
"2016-02-08","30.360001"
"2016-02-09","29.410000"
"2016-02-10","30.190001"
"2016-02-11","29.030001"
"2016-02-12","29.879999"
"2016-02-16","31.330000"
"2016-02-17","31.969999"
"2016-02-18","33.110001"
"2016-02-19","31.340000"
"2016-02-22","32.230000"
"2016-02-23","30.740000"
"2016-02-24","31.080000"
"2016-02-25","30.920000"
"2016-02-26","31.690001"
"2016-02-29","31.360001"
"2016-03-01","33.230000"
"2016-03-02","33.930000"
"2016-03-03","34.750000"
"2016-03-04","34.529999"
"2016-03-07","35.480000"
"2016-03-08","34.240002"
"2016-03-09","34.209999"
"2016-03-10","34.950001"
"2016-03-11","36.169998"
"2016-03-14","35.360001"
"2016-03-15","34.619999"
"2016-03-16","34.490002"
"2016-03-17","34.930000"
"2016-03-18","36.570000"
