"date, price"
"2014-12-04","69.750000"
"2014-12-05","70.360001"
"2014-12-08","69.150002"
"2014-12-09","69.220001"
"2014-12-10","68.519997"
"2014-12-11","70.080002"
"2014-12-12","69.099998"
"2014-12-15","68.510002"
"2014-12-16","68.120003"
"2014-12-17","70.820000"
"2014-12-18","73.190002"
"2014-12-19","72.699997"
"2014-12-22","74.419998"
"2014-12-23","73.400002"
"2014-12-24","74.320000"
"2014-12-26","74.489998"
"2014-12-29","73.169998"
"2014-12-30","72.860001"
"2014-12-31","72.709999"
"2015-01-02","73.320000"
"2015-01-05","72.129997"
"2015-01-06","69.830002"
"2015-01-07","70.980003"
"2015-01-08","74.199997"
"2015-01-09","74.080002"
"2015-01-12","72.320000"
"2015-01-13","72.839996"
"2015-01-14","71.599998"
"2015-01-15","71.330002"
"2015-01-16","73.849998"
"2015-01-20","75.559998"
"2015-01-21","77.300003"
"2015-01-22","79.330002"
"2015-01-23","80.860001"
"2015-01-26","82.480003"
"2015-01-27","81.519997"
"2015-01-28","81.830002"
"2015-01-29","84.190002"
"2015-01-30","83.050003"
"2015-02-02","82.019997"
"2015-02-03","82.269997"
"2015-02-04","82.300003"
"2015-02-05","81.400002"
"2015-02-06","81.440002"
"2015-02-09","79.080002"
"2015-02-10","81.639999"
"2015-02-11","82.360001"
"2015-02-12","82.419998"
"2015-02-13","81.849998"
"2015-02-17","82.739998"
"2015-02-18","82.559998"
"2015-02-19","83.059998"
"2015-02-20","84.300003"
"2015-02-23","86.010002"
"2015-02-24","88.180000"
"2015-02-25","87.730003"
"2015-02-26","88.580002"
"2015-02-27","87.750000"
"2015-03-02","91.129997"
"2015-03-03","88.739998"
"2015-03-04","90.160004"
"2015-03-05","91.550003"
"2015-03-06","90.750000"
"2015-03-09","92.120003"
"2015-03-10","91.199997"
"2015-03-11","92.199997"
"2015-03-12","92.860001"
"2015-03-13","92.919998"
"2015-03-16","96.779999"
"2015-03-17","97.309998"
"2015-03-18","97.120003"
"2015-03-19","99.570000"
"2015-03-20","102.050003"
"2015-03-23","101.760002"
"2015-03-24","101.459999"
"2015-03-25","95.570000"
"2015-03-26","93.040001"
"2015-03-27","98.830002"
"2015-03-30","100.129997"
"2015-03-31","98.290001"
"2015-04-01","96.839996"
"2015-04-02","96.510002"
"2015-04-06","95.470001"
"2015-04-07","96.779999"
"2015-04-08","97.470001"
"2015-04-09","99.839996"
"2015-04-10","99.639999"
"2015-04-13","98.580002"
"2015-04-14","95.639999"
"2015-04-15","96.230003"
"2015-04-16","95.680000"
"2015-04-17","94.279999"
"2015-04-20","94.930000"
"2015-04-21","95.419998"
"2015-04-22","96.830002"
"2015-04-23","95.820000"
"2015-04-24","93.389999"
"2015-04-27","94.550003"
"2015-04-28","94.550003"
"2015-04-29","93.589996"
"2015-04-30","92.250000"
"2015-05-01","98.300003"
"2015-05-04","99.110001"
"2015-05-05","94.629997"
"2015-05-06","94.570000"
"2015-05-07","97.070000"
"2015-05-08","97.709999"
"2015-05-11","97.160004"
"2015-05-12","96.790001"
"2015-05-13","96.650002"
"2015-05-14","98.480003"
"2015-05-15","97.559998"
"2015-05-18","103.029999"
"2015-05-19","103.989998"
"2015-05-20","103.739998"
"2015-05-21","103.889999"
"2015-05-22","104.690002"
"2015-05-26","103.720001"
"2015-05-27","108.629997"
"2015-05-28","107.650002"
"2015-05-29","109.360001"
"2015-06-01","109.449997"
"2015-06-02","108.120003"
"2015-06-03","105.389999"
"2015-06-04","105.620003"
"2015-06-05","105.739998"
"2015-06-08","102.320000"
"2015-06-09","102.239998"
"2015-06-10","105.540001"
"2015-06-11","105.629997"
"2015-06-12","104.949997"
"2015-06-15","106.110001"
"2015-06-16","106.330002"
"2015-06-17","106.570000"
"2015-06-18","109.980003"
"2015-06-19","110.199997"
"2015-06-22","110.919998"
"2015-06-23","110.279999"
"2015-06-24","108.400002"
"2015-06-25","109.870003"
"2015-06-26","106.900002"
"2015-06-29","102.040001"
"2015-06-30","104.099998"
"2015-07-01","103.910004"
"2015-07-02","104.849998"
"2015-07-06","101.940002"
"2015-07-07","100.489998"
"2015-07-08","95.599998"
"2015-07-09","94.510002"
"2015-07-10","100.199997"
"2015-07-13","100.489998"
"2015-07-14","102.029999"
"2015-07-15","100.900002"
"2015-07-16","102.370003"
"2015-07-17","102.910004"
"2015-07-20","103.139999"
"2015-07-21","103.970001"
"2015-07-22","99.639999"
"2015-07-23","103.120003"
"2015-07-24","97.709999"
"2015-07-27","93.489998"
"2015-07-28","95.680000"
"2015-07-29","95.190002"
"2015-07-30","96.760002"
"2015-07-31","95.669998"
"2015-08-03","92.779999"
"2015-08-04","88.690002"
"2015-08-05","88.959999"
"2015-08-06","85.980003"
"2015-08-07","88.360001"
"2015-08-10","91.029999"
"2015-08-11","88.970001"
"2015-08-12","89.900002"
"2015-08-13","89.639999"
"2015-08-14","89.099998"
"2015-08-17","90.930000"
"2015-08-18","85.699997"
"2015-08-19","87.230003"
"2015-08-20","82.440002"
"2015-08-21","79.070000"
"2015-08-24","80.510002"
"2015-08-25","80.559998"
"2015-08-26","86.150002"
"2015-08-27","89.769997"
"2015-08-28","88.620003"
"2015-08-31","87.349998"
"2015-09-01","83.050003"
"2015-09-02","85.739998"
"2015-09-03","85.339996"
"2015-09-04","83.370003"
"2015-09-08","87.730003"
"2015-09-09","86.419998"
"2015-09-10","88.070000"
"2015-09-11","88.160004"
"2015-09-14","89.500000"
"2015-09-15","91.660004"
"2015-09-16","91.519997"
"2015-09-17","90.739998"
"2015-09-18","89.370003"
"2015-09-21","89.220001"
"2015-09-22","86.699997"
"2015-09-23","88.120003"
"2015-09-24","86.349998"
"2015-09-25","87.769997"
"2015-09-28","82.709999"
"2015-09-29","82.849998"
"2015-09-30","84.209999"
"2015-10-01","83.370003"
"2015-10-02","84.059998"
"2015-10-05","81.870003"
"2015-10-06","80.709999"
"2015-10-07","83.610001"
"2015-10-08","79.430000"
"2015-10-09","79.500000"
"2015-10-12","79.589996"
"2015-10-13","77.470001"
"2015-10-14","77.820000"
"2015-10-15","80.239998"
"2015-10-16","79.599998"
"2015-10-19","77.830002"
"2015-10-20","78.290001"
"2015-10-21","77.669998"
"2015-10-22","81.690002"
"2015-10-23","82.550003"
"2015-10-26","77.910004"
"2015-10-27","76.309998"
"2015-10-28","77.500000"
"2015-10-29","74.629997"
"2015-10-30","77.239998"
"2015-11-02","79.300003"
"2015-11-03","79.080002"
"2015-11-04","80.180000"
"2015-11-05","80.279999"
"2015-11-06","85.989998"
"2015-11-09","84.889999"
"2015-11-10","80.370003"
"2015-11-11","79.099998"
"2015-11-12","75.839996"
"2015-11-13","74.830002"
"2015-11-16","75.279999"
"2015-11-17","77.150002"
"2015-11-18","80.410004"
"2015-11-19","78.000000"
"2015-11-20","78.570000"
"2015-11-23","77.720001"
"2015-11-24","79.720001"
"2015-11-25","80.309998"
"2015-11-27","81.900002"
"2015-11-30","83.019997"
"2015-12-01","83.760002"
"2015-12-02","84.629997"
"2015-12-03","83.440002"
"2015-12-04","87.919998"
"2015-12-07","86.690002"
"2015-12-08","87.099998"
"2015-12-09","84.680000"
"2015-12-10","84.889999"
"2015-12-11","81.430000"
"2015-12-14","78.510002"
"2015-12-15","77.779999"
"2015-12-16","78.970001"
"2015-12-17","77.800003"
"2015-12-18","76.379997"
"2015-12-21","78.419998"
"2015-12-22","78.410004"
"2015-12-23","79.169998"
"2015-12-24","79.320000"
"2015-12-28","79.309998"
"2015-12-29","80.430000"
"2015-12-30","79.190002"
"2015-12-31","76.830002"
"2016-01-04","77.930000"
"2016-01-05","73.290001"
"2016-01-06","69.150002"
"2016-01-07","67.160004"
"2016-01-08","66.889999"
"2016-01-11","66.050003"
"2016-01-12","66.629997"
"2016-01-13","62.160000"
"2016-01-14","64.540001"
"2016-01-15","60.669998"
"2016-01-19","60.380001"
"2016-01-20","61.619999"
"2016-01-21","63.290001"
"2016-01-22","67.029999"
"2016-01-25","65.589996"
"2016-01-26","65.800003"
"2016-01-27","62.139999"
"2016-01-28","64.790001"
"2016-01-29","68.919998"
"2016-02-01","69.620003"
"2016-02-02","66.480003"
"2016-02-03","66.190002"
"2016-02-04","66.000000"
"2016-02-05","62.160000"
"2016-02-08","59.299999"
"2016-02-09","57.700001"
"2016-02-10","57.200001"
"2016-02-11","55.849998"
"2016-02-12","57.630001"
"2016-02-16","61.439999"
"2016-02-17","63.709999"
"2016-02-18","62.070000"
"2016-02-19","63.029999"
"2016-02-22","64.290001"
"2016-02-23","62.619999"
"2016-02-24","63.709999"
"2016-02-25","64.550003"
"2016-02-26","64.900002"
"2016-02-29","66.449997"
"2016-03-01","70.400002"
"2016-03-02","68.980003"
"2016-03-03","70.099998"
"2016-03-04","73.010002"
"2016-03-07","72.919998"
"2016-03-08","69.910004"
"2016-03-09","71.019997"
"2016-03-10","69.970001"
"2016-03-11","72.769997"
"2016-03-14","72.790001"
"2016-03-15","73.610001"
"2016-03-16","75.000000"
"2016-03-17","74.919998"
"2016-03-18","77.019997"
"2016-03-21","77.209999"
"2016-03-22","76.889999"
"2016-03-23","76.300003"
"2016-03-24","76.199997"
"2016-03-28","76.919998"
"2016-03-29","76.470001"
"2016-03-30","77.849998"
