"date, price"
"2014-12-04","23.600000"
"2014-12-05","22.455000"
"2014-12-08","22.000000"
"2014-12-09","21.975000"
"2014-12-10","21.590000"
"2014-12-11","21.510000"
"2014-12-12","22.670000"
"2014-12-15","21.639999"
"2014-12-16","20.580000"
"2014-12-17","21.334999"
"2014-12-18","22.035000"
"2014-12-19","22.600000"
"2014-12-22","22.584999"
"2014-12-23","22.559999"
"2014-12-24","22.500000"
"2014-12-26","22.680000"
"2014-12-29","22.545000"
"2014-12-30","22.559999"
"2014-12-31","22.750000"
"2015-01-02","22.610001"
"2015-01-05","22.290001"
"2015-01-06","22.580000"
"2015-01-07","22.934999"
"2015-01-08","23.270000"
"2015-01-09","23.405001"
"2015-01-12","23.155001"
"2015-01-13","23.245001"
"2015-01-14","23.020000"
"2015-01-15","22.825001"
"2015-01-16","23.035000"
"2015-01-20","23.260000"
"2015-01-21","24.424999"
"2015-01-22","24.735001"
"2015-01-23","25.049999"
"2015-01-26","24.760000"
"2015-01-27","24.700001"
"2015-01-28","24.480000"
"2015-01-29","24.055000"
"2015-01-30","23.780001"
"2015-02-02","24.100000"
"2015-02-03","24.520000"
"2015-02-04","24.889999"
"2015-02-05","24.870001"
"2015-02-06","24.120001"
"2015-02-09","23.225000"
"2015-02-10","23.000000"
"2015-02-11","22.895000"
"2015-02-12","23.320000"
"2015-02-13","23.375000"
"2015-02-17","23.580000"
"2015-02-18","23.395000"
"2015-02-19","22.865000"
"2015-02-20","23.475000"
"2015-02-23","23.360001"
"2015-02-24","23.340000"
"2015-02-25","23.080000"
"2015-02-26","22.760000"
"2015-02-27","22.684999"
"2015-03-02","22.570000"
"2015-03-03","22.735001"
"2015-03-04","22.920000"
"2015-03-05","23.115000"
"2015-03-06","23.700001"
"2015-03-09","23.299999"
"2015-03-10","22.469999"
"2015-03-11","22.715000"
"2015-03-12","22.615000"
"2015-03-13","21.924999"
"2015-03-16","21.940001"
"2015-03-17","22.850000"
"2015-03-18","23.110001"
"2015-03-19","23.070000"
"2015-03-20","28.790001"
"2015-03-23","29.430000"
"2015-03-24","29.445000"
"2015-03-25","29.885000"
"2015-03-26","29.230000"
"2015-03-27","29.605000"
"2015-03-30","29.450001"
"2015-03-31","29.309999"
"2015-04-01","29.385000"
"2015-04-02","29.625000"
"2015-04-06","30.584999"
"2015-04-07","30.605000"
"2015-04-08","31.809999"
"2015-04-09","31.889999"
"2015-04-10","31.525000"
"2015-04-13","31.500000"
"2015-04-14","31.940001"
"2015-04-15","31.875000"
"2015-04-16","31.820000"
"2015-04-17","31.600000"
"2015-04-20","31.775000"
"2015-04-21","32.580002"
"2015-04-22","33.070000"
"2015-04-23","32.810001"
"2015-04-24","32.785000"
"2015-04-27","33.139999"
"2015-04-28","32.439999"
"2015-04-29","32.020000"
"2015-04-30","31.840000"
"2015-05-01","31.900000"
"2015-05-04","32.080002"
"2015-05-05","31.495001"
"2015-05-06","31.665001"
"2015-05-07","32.279999"
"2015-05-08","31.895000"
"2015-05-11","31.875000"
"2015-05-12","32.564999"
"2015-05-13","32.680000"
"2015-05-14","35.570000"
"2015-05-15","35.985001"
"2015-05-18","35.990002"
"2015-05-19","36.244999"
"2015-05-20","35.970001"
"2015-05-21","35.994999"
"2015-05-22","42.314999"
"2015-05-26","40.994999"
"2015-05-27","40.759998"
"2015-05-28","40.110001"
"2015-05-29","39.935001"
"2015-06-01","40.814999"
"2015-06-02","38.520000"
"2015-06-03","37.439999"
"2015-06-04","37.535000"
"2015-06-05","38.035000"
"2015-06-08","37.169998"
"2015-06-09","37.334999"
"2015-06-10","38.084999"
"2015-06-11","38.750000"
"2015-06-12","38.695000"
"2015-06-15","38.064999"
"2015-06-16","37.855000"
"2015-06-17","37.705002"
"2015-06-18","37.505001"
"2015-06-19","35.820000"
"2015-06-22","36.930000"
"2015-06-23","36.974998"
"2015-06-24","36.459999"
"2015-06-25","36.924999"
"2015-06-26","36.634998"
"2015-06-29","35.305000"
"2015-06-30","36.310001"
"2015-07-01","35.494999"
"2015-07-02","35.645000"
"2015-07-06","35.764999"
"2015-07-07","35.549999"
"2015-07-08","34.674999"
"2015-07-09","35.740002"
"2015-07-10","36.634998"
"2015-07-13","36.904999"
"2015-07-14","37.165001"
"2015-07-15","35.110001"
"2015-07-16","35.939999"
"2015-07-17","35.939999"
"2015-07-20","36.389999"
"2015-07-21","37.090000"
"2015-07-22","37.090000"
"2015-07-23","37.575001"
"2015-07-24","36.419998"
"2015-07-27","34.520000"
"2015-07-28","34.154999"
"2015-07-29","35.255001"
"2015-07-30","35.345001"
"2015-07-31","35.790001"
"2015-08-03","35.724998"
"2015-08-04","39.285000"
"2015-08-05","39.750000"
"2015-08-06","38.735001"
"2015-08-07","37.740002"
"2015-08-10","38.785000"
"2015-08-11","36.000000"
"2015-08-12","35.119999"
"2015-08-13","36.064999"
"2015-08-14","35.790001"
"2015-08-17","36.395000"
"2015-08-18","34.639999"
"2015-08-19","34.064999"
"2015-08-20","32.305000"
"2015-08-21","31.635000"
"2015-08-24","30.250000"
"2015-08-25","31.850000"
"2015-08-26","32.040001"
"2015-08-27","34.980000"
"2015-08-28","34.750000"
"2015-08-31","33.224998"
"2015-09-01","32.160000"
"2015-09-02","32.730000"
"2015-09-03","32.945000"
"2015-09-04","31.959999"
"2015-09-08","32.224998"
"2015-09-09","32.974998"
"2015-09-10","33.595001"
"2015-09-11","34.430000"
"2015-09-14","32.945000"
"2015-09-15","33.459999"
"2015-09-16","36.150002"
"2015-09-17","35.130001"
"2015-09-18","34.169998"
"2015-09-21","33.834999"
"2015-09-22","33.305000"
"2015-09-23","32.494999"
"2015-09-24","33.349998"
"2015-09-25","32.669998"
"2015-09-28","30.930000"
"2015-09-29","31.400000"
"2015-09-30","31.590000"
"2015-10-01","31.299999"
"2015-10-02","33.384998"
"2015-10-05","34.535000"
"2015-10-06","34.325001"
"2015-10-07","35.070000"
"2015-10-08","34.134998"
"2015-10-09","33.634998"
"2015-10-12","33.669998"
"2015-10-13","34.250000"
"2015-10-14","34.220001"
"2015-10-15","35.075001"
"2015-10-16","35.525002"
"2015-10-19","36.000000"
"2015-10-20","36.654999"
"2015-10-21","36.110001"
"2015-10-22","36.195000"
"2015-10-23","37.169998"
"2015-10-26","45.389999"
"2015-10-27","44.314999"
"2015-10-28","44.205002"
"2015-10-29","43.955002"
"2015-10-30","46.485001"
"2015-11-02","48.180000"
"2015-11-03","48.584999"
"2015-11-04","48.224998"
"2015-11-05","49.439999"
"2015-11-06","51.695000"
"2015-11-09","48.959999"
"2015-11-10","49.115002"
"2015-11-11","49.580002"
"2015-11-12","49.790001"
"2015-11-13","48.625000"
"2015-11-16","48.695000"
"2015-11-17","46.285000"
"2015-11-18","47.535000"
"2015-11-19","54.924999"
"2015-11-20","55.834999"
"2015-11-23","55.299999"
"2015-11-24","53.134998"
"2015-11-25","52.494999"
"2015-11-27","51.349998"
"2015-11-30","53.505001"
"2015-12-01","54.424999"
"2015-12-02","53.750000"
"2015-12-03","53.340000"
"2015-12-04","54.099998"
"2015-12-07","53.130001"
"2015-12-08","52.980000"
"2015-12-09","50.720001"
"2015-12-10","50.490002"
"2015-12-11","48.689999"
"2015-12-14","48.540001"
"2015-12-15","48.340000"
"2015-12-16","49.830002"
"2015-12-17","48.410000"
"2015-12-18","48.590000"
"2015-12-21","48.700001"
"2015-12-22","48.529999"
"2015-12-23","49.139999"
"2015-12-24","48.740002"
"2015-12-28","47.950001"
"2015-12-29","48.040001"
"2015-12-30","47.090000"
"2015-12-31","46.330002"
"2016-01-04","45.230000"
"2016-01-05","47.689999"
"2016-01-06","47.889999"
"2016-01-07","45.250000"
"2016-01-08","45.029999"
"2016-01-11","43.619999"
"2016-01-12","44.590000"
"2016-01-13","42.009998"
"2016-01-14","43.340000"
"2016-01-15","41.450001"
"2016-01-19","42.009998"
"2016-01-20","42.410000"
"2016-01-21","42.919998"
"2016-01-22","42.930000"
"2016-01-25","42.919998"
"2016-01-26","42.830002"
"2016-01-27","41.570000"
"2016-01-28","40.840000"
"2016-01-29","42.680000"
"2016-02-01","41.970001"
"2016-02-02","40.360001"
"2016-02-03","39.900002"
"2016-02-04","41.110001"
"2016-02-05","39.130001"
"2016-02-08","37.070000"
"2016-02-09","36.570000"
"2016-02-10","36.880001"
"2016-02-11","36.330002"
"2016-02-12","37.130001"
"2016-02-16","40.330002"
"2016-02-17","41.389999"
"2016-02-18","40.779999"
"2016-02-19","41.689999"
"2016-02-22","42.320000"
"2016-02-23","41.290001"
"2016-02-24","41.529999"
"2016-02-25","41.220001"
"2016-02-26","41.790001"
"2016-02-29","40.919998"
"2016-03-01","41.900002"
"2016-03-02","40.500000"
"2016-03-03","39.240002"
"2016-03-04","40.020000"
"2016-03-07","39.360001"
"2016-03-08","38.889999"
"2016-03-09","39.349998"
"2016-03-10","38.990002"
"2016-03-11","40.450001"
"2016-03-14","41.220001"
"2016-03-15","40.759998"
"2016-03-16","42.610001"
"2016-03-17","42.310001"
"2016-03-18","43.520000"
"2016-03-21","45.160000"
"2016-03-22","44.869999"
"2016-03-23","44.369999"
"2016-03-24","44.160000"
"2016-03-28","43.349998"
"2016-03-29","44.509998"
"2016-03-30","45.020000"
"2016-03-31","44.259998"
"2016-04-01","44.840000"
"2016-04-04","44.389999"
"2016-04-05","43.709999"
"2016-04-06","43.720001"
"2016-04-07","43.360001"
"2016-04-08","44.430000"
"2016-04-11","45.680000"
"2016-04-12","46.869999"
"2016-04-13","48.709999"
"2016-04-14","48.720001"
"2016-04-15","48.060001"
"2016-04-18","48.619999"
"2016-04-19","47.770000"
"2016-04-20","48.389999"
"2016-04-21","47.209999"
"2016-04-22","47.119999"
"2016-04-25","46.020000"
"2016-04-26","45.419998"
"2016-04-27","45.090000"
"2016-04-28","45.070000"
"2016-04-29","43.610001"
"2016-05-02","44.540001"
"2016-05-03","44.000000"
"2016-05-04","43.619999"
"2016-05-05","43.849998"
"2016-05-06","44.500000"
"2016-05-09","43.290001"
"2016-05-10","44.029999"
"2016-05-11","43.509998"
"2016-05-12","43.080002"
"2016-05-13","43.009998"
"2016-05-16","44.290001"
"2016-05-17","44.090000"
"2016-05-18","43.770000"
"2016-05-19","42.669998"
"2016-05-20","43.389999"
"2016-05-23","42.639999"
"2016-05-24","45.419998"
"2016-05-25","44.889999"
"2016-05-26","44.680000"
"2016-05-27","45.900002"
"2016-05-31","45.759998"
"2016-06-01","44.320000"
"2016-06-02","44.680000"
"2016-06-03","43.840000"
"2016-06-06","44.700001"
"2016-06-07","44.299999"
"2016-06-08","42.000000"
"2016-06-09","41.139999"
"2016-06-10","39.930000"
"2016-06-13","39.509998"
"2016-06-14","40.110001"
"2016-06-15","39.250000"
"2016-06-16","39.840000"
"2016-06-17","38.060001"
"2016-06-20","39.130001"
"2016-06-21","39.639999"
"2016-06-22","40.099998"
"2016-06-23","40.650002"
"2016-06-24","39.599998"
"2016-06-27","37.900002"
"2016-06-28","39.910000"
"2016-06-29","40.500000"
"2016-06-30","41.200001"
"2016-07-01","41.130001"
"2016-07-05","40.660000"
"2016-07-06","40.220001"
"2016-07-07","40.060001"
"2016-07-08","40.610001"
"2016-07-11","41.779999"
"2016-07-12","41.950001"
"2016-07-13","42.189999"
"2016-07-14","43.000000"
"2016-07-15","43.080002"
"2016-07-18","43.680000"
"2016-07-19","43.060001"
"2016-07-20","43.480000"
"2016-07-21","43.400002"
"2016-07-22","43.830002"
"2016-07-25","43.730000"
"2016-07-26","44.000000"
"2016-07-27","43.970001"
"2016-07-28","43.790001"
"2016-07-29","43.669998"
"2016-08-01","43.090000"
"2016-08-02","42.560001"
"2016-08-03","42.500000"
"2016-08-04","42.939999"
"2016-08-05","43.049999"
"2016-08-08","43.889999"
"2016-08-09","45.160000"
"2016-08-10","45.529999"
"2016-08-11","45.889999"
"2016-08-12","46.389999"
"2016-08-15","46.980000"
"2016-08-16","46.459999"
"2016-08-17","46.380001"
"2016-08-18","46.290001"
"2016-08-19","46.160000"
"2016-08-22","45.820000"
"2016-08-23","45.939999"
"2016-08-24","45.820000"
"2016-08-25","46.340000"
"2016-08-26","47.439999"
"2016-08-29","47.139999"
"2016-08-30","47.349998"
"2016-08-31","47.349998"
"2016-09-01","48.959999"
"2016-09-02","47.900002"
"2016-09-06","45.959999"
"2016-09-07","44.950001"
"2016-09-08","45.360001"
"2016-09-09","44.139999"
"2016-09-12","44.320000"
"2016-09-13","43.080002"
"2016-09-14","42.830002"
"2016-09-15","43.750000"
"2016-09-16","43.669998"
"2016-09-19","43.770000"
"2016-09-20","44.090000"
"2016-09-21","45.330002"
"2016-09-22","46.099998"
"2016-09-23","46.020000"
"2016-09-26","45.549999"
"2016-09-27","46.250000"
"2016-09-28","46.950001"
"2016-09-29","46.790001"
"2016-09-30","46.570000"
"2016-10-03","46.950001"
"2016-10-04","47.029999"
"2016-10-05","47.450001"
"2016-10-06","47.590000"
"2016-10-07","47.080002"
"2016-10-10","48.160000"
"2016-10-11","46.770000"
"2016-10-12","46.349998"
"2016-10-13","46.310001"
"2016-10-14","46.570000"
"2016-10-17","46.290001"
"2016-10-18","47.060001"
"2016-10-19","47.240002"
"2016-10-20","47.250000"
"2016-10-21","47.610001"
"2016-10-24","48.200001"
"2016-10-25","48.000000"
"2016-10-26","46.689999"
"2016-10-27","45.470001"
"2016-10-28","44.730000"
"2016-10-31","44.150002"
"2016-11-01","43.410000"
"2016-11-02","42.340000"
"2016-11-03","42.450001"
"2016-11-04","42.439999"
"2016-11-07","43.540001"
"2016-11-08","43.570000"
"2016-11-09","42.290001"
"2016-11-10","40.980000"
"2016-11-11","41.099998"
"2016-11-14","40.619999"
"2016-11-15","42.020000"
"2016-11-16","42.160000"
"2016-11-17","42.310001"
"2016-11-18","42.020000"
"2016-11-21","42.259998"
"2016-11-22","41.869999"
"2016-11-23","40.990002"
"2016-11-25","45.009998"
"2016-11-28","44.740002"
"2016-11-29","45.869999"
"2016-11-30","45.230000"
"2016-12-01","44.830002"
"2016-12-02","44.009998"
"2016-12-05","42.970001"
"2016-12-06","42.380001"
"2016-12-07","42.849998"
"2016-12-08","43.169998"
"2016-12-09","43.430000"
"2016-12-12","42.619999"
"2016-12-13","42.610001"
"2016-12-14","41.970001"
"2016-12-15","41.330002"
"2016-12-16","41.000000"
"2016-12-19","40.860001"
"2016-12-20","40.810001"
"2016-12-21","40.700001"
"2016-12-22","40.070000"
"2016-12-23","39.980000"
"2016-12-27","40.150002"
"2016-12-28","39.970001"
"2016-12-29","39.990002"
"2016-12-30","40.000000"
"2017-01-03","40.490002"
"2017-01-04","41.340000"
"2017-01-05","42.799999"
"2017-01-06","42.500000"
"2017-01-09","43.240002"
"2017-01-10","43.709999"
"2017-01-11","43.970001"
"2017-01-12","43.360001"
"2017-01-13","43.529999"
"2017-01-17","44.169998"
"2017-01-18","43.990002"
"2017-01-19","43.540001"
"2017-01-20","43.360001"
"2017-01-23","43.290001"
"2017-01-24","43.880001"
"2017-01-25","43.619999"
"2017-01-26","43.380001"
"2017-01-27","43.400002"
"2017-01-30","43.400002"
"2017-01-31","43.209999"
"2017-02-01","43.009998"
"2017-02-02","42.790001"
"2017-02-03","42.900002"
"2017-02-06","43.049999"
"2017-02-07","42.910000"
"2017-02-08","43.110001"
"2017-02-09","43.389999"
"2017-02-10","44.490002"
"2017-02-13","44.950001"
"2017-02-14","45.070000"
"2017-02-15","45.459999"
"2017-02-16","45.509998"
"2017-02-17","45.630001"
"2017-02-21","47.060001"
"2017-02-22","47.590000"
"2017-02-23","48.279999"
"2017-02-24","48.540001"
"2017-02-27","48.279999"
"2017-02-28","47.439999"
"2017-03-01","47.869999"
"2017-03-02","47.669998"
"2017-03-03","47.820000"
"2017-03-06","47.509998"
"2017-03-07","47.450001"
"2017-03-08","47.349998"
"2017-03-09","47.169998"
"2017-03-10","48.270000"
"2017-03-13","48.990002"
"2017-03-14","49.369999"
"2017-03-15","48.660000"
"2017-03-16","49.000000"
"2017-03-17","49.060001"
"2017-03-20","49.759998"
"2017-03-21","48.040001"
"2017-03-22","48.200001"
"2017-03-23","48.619999"
"2017-03-24","49.180000"
"2017-03-27","49.290001"
"2017-03-28","49.529999"
"2017-03-29","49.689999"
"2017-03-30","49.689999"
"2017-03-31","49.150002"
"2017-04-03","49.520000"
"2017-04-04","49.389999"
"2017-04-05","48.990002"
"2017-04-06","49.130001"
"2017-04-07","50.090000"
"2017-04-10","49.849998"
"2017-04-11","48.900002"
"2017-04-12","48.590000"
"2017-04-13","48.290001"
"2017-04-17","48.610001"
"2017-04-18","48.980000"
"2017-04-19","47.150002"
"2017-04-20","47.020000"
"2017-04-21","47.160000"
"2017-04-24","47.549999"
"2017-04-25","49.099998"
"2017-04-26","49.639999"
"2017-04-27","50.240002"
"2017-04-28","50.509998"
"2017-05-01","52.080002"
"2017-05-02","52.380001"
"2017-05-03","52.310001"
"2017-05-04","52.200001"
"2017-05-05","52.680000"
"2017-05-08","52.970001"
"2017-05-09","55.330002"
"2017-05-10","56.130001"
"2017-05-11","54.150002"
"2017-05-12","55.330002"
"2017-05-15","55.160000"
"2017-05-16","56.430000"
"2017-05-17","54.889999"
"2017-05-18","55.470001"
"2017-05-19","56.150002"
"2017-05-22","55.369999"
"2017-05-23","54.680000"
"2017-05-24","54.939999"
"2017-05-25","55.709999"
"2017-05-26","55.320000"
"2017-05-30","55.169998"
"2017-05-31","54.650002"
"2017-06-01","56.139999"
"2017-06-02","56.150002"
"2017-06-05","56.650002"
"2017-06-06","56.849998"
"2017-06-07","57.380001"
"2017-06-08","58.020000"
"2017-06-09","55.830002"
"2017-06-12","54.860001"
"2017-06-13","55.060001"
"2017-06-14","53.759998"
"2017-06-15","52.639999"
"2017-06-16","52.939999"
"2017-06-19","53.919998"
"2017-06-20","54.070000"
"2017-06-21","55.049999"
"2017-06-22","55.770000"
"2017-06-23","55.630001"
"2017-06-26","54.970001"
"2017-06-27","54.139999"
"2017-06-28","54.849998"
"2017-06-29","53.849998"
"2017-06-30","53.860001"
"2017-07-03","53.869999"
"2017-07-05","54.200001"
"2017-07-06","53.130001"
