"date, price"
"2014-12-04","28.440001"
"2014-12-05","28.190001"
"2014-12-08","28.200001"
"2014-12-09","25.850000"
"2014-12-10","25.340000"
"2014-12-11","25.639999"
"2014-12-12","25.309999"
"2014-12-15","25.250000"
"2014-12-16","24.570000"
"2014-12-17","25.100000"
"2014-12-18","25.910000"
"2014-12-19","26.450001"
"2014-12-22","26.680000"
"2014-12-23","26.600000"
"2014-12-24","26.670000"
"2014-12-26","27.030001"
"2014-12-29","27.490000"
"2014-12-30","27.000000"
"2014-12-31","26.940001"
"2015-01-02","27.299999"
"2015-01-05","26.930000"
"2015-01-06","26.870001"
"2015-01-07","28.250000"
"2015-01-08","29.020000"
"2015-01-09","29.250000"
"2015-01-12","29.270000"
"2015-01-13","29.469999"
"2015-01-14","29.570000"
"2015-01-15","29.180000"
"2015-01-16","29.139999"
"2015-01-20","29.540001"
"2015-01-21","30.080000"
"2015-01-22","30.500000"
"2015-01-23","30.160000"
"2015-01-26","30.660000"
"2015-01-27","30.660000"
"2015-01-28","30.090000"
"2015-01-29","29.549999"
"2015-01-30","30.180000"
"2015-02-02","30.340000"
"2015-02-03","30.889999"
"2015-02-04","30.750000"
"2015-02-05","31.209999"
"2015-02-06","31.309999"
"2015-02-09","31.080000"
"2015-02-10","31.299999"
"2015-02-11","31.260000"
"2015-02-12","31.590000"
"2015-02-13","31.750000"
"2015-02-17","31.760000"
"2015-02-18","31.000000"
"2015-02-19","31.850000"
"2015-02-20","31.950001"
"2015-02-23","31.360001"
"2015-02-24","31.590000"
"2015-02-25","32.189999"
"2015-02-26","32.480000"
"2015-02-27","33.029999"
"2015-03-02","32.959999"
"2015-03-03","32.759998"
"2015-03-04","32.680000"
"2015-03-05","32.799999"
"2015-03-06","32.720001"
"2015-03-09","33.020000"
"2015-03-10","32.360001"
"2015-03-11","32.110001"
"2015-03-12","32.150002"
"2015-03-13","32.040001"
"2015-03-16","32.470001"
"2015-03-17","32.669998"
"2015-03-18","32.860001"
"2015-03-19","33.200001"
"2015-03-20","33.139999"
"2015-03-23","33.150002"
"2015-03-24","32.980000"
"2015-03-25","32.340000"
"2015-03-26","32.459999"
"2015-03-27","32.380001"
"2015-03-30","32.299999"
"2015-03-31","31.690001"
"2015-04-01","31.639999"
"2015-04-02","32.959999"
"2015-04-06","33.080002"
"2015-04-07","32.980000"
"2015-04-08","32.770000"
"2015-04-09","32.380001"
"2015-04-10","32.060001"
"2015-04-13","31.490000"
"2015-04-14","31.870001"
"2015-04-15","32.009998"
"2015-04-16","32.060001"
"2015-04-17","32.090000"
"2015-04-20","32.689999"
"2015-04-21","33.349998"
"2015-04-22","34.090000"
"2015-04-23","34.439999"
"2015-04-24","34.310001"
"2015-04-27","34.060001"
"2015-04-28","33.970001"
"2015-04-29","34.619999"
"2015-04-30","34.040001"
"2015-05-01","33.849998"
"2015-05-04","34.150002"
"2015-05-05","33.799999"
"2015-05-06","33.299999"
"2015-05-07","33.299999"
"2015-05-08","33.770000"
"2015-05-11","33.970001"
"2015-05-12","34.560001"
"2015-05-13","33.930000"
"2015-05-14","34.080002"
"2015-05-15","34.400002"
"2015-05-18","34.830002"
"2015-05-19","34.400002"
"2015-05-20","35.209999"
"2015-05-21","36.250000"
"2015-05-22","36.680000"
"2015-05-26","38.549999"
"2015-05-27","38.650002"
"2015-05-28","38.320000"
"2015-05-29","38.880001"
"2015-06-01","38.889999"
"2015-06-02","38.639999"
"2015-06-03","38.330002"
"2015-06-04","39.340000"
"2015-06-05","40.240002"
"2015-06-08","39.480000"
"2015-06-09","38.790001"
"2015-06-10","38.660000"
"2015-06-11","38.119999"
"2015-06-12","39.000000"
"2015-06-15","38.959999"
"2015-06-16","38.849998"
"2015-06-17","39.770000"
"2015-06-18","39.570000"
"2015-06-19","39.160000"
"2015-06-22","39.200001"
"2015-06-23","39.500000"
"2015-06-24","39.029999"
"2015-06-25","39.299999"
"2015-06-26","39.099998"
"2015-06-29","38.680000"
"2015-06-30","38.770000"
"2015-07-01","38.630001"
"2015-07-02","38.970001"
"2015-07-06","38.549999"
"2015-07-07","38.680000"
"2015-07-08","38.470001"
"2015-07-09","38.770000"
"2015-07-10","39.029999"
"2015-07-13","39.259998"
"2015-07-14","39.439999"
"2015-07-15","39.049999"
"2015-07-16","38.619999"
"2015-07-17","38.040001"
"2015-07-20","38.080002"
"2015-07-21","37.630001"
"2015-07-22","37.730000"
"2015-07-23","37.930000"
"2015-07-24","37.400002"
"2015-07-27","36.500000"
"2015-07-28","36.919998"
"2015-07-29","37.040001"
"2015-07-30","38.860001"
"2015-07-31","40.660000"
"2015-08-03","41.490002"
"2015-08-04","41.209999"
"2015-08-05","40.740002"
"2015-08-06","40.419998"
"2015-08-07","40.360001"
"2015-08-10","41.470001"
"2015-08-11","40.950001"
"2015-08-12","41.360001"
"2015-08-13","41.230000"
"2015-08-14","41.230000"
"2015-08-17","42.000000"
"2015-08-18","42.040001"
"2015-08-19","41.860001"
"2015-08-20","40.740002"
"2015-08-21","40.130001"
"2015-08-24","38.730000"
"2015-08-25","38.130001"
"2015-08-26","38.959999"
