"date, price"
"2019-04-04","35.810001"
"2019-04-05","36.580002"
"2019-04-08","39.220001"
"2019-04-09","38.599998"
"2019-04-10","40.259998"
"2019-04-11","42.060001"
"2019-04-12","41.869999"
"2019-04-15","42.330002"
"2019-04-16","40.820000"
"2019-04-17","39.400002"
"2019-04-18","39.360001"
"2019-04-22","40.049999"
"2019-04-23","39.299999"
"2019-04-24","39.990002"
"2019-04-25","39.799999"
"2019-04-26","40.230000"
"2019-04-29","41.250000"
"2019-04-30","40.250000"
"2019-05-01","40.310001"
"2019-05-02","39.450001"
"2019-05-03","39.169998"
"2019-05-06","40.250000"
"2019-05-07","39.250000"
"2019-05-08","39.889999"
"2019-05-09","41.080002"
"2019-05-10","43.000000"
"2019-05-13","42.980000"
"2019-05-14","43.430000"
"2019-05-15","42.470001"
"2019-05-16","44.009998"
"2019-05-17","43.290001"
"2019-05-20","44.549999"
"2019-05-21","43.459999"
"2019-05-22","43.480000"
"2019-05-23","44.009998"
"2019-05-24","44.250000"
"2019-05-28","43.330002"
"2019-05-29","43.009998"
"2019-05-30","43.970001"
"2019-05-31","45.090000"
"2019-06-03","43.820000"
"2019-06-04","43.520000"
"2019-06-05","44.009998"
"2019-06-06","43.590000"
"2019-06-07","42.900002"
"2019-06-10","43.410000"
"2019-06-11","42.750000"
"2019-06-12","42.580002"
"2019-06-13","41.840000"
"2019-06-14","41.439999"
"2019-06-17","41.820000"
"2019-06-18","42.230000"
"2019-06-19","43.029999"
"2019-06-20","42.950001"
"2019-06-21","43.209999"
"2019-06-24","41.509998"
"2019-06-25","41.090000"
"2019-06-26","41.520000"
"2019-06-27","42.430000"
"2019-06-28","43.810001"
"2019-07-01","43.869999"
"2019-07-02","44.119999"
"2019-07-03","45.500000"
"2019-07-05","46.320000"
"2019-07-08","46.849998"
"2019-07-09","47.060001"
"2019-07-10","47.880001"
"2019-07-11","49.330002"
"2019-07-12","48.250000"
"2019-07-15","47.389999"
"2019-07-16","47.830002"
"2019-07-17","48.400002"
"2019-07-18","49.709999"
"2019-07-19","49.500000"
"2019-07-22","50.000000"
"2019-07-23","50.040001"
"2019-07-24","46.430000"
"2019-07-25","46.610001"
"2019-07-26","48.169998"
"2019-07-29","47.639999"
"2019-07-30","47.220001"
"2019-07-31","47.360001"
"2019-08-01","45.700001"
"2019-08-02","46.500000"
"2019-08-05","45.310001"
"2019-08-06","45.400002"
"2019-08-07","45.860001"
"2019-08-08","44.240002"
"2019-08-09","45.230000"
"2019-08-12","45.980000"
"2019-08-13","45.480000"
"2019-08-14","44.209999"
"2019-08-15","44.990002"
"2019-08-16","44.880001"
"2019-08-19","44.990002"
"2019-08-20","45.799999"
"2019-08-21","45.849998"
"2019-08-22","45.009998"
"2019-08-23","44.209999"
"2019-08-26","42.900002"
"2019-08-27","42.790001"
"2019-08-28","42.730000"
"2019-08-29","43.740002"
"2019-08-30","42.590000"
"2019-09-03","40.580002"
"2019-09-04","42.119999"
"2019-09-05","42.549999"
"2019-09-06","41.990002"
"2019-09-09","41.480000"
"2019-09-10","40.750000"
"2019-09-11","40.709999"
"2019-09-12","39.770000"
"2019-09-13","39.130001"
"2019-09-16","39.509998"
"2019-09-17","39.090000"
"2019-09-18","40.160000"
"2019-09-19","39.660000"
"2019-09-20","40.250000"
"2019-09-23","40.150002"
"2019-09-24","39.529999"
"2019-09-25","39.750000"
"2019-09-26","37.404999"
"2019-09-27","36.520000"
"2019-09-30","36.980000"
"2019-10-01","37.820000"
"2019-10-02","38.580002"
"2019-10-03","39.150002"
"2019-10-04","39.650002"
"2019-10-07","40.200001"
"2019-10-08","38.830002"
"2019-10-09","39.830002"
"2019-10-10","41.049999"
"2019-10-11","40.270000"
"2019-10-14","39.910000"
"2019-10-15","39.910000"
"2019-10-16","42.270000"
"2019-10-17","43.250000"
"2019-10-18","41.500000"
"2019-10-21","42.660000"
"2019-10-22","41.930000"
"2019-10-23","40.430000"
"2019-10-24","41.130001"
"2019-10-25","40.849998"
"2019-10-28","41.840000"
"2019-10-29","41.799999"
"2019-10-30","41.939999"
"2019-10-31","41.750000"
"2019-11-01","41.650002"
"2019-11-04","40.740002"
"2019-11-05","40.139999"
"2019-11-06","40.580002"
"2019-11-07","41.470001"
"2019-11-08","42.689999"
"2019-11-11","42.860001"
"2019-11-12","43.070000"
"2019-11-13","43.330002"
"2019-11-14","42.759998"
"2019-11-15","43.150002"
"2019-11-18","43.529999"
"2019-11-19","43.270000"
"2019-11-20","44.669998"
"2019-11-21","44.450001"
"2019-11-22","44.590000"
"2019-11-25","45.270000"
"2019-11-26","44.720001"
"2019-11-27","44.549999"
"2019-11-29","44.730000"
"2019-12-02","44.169998"
"2019-12-03","44.709999"
"2019-12-04","44.689999"
"2019-12-05","45.040001"
"2019-12-06","45.410000"
"2019-12-09","45.320000"
"2019-12-10","45.400002"
"2019-12-11","45.180000"
"2019-12-12","44.680000"
"2019-12-13","44.820000"
"2019-12-16","46.110001"
"2019-12-17","45.880001"
"2019-12-18","45.910000"
"2019-12-19","46.799999"
"2019-12-20","46.759998"
"2019-12-23","46.189999"
"2019-12-24","46.919998"
"2019-12-26","46.869999"
"2019-12-27","46.750000"
"2019-12-30","46.759998"
"2019-12-31","46.349998"
"2020-01-02","46.730000"
"2020-01-03","46.669998"
"2020-01-06","46.110001"
"2020-01-07","45.400002"
"2020-01-08","46.189999"
"2020-01-09","46.669998"
"2020-01-10","46.169998"
"2020-01-13","45.750000"
"2020-01-14","45.709999"
"2020-01-15","45.770000"
"2020-01-16","45.660000"
"2020-01-17","45.750000"
"2020-01-21","45.820000"
"2020-01-22","45.070000"
"2020-01-23","44.900002"
"2020-01-24","45.040001"
"2020-01-27","44.619999"
"2020-01-28","44.349998"
"2020-01-29","44.110001"
"2020-01-30","44.950001"
"2020-01-31","46.180000"
"2020-02-03","46.709999"
"2020-02-04","46.330002"
"2020-02-05","45.439999"
"2020-02-06","44.849998"
"2020-02-07","44.980000"
"2020-02-10","45.139999"
"2020-02-11","46.180000"
"2020-02-12","46.889999"
"2020-02-13","47.320000"
"2020-02-14","49.450001"
"2020-02-18","48.860001"
"2020-02-19","50.070000"
"2020-02-20","51.680000"
"2020-02-21","51.794998"
"2020-02-24","51.150002"
"2020-02-25","49.779999"
"2020-02-26","50.000000"
"2020-02-27","48.770000"
"2020-02-28","48.220001"
"2020-03-02","50.259998"
"2020-03-03","51.840000"
"2020-03-04","51.700001"
"2020-03-05","51.119999"
"2020-03-06","49.580002"
"2020-03-09","46.849998"
"2020-03-10","49.730000"
"2020-03-11","48.630001"
"2020-03-12","43.230000"
"2020-03-13","43.400002"
"2020-03-16","38.869999"
"2020-03-17","40.070000"
"2020-03-18","36.220001"
"2020-03-19","40.000000"
"2020-03-20","39.270000"
"2020-03-23","36.639999"
"2020-03-24","40.349998"
"2020-03-25","41.610001"
"2020-03-26","42.639999"
"2020-03-27","42.099998"
"2020-03-30","41.970001"
"2020-03-31","42.040001"
"2020-04-01","42.709999"
"2020-04-02","45.689999"
"2020-04-03","45.439999"
"2020-04-06","48.110001"
"2020-04-07","48.250000"
"2020-04-08","49.279999"
"2020-04-09","47.439999"
"2020-04-13","47.139999"
"2020-04-14","49.529999"
"2020-04-15","51.570000"
"2020-04-16","53.160000"
"2020-04-17","51.630001"
