"date, price"
"2014-12-04","61.750000"
"2014-12-05","63.029999"
"2014-12-08","64.250000"
"2014-12-09","62.520000"
"2014-12-10","63.689999"
"2014-12-11","65.800003"
"2014-12-12","64.099998"
"2014-12-15","64.040001"
"2014-12-16","61.630001"
"2014-12-17","62.849998"
"2014-12-18","64.250000"
"2014-12-19","64.139999"
"2014-12-22","64.000000"
"2014-12-23","62.480000"
"2014-12-24","64.930000"
"2014-12-26","65.279999"
"2014-12-29","65.220001"
"2014-12-30","66.050003"
"2014-12-31","66.889999"
"2015-01-02","66.339996"
"2015-01-05","66.150002"
"2015-01-06","64.580002"
"2015-01-07","65.529999"
"2015-01-08","66.639999"
"2015-01-09","65.339996"
"2015-01-12","65.919998"
"2015-01-13","66.410004"
"2015-01-14","64.050003"
"2015-01-15","63.830002"
"2015-01-16","65.750000"
"2015-01-20","68.029999"
"2015-01-21","69.209999"
"2015-01-22","72.339996"
"2015-01-23","73.099998"
"2015-01-26","73.620003"
"2015-01-27","71.800003"
"2015-01-28","70.769997"
"2015-01-29","73.529999"
"2015-01-30","69.370003"
"2015-02-02","69.379997"
"2015-02-03","67.970001"
"2015-02-04","71.699997"
"2015-02-05","69.599998"
"2015-02-06","67.580002"
"2015-02-09","64.570000"
"2015-02-10","67.629997"
"2015-02-11","67.120003"
"2015-02-12","67.339996"
"2015-02-13","66.230003"
"2015-02-17","64.930000"
"2015-02-18","66.720001"
"2015-02-19","66.089996"
"2015-02-20","68.010002"
"2015-02-23","68.839996"
"2015-02-24","70.889999"
"2015-02-25","68.690002"
"2015-02-26","67.419998"
"2015-02-27","65.180000"
"2015-03-02","66.809998"
"2015-03-03","69.000000"
"2015-03-04","68.669998"
"2015-03-05","67.919998"
"2015-03-06","66.669998"
"2015-03-09","66.150002"
"2015-03-10","64.610001"
"2015-03-11","65.970001"
"2015-03-12","67.739998"
"2015-03-13","67.570000"
"2015-03-16","67.919998"
"2015-03-17","69.089996"
"2015-03-18","68.099998"
"2015-03-19","70.089996"
"2015-03-20","69.449997"
"2015-03-23","67.610001"
"2015-03-24","67.629997"
"2015-03-25","65.559998"
"2015-03-26","64.970001"
"2015-03-27","67.750000"
"2015-03-30","68.190002"
"2015-03-31","67.250000"
"2015-04-01","64.010002"
"2015-04-02","61.880001"
"2015-04-06","60.119999"
"2015-04-07","59.570000"
"2015-04-08","60.549999"
"2015-04-09","61.160000"
"2015-04-10","61.049999"
"2015-04-13","61.009998"
"2015-04-14","60.250000"
"2015-04-15","60.990002"
"2015-04-16","62.200001"
"2015-04-17","61.490002"
"2015-04-20","62.400002"
"2015-04-21","63.700001"
"2015-04-22","64.019997"
"2015-04-23","62.799999"
"2015-04-24","63.509998"
"2015-04-27","61.980000"
"2015-04-28","61.419998"
"2015-04-29","59.869999"
"2015-04-30","59.740002"
"2015-05-01","61.400002"
"2015-05-04","60.919998"
"2015-05-05","59.230000"
"2015-05-06","59.439999"
"2015-05-07","62.520000"
"2015-05-08","62.439999"
"2015-05-11","62.950001"
"2015-05-12","61.860001"
"2015-05-13","61.230000"
"2015-05-14","61.750000"
"2015-05-15","61.599998"
"2015-05-18","62.250000"
"2015-05-19","60.810001"
"2015-05-20","54.540001"
"2015-05-21","54.130001"
"2015-05-22","53.689999"
"2015-05-26","51.919998"
"2015-05-27","53.700001"
"2015-05-28","53.490002"
"2015-05-29","54.590000"
"2015-06-01","56.310001"
"2015-06-02","55.950001"
"2015-06-03","55.869999"
"2015-06-04","54.570000"
"2015-06-05","54.090000"
"2015-06-08","51.730000"
"2015-06-09","52.580002"
"2015-06-10","52.419998"
"2015-06-11","52.500000"
"2015-06-12","52.869999"
"2015-06-15","52.250000"
"2015-06-16","51.230000"
"2015-06-17","51.320000"
"2015-06-18","52.009998"
"2015-06-19","53.250000"
"2015-06-22","54.799999"
"2015-06-23","55.230000"
"2015-06-24","54.459999"
"2015-06-25","54.939999"
"2015-06-26","54.480000"
"2015-06-29","52.810001"
"2015-06-30","53.009998"
"2015-07-01","51.689999"
"2015-07-02","51.500000"
"2015-07-06","53.849998"
"2015-07-07","54.310001"
"2015-07-08","52.820000"
"2015-07-09","53.259998"
"2015-07-10","55.509998"
"2015-07-13","56.389999"
"2015-07-14","55.730000"
"2015-07-15","55.500000"
"2015-07-16","54.980000"
"2015-07-17","55.389999"
"2015-07-20","55.349998"
"2015-07-21","55.970001"
"2015-07-22","57.070000"
"2015-07-23","56.669998"
"2015-07-24","56.490002"
"2015-07-27","56.810001"
"2015-07-28","58.419998"
"2015-07-29","57.209999"
"2015-07-30","56.840000"
"2015-07-31","56.389999"
"2015-08-03","58.320000"
"2015-08-04","58.950001"
"2015-08-05","58.110001"
"2015-08-06","57.509998"
"2015-08-07","56.740002"
"2015-08-10","57.150002"
"2015-08-11","57.869999"
"2015-08-12","57.410000"
"2015-08-13","58.349998"
"2015-08-14","58.529999"
"2015-08-17","59.599998"
"2015-08-18","58.509998"
"2015-08-19","58.230000"
"2015-08-20","56.590000"
"2015-08-21","55.090000"
"2015-08-24","52.330002"
"2015-08-25","52.099998"
"2015-08-26","53.950001"
"2015-08-27","53.360001"
"2015-08-28","57.119999"
"2015-08-31","56.970001"
"2015-09-01","57.130001"
"2015-09-02","57.290001"
"2015-09-03","57.250000"
"2015-09-04","56.689999"
"2015-09-08","57.509998"
"2015-09-09","57.669998"
"2015-09-10","56.900002"
"2015-09-11","56.830002"
"2015-09-14","57.450001"
"2015-09-15","57.279999"
"2015-09-16","57.950001"
"2015-09-17","61.560001"
"2015-09-18","60.310001"
"2015-09-21","60.450001"
"2015-09-22","58.240002"
"2015-09-23","58.169998"
"2015-09-24","56.330002"
"2015-09-25","55.419998"
"2015-09-28","53.720001"
"2015-09-29","52.459999"
"2015-09-30","53.049999"
"2015-10-01","53.000000"
"2015-10-02","51.759998"
"2015-10-05","53.330002"
"2015-10-06","50.779999"
"2015-10-07","51.580002"
"2015-10-08","52.259998"
"2015-10-09","55.709999"
"2015-10-12","57.799999"
"2015-10-13","57.299999"
"2015-10-14","57.509998"
"2015-10-15","57.759998"
"2015-10-16","55.970001"
"2015-10-19","56.750000"
"2015-10-20","55.750000"
"2015-10-21","54.549999"
"2015-10-22","56.049999"
"2015-10-23","59.680000"
"2015-10-26","61.020000"
"2015-10-27","60.939999"
"2015-10-28","59.549999"
"2015-10-29","60.250000"
"2015-10-30","60.310001"
"2015-11-02","60.599998"
"2015-11-03","60.840000"
"2015-11-04","60.290001"
"2015-11-05","60.299999"
"2015-11-06","61.490002"
"2015-11-09","60.150002"
"2015-11-10","60.060001"
"2015-11-11","59.639999"
"2015-11-12","59.250000"
"2015-11-13","58.799999"
"2015-11-16","58.080002"
"2015-11-17","57.380001"
"2015-11-18","57.709999"
"2015-11-19","58.500000"
"2015-11-20","58.810001"
"2015-11-23","58.560001"
"2015-11-24","56.799999"
"2015-11-25","56.220001"
"2015-11-27","56.820000"
"2015-11-30","55.730000"
"2015-12-01","56.990002"
"2015-12-02","57.910000"
"2015-12-03","56.740002"
"2015-12-04","58.939999"
"2015-12-07","60.520000"
"2015-12-08","58.650002"
"2015-12-09","57.860001"
"2015-12-10","59.529999"
"2015-12-11","57.029999"
"2015-12-14","57.299999"
"2015-12-15","57.900002"
"2015-12-16","58.869999"
"2015-12-17","57.320000"
"2015-12-18","56.919998"
"2015-12-21","58.049999"
"2015-12-22","58.000000"
"2015-12-23","58.349998"
"2015-12-24","59.779999"
"2015-12-28","59.009998"
"2015-12-29","59.299999"
"2015-12-30","57.509998"
"2015-12-31","57.299999"
"2016-01-04","55.610001"
"2016-01-05","55.060001"
"2016-01-06","55.200001"
"2016-01-07","52.630001"
"2016-01-08","51.889999"
"2016-01-11","51.619999"
"2016-01-12","50.860001"
"2016-01-13","48.060001"
"2016-01-14","47.830002"
"2016-01-15","45.669998"
"2016-01-19","45.180000"
"2016-01-20","45.119999"
"2016-01-21","45.330002"
"2016-01-22","46.720001"
"2016-01-25","46.439999"
"2016-01-26","47.230000"
"2016-01-27","47.709999"
"2016-01-28","46.110001"
"2016-01-29","48.279999"
"2016-02-01","48.860001"
"2016-02-02","46.450001"
"2016-02-03","47.570000"
"2016-02-04","48.410000"
"2016-02-05","46.860001"
"2016-02-08","45.680000"
"2016-02-09","46.480000"
"2016-02-10","47.709999"
"2016-02-11","46.980000"
"2016-02-12","48.349998"
"2016-02-16","48.869999"
"2016-02-17","50.610001"
"2016-02-18","51.939999"
"2016-02-19","53.820000"
"2016-02-22","55.490002"
"2016-02-23","55.450001"
"2016-02-24","56.259998"
"2016-02-25","56.860001"
"2016-02-26","56.580002"
"2016-02-29","57.259998"
"2016-03-01","58.400002"
"2016-03-02","57.919998"
"2016-03-03","58.340000"
"2016-03-04","58.000000"
"2016-03-07","57.610001"
"2016-03-08","56.340000"
"2016-03-09","57.439999"
"2016-03-10","57.259998"
"2016-03-11","58.369999"
"2016-03-14","58.980000"
"2016-03-15","58.049999"
"2016-03-16","58.770000"
"2016-03-17","58.840000"
"2016-03-18","60.410000"
"2016-03-21","61.189999"
"2016-03-22","60.490002"
"2016-03-23","59.740002"
"2016-03-24","57.840000"
"2016-03-28","57.910000"
"2016-03-29","58.660000"
"2016-03-30","59.820000"
"2016-03-31","59.860001"
"2016-04-01","56.720001"
"2016-04-04","55.849998"
"2016-04-05","55.580002"
"2016-04-06","55.139999"
"2016-04-07","53.160000"
"2016-04-08","53.080002"
"2016-04-11","53.709999"
"2016-04-12","54.070000"
"2016-04-13","55.580002"
"2016-04-14","56.730000"
"2016-04-15","56.900002"
"2016-04-18","56.980000"
"2016-04-19","58.049999"
"2016-04-20","58.599998"
"2016-04-21","52.759998"
"2016-04-22","50.740002"
"2016-04-25","49.369999"
"2016-04-26","49.139999"
"2016-04-27","48.939999"
"2016-04-28","48.060001"
"2016-04-29","45.810001"
"2016-05-02","46.660000"
"2016-05-03","47.130001"
"2016-05-04","45.549999"
"2016-05-05","44.990002"
"2016-05-06","45.700001"
"2016-05-09","45.709999"
"2016-05-10","47.000000"
"2016-05-11","45.799999"
"2016-05-12","43.779999"
"2016-05-13","43.840000"
"2016-05-16","44.590000"
"2016-05-17","45.049999"
"2016-05-18","45.270000"
"2016-05-19","44.009998"
"2016-05-20","44.490002"
"2016-05-23","44.200001"
"2016-05-24","44.990002"
"2016-05-25","45.130001"
"2016-05-26","44.500000"
"2016-05-27","45.180000"
"2016-05-31","45.090000"
"2016-06-01","45.250000"
"2016-06-02","45.169998"
"2016-06-03","44.299999"
"2016-06-06","44.529999"
"2016-06-07","45.810001"
"2016-06-08","45.689999"
"2016-06-09","46.700001"
"2016-06-10","46.080002"
"2016-06-13","44.060001"
"2016-06-14","42.090000"
"2016-06-15","42.889999"
"2016-06-16","41.830002"
"2016-06-17","42.619999"
"2016-06-20","43.400002"
"2016-06-21","44.860001"
"2016-06-22","45.090000"
"2016-06-23","45.169998"
"2016-06-24","41.060001"
"2016-06-27","37.750000"
"2016-06-28","38.950001"
"2016-06-29","40.570000"
"2016-06-30","41.040001"
"2016-07-01","41.369999"
"2016-07-05","40.290001"
"2016-07-06","39.310001"
"2016-07-07","40.090000"
"2016-07-08","41.480000"
"2016-07-11","42.410000"
