"date, price"
"2019-12-05","44.500000"
"2019-12-06","43.610001"
"2019-12-09","41.410000"
"2019-12-10","40.549999"
"2019-12-11","39.830002"
"2019-12-12","40.490002"
"2019-12-13","41.540001"
"2019-12-16","42.349998"
"2019-12-17","42.709999"
"2019-12-18","43.599998"
"2019-12-19","44.299999"
"2019-12-20","45.980000"
"2019-12-23","44.700001"
"2019-12-24","44.259998"
"2019-12-26","45.049999"
"2019-12-27","44.430000"
"2019-12-30","43.930000"
"2019-12-31","44.869999"
"2020-01-02","45.299999"
"2020-01-03","45.349998"
"2020-01-06","46.040001"
"2020-01-07","46.439999"
"2020-01-08","45.599998"
"2020-01-09","44.750000"
"2020-01-10","44.889999"
"2020-01-13","44.759998"
"2020-01-14","44.139999"
"2020-01-15","43.860001"
"2020-01-16","44.200001"
"2020-01-17","43.549999"
"2020-01-21","42.939999"
"2020-01-22","42.500000"
"2020-01-23","40.700001"
"2020-01-24","39.470001"
"2020-01-27","39.459999"
"2020-01-28","39.810001"
"2020-01-29","39.110001"
"2020-01-30","38.360001"
"2020-01-31","37.980000"
"2020-02-03","36.740002"
"2020-02-04","37.220001"
"2020-02-05","38.599998"
"2020-02-06","38.400002"
"2020-02-07","38.790001"
"2020-02-10","37.930000"
"2020-02-11","39.160000"
"2020-02-12","39.240002"
"2020-02-13","38.689999"
"2020-02-14","38.980000"
"2020-02-18","39.070000"
"2020-02-19","39.490002"
"2020-02-20","33.700001"
"2020-02-21","32.799999"
"2020-02-24","31.230000"
"2020-02-25","29.879999"
"2020-02-26","29.190001"
"2020-02-27","28.299999"
"2020-02-28","30.000000"
"2020-03-02","29.180000"
"2020-03-03","28.320000"
"2020-03-04","28.780001"
"2020-03-05","26.500000"
"2020-03-06","26.209999"
"2020-03-09","23.680000"
"2020-03-10","24.670000"
"2020-03-11","23.879999"
"2020-03-12","20.510000"
"2020-03-13","20.450001"
"2020-03-16","18.040001"
"2020-03-17","16.889999"
"2020-03-18","14.800000"
"2020-03-19","17.430000"
"2020-03-20","16.330000"
"2020-03-23","14.960000"
"2020-03-24","17.150000"
"2020-03-25","17.900000"
"2020-03-26","17.510000"
"2020-03-27","15.810000"
"2020-03-30","17.180000"
"2020-03-31","17.830000"
"2020-04-01","16.240000"
"2020-04-02","16.860001"
"2020-04-03","16.160000"
"2020-04-06","17.860001"
"2020-04-07","17.879999"
"2020-04-08","19.160000"
"2020-04-09","19.559999"
"2020-04-13","18.950001"
"2020-04-14","18.760000"
"2020-04-15","17.590000"
"2020-04-16","16.830000"
"2020-04-17","18.120001"
"2020-04-20","17.670000"
"2020-04-21","17.110001"
"2020-04-22","17.290001"
"2020-04-23","17.610001"
"2020-04-24","18.600000"
"2020-04-27","19.900000"
"2020-04-28","20.070000"
"2020-04-29","21.660000"
"2020-04-30","19.629999"
"2020-05-01","19.530001"
"2020-05-04","18.730000"
"2020-05-05","17.760000"
"2020-05-06","17.270000"
"2020-05-07","19.469999"
"2020-05-08","20.850000"
"2020-05-11","21.020000"
"2020-05-12","21.280001"
"2020-05-13","19.559999"
"2020-05-14","20.219999"
"2020-05-15","20.450001"
"2020-05-18","22.450001"
"2020-05-19","23.059999"
"2020-05-20","23.420000"
"2020-05-21","23.570000"
"2020-05-22","23.120001"
"2020-05-26","25.420000"
"2020-05-27","26.000000"
"2020-05-28","25.370001"
"2020-05-29","24.530001"
"2020-06-01","25.959999"
"2020-06-02","25.530001"
"2020-06-03","26.969999"
"2020-06-04","28.150000"
"2020-06-05","28.459999"
"2020-06-08","31.760000"
"2020-06-09","29.400000"
"2020-06-10","27.240000"
"2020-06-11","26.120001"
"2020-06-12","25.900000"
"2020-06-15","27.840000"
"2020-06-16","27.170000"
"2020-06-17","26.250000"
"2020-06-18","27.100000"
"2020-06-19","26.120001"
"2020-06-22","25.959999"
"2020-06-23","26.110001"
"2020-06-24","25.959999"
"2020-06-25","25.250000"
"2020-06-26","24.350000"
"2020-06-29","25.570000"
"2020-06-30","25.600000"
"2020-07-01","26.190001"
"2020-07-02","25.610001"
"2020-07-06","25.850000"
"2020-07-07","25.230000"
"2020-07-08","25.049999"
