"date, price"
"2014-12-04","12.850000"
"2014-12-05","13.000000"
"2014-12-08","12.680000"
"2014-12-09","13.290000"
"2014-12-10","12.450000"
"2014-12-11","12.290000"
"2014-12-12","12.370000"
"2014-12-15","12.560000"
"2014-12-16","12.480000"
"2014-12-17","12.970000"
"2014-12-18","13.100000"
"2014-12-19","12.650000"
"2014-12-22","12.640000"
"2014-12-23","12.560000"
"2014-12-24","12.660000"
"2014-12-26","12.700000"
"2014-12-29","12.500000"
"2014-12-30","12.120000"
"2014-12-31","12.100000"
"2015-01-02","11.830000"
"2015-01-05","11.780000"
"2015-01-06","11.650000"
"2015-01-07","11.830000"
"2015-01-08","12.060000"
"2015-01-09","11.980000"
"2015-01-12","12.040000"
"2015-01-13","12.270000"
"2015-01-14","11.990000"
"2015-01-15","11.900000"
"2015-01-16","12.050000"
"2015-01-20","11.730000"
"2015-01-21","11.350000"
"2015-01-22","11.750000"
"2015-01-23","11.660000"
"2015-01-26","11.770000"
"2015-01-27","11.640000"
"2015-01-28","11.230000"
"2015-01-29","11.750000"
"2015-01-30","10.770000"
"2015-02-02","11.020000"
"2015-02-03","11.240000"
"2015-02-04","10.930000"
"2015-02-05","11.200000"
"2015-02-06","11.250000"
"2015-02-09","11.000000"
"2015-02-10","11.080000"
"2015-02-11","10.950000"
"2015-02-12","11.020000"
"2015-02-13","11.090000"
"2015-02-17","11.300000"
"2015-02-18","11.740000"
"2015-02-19","12.110000"
"2015-02-20","12.580000"
"2015-02-23","12.540000"
"2015-02-24","12.610000"
"2015-02-25","12.900000"
"2015-02-26","13.290000"
"2015-02-27","13.180000"
"2015-03-02","14.930000"
"2015-03-03","15.120000"
"2015-03-04","14.780000"
"2015-03-05","14.950000"
"2015-03-06","14.500000"
"2015-03-09","14.100000"
"2015-03-10","14.280000"
"2015-03-11","14.230000"
"2015-03-12","14.800000"
"2015-03-13","15.100000"
"2015-03-16","15.650000"
"2015-03-17","15.740000"
"2015-03-18","15.790000"
"2015-03-19","15.580000"
"2015-03-20","15.650000"
"2015-03-23","15.200000"
"2015-03-24","15.130000"
"2015-03-25","14.740000"
"2015-03-26","14.890000"
"2015-03-27","14.750000"
"2015-03-30","14.860000"
"2015-03-31","15.200000"
"2015-04-01","15.370000"
"2015-04-02","15.400000"
"2015-04-06","15.250000"
"2015-04-07","15.190000"
"2015-04-08","15.240000"
"2015-04-09","15.150000"
"2015-04-10","16.209999"
"2015-04-13","17.209999"
"2015-04-14","16.990000"
"2015-04-15","17.160000"
