"date, price"
"2014-12-04","118.709999"
"2014-12-05","117.949997"
"2014-12-08","119.379997"
"2014-12-09","120.300003"
"2014-12-10","117.199997"
"2014-12-11","120.779999"
"2014-12-12","118.550003"
"2014-12-15","112.879997"
"2014-12-16","110.860001"
"2014-12-17","111.849998"
"2014-12-18","117.739998"
"2014-12-19","118.900002"
"2014-12-22","116.680000"
"2014-12-23","113.750000"
"2014-12-24","115.150002"
"2014-12-26","118.410004"
"2014-12-29","119.790001"
"2014-12-30","119.150002"
"2014-12-31","118.800003"
"2015-01-02","123.070000"
"2015-01-05","121.029999"
"2015-01-06","117.360001"
"2015-01-07","120.660004"
"2015-01-08","123.970001"
"2015-01-09","122.209999"
"2015-01-12","118.309998"
"2015-01-13","120.599998"
"2015-01-14","120.379997"
"2015-01-15","117.779999"
"2015-01-16","122.860001"
"2015-01-20","124.739998"
"2015-01-21","125.089996"
"2015-01-22","127.300003"
"2015-01-23","125.570000"
"2015-01-26","125.120003"
"2015-01-27","123.669998"
"2015-01-28","121.260002"
"2015-01-29","114.139999"
"2015-01-30","110.139999"
"2015-02-02","111.180000"
"2015-02-03","108.720001"
"2015-02-04","109.269997"
"2015-02-05","111.589996"
"2015-02-06","108.660004"
"2015-02-09","107.879997"
"2015-02-10","108.430000"
"2015-02-11","108.620003"
"2015-02-12","109.629997"
"2015-02-13","113.660004"
"2015-02-17","113.400002"
"2015-02-18","113.570000"
"2015-02-19","111.970001"
"2015-02-20","118.610001"
"2015-02-23","117.120003"
"2015-02-24","116.919998"
"2015-02-25","118.839996"
"2015-02-26","119.970001"
"2015-02-27","119.430000"
"2015-03-02","120.169998"
"2015-03-03","123.519997"
"2015-03-04","120.050003"
"2015-03-05","126.959999"
"2015-03-06","126.339996"
"2015-03-09","126.980003"
"2015-03-10","124.139999"
"2015-03-11","122.639999"
"2015-03-12","123.309998"
"2015-03-13","124.000000"
"2015-03-16","127.730003"
"2015-03-17","129.149994"
"2015-03-18","129.789993"
"2015-03-19","134.250000"
"2015-03-20","131.000000"
"2015-03-23","125.790001"
"2015-03-24","124.339996"
"2015-03-25","118.639999"
"2015-03-26","117.599998"
"2015-03-27","120.339996"
"2015-03-30","121.250000"
"2015-03-31","117.970001"
"2015-04-01","116.430000"
"2015-04-02","117.230003"
"2015-04-06","118.250000"
"2015-04-07","120.470001"
"2015-04-08","123.790001"
"2015-04-09","125.639999"
"2015-04-10","128.470001"
"2015-04-13","127.809998"
"2015-04-14","128.729996"
"2015-04-15","129.199997"
"2015-04-16","128.940002"
"2015-04-17","125.070000"
"2015-04-20","125.550003"
"2015-04-21","132.199997"
"2015-04-22","132.850006"
"2015-04-23","135.820007"
"2015-04-24","133.199997"
"2015-04-27","127.879997"
"2015-04-28","125.470001"
"2015-04-29","123.760002"
"2015-04-30","123.279999"
"2015-05-01","125.599998"
"2015-05-04","126.300003"
"2015-05-05","122.150002"
"2015-05-06","122.930000"
"2015-05-07","125.050003"
"2015-05-08","127.410004"
"2015-05-11","124.080002"
"2015-05-12","124.080002"
"2015-05-13","125.519997"
"2015-05-14","123.000000"
"2015-05-15","126.209999"
"2015-05-18","127.309998"
"2015-05-19","128.309998"
"2015-05-20","126.750000"
"2015-05-21","125.050003"
"2015-05-22","125.080002"
"2015-05-26","122.629997"
"2015-05-27","127.800003"
"2015-05-28","127.400002"
"2015-05-29","128.289993"
"2015-06-01","126.800003"
"2015-06-02","124.800003"
"2015-06-03","126.919998"
"2015-06-04","126.940002"
"2015-06-05","127.349998"
"2015-06-08","125.519997"
"2015-06-09","124.080002"
"2015-06-10","125.180000"
"2015-06-11","126.349998"
"2015-06-12","124.360001"
"2015-06-15","123.500000"
"2015-06-16","123.339996"
"2015-06-17","124.050003"
"2015-06-18","127.629997"
"2015-06-19","128.039993"
"2015-06-22","129.029999"
"2015-06-23","131.619995"
"2015-06-24","129.589996"
"2015-06-25","128.350006"
"2015-06-26","126.870003"
"2015-06-29","122.029999"
"2015-06-30","123.480003"
"2015-07-01","126.190002"
"2015-07-02","131.259995"
"2015-07-06","128.830002"
"2015-07-07","127.480003"
"2015-07-08","121.540001"
"2015-07-09","120.889999"
"2015-07-10","122.949997"
"2015-07-13","124.239998"
"2015-07-14","129.440002"
"2015-07-15","133.529999"
"2015-07-16","133.899994"
"2015-07-17","134.169998"
"2015-07-20","133.470001"
"2015-07-21","130.970001"
"2015-07-22","131.020004"
"2015-07-23","130.850006"
"2015-07-24","125.500000"
"2015-07-27","123.230003"
"2015-07-28","128.300003"
"2015-07-29","125.620003"
"2015-07-30","135.460007"
"2015-07-31","135.000000"
"2015-08-03","136.990005"
"2015-08-04","140.300003"
"2015-08-05","141.220001"
"2015-08-06","139.440002"
"2015-08-07","137.740005"
"2015-08-10","139.630005"
"2015-08-11","135.869995"
"2015-08-12","137.639999"
"2015-08-13","137.369995"
"2015-08-14","136.880005"
"2015-08-17","139.610001"
"2015-08-18","139.759995"
"2015-08-19","141.479996"
"2015-08-20","132.910004"
"2015-08-21","125.470001"
