"date, price"
"2014-12-04","58.230000"
"2014-12-05","58.410000"
"2014-12-08","57.230000"
"2014-12-09","56.590000"
"2014-12-10","54.990002"
"2014-12-11","54.709999"
"2014-12-12","53.320000"
"2014-12-15","54.520000"
"2014-12-16","53.560001"
"2014-12-17","55.259998"
"2014-12-18","56.830002"
"2014-12-19","57.509998"
"2014-12-22","57.000000"
"2014-12-23","56.580002"
"2014-12-24","56.970001"
"2014-12-26","57.599998"
"2014-12-29","57.709999"
"2014-12-30","56.939999"
"2014-12-31","56.369999"
"2015-01-02","56.349998"
"2015-01-05","55.720001"
"2015-01-06","54.180000"
"2015-01-07","56.110001"
"2015-01-08","56.650002"
"2015-01-09","55.840000"
"2015-01-12","55.270000"
"2015-01-13","55.480000"
"2015-01-14","54.590000"
"2015-01-15","52.740002"
"2015-01-16","56.000000"
"2015-01-20","55.130001"
"2015-01-21","54.590000"
"2015-01-22","54.439999"
"2015-01-23","54.209999"
"2015-01-26","56.799999"
"2015-01-27","56.299999"
"2015-01-28","55.240002"
"2015-01-29","54.889999"
"2015-01-30","53.150002"
"2015-02-02","53.189999"
"2015-02-03","54.590000"
"2015-02-04","53.220001"
"2015-02-05","54.299999"
"2015-02-06","53.889999"
"2015-02-09","53.000000"
"2015-02-10","53.970001"
"2015-02-11","53.759998"
"2015-02-12","54.509998"
"2015-02-13","55.849998"
"2015-02-17","56.529999"
"2015-02-18","56.549999"
"2015-02-19","57.220001"
"2015-02-20","57.869999"
"2015-02-23","57.650002"
"2015-02-24","57.220001"
"2015-02-25","56.500000"
"2015-02-26","57.250000"
"2015-02-27","57.330002"
"2015-03-02","57.889999"
"2015-03-03","55.439999"
"2015-03-04","55.610001"
"2015-03-05","56.689999"
"2015-03-06","55.439999"
"2015-03-09","55.740002"
"2015-03-10","55.310001"
"2015-03-11","59.000000"
"2015-03-12","62.299999"
"2015-03-13","59.759998"
"2015-03-16","61.270000"
"2015-03-17","62.720001"
"2015-03-18","64.959999"
"2015-03-19","63.939999"
"2015-03-20","63.060001"
"2015-03-23","63.279999"
"2015-03-24","63.090000"
"2015-03-25","61.230000"
"2015-03-26","61.880001"
"2015-03-27","61.630001"
"2015-03-30","60.000000"
"2015-03-31","59.349998"
"2015-04-01","57.939999"
"2015-04-02","58.099998"
"2015-04-06","58.480000"
"2015-04-07","59.570000"
"2015-04-08","68.360001"
"2015-04-09","70.099998"
"2015-04-10","70.239998"
"2015-04-13","68.559998"
"2015-04-14","68.620003"
"2015-04-15","66.769997"
"2015-04-16","66.830002"
"2015-04-17","69.820000"
"2015-04-20","68.050003"
"2015-04-21","74.070000"
"2015-04-22","72.400002"
"2015-04-23","73.690002"
"2015-04-24","76.059998"
"2015-04-27","71.720001"
"2015-04-28","72.709999"
"2015-04-29","74.500000"
"2015-04-30","72.260002"
"2015-05-01","73.889999"
"2015-05-04","73.050003"
"2015-05-05","72.889999"
"2015-05-06","71.050003"
"2015-05-07","70.389999"
"2015-05-08","71.309998"
"2015-05-11","71.629997"
"2015-05-12","70.330002"
"2015-05-13","70.849998"
"2015-05-14","71.529999"
"2015-05-15","70.669998"
"2015-05-18","71.379997"
"2015-05-19","71.349998"
"2015-05-20","70.449997"
"2015-05-21","69.940002"
"2015-05-22","69.660004"
"2015-05-26","70.550003"
"2015-05-27","72.040001"
"2015-05-28","72.680000"
"2015-05-29","72.629997"
"2015-06-01","73.320000"
"2015-06-02","72.279999"
"2015-06-03","72.389999"
"2015-06-04","74.290001"
"2015-06-05","74.139999"
"2015-06-08","73.650002"
"2015-06-09","73.800003"
"2015-06-10","74.059998"
"2015-06-11","74.110001"
