"date, price"
"2014-12-04","51.520000"
"2014-12-05","51.560001"
"2014-12-08","50.700001"
"2014-12-09","51.189999"
"2014-12-10","49.610001"
"2014-12-11","49.700001"
"2014-12-12","48.040001"
"2014-12-15","47.020000"
"2014-12-16","47.500000"
"2014-12-17","48.779999"
"2014-12-18","49.599998"
"2014-12-19","49.799999"
"2014-12-22","50.040001"
"2014-12-23","50.000000"
"2014-12-24","50.439999"
"2014-12-26","50.299999"
"2014-12-29","50.250000"
"2014-12-30","49.869999"
"2014-12-31","49.230000"
"2015-01-02","48.580002"
"2015-01-05","47.529999"
"2015-01-06","47.189999"
"2015-01-07","47.630001"
"2015-01-08","47.389999"
"2015-01-09","46.250000"
"2015-01-12","44.639999"
"2015-01-13","43.450001"
"2015-01-14","43.490002"
"2015-01-15","42.270000"
"2015-01-16","42.259998"
"2015-01-20","42.500000"
"2015-01-21","44.990002"
"2015-01-22","45.910000"
"2015-01-23","45.360001"
"2015-01-26","45.810001"
"2015-01-27","45.189999"
"2015-01-28","44.939999"
"2015-01-29","45.630001"
"2015-01-30","44.610001"
"2015-02-02","45.310001"
"2015-02-03","46.910000"
"2015-02-04","46.090000"
"2015-02-05","47.040001"
"2015-02-06","47.660000"
"2015-02-09","48.119999"
"2015-02-10","48.220001"
"2015-02-11","48.130001"
"2015-02-12","48.480000"
"2015-02-13","48.590000"
"2015-02-17","49.020000"
"2015-02-18","48.650002"
"2015-02-19","48.250000"
"2015-02-20","48.750000"
"2015-02-23","48.599998"
"2015-02-24","49.389999"
"2015-02-25","49.209999"
"2015-02-26","49.160000"
"2015-02-27","48.549999"
"2015-03-02","48.980000"
"2015-03-03","48.540001"
"2015-03-04","48.630001"
"2015-03-05","48.650002"
"2015-03-06","47.830002"
"2015-03-09","48.919998"
"2015-03-10","47.919998"
"2015-03-11","48.189999"
"2015-03-12","49.389999"
"2015-03-13","48.779999"
"2015-03-16","49.480000"
"2015-03-17","49.419998"
"2015-03-18","50.430000"
"2015-03-19","49.930000"
"2015-03-20","50.730000"
"2015-03-23","50.709999"
"2015-03-24","50.919998"
"2015-03-25","50.599998"
"2015-03-26","50.290001"
"2015-03-27","50.410000"
"2015-03-30","50.980000"
"2015-03-31","51.009998"
"2015-04-01","50.910000"
"2015-04-02","50.950001"
"2015-04-06","51.419998"
"2015-04-07","48.360001"
"2015-04-08","48.529999"
"2015-04-09","48.740002"
"2015-04-10","49.200001"
"2015-04-13","49.259998"
"2015-04-14","49.299999"
"2015-04-15","49.709999"
"2015-04-16","49.360001"
"2015-04-17","48.790001"
"2015-04-20","48.580002"
"2015-04-21","49.130001"
"2015-04-22","48.930000"
"2015-04-23","49.000000"
"2015-04-24","48.459999"
"2015-04-27","48.790001"
"2015-04-28","48.959999"
"2015-04-29","48.520000"
"2015-04-30","47.049999"
"2015-05-01","47.349998"
"2015-05-04","47.389999"
"2015-05-05","46.840000"
"2015-05-06","47.389999"
"2015-05-07","47.990002"
"2015-05-08","48.660000"
"2015-05-11","49.009998"
"2015-05-12","49.160000"
"2015-05-13","49.849998"
"2015-05-14","50.660000"
"2015-05-15","50.650002"
"2015-05-18","51.250000"
"2015-05-19","50.759998"
"2015-05-20","51.080002"
"2015-05-21","53.790001"
"2015-05-22","53.160000"
"2015-05-26","52.139999"
"2015-05-27","52.410000"
"2015-05-28","51.810001"
"2015-05-29","50.939999"
"2015-06-01","51.759998"
"2015-06-02","51.889999"
"2015-06-03","52.959999"
"2015-06-04","53.009998"
"2015-06-05","54.049999"
"2015-06-08","53.520000"
"2015-06-09","53.459999"
"2015-06-10","54.029999"
"2015-06-11","54.200001"
"2015-06-12","53.919998"
"2015-06-15","54.090000"
"2015-06-16","54.529999"
"2015-06-17","54.820000"
"2015-06-18","55.560001"
"2015-06-19","55.310001"
"2015-06-22","55.680000"
"2015-06-23","55.830002"
"2015-06-24","56.250000"
"2015-06-25","56.099998"
"2015-06-26","56.400002"
"2015-06-29","54.939999"
"2015-06-30","54.990002"
"2015-07-01","54.990002"
"2015-07-02","54.799999"
"2015-07-06","54.660000"
"2015-07-07","54.270000"
"2015-07-08","53.459999"
"2015-07-09","52.919998"
"2015-07-10","53.380001"
"2015-07-13","53.189999"
"2015-07-14","54.520000"
"2015-07-15","54.139999"
"2015-07-16","54.080002"
"2015-07-17","53.529999"
"2015-07-20","53.369999"
"2015-07-21","49.049999"
"2015-07-22","49.250000"
"2015-07-23","48.580002"
"2015-07-24","47.369999"
"2015-07-27","46.939999"
"2015-07-28","47.730000"
"2015-07-29","48.549999"
"2015-07-30","48.680000"
"2015-07-31","49.360001"
"2015-08-03","48.580002"
"2015-08-04","47.910000"
"2015-08-05","47.990002"
"2015-08-06","48.130001"
"2015-08-07","48.220001"
"2015-08-10","49.299999"
"2015-08-11","48.270000"
"2015-08-12","48.310001"
"2015-08-13","48.009998"
"2015-08-14","48.259998"
"2015-08-17","48.560001"
"2015-08-18","48.410000"
"2015-08-19","47.750000"
"2015-08-20","46.560001"
"2015-08-21","45.169998"
"2015-08-24","43.639999"
"2015-08-25","43.400002"
"2015-08-26","43.970001"
"2015-08-27","44.930000"
"2015-08-28","44.830002"
"2015-08-31","45.599998"
"2015-09-01","44.060001"
"2015-09-02","45.169998"
"2015-09-03","45.430000"
"2015-09-04","44.360001"
"2015-09-08","45.400002"
"2015-09-09","44.740002"
"2015-09-10","44.320000"
"2015-09-11","44.259998"
"2015-09-14","43.130001"
"2015-09-15","43.669998"
"2015-09-16","44.389999"
"2015-09-17","43.349998"
"2015-09-18","43.259998"
"2015-09-21","43.259998"
"2015-09-22","42.160000"
"2015-09-23","41.299999"
"2015-09-24","40.580002"
"2015-09-25","40.360001"
"2015-09-28","40.000000"
"2015-09-29","40.389999"
"2015-09-30","40.700001"
"2015-10-01","40.259998"
"2015-10-02","40.840000"
"2015-10-05","42.840000"
"2015-10-06","42.900002"
"2015-10-07","44.650002"
"2015-10-08","46.200001"
"2015-10-09","46.369999"
"2015-10-12","45.540001"
"2015-10-13","44.270000"
"2015-10-14","43.259998"
"2015-10-15","43.740002"
"2015-10-16","43.139999"
"2015-10-19","43.000000"
"2015-10-20","43.250000"
"2015-10-21","43.110001"
"2015-10-22","44.709999"
"2015-10-23","45.099998"
"2015-10-26","45.119999"
"2015-10-27","43.759998"
"2015-10-28","45.740002"
"2015-10-29","45.990002"
"2015-10-30","45.500000"
"2015-11-02","46.150002"
"2015-11-03","46.919998"
"2015-11-04","47.480000"
"2015-11-05","47.250000"
"2015-11-06","47.700001"
"2015-11-09","45.950001"
"2015-11-10","48.040001"
"2015-11-11","47.279999"
"2015-11-12","46.049999"
"2015-11-13","46.060001"
"2015-11-16","46.630001"
"2015-11-17","46.310001"
"2015-11-18","47.639999"
"2015-11-19","48.090000"
"2015-11-20","48.310001"
"2015-11-23","48.790001"
"2015-11-24","49.830002"
"2015-11-25","49.680000"
"2015-11-27","50.150002"
"2015-11-30","50.430000"
"2015-12-01","50.740002"
"2015-12-02","50.840000"
"2015-12-03","49.840000"
"2015-12-04","50.880001"
"2015-12-07","49.990002"
"2015-12-08","48.400002"
"2015-12-09","47.919998"
"2015-12-10","48.549999"
"2015-12-11","48.250000"
"2015-12-14","48.709999"
"2015-12-15","49.169998"
"2015-12-16","50.209999"
"2015-12-17","49.709999"
"2015-12-18","49.049999"
"2015-12-21","49.220001"
"2015-12-22","50.009998"
"2015-12-23","50.700001"
"2015-12-24","51.130001"
"2015-12-28","50.549999"
"2015-12-29","50.990002"
"2015-12-30","50.840000"
"2015-12-31","49.660000"
"2016-01-04","49.759998"
