"date, price"
"2014-12-04","35.908951"
"2014-12-05","37.022141"
"2014-12-08","36.482693"
"2014-12-09","36.803867"
"2014-12-10","35.581539"
"2014-12-11","36.504520"
"2014-12-12","36.760212"
"2014-12-15","36.856876"
"2014-12-16","34.870598"
"2014-12-17","34.390396"
"2014-12-18","33.473652"
"2014-12-19","33.956970"
"2014-12-22","33.642033"
"2014-12-23","32.669163"
"2014-12-24","32.616154"
"2014-12-26","32.572498"
"2014-12-29","32.472717"
"2014-12-30","32.082943"
"2014-12-31","33.018398"
"2015-01-02","32.329281"
"2015-01-05","30.427191"
"2015-01-06","30.227627"
"2015-01-07","31.718117"
"2015-01-08","32.410351"
"2015-01-09","32.029934"
"2015-01-12","32.432178"
"2015-01-13","32.500778"
"2015-01-14","32.491425"
"2015-01-15","29.781727"
"2015-01-16","30.037418"
"2015-01-20","29.887747"
"2015-01-21","29.834738"
"2015-01-22","30.523853"
"2015-01-23","33.030869"
"2015-01-26","32.584969"
"2015-01-27","31.936390"
"2015-01-28","30.632990"
"2015-01-29","30.654818"
"2015-01-30","30.221392"
"2015-02-02","29.756783"
"2015-02-03","32.591206"
"2015-02-04","32.217026"
"2015-02-05","32.157780"
"2015-02-06","31.384472"
"2015-02-09","31.951981"
"2015-02-10","31.898972"
"2015-02-11","31.702526"
"2015-02-12","32.662926"
"2015-02-13","33.208607"
"2015-02-17","34.031803"
"2015-02-18","39.130028"
"2015-02-19","37.839104"
"2015-02-20","39.108200"
"2015-02-23","37.832867"
"2015-02-24","36.694729"
"2015-02-25","35.244778"
"2015-02-26","36.376675"
"2015-02-27","35.781105"
"2015-03-02","35.703148"
"2015-03-03","34.820705"
"2015-03-04","35.222950"
"2015-03-05","35.693794"
"2015-03-06","35.085751"
"2015-03-09","34.970379"
"2015-03-10","34.427814"
"2015-03-11","34.106644"
"2015-03-12","33.676334"
"2015-03-13","32.893669"
"2015-03-16","33.108826"
"2015-03-17","32.990334"
"2015-03-18","33.688805"
"2015-03-19","33.978794"
"2015-03-20","33.411289"
"2015-03-23","33.068287"
"2015-03-24","33.345806"
"2015-03-25","32.179607"
"2015-03-26","31.580917"
"2015-03-27","31.372000"
"2015-03-30","31.786716"
"2015-03-31","31.275335"
"2015-04-01","30.336763"
"2015-04-02","31.453072"
"2015-04-06","30.299345"
"2015-04-07","29.560337"
"2015-04-08","30.314936"
"2015-04-09","30.230745"
"2015-04-10","30.449018"
"2015-04-13","28.980354"
"2015-04-14","28.578110"
"2015-04-15","29.816027"
"2015-04-16","30.099783"
"2015-04-17","29.959463"
"2015-04-20","30.215155"
"2015-04-21","30.258808"
"2015-04-22","30.869972"
"2015-04-23","31.141254"
"2015-04-24","30.639227"
"2015-04-27","32.126598"
"2015-04-28","31.892735"
"2015-04-29","31.350170"
"2015-04-30","30.445900"
"2015-05-01","30.473963"
"2015-05-04","29.925163"
"2015-05-05","28.949175"
"2015-05-06","28.512629"
"2015-05-07","28.952291"
"2015-05-08","28.774555"
"2015-05-11","30.767073"
"2015-05-12","30.551918"
"2015-05-13","29.943872"
"2015-05-14","29.784845"
"2015-05-15","29.647646"
"2015-05-18","30.243217"
"2015-05-19","30.205799"
"2015-05-20","29.326473"
"2015-05-21","29.198627"
"2015-05-22","29.067663"
"2015-05-26","29.111319"
"2015-05-27","29.307764"
"2015-05-28","29.014654"
"2015-05-29","28.497038"
"2015-06-01","28.659184"
"2015-06-02","28.992828"
"2015-06-03","28.297474"
"2015-06-04","27.549110"
"2015-06-05","28.082319"
"2015-06-08","27.545994"
"2015-06-09","27.274712"
"2015-06-10","26.953539"
"2015-06-11","27.898348"
"2015-06-12","26.841286"
"2015-06-15","26.919239"
"2015-06-16","26.725912"
"2015-06-17","27.125038"
"2015-06-18","27.121922"
"2015-06-19","28.303711"
"2015-06-22","28.119738"
"2015-06-23","29.126909"
"2015-06-24","28.534456"
"2015-06-25","27.842220"
"2015-06-26","27.252884"
"2015-06-29","27.065794"
"2015-06-30","27.047085"
"2015-07-01","27.486748"
"2015-07-02","27.227940"
"2015-07-06","26.526348"
"2015-07-07","26.445276"
"2015-07-08","26.161522"
"2015-07-09","26.585594"
"2015-07-10","24.530714"
"2015-07-13","25.257250"
"2015-07-14","26.227003"
"2015-07-15","25.990023"
"2015-07-16","26.089804"
"2015-07-17","25.965076"
"2015-07-20","25.188650"
"2015-07-21","25.781103"
"2015-07-22","25.556595"
"2015-07-23","25.148113"
"2015-07-24","24.805115"
"2015-07-27","23.981915"
"2015-07-28","25.004677"
"2015-07-29","24.939196"
"2015-07-30","25.908949"
"2015-07-31","25.413158"
"2015-08-03","23.854069"
"2015-08-04","23.136889"
"2015-08-05","22.581852"
"2015-08-06","23.698160"
"2015-08-07","23.236670"
"2015-08-10","23.361397"
"2015-08-11","22.706579"
"2015-08-12","23.227316"
"2015-08-13","23.373871"
"2015-08-14","22.828188"
"2015-08-17","25.549999"
"2015-08-18","27.010000"
"2015-08-19","26.620001"
"2015-08-20","25.330000"
"2015-08-21","25.150000"
"2015-08-24","24.600000"
"2015-08-25","24.840000"
"2015-08-26","25.570000"
"2015-08-27","25.879999"
"2015-08-28","25.719999"
"2015-08-31","25.379999"
"2015-09-01","25.370001"
"2015-09-02","26.410000"
"2015-09-03","26.709999"
"2015-09-04","26.150000"
"2015-09-08","26.219999"
"2015-09-09","25.570000"
"2015-09-10","26.309999"
"2015-09-11","27.139999"
"2015-09-14","26.610001"
"2015-09-15","27.770000"
"2015-09-16","28.150000"
"2015-09-17","28.410000"
"2015-09-18","29.180000"
"2015-09-21","28.139999"
"2015-09-22","28.070000"
"2015-09-23","28.370001"
"2015-09-24","27.840000"
"2015-09-25","28.420000"
"2015-09-28","28.230000"
"2015-09-29","28.750000"
"2015-09-30","28.730000"
"2015-10-01","27.680000"
"2015-10-02","28.580000"
"2015-10-05","28.990000"
"2015-10-06","29.520000"
"2015-10-07","31.280001"
"2015-10-08","32.740002"
"2015-10-09","34.889999"
"2015-10-12","34.540001"
"2015-10-13","34.459999"
"2015-10-14","33.700001"
"2015-10-15","33.630001"
"2015-10-16","32.939999"
"2015-10-19","33.130001"
"2015-10-20","33.639999"
"2015-10-21","32.779999"
"2015-10-22","33.160000"
"2015-10-23","32.900002"
"2015-10-26","32.689999"
"2015-10-27","31.459999"
"2015-10-28","31.139999"
"2015-10-29","30.520000"
"2015-10-30","30.809999"
"2015-11-02","30.870001"
"2015-11-03","30.990000"
"2015-11-04","28.830000"
"2015-11-05","28.260000"
"2015-11-06","27.920000"
"2015-11-09","27.740000"
"2015-11-10","27.129999"
"2015-11-11","26.740000"
"2015-11-12","26.160000"
"2015-11-13","25.270000"
"2015-11-16","25.610001"
"2015-11-17","26.190001"
"2015-11-18","26.790001"
"2015-11-19","26.450001"
"2015-11-20","26.480000"
"2015-11-23","25.900000"
"2015-11-24","26.410000"
"2015-11-25","26.680000"
"2015-11-27","25.950001"
"2015-11-30","26.030001"
"2015-12-01","25.750000"
"2015-12-02","25.780001"
"2015-12-03","25.930000"
"2015-12-04","26.200001"
"2015-12-07","26.240000"
"2015-12-08","26.480000"
"2015-12-09","25.760000"
"2015-12-10","25.700001"
"2015-12-11","25.490000"
"2015-12-14","25.150000"
"2015-12-15","26.260000"
"2015-12-16","27.340000"
"2015-12-17","26.620001"
"2015-12-18","26.950001"
"2015-12-21","26.430000"
"2015-12-22","26.260000"
"2015-12-23","26.680000"
"2015-12-24","26.490000"
"2015-12-28","26.440001"
"2015-12-29","26.620001"
"2015-12-30","26.420000"
"2015-12-31","26.040001"
"2016-01-04","24.510000"
"2016-01-05","24.040001"
"2016-01-06","23.879999"
"2016-01-07","23.020000"
"2016-01-08","23.889999"
"2016-01-11","23.760000"
"2016-01-12","23.629999"
"2016-01-13","23.000000"
"2016-01-14","22.639999"
"2016-01-15","22.299999"
"2016-01-19","21.799999"
"2016-01-20","21.260000"
"2016-01-21","20.600000"
"2016-01-22","21.469999"
"2016-01-25","20.590000"
"2016-01-26","21.190001"
"2016-01-27","20.719999"
"2016-01-28","20.520000"
"2016-01-29","21.670000"
"2016-02-01","20.920000"
"2016-02-02","19.809999"
"2016-02-03","19.510000"
"2016-02-04","19.910000"
"2016-02-05","18.150000"
"2016-02-08","17.059999"
"2016-02-09","17.209999"
"2016-02-10","17.879999"
"2016-02-11","19.180000"
"2016-02-12","18.860001"
"2016-02-16","19.549999"
"2016-02-17","20.190001"
"2016-02-18","20.379999"
"2016-02-19","21.440001"
"2016-02-22","20.840000"
"2016-02-23","21.760000"
"2016-02-24","21.020000"
"2016-02-25","22.299999"
"2016-02-26","22.350000"
"2016-02-29","23.150000"
"2016-03-01","23.059999"
"2016-03-02","24.080000"
"2016-03-03","24.639999"
"2016-03-04","24.760000"
"2016-03-07","25.230000"
"2016-03-08","25.590000"
"2016-03-09","23.850000"
"2016-03-10","23.350000"
"2016-03-11","24.000000"
"2016-03-14","23.959999"
"2016-03-15","23.139999"
"2016-03-16","23.740000"
"2016-03-17","23.160000"
"2016-03-18","23.400000"
"2016-03-21","23.959999"
"2016-03-22","24.559999"
"2016-03-23","23.709999"
"2016-03-24","24.139999"
"2016-03-28","24.129999"
"2016-03-29","25.090000"
"2016-03-30","24.940001"
"2016-03-31","25.549999"
"2016-04-01","24.790001"
"2016-04-04","23.780001"
"2016-04-05","22.900000"
"2016-04-06","22.690001"
"2016-04-07","21.900000"
"2016-04-08","22.070000"
"2016-04-11","21.049999"
"2016-04-12","21.590000"
"2016-04-13","22.530001"
"2016-04-14","22.620001"
"2016-04-15","22.950001"
"2016-04-18","22.820000"
"2016-04-19","23.190001"
"2016-04-20","24.219999"
"2016-04-21","24.500000"
"2016-04-22","25.670000"
"2016-04-25","25.580000"
"2016-04-26","25.820000"
"2016-04-27","25.520000"
"2016-04-28","25.030001"
"2016-04-29","25.020000"
"2016-05-02","25.969999"
"2016-05-03","25.719999"
"2016-05-04","29.049999"
"2016-05-05","27.490000"
"2016-05-06","27.410000"
"2016-05-09","27.299999"
"2016-05-10","27.850000"
"2016-05-11","28.000000"
"2016-05-12","28.360001"
"2016-05-13","28.230000"
"2016-05-16","29.000000"
"2016-05-17","28.570000"
"2016-05-18","29.040001"
"2016-05-19","27.760000"
"2016-05-20","28.299999"
"2016-05-23","28.290001"
"2016-05-24","29.040001"
"2016-05-25","29.170000"
"2016-05-26","28.780001"
