"date, price"
"2014-12-04","12.180000"
"2014-12-05","12.316667"
"2014-12-08","11.950000"
"2014-12-09","12.066667"
"2014-12-10","11.663333"
"2014-12-11","11.793333"
"2014-12-12","11.613333"
"2014-12-15","11.510000"
"2014-12-16","11.556667"
"2014-12-17","11.923333"
"2014-12-18","12.020000"
"2014-12-19","11.920000"
"2014-12-22","12.143333"
"2014-12-23","12.210000"
"2014-12-24","12.186667"
"2014-12-26","12.226667"
"2014-12-29","12.270000"
"2014-12-30","12.143333"
"2014-12-31","12.076667"
"2015-01-02","11.950000"
"2015-01-05","11.626667"
"2015-01-06","11.163333"
"2015-01-07","11.310000"
"2015-01-08","11.490000"
"2015-01-09","11.466667"
"2015-01-12","11.303333"
"2015-01-13","11.183333"
"2015-01-14","11.216667"
"2015-01-15","11.370000"
"2015-01-16","11.620000"
"2015-01-20","11.513333"
"2015-01-21","11.566667"
"2015-01-22","11.750000"
"2015-01-23","11.490000"
"2015-01-26","11.653333"
"2015-01-27","11.440000"
"2015-01-28","11.233333"
"2015-01-29","11.253333"
"2015-01-30","11.100000"
"2015-02-02","11.226667"
"2015-02-03","11.553333"
"2015-02-04","11.523333"
"2015-02-05","11.733333"
"2015-02-06","11.813333"
"2015-02-09","11.766667"
"2015-02-10","11.843333"
"2015-02-11","11.980000"
"2015-02-12","12.190000"
"2015-02-13","12.026667"
"2015-02-17","11.950000"
"2015-02-18","11.796667"
"2015-02-19","11.843333"
"2015-02-20","11.850000"
"2015-02-23","11.923333"
"2015-02-24","11.856667"
"2015-02-25","11.736667"
"2015-02-26","11.436667"
"2015-02-27","11.436667"
"2015-03-02","11.556667"
"2015-03-03","11.373333"
"2015-03-04","11.413333"
"2015-03-05","11.293333"
"2015-03-06","11.226667"
"2015-03-09","11.316667"
"2015-03-10","11.143333"
"2015-03-11","11.220000"
"2015-03-12","11.393333"
"2015-03-13","11.376667"
"2015-03-16","11.553333"
"2015-03-17","11.543333"
"2015-03-18","11.686667"
"2015-03-19","11.583333"
"2015-03-20","11.720000"
"2015-03-23","11.233333"
"2015-03-24","11.253333"
"2015-03-25","11.103333"
"2015-03-26","11.090000"
"2015-03-27","11.066667"
"2015-03-30","11.116667"
"2015-03-31","11.040000"
"2015-04-01","11.150000"
"2015-04-02","11.106667"
"2015-04-06","11.080000"
"2015-04-07","11.183333"
"2015-04-08","11.083333"
"2015-04-09","11.263333"
"2015-04-10","11.250000"
"2015-04-13","11.026667"
"2015-04-14","11.070000"
"2015-04-15","10.953333"
"2015-04-16","10.806667"
"2015-04-17","11.100000"
"2015-04-20","11.630000"
"2015-04-21","11.783333"
"2015-04-22","12.086667"
"2015-04-23","12.296667"
"2015-04-24","12.373333"
"2015-04-27","12.303333"
"2015-04-28","12.270000"
"2015-04-29","12.316667"
"2015-04-30","12.030000"
"2015-05-01","12.486667"
"2015-05-04","12.203333"
"2015-05-05","11.803333"
"2015-05-06","11.883333"
"2015-05-07","11.970000"
"2015-05-08","12.226667"
"2015-05-11","12.020000"
"2015-05-12","11.896667"
"2015-05-13","11.593333"
"2015-05-14","11.633333"
"2015-05-15","11.833333"
"2015-05-18","11.910000"
"2015-05-19","11.866667"
"2015-05-20","11.756667"
"2015-05-21","11.850000"
"2015-05-22","11.823333"
"2015-05-26","11.593333"
"2015-05-27","11.700000"
"2015-05-28","11.573333"
"2015-05-29","11.360000"
"2015-06-01","11.413333"
"2015-06-02","11.366667"
"2015-06-03","11.366667"
"2015-06-04","11.346667"
"2015-06-05","11.476667"
"2015-06-08","11.343333"
"2015-06-09","11.253333"
"2015-06-10","11.323333"
"2015-06-11","11.656667"
"2015-06-12","11.583333"
"2015-06-15","11.556667"
"2015-06-16","11.526667"
"2015-06-17","11.606667"
"2015-06-18","11.846667"
"2015-06-19","11.663333"
"2015-06-22","11.683333"
"2015-06-23","11.620000"
"2015-06-24","11.296667"
"2015-06-25","11.233333"
"2015-06-26","11.223333"
"2015-06-29","10.826667"
"2015-06-30","10.883333"
"2015-07-01","10.966667"
"2015-07-02","10.893333"
"2015-07-06","10.833333"
"2015-07-07","10.930000"
"2015-07-08","10.596667"
"2015-07-09","10.633333"
"2015-07-10","10.710000"
"2015-07-13","10.633333"
"2015-07-14","10.690000"
"2015-07-15","10.800000"
"2015-07-16","10.723333"
"2015-07-17","10.726667"
"2015-07-20","10.666667"
"2015-07-21","10.620000"
"2015-07-22","10.523333"
"2015-07-23","10.283333"
"2015-07-24","10.270000"
"2015-07-27","10.173333"
"2015-07-28","10.360000"
"2015-07-29","10.496667"
"2015-07-30","10.486667"
"2015-07-31","10.426667"
"2015-08-03","10.380000"
"2015-08-04","10.290000"
"2015-08-05","10.253333"
"2015-08-06","10.143333"
"2015-08-07","9.986667"
"2015-08-10","10.080000"
"2015-08-11","9.776667"
"2015-08-12","9.840000"
"2015-08-13","9.796667"
"2015-08-14","9.873333"
"2015-08-17","9.893333"
"2015-08-18","9.873333"
"2015-08-19","9.640000"
"2015-08-20","9.453333"
"2015-08-21","9.126667"
"2015-08-24","8.756667"
"2015-08-25","8.436667"
"2015-08-26","8.790000"
"2015-08-27","9.163333"
"2015-08-28","9.266667"
"2015-08-31","9.126667"
"2015-09-01","8.910000"
"2015-09-02","8.996667"
"2015-09-03","9.093333"
"2015-09-04","8.950000"
"2015-09-08","9.333333"
"2015-09-09","9.270000"
"2015-09-10","9.340000"
"2015-09-11","9.500000"
"2015-09-14","9.463333"
"2015-09-15","9.630000"
"2015-09-16","9.750000"
"2015-09-17","9.726667"
"2015-09-18","9.386667"
"2015-09-21","9.366667"
"2015-09-22","9.090000"
"2015-09-23","8.860000"
"2015-09-24","8.796667"
"2015-09-25","8.840000"
"2015-09-28","8.663333"
"2015-09-29","8.646667"
"2015-09-30","8.966667"
"2015-10-01","9.010000"
"2015-10-02","9.103333"
"2015-10-05","9.276667"
"2015-10-06","9.233333"
"2015-10-07","9.456667"
"2015-10-08","9.696667"
"2015-10-09","9.693333"
"2015-10-12","9.456667"
"2015-10-13","9.236667"
"2015-10-14","9.063333"
"2015-10-15","9.296667"
"2015-10-16","9.143333"
"2015-10-19","9.110000"
"2015-10-20","9.253333"
"2015-10-21","9.163333"
"2015-10-22","9.376667"
"2015-10-23","9.456667"
"2015-10-26","9.296667"
"2015-10-27","8.943333"
"2015-10-28","9.100000"
"2015-10-29","9.083333"
"2015-10-30","8.996667"
"2015-11-02","9.143333"
"2015-11-03","9.183333"
"2015-11-04","9.146667"
"2015-11-05","9.083333"
"2015-11-06","9.023333"
"2015-11-09","9.260000"
"2015-11-10","9.316667"
"2015-11-11","9.176667"
"2015-11-12","9.016667"
"2015-11-13","8.976667"
"2015-11-16","9.103333"
"2015-11-17","9.056667"
"2015-11-18","9.423333"
"2015-11-19","9.736667"
"2015-11-20","9.963333"
"2015-11-23","9.693333"
"2015-11-24","9.676667"
"2015-11-25","9.610000"
"2015-11-27","9.663333"
"2015-11-30","9.476667"
"2015-12-01","9.533333"
"2015-12-02","9.176667"
"2015-12-03","9.033333"
"2015-12-04","8.953333"
"2015-12-07","8.676667"
"2015-12-08","8.330000"
"2015-12-09","8.336667"
"2015-12-10","8.233333"
"2015-12-11","8.573333"
"2015-12-14","8.430000"
"2015-12-15","8.763333"
"2015-12-16","8.810000"
"2015-12-17","8.533333"
"2015-12-18","8.400000"
