"date, price"
"2019-07-25","9.800000"
"2019-07-26","9.800000"
"2019-07-29","9.800000"
"2019-07-30","9.800000"
"2019-07-31","9.800000"
"2019-08-01","9.800000"
"2019-08-02","9.800000"
"2019-08-05","9.800000"
"2019-08-06","9.800000"
"2019-08-07","9.760000"
"2019-08-08","9.760000"
"2019-08-09","9.760000"
"2019-08-12","9.760000"
"2019-08-13","9.780000"
"2019-08-14","9.780000"
"2019-08-15","9.780000"
"2019-08-16","9.780000"
"2019-08-19","9.780000"
"2019-08-20","9.850000"
"2019-08-21","9.850000"
"2019-08-22","9.850000"
"2019-08-23","9.850000"
"2019-08-26","9.850000"
"2019-08-27","9.850000"
"2019-08-28","9.850000"
"2019-08-29","9.850000"
"2019-08-30","9.850000"
"2019-09-03","9.850000"
"2019-09-04","9.850000"
"2019-09-05","9.850000"
"2019-09-06","9.850000"
"2019-09-09","9.850000"
"2019-09-10","9.850000"
"2019-09-11","9.850000"
"2019-09-12","9.850000"
"2019-09-13","9.850000"
"2019-09-16","9.850000"
"2019-09-17","9.850000"
"2019-09-18","9.900000"
"2019-09-19","9.900000"
"2019-09-20","9.850000"
"2019-09-23","9.850000"
"2019-09-24","9.850000"
"2019-09-25","9.850000"
"2019-09-26","9.850000"
"2019-09-27","9.850000"
"2019-09-30","9.850000"
"2019-10-01","9.920000"
"2019-10-02","9.920000"
"2019-10-03","9.890000"
"2019-10-04","9.920000"
"2019-10-07","9.920000"
"2019-10-08","9.920000"
"2019-10-09","9.920000"
"2019-10-10","9.920000"
"2019-10-11","9.920000"
"2019-10-14","9.920000"
"2019-10-15","9.950000"
"2019-10-16","9.926000"
"2019-10-17","9.950000"
"2019-10-18","9.950000"
"2019-10-21","9.924000"
"2019-10-22","9.870000"
"2019-10-23","9.870000"
"2019-10-24","9.870000"
"2019-10-25","9.850000"
"2019-10-28","9.850000"
"2019-10-29","9.930000"
"2019-10-30","9.881000"
"2019-10-31","10.080000"
"2019-11-01","10.080000"
"2019-11-04","10.090000"
"2019-11-05","10.090000"
"2019-11-06","10.050000"
"2019-11-07","10.080000"
"2019-11-08","10.100000"
"2019-11-11","10.086000"
"2019-11-12","10.086000"
"2019-11-13","10.086000"
"2019-11-14","10.090000"
"2019-11-15","10.090000"
"2019-11-18","10.040000"
"2019-11-19","10.040000"
"2019-11-20","10.043000"
"2019-11-21","10.043000"
"2019-11-22","10.043000"
"2019-11-25","10.040000"
"2019-11-26","10.040000"
"2019-11-27","10.050000"
"2019-11-29","10.050000"
"2019-12-02","10.075000"
"2019-12-03","10.075000"
"2019-12-04","10.075000"
"2019-12-05","10.060000"
"2019-12-06","10.065000"
"2019-12-09","10.060000"
"2019-12-10","10.090000"
"2019-12-11","10.080000"
"2019-12-12","10.074000"
"2019-12-13","10.090000"
"2019-12-16","10.080000"
"2019-12-17","10.090000"
"2019-12-18","10.140000"
"2019-12-19","10.180000"
"2019-12-20","10.170000"
"2019-12-23","10.840000"
"2019-12-24","10.840000"
"2019-12-26","10.740000"
"2019-12-27","10.680000"
"2019-12-30","10.640000"
"2019-12-31","10.700000"
"2020-01-02","10.680000"
"2020-01-03","10.680000"
"2020-01-06","10.800000"
"2020-01-07","10.900000"
"2020-01-08","11.260000"
"2020-01-09","12.250000"
"2020-01-10","12.390000"
"2020-01-13","12.000000"
"2020-01-14","11.940000"
"2020-01-15","12.700000"
"2020-01-16","12.990000"
"2020-01-17","13.570000"
"2020-01-21","13.830000"
"2020-01-22","14.270000"
"2020-01-23","14.440000"
"2020-01-24","14.360000"
"2020-01-27","15.000000"
"2020-01-28","15.080000"
"2020-01-29","14.500000"
"2020-01-30","14.670000"
"2020-01-31","14.530000"
"2020-02-03","14.510000"
"2020-02-04","14.570000"
"2020-02-05","14.250000"
"2020-02-06","13.610000"
"2020-02-07","14.500000"
"2020-02-10","16.020000"
"2020-02-11","16.820000"
"2020-02-12","18.350000"
"2020-02-13","17.910000"
"2020-02-14","17.330000"
"2020-02-18","17.290001"
"2020-02-19","17.969999"
"2020-02-20","17.650000"
"2020-02-21","16.950001"
"2020-02-24","16.639999"
"2020-02-25","16.959999"
"2020-02-26","16.830000"
"2020-02-27","16.170000"
"2020-02-28","16.020000"
"2020-03-02","16.660000"
"2020-03-03","16.410000"
"2020-03-04","18.690001"
"2020-03-05","17.940001"
"2020-03-06","16.830000"
"2020-03-09","17.010000"
"2020-03-10","16.600000"
"2020-03-11","14.500000"
"2020-03-12","11.170000"
"2020-03-13","12.450000"
"2020-03-16","11.800000"
