"date, price"
"2014-12-04","230.440002"
"2014-12-05","231.679993"
"2014-12-08","229.009995"
"2014-12-09","229.860001"
"2014-12-10","229.729996"
"2014-12-11","232.250000"
"2014-12-12","226.330002"
"2014-12-15","221.860001"
"2014-12-16","220.020004"
"2014-12-17","224.669998"
"2014-12-18","228.199997"
"2014-12-19","234.100006"
"2014-12-22","233.600006"
"2014-12-23","231.979996"
"2014-12-24","233.160004"
"2014-12-26","232.759995"
"2014-12-29","229.979996"
"2014-12-30","229.679993"
"2014-12-31","226.729996"
"2015-01-02","226.649994"
"2015-01-05","224.320007"
"2015-01-06","219.429993"
"2015-01-07","220.149994"
"2015-01-08","222.779999"
"2015-01-09","216.889999"
"2015-01-12","216.880005"
"2015-01-13","217.250000"
"2015-01-14","218.880005"
"2015-01-15","218.210007"
"2015-01-16","220.240005"
"2015-01-20","222.399994"
"2015-01-21","223.419998"
"2015-01-22","229.149994"
"2015-01-23","230.600006"
"2015-01-26","229.410004"
"2015-01-27","221.899994"
"2015-01-28","217.100006"
"2015-01-29","221.919998"
"2015-01-30","216.860001"
"2015-02-02","218.000000"
"2015-02-03","223.600006"
"2015-02-04","222.119995"
"2015-02-05","225.800003"
"2015-02-06","219.429993"
"2015-02-09","217.300003"
"2015-02-10","219.820007"
"2015-02-11","221.070007"
"2015-02-12","227.740005"
"2015-02-13","227.699997"
"2015-02-17","225.179993"
"2015-02-18","228.910004"
"2015-02-19","229.410004"
"2015-02-20","235.380005"
"2015-02-23","232.960007"
"2015-02-24","232.169998"
"2015-02-25","228.389999"
"2015-02-26","226.399994"
"2015-02-27","224.179993"
"2015-03-02","223.639999"
"2015-03-03","221.119995"
"2015-03-04","223.830002"
"2015-03-05","234.300003"
"2015-03-06","235.520004"
"2015-03-09","231.250000"
"2015-03-10","227.649994"
"2015-03-11","227.020004"
"2015-03-12","231.490005"
"2015-03-13","230.490005"
"2015-03-16","236.139999"
"2015-03-17","234.259995"
"2015-03-18","236.509995"
"2015-03-19","235.899994"
"2015-03-20","238.949997"
"2015-03-23","238.649994"
"2015-03-24","231.339996"
"2015-03-25","228.860001"
"2015-03-26","227.860001"
"2015-03-27","229.729996"
"2015-03-30","234.220001"
"2015-03-31","232.850006"
"2015-04-01","233.589996"
"2015-04-02","235.600006"
"2015-04-06","235.149994"
"2015-04-07","234.289993"
"2015-04-08","239.089996"
"2015-04-09","240.059998"
"2015-04-10","239.649994"
"2015-04-13","239.770004"
"2015-04-14","241.490005"
"2015-04-15","241.190002"
"2015-04-16","241.559998"
"2015-04-17","236.139999"
"2015-04-20","239.869995"
"2015-04-21","243.779999"
"2015-04-22","244.779999"
"2015-04-23","246.929993"
"2015-04-24","246.070007"
"2015-04-27","244.850006"
"2015-04-28","246.380005"
"2015-04-29","244.800003"
"2015-04-30","255.929993"
"2015-05-01","258.880005"
"2015-05-04","259.130005"
"2015-05-05","257.179993"
"2015-05-06","258.279999"
"2015-05-07","262.000000"
"2015-05-08","267.929993"
"2015-05-11","263.420013"
"2015-05-12","259.299988"
"2015-05-13","259.679993"
"2015-05-14","261.410004"
"2015-05-15","260.399994"
"2015-05-18","262.290009"
"2015-05-19","263.679993"
"2015-05-20","269.899994"
"2015-05-21","268.220001"
"2015-05-22","268.000000"
"2015-05-26","266.769989"
"2015-05-27","270.010010"
"2015-05-28","269.190002"
"2015-05-29","268.070007"
"2015-06-01","270.149994"
"2015-06-02","268.950012"
"2015-06-03","266.140015"
"2015-06-04","263.059998"
"2015-06-05","263.049988"
"2015-06-08","261.450012"
"2015-06-09","257.809998"
"2015-06-10","260.369995"
"2015-06-11","260.929993"
"2015-06-12","260.720001"
"2015-06-15","255.860001"
"2015-06-16","255.699997"
"2015-06-17","257.119995"
"2015-06-18","261.350006"
"2015-06-19","262.790009"
"2015-06-22","260.040009"
"2015-06-23","259.260010"
"2015-06-24","256.109985"
"2015-06-25","256.589996"
"2015-06-26","258.869995"
"2015-06-29","250.330002"
"2015-06-30","254.000000"
"2015-07-01","255.639999"
"2015-07-02","255.339996"
"2015-07-06","255.509995"
"2015-07-07","257.500000"
"2015-07-08","256.350006"
"2015-07-09","256.679993"
"2015-07-10","258.779999"
"2015-07-13","259.940002"
"2015-07-14","261.070007"
"2015-07-15","259.799988"
"2015-07-16","262.119995"
"2015-07-17","263.500000"
"2015-07-20","270.239990"
"2015-07-21","268.839996"
"2015-07-22","269.549988"
"2015-07-23","269.390015"
"2015-07-24","276.059998"
"2015-07-27","276.640015"
"2015-07-28","279.200012"
"2015-07-29","279.220001"
"2015-07-30","282.579987"
"2015-07-31","278.910004"
"2015-08-03","282.890015"
"2015-08-04","280.040009"
"2015-08-05","280.450012"
"2015-08-06","280.000000"
"2015-08-07","280.390015"
"2015-08-10","280.089996"
"2015-08-11","279.429993"
"2015-08-12","280.350006"
"2015-08-13","282.230011"
"2015-08-14","284.399994"
"2015-08-17","284.510010"
"2015-08-18","287.420013"
"2015-08-19","285.589996"
"2015-08-20","279.959991"
"2015-08-21","271.309998"
"2015-08-24","255.529999"
"2015-08-25","251.110001"
"2015-08-26","260.799988"
"2015-08-27","266.140015"
"2015-08-28","268.779999"
"2015-08-31","269.769989"
"2015-09-01","262.869995"
"2015-09-02","269.950012"
"2015-09-03","274.440002"
"2015-09-04","269.880005"
"2015-09-08","279.279999"
"2015-09-09","281.000000"
"2015-09-10","285.140015"
"2015-09-11","289.619995"
"2015-09-14","289.700012"
"2015-09-15","290.049988"
"2015-09-16","290.570007"
"2015-09-17","290.070007"
"2015-09-18","285.510010"
"2015-09-21","292.019989"
"2015-09-22","288.450012"
"2015-09-23","288.890015"
"2015-09-24","279.670013"
"2015-09-25","279.299988"
"2015-09-28","270.489990"
"2015-09-29","268.980011"
"2015-09-30","273.399994"
"2015-10-01","276.459991"
"2015-10-02","279.579987"
"2015-10-05","283.440002"
"2015-10-06","271.549988"
"2015-10-07","265.410004"
"2015-10-08","267.339996"
"2015-10-09","269.880005"
"2015-10-12","272.559998"
"2015-10-13","271.700012"
"2015-10-14","274.700012"
"2015-10-15","280.100006"
"2015-10-16","286.299988"
"2015-10-19","290.709991"
"2015-10-20","293.359985"
"2015-10-21","292.279999"
"2015-10-22","294.619995"
"2015-10-23","294.839996"
"2015-10-26","301.200012"
"2015-10-27","296.089996"
"2015-10-28","294.589996"
"2015-10-29","292.910004"
"2015-10-30","296.679993"
"2015-11-02","303.579987"
"2015-11-03","299.309998"
"2015-11-04","295.989990"
"2015-11-05","295.799988"
"2015-11-06","290.369995"
"2015-11-09","292.399994"
"2015-11-10","297.540009"
"2015-11-11","296.920013"
"2015-11-12","294.739990"
"2015-11-13","291.070007"
"2015-11-16","295.390015"
"2015-11-17","299.070007"
"2015-11-18","293.089996"
"2015-11-19","286.109985"
"2015-11-20","298.600006"
"2015-11-23","297.730011"
"2015-11-24","293.209991"
"2015-11-25","295.130005"
"2015-11-27","297.750000"
"2015-11-30","296.500000"
"2015-12-01","300.630005"
"2015-12-02","299.660004"
"2015-12-03","295.220001"
"2015-12-04","301.200012"
"2015-12-07","297.579987"
"2015-12-08","298.100006"
"2015-12-09","298.239990"
"2015-12-10","295.649994"
"2015-12-11","289.940002"
"2015-12-14","293.549988"
"2015-12-15","290.019989"
"2015-12-16","295.489990"
"2015-12-17","293.410004"
"2015-12-18","289.350006"
"2015-12-21","295.739990"
"2015-12-22","296.929993"
"2015-12-23","297.350006"
"2015-12-24","297.190002"
"2015-12-28","300.910004"
"2015-12-29","304.980011"
"2015-12-30","302.690002"
"2015-12-31","302.399994"
"2016-01-04","296.079987"
"2016-01-05","303.410004"
"2016-01-06","309.130005"
"2016-01-07","303.290009"
"2016-01-08","309.790009"
"2016-01-11","312.880005"
"2016-01-12","314.920013"
"2016-01-13","305.579987"
"2016-01-14","310.989990"
"2016-01-15","303.190002"
"2016-01-19","295.109985"
"2016-01-20","294.359985"
"2016-01-21","289.779999"
"2016-01-22","297.049988"
"2016-01-25","299.929993"
"2016-01-26","303.640015"
"2016-01-27","299.570007"
"2016-01-28","300.220001"
"2016-01-29","310.570007"
"2016-02-01","311.440002"
"2016-02-02","312.589996"
"2016-02-03","309.540009"
"2016-02-04","308.450012"
"2016-02-05","288.440002"
"2016-02-08","268.839996"
"2016-02-09","265.049988"
"2016-02-10","273.339996"
"2016-02-11","275.049988"
"2016-02-12","284.880005"
"2016-02-16","291.299988"
"2016-02-17","290.649994"
"2016-02-18","290.309998"
"2016-02-19","299.369995"
"2016-02-22","299.829987"
"2016-02-23","292.059998"
"2016-02-24","295.010010"
"2016-02-25","307.489990"
"2016-02-26","306.769989"
"2016-02-29","303.690002"
"2016-03-01","308.399994"
"2016-03-02","304.010010"
"2016-03-03","310.589996"
"2016-03-04","309.720001"
"2016-03-07","297.730011"
"2016-03-08","298.750000"
"2016-03-09","301.260010"
"2016-03-10","306.709991"
"2016-03-11","318.000000"
"2016-03-14","314.019989"
"2016-03-15","312.470001"
"2016-03-16","316.760010"
"2016-03-17","316.980011"
"2016-03-18","315.760010"
"2016-03-21","317.390015"
"2016-03-22","319.040009"
"2016-03-23","319.359985"
"2016-03-24","320.750000"
"2016-03-28","323.769989"
"2016-03-29","329.339996"
"2016-03-30","328.109985"
"2016-03-31","330.709991"
"2016-04-01","329.940002"
"2016-04-04","333.109985"
"2016-04-05","328.640015"
"2016-04-06","327.410004"
"2016-04-07","325.809998"
"2016-04-08","325.989990"
"2016-04-11","323.989990"
"2016-04-12","322.130005"
"2016-04-13","321.549988"
"2016-04-14","320.750000"
"2016-04-15","324.100006"
"2016-04-18","325.589996"
"2016-04-19","324.859985"
"2016-04-20","325.109985"
"2016-04-21","319.890015"
"2016-04-22","322.010010"
"2016-04-25","326.820007"
"2016-04-26","330.109985"
"2016-04-27","331.820007"
"2016-04-28","328.239990"
"2016-04-29","330.350006"
"2016-05-02","333.619995"
"2016-05-03","332.890015"
"2016-05-04","334.829987"
"2016-05-05","330.890015"
"2016-05-06","336.959991"
"2016-05-09","341.040009"
"2016-05-10","341.109985"
"2016-05-11","340.679993"
"2016-05-12","346.209991"
"2016-05-13","344.369995"
"2016-05-16","348.600006"
"2016-05-17","342.320007"
"2016-05-18","342.049988"
"2016-05-19","343.049988"
"2016-05-20","345.000000"
"2016-05-23","344.660004"
"2016-05-24","354.730011"
"2016-05-25","357.730011"
"2016-05-26","363.089996"
"2016-05-27","366.559998"
"2016-05-31","362.000000"
"2016-06-01","365.940002"
"2016-06-02","367.529999"
"2016-06-03","364.690002"
"2016-06-06","369.290009"
"2016-06-07","370.950012"
"2016-06-08","372.940002"
"2016-06-09","373.209991"
"2016-06-10","370.299988"
"2016-06-13","369.320007"
"2016-06-14","369.309998"
"2016-06-15","372.100006"
"2016-06-16","377.459991"
"2016-06-17","374.579987"
"2016-06-20","373.910004"
"2016-06-21","379.510010"
"2016-06-22","379.649994"
"2016-06-23","385.429993"
"2016-06-24","375.950012"
"2016-06-27","371.160004"
"2016-06-28","377.029999"
"2016-06-29","386.019989"
"2016-06-30","387.730011"
"2016-07-01","386.880005"
"2016-07-05","386.140015"
"2016-07-06","387.440002"
"2016-07-07","382.679993"
"2016-07-08","389.450012"
"2016-07-11","388.750000"
"2016-07-12","387.200012"
"2016-07-13","386.709991"
"2016-07-14","383.809998"
"2016-07-15","379.970001"
"2016-07-18","380.399994"
"2016-07-19","380.010010"
"2016-07-20","379.450012"
"2016-07-21","372.559998"
"2016-07-22","376.859985"
"2016-07-25","376.329987"
"2016-07-26","377.440002"
"2016-07-27","373.739990"
"2016-07-28","380.170013"
"2016-07-29","372.869995"
"2016-08-01","378.970001"
"2016-08-02","373.459991"
"2016-08-03","370.339996"
"2016-08-04","371.399994"
"2016-08-05","365.500000"
"2016-08-08","364.299988"
"2016-08-09","367.230011"
"2016-08-10","367.829987"
"2016-08-11","367.750000"
"2016-08-12","369.040009"
"2016-08-15","371.329987"
"2016-08-16","367.079987"
"2016-08-17","367.000000"
"2016-08-18","363.970001"
"2016-08-19","366.309998"
"2016-08-22","366.970001"
"2016-08-23","368.140015"
"2016-08-24","364.769989"
"2016-08-25","363.980011"
"2016-08-26","364.720001"
"2016-08-29","368.339996"
"2016-08-30","368.070007"
"2016-08-31","368.649994"
"2016-09-01","366.760010"
"2016-09-02","371.459991"
"2016-09-06","377.970001"
"2016-09-07","378.200012"
"2016-09-08","373.029999"
"2016-09-09","362.779999"
"2016-09-12","366.000000"
"2016-09-13","356.910004"
"2016-09-14","355.290009"
