"date, price"
"2014-12-04","12.480000"
"2014-12-05","12.430000"
"2014-12-08","12.350000"
"2014-12-09","12.380000"
"2014-12-10","12.260000"
"2014-12-11","12.210000"
"2014-12-12","12.050000"
"2014-12-15","11.790000"
"2014-12-16","11.790000"
"2014-12-17","11.920000"
"2014-12-18","12.260000"
"2014-12-19","12.160000"
"2014-12-22","12.220000"
"2014-12-23","12.230000"
"2014-12-24","12.300000"
"2014-12-26","12.330000"
"2014-12-29","12.260000"
"2014-12-30","12.200000"
"2014-12-31","12.100000"
"2015-01-02","12.050000"
"2015-01-05","11.920000"
"2015-01-06","11.860000"
"2015-01-07","11.840000"
"2015-01-08","12.130000"
"2015-01-09","12.150000"
"2015-01-12","12.150000"
"2015-01-13","11.990000"
"2015-01-14","12.050000"
"2015-01-15","11.960000"
"2015-01-16","12.090000"
"2015-01-20","12.340000"
"2015-01-21","12.180000"
"2015-01-22","12.260000"
"2015-01-23","12.320000"
"2015-01-26","12.420000"
"2015-01-27","12.140000"
"2015-01-28","11.980000"
"2015-01-29","12.360000"
"2015-01-30","12.130000"
"2015-02-02","12.230000"
"2015-02-03","12.590000"
"2015-02-04","12.220000"
"2015-02-05","12.330000"
"2015-02-06","12.150000"
"2015-02-09","12.100000"
"2015-02-10","12.520000"
"2015-02-11","12.530000"
"2015-02-12","12.790000"
"2015-02-13","12.770000"
"2015-02-17","12.880000"
"2015-02-18","12.930000"
"2015-02-19","13.000000"
"2015-02-20","13.020000"
"2015-02-23","12.900000"
"2015-02-24","13.010000"
"2015-02-25","12.930000"
"2015-02-26","12.890000"
"2015-02-27","12.930000"
"2015-03-02","12.910000"
"2015-03-03","12.760000"
"2015-03-04","12.820000"
"2015-03-05","12.770000"
"2015-03-06","12.470000"
"2015-03-09","12.490000"
"2015-03-10","12.260000"
"2015-03-11","12.420000"
"2015-03-12","12.680000"
"2015-03-13","12.650000"
"2015-03-16","12.920000"
"2015-03-17","12.820000"
"2015-03-18","13.130000"
"2015-03-19","13.010000"
"2015-03-20","12.990000"
"2015-03-23","13.040000"
"2015-03-24","12.950000"
"2015-03-25","12.870000"
"2015-03-26","12.830000"
"2015-03-27","12.690000"
"2015-03-30","12.700000"
"2015-03-31","12.550000"
"2015-04-01","12.550000"
"2015-04-02","12.560000"
"2015-04-06","12.760000"
"2015-04-07","12.810000"
"2015-04-08","12.720000"
"2015-04-09","12.890000"
"2015-04-10","12.860000"
"2015-04-13","12.950000"
"2015-04-14","12.890000"
"2015-04-15","12.760000"
"2015-04-16","12.750000"
"2015-04-17","12.430000"
"2015-04-20","12.540000"
"2015-04-21","12.790000"
"2015-04-22","12.700000"
"2015-04-23","11.580000"
"2015-04-24","11.410000"
"2015-04-27","11.400000"
"2015-04-28","11.350000"
"2015-04-29","11.310000"
"2015-04-30","10.920000"
"2015-05-01","10.980000"
"2015-05-04","10.970000"
"2015-05-05","10.860000"
"2015-05-06","10.910000"
"2015-05-07","11.080000"
"2015-05-08","11.470000"
"2015-05-11","11.320000"
"2015-05-12","11.270000"
"2015-05-13","11.300000"
"2015-05-14","11.460000"
"2015-05-15","11.580000"
"2015-05-18","11.510000"
"2015-05-19","11.400000"
"2015-05-20","11.410000"
"2015-05-21","11.350000"
"2015-05-22","11.190000"
"2015-05-26","11.100000"
"2015-05-27","11.100000"
"2015-05-28","11.440000"
"2015-05-29","11.260000"
"2015-06-01","11.250000"
"2015-06-02","11.340000"
"2015-06-03","11.340000"
"2015-06-04","11.610000"
"2015-06-05","11.470000"
"2015-06-08","11.310000"
"2015-06-09","11.280000"
"2015-06-10","11.430000"
"2015-06-11","11.340000"
"2015-06-12","11.330000"
"2015-06-15","11.120000"
"2015-06-16","11.220000"
"2015-06-17","11.090000"
"2015-06-18","11.060000"
"2015-06-19","11.020000"
"2015-06-22","11.120000"
"2015-06-23","11.280000"
"2015-06-24","10.990000"
"2015-06-25","10.980000"
"2015-06-26","10.910000"
"2015-06-29","10.680000"
"2015-06-30","10.440000"
"2015-07-01","10.490000"
"2015-07-02","10.420000"
"2015-07-06","10.180000"
"2015-07-07","10.200000"
"2015-07-08","10.150000"
"2015-07-09","10.140000"
"2015-07-10","10.480000"
"2015-07-13","10.520000"
"2015-07-14","10.530000"
"2015-07-15","10.390000"
"2015-07-16","10.550000"
"2015-07-17","10.800000"
"2015-07-20","10.950000"
"2015-07-21","11.020000"
"2015-07-22","10.850000"
"2015-07-23","10.800000"
"2015-07-24","10.760000"
"2015-07-27","10.750000"
"2015-07-28","10.590000"
"2015-07-29","10.610000"
"2015-07-30","10.740000"
"2015-07-31","10.730000"
"2015-08-03","10.560000"
"2015-08-04","10.450000"
"2015-08-05","10.520000"
"2015-08-06","10.380000"
"2015-08-07","10.240000"
"2015-08-10","10.550000"
"2015-08-11","10.250000"
"2015-08-12","10.230000"
"2015-08-13","10.380000"
"2015-08-14","10.380000"
"2015-08-17","10.420000"
"2015-08-18","10.480000"
"2015-08-19","10.150000"
"2015-08-20","9.840000"
"2015-08-21","9.830000"
"2015-08-24","9.500000"
"2015-08-25","9.430000"
"2015-08-26","9.700000"
"2015-08-27","9.900000"
"2015-08-28","9.950000"
"2015-08-31","9.760000"
"2015-09-01","9.550000"
"2015-09-02","9.640000"
"2015-09-03","9.830000"
"2015-09-04","9.550000"
"2015-09-08","9.810000"
"2015-09-09","9.750000"
"2015-09-10","9.810000"
"2015-09-11","9.870000"
"2015-09-14","9.810000"
"2015-09-15","9.710000"
"2015-09-16","9.730000"
"2015-09-17","9.850000"
"2015-09-18","9.460000"
"2015-09-21","9.420000"
"2015-09-22","9.370000"
"2015-09-23","9.350000"
"2015-09-24","9.370000"
"2015-09-25","9.530000"
"2015-09-28","9.300000"
"2015-09-29","9.440000"
"2015-09-30","9.780000"
"2015-10-01","9.730000"
"2015-10-02","9.920000"
"2015-10-05","10.180000"
"2015-10-06","10.280000"
"2015-10-07","10.370000"
"2015-10-08","10.520000"
"2015-10-09","10.520000"
"2015-10-12","10.530000"
"2015-10-13","10.380000"
"2015-10-14","10.330000"
"2015-10-15","10.520000"
"2015-10-16","10.560000"
"2015-10-19","10.390000"
"2015-10-20","10.360000"
"2015-10-21","10.340000"
"2015-10-22","10.550000"
"2015-10-23","9.800000"
"2015-10-26","9.790000"
"2015-10-27","9.490000"
"2015-10-28","9.570000"
"2015-10-29","9.710000"
"2015-10-30","9.740000"
"2015-11-02","9.750000"
"2015-11-03","9.930000"
"2015-11-04","9.960000"
"2015-11-05","9.890000"
"2015-11-06","9.830000"
"2015-11-09","9.990000"
"2015-11-10","9.360000"
"2015-11-11","9.380000"
"2015-11-12","9.250000"
"2015-11-13","9.240000"
"2015-11-16","9.540000"
"2015-11-17","9.480000"
"2015-11-18","9.550000"
"2015-11-19","9.480000"
"2015-11-20","9.570000"
"2015-11-23","9.470000"
"2015-11-24","9.480000"
"2015-11-25","9.430000"
"2015-11-27","9.570000"
"2015-11-30","9.690000"
"2015-12-01","9.530000"
"2015-12-02","9.540000"
"2015-12-03","9.640000"
"2015-12-04","9.640000"
"2015-12-07","9.630000"
"2015-12-08","9.320000"
"2015-12-09","9.190000"
"2015-12-10","9.130000"
"2015-12-11","8.950000"
"2015-12-14","8.900000"
"2015-12-15","9.020000"
"2015-12-16","9.280000"
"2015-12-17","9.160000"
"2015-12-18","9.130000"
"2015-12-21","9.510000"
"2015-12-22","9.580000"
"2015-12-23","9.790000"
"2015-12-24","9.820000"
"2015-12-28","9.740000"
"2015-12-29","9.840000"
"2015-12-30","9.730000"
"2015-12-31","9.610000"
"2016-01-04","9.490000"
"2016-01-05","9.280000"
"2016-01-06","9.150000"
"2016-01-07","9.060000"
"2016-01-08","9.100000"
"2016-01-11","9.190000"
"2016-01-12","9.240000"
"2016-01-13","9.100000"
"2016-01-14","9.220000"
"2016-01-15","8.690000"
"2016-01-19","8.870000"
"2016-01-20","8.800000"
"2016-01-21","8.780000"
"2016-01-22","9.340000"
"2016-01-25","9.330000"
"2016-01-26","9.610000"
"2016-01-27","8.990000"
"2016-01-28","8.750000"
"2016-01-29","8.900000"
"2016-02-01","8.780000"
"2016-02-02","8.540000"
