"date, price"
"2014-12-04","57.310001"
"2014-12-05","57.380001"
"2014-12-08","57.060001"
"2014-12-09","57.590000"
"2014-12-10","56.310001"
"2014-12-11","57.709999"
"2014-12-12","57.750000"
"2014-12-15","57.279999"
"2014-12-16","57.209999"
"2014-12-17","57.709999"
"2014-12-18","57.000000"
"2014-12-19","56.689999"
"2014-12-22","57.599998"
"2014-12-23","58.410000"
"2014-12-24","59.209999"
"2014-12-26","59.700001"
"2014-12-29","61.750000"
"2014-12-30","62.049999"
"2014-12-31","60.740002"
"2015-01-02","59.730000"
"2015-01-05","62.549999"
"2015-01-06","60.869999"
"2015-01-07","60.439999"
"2015-01-08","60.740002"
"2015-01-09","60.919998"
"2015-01-12","61.799999"
"2015-01-13","61.119999"
"2015-01-14","62.689999"
"2015-01-15","62.730000"
"2015-01-16","62.299999"
"2015-01-20","62.660000"
"2015-01-21","62.369999"
"2015-01-22","62.740002"
"2015-01-23","61.770000"
"2015-01-26","60.900002"
"2015-01-27","61.250000"
"2015-01-28","60.950001"
"2015-01-29","61.680000"
"2015-01-30","61.730000"
"2015-02-02","62.389999"
"2015-02-03","63.750000"
"2015-02-04","63.090000"
"2015-02-05","63.740002"
"2015-02-06","62.880001"
"2015-02-09","62.660000"
"2015-02-10","63.450001"
"2015-02-11","62.270000"
"2015-02-12","61.639999"
"2015-02-13","61.810001"
"2015-02-17","63.950001"
"2015-02-18","63.189999"
"2015-02-19","64.099998"
"2015-02-20","64.290001"
"2015-02-23","64.709999"
"2015-02-24","64.830002"
"2015-02-25","64.190002"
"2015-02-26","63.720001"
"2015-02-27","64.290001"
"2015-03-02","64.449997"
"2015-03-03","63.540001"
"2015-03-04","63.320000"
"2015-03-05","63.000000"
"2015-03-06","62.849998"
"2015-03-09","64.809998"
"2015-03-10","64.839996"
"2015-03-11","66.680000"
"2015-03-12","68.000000"
"2015-03-13","67.300003"
"2015-03-16","68.620003"
"2015-03-17","68.919998"
"2015-03-18","70.830002"
"2015-03-19","70.410004"
"2015-03-20","70.610001"
"2015-03-23","72.419998"
"2015-03-24","71.750000"
"2015-03-25","71.370003"
"2015-03-26","70.349998"
"2015-03-27","70.169998"
"2015-03-30","72.879997"
"2015-03-31","72.209999"
"2015-04-01","73.379997"
"2015-04-02","74.220001"
"2015-04-06","74.430000"
"2015-04-07","74.550003"
"2015-04-08","73.800003"
"2015-04-09","73.400002"
"2015-04-10","72.660004"
"2015-04-13","74.650002"
"2015-04-14","76.129997"
"2015-04-15","78.690002"
"2015-04-16","79.120003"
"2015-04-17","79.250000"
"2015-04-20","83.000000"
"2015-04-21","80.290001"
"2015-04-22","80.260002"
"2015-04-23","80.570000"
"2015-04-24","81.169998"
"2015-04-27","78.639999"
"2015-04-28","79.930000"
"2015-04-29","78.580002"
"2015-04-30","77.599998"
"2015-05-01","78.620003"
"2015-05-04","79.510002"
"2015-05-05","79.220001"
"2015-05-06","78.220001"
"2015-05-07","77.500000"
"2015-05-08","77.940002"
"2015-05-11","79.309998"
"2015-05-12","78.379997"
"2015-05-13","78.889999"
"2015-05-14","78.959999"
"2015-05-15","79.169998"
"2015-05-18","77.070000"
"2015-05-19","75.639999"
"2015-05-20","76.400002"
"2015-05-21","77.389999"
"2015-05-22","77.150002"
"2015-05-26","74.449997"
"2015-05-27","74.680000"
"2015-05-28","73.260002"
"2015-05-29","72.699997"
"2015-06-01","74.779999"
"2015-06-02","76.000000"
"2015-06-03","75.750000"
"2015-06-04","75.589996"
"2015-06-05","74.900002"
"2015-06-08","78.379997"
"2015-06-09","77.910004"
"2015-06-10","77.839996"
"2015-06-11","78.160004"
"2015-06-12","78.239998"
"2015-06-15","76.769997"
"2015-06-16","76.849998"
"2015-06-17","77.339996"
"2015-06-18","78.070000"
"2015-06-19","78.300003"
"2015-06-22","79.099998"
"2015-06-23","78.839996"
"2015-06-24","78.519997"
"2015-06-25","77.529999"
"2015-06-26","77.449997"
"2015-06-29","76.250000"
"2015-06-30","78.260002"
"2015-07-01","78.449997"
"2015-07-02","79.370003"
"2015-07-06","78.110001"
"2015-07-07","78.510002"
"2015-07-08","77.620003"
"2015-07-09","77.519997"
"2015-07-10","78.769997"
"2015-07-13","79.739998"
"2015-07-14","79.570000"
"2015-07-15","79.769997"
"2015-07-16","79.480003"
"2015-07-17","78.800003"
"2015-07-20","82.279999"
"2015-07-21","82.930000"
"2015-07-22","83.480003"
"2015-07-23","82.320000"
"2015-07-24","82.230003"
"2015-07-27","82.010002"
"2015-07-28","82.279999"
"2015-07-29","81.099998"
"2015-07-30","82.449997"
"2015-07-31","82.360001"
"2015-08-03","84.629997"
"2015-08-04","83.489998"
"2015-08-05","84.169998"
"2015-08-06","85.430000"
"2015-08-07","85.400002"
"2015-08-10","84.919998"
"2015-08-11","82.300003"
"2015-08-12","81.610001"
"2015-08-13","83.199997"
"2015-08-14","83.260002"
"2015-08-17","81.750000"
"2015-08-18","82.400002"
"2015-08-19","81.519997"
"2015-08-20","80.989998"
"2015-08-21","79.760002"
"2015-08-24","74.000000"
"2015-08-25","76.519997"
"2015-08-26","74.930000"
"2015-08-27","77.059998"
"2015-08-28","76.629997"
"2015-08-31","76.760002"
"2015-09-01","76.599998"
"2015-09-02","78.660004"
"2015-09-03","77.589996"
"2015-09-04","77.989998"
"2015-09-08","79.730003"
"2015-09-09","78.699997"
"2015-09-10","78.279999"
"2015-09-11","78.709999"
"2015-09-14","78.529999"
"2015-09-15","78.739998"
"2015-09-16","77.440002"
"2015-09-17","76.389999"
"2015-09-18","75.110001"
"2015-09-21","74.669998"
"2015-09-22","74.400002"
"2015-09-23","74.400002"
