"date, price"
"2014-12-04","58.480000"
"2014-12-05","58.790001"
"2014-12-08","54.799999"
"2014-12-09","56.680000"
"2014-12-10","53.650002"
"2014-12-11","53.110001"
"2014-12-12","52.470001"
"2014-12-15","53.410000"
"2014-12-16","55.840000"
"2014-12-17","58.970001"
"2014-12-18","59.580002"
"2014-12-19","62.560001"
"2014-12-22","61.070000"
"2014-12-23","61.700001"
"2014-12-24","60.180000"
"2014-12-26","60.410000"
"2014-12-29","60.380001"
"2014-12-30","59.869999"
"2014-12-31","59.779999"
"2015-01-02","59.930000"
"2015-01-05","57.279999"
"2015-01-06","57.369999"
"2015-01-07","58.250000"
"2015-01-08","61.090000"
"2015-01-09","61.840000"
"2015-01-12","59.470001"
"2015-01-13","61.240002"
"2015-01-14","65.300003"
"2015-01-15","63.450001"
"2015-01-16","65.629997"
"2015-01-20","62.810001"
"2015-01-21","68.540001"
"2015-01-22","67.980003"
"2015-01-23","67.000000"
"2015-01-26","68.510002"
"2015-01-27","68.970001"
"2015-01-28","66.080002"
"2015-01-29","68.639999"
"2015-01-30","68.989998"
"2015-02-02","69.739998"
"2015-02-03","69.680000"
"2015-02-04","67.129997"
"2015-02-05","69.059998"
"2015-02-06","70.830002"
"2015-02-09","70.129997"
"2015-02-10","69.400002"
"2015-02-11","68.779999"
"2015-02-12","72.970001"
"2015-02-13","73.459999"
"2015-02-17","73.570000"
"2015-02-18","73.800003"
"2015-02-19","75.860001"
"2015-02-20","75.089996"
"2015-02-23","74.360001"
"2015-02-24","74.080002"
"2015-02-25","74.959999"
"2015-02-26","73.169998"
"2015-02-27","71.209999"
"2015-03-02","70.980003"
"2015-03-03","71.690002"
"2015-03-04","71.809998"
"2015-03-05","71.180000"
"2015-03-06","69.860001"
"2015-03-09","69.610001"
"2015-03-10","68.089996"
"2015-03-11","70.050003"
"2015-03-12","69.940002"
"2015-03-13","69.680000"
"2015-03-16","70.000000"
"2015-03-17","70.470001"
"2015-03-18","72.650002"
"2015-03-19","71.489998"
"2015-03-20","72.339996"
"2015-03-23","71.580002"
"2015-03-24","73.769997"
"2015-03-25","74.919998"
"2015-03-26","76.849998"
"2015-03-27","75.169998"
"2015-03-30","77.629997"
"2015-03-31","76.839996"
"2015-04-01","77.400002"
"2015-04-02","78.879997"
"2015-04-06","79.470001"
"2015-04-07","79.959999"
"2015-04-08","78.059998"
"2015-04-09","80.720001"
"2015-04-10","80.750000"
"2015-04-13","79.860001"
"2015-04-14","80.389999"
"2015-04-15","82.410004"
"2015-04-16","83.320000"
"2015-04-17","82.570000"
"2015-04-20","84.070000"
"2015-04-21","82.809998"
"2015-04-22","81.980003"
"2015-04-23","81.959999"
"2015-04-24","79.830002"
"2015-04-27","79.730003"
"2015-04-28","80.230003"
"2015-04-29","82.959999"
"2015-04-30","82.570000"
"2015-05-01","81.879997"
"2015-05-04","82.940002"
"2015-05-05","79.760002"
"2015-05-06","78.669998"
"2015-05-07","75.339996"
"2015-05-08","77.010002"
"2015-05-11","78.330002"
"2015-05-12","79.589996"
"2015-05-13","79.419998"
"2015-05-14","77.199997"
"2015-05-15","78.930000"
"2015-05-18","79.230003"
"2015-05-19","77.470001"
"2015-05-20","78.529999"
"2015-05-21","80.620003"
"2015-05-22","81.379997"
"2015-05-26","79.230003"
"2015-05-27","79.180000"
"2015-05-28","77.529999"
"2015-05-29","77.809998"
"2015-06-01","78.959999"
"2015-06-02","79.029999"
"2015-06-03","77.660004"
"2015-06-04","76.459999"
"2015-06-05","78.260002"
"2015-06-08","78.830002"
"2015-06-09","79.989998"
"2015-06-10","81.430000"
"2015-06-11","81.040001"
"2015-06-12","80.650002"
"2015-06-15","79.889999"
"2015-06-16","80.750000"
"2015-06-17","79.389999"
"2015-06-18","78.570000"
"2015-06-19","76.620003"
"2015-06-22","78.809998"
"2015-06-23","79.889999"
"2015-06-24","77.959999"
"2015-06-25","76.389999"
"2015-06-26","75.250000"
"2015-06-29","75.160004"
"2015-06-30","75.379997"
"2015-07-01","72.820000"
"2015-07-02","73.129997"
"2015-07-06","70.209999"
"2015-07-07","71.059998"
"2015-07-08","69.290001"
"2015-07-09","70.860001"
"2015-07-10","70.889999"
"2015-07-13","71.309998"
"2015-07-14","73.339996"
"2015-07-15","70.690002"
"2015-07-16","69.190002"
"2015-07-17","66.269997"
"2015-07-20","64.830002"
"2015-07-21","65.970001"
"2015-07-22","66.239998"
"2015-07-23","66.290001"
"2015-07-24","63.900002"
"2015-07-27","63.299999"
"2015-07-28","64.989998"
"2015-07-29","67.650002"
"2015-07-30","67.680000"
"2015-07-31","67.300003"
"2015-08-03","66.820000"
"2015-08-04","67.989998"
"2015-08-05","68.370003"
"2015-08-06","70.480003"
"2015-08-07","68.839996"
"2015-08-10","70.190002"
"2015-08-11","70.870003"
"2015-08-12","72.480003"
"2015-08-13","71.669998"
"2015-08-14","73.900002"
"2015-08-17","72.209999"
"2015-08-18","73.379997"
"2015-08-19","71.839996"
"2015-08-20","70.230003"
"2015-08-21","66.550003"
"2015-08-24","61.750000"
"2015-08-25","60.820000"
"2015-08-26","62.090000"
"2015-08-27","65.699997"
"2015-08-28","66.559998"
"2015-08-31","68.290001"
"2015-09-01","64.519997"
"2015-09-02","67.449997"
"2015-09-03","66.980003"
"2015-09-04","66.000000"
"2015-09-08","67.309998"
"2015-09-09","65.050003"
"2015-09-10","66.879997"
"2015-09-11","66.309998"
"2015-09-14","65.720001"
"2015-09-15","66.699997"
"2015-09-16","69.889999"
"2015-09-17","69.809998"
"2015-09-18","69.000000"
"2015-09-21","69.419998"
"2015-09-22","69.180000"
"2015-09-23","66.489998"
"2015-09-24","66.669998"
"2015-09-25","66.010002"
"2015-09-28","62.630001"
"2015-09-29","63.000000"
"2015-09-30","64.599998"
"2015-10-01","65.559998"
"2015-10-02","69.360001"
"2015-10-05","72.209999"
"2015-10-06","72.580002"
"2015-10-07","73.650002"
"2015-10-08","76.220001"
"2015-10-09","76.949997"
"2015-10-12","76.910004"
"2015-10-13","76.169998"
"2015-10-14","76.430000"
"2015-10-15","75.680000"
"2015-10-16","77.180000"
"2015-10-19","73.309998"
"2015-10-20","73.360001"
"2015-10-21","71.269997"
"2015-10-22","72.349998"
"2015-10-23","71.919998"
"2015-10-26","72.879997"
"2015-10-27","72.559998"
"2015-10-28","75.500000"
"2015-10-29","75.400002"
"2015-10-30","73.839996"
"2015-11-02","73.410004"
"2015-11-03","77.260002"
"2015-11-04","76.080002"
"2015-11-05","77.089996"
"2015-11-06","77.790001"
"2015-11-09","79.620003"
"2015-11-10","79.599998"
"2015-11-11","79.830002"
"2015-11-12","78.089996"
"2015-11-13","76.720001"
"2015-11-16","79.660004"
"2015-11-17","79.610001"
"2015-11-18","81.419998"
"2015-11-19","77.059998"
"2015-11-20","77.470001"
"2015-11-23","79.739998"
"2015-11-24","79.940002"
"2015-11-25","78.699997"
"2015-11-27","77.519997"
"2015-11-30","78.019997"
"2015-12-01","78.199997"
"2015-12-02","76.790001"
"2015-12-03","76.750000"
"2015-12-04","76.309998"
"2015-12-07","73.849998"
"2015-12-08","74.940002"
"2015-12-09","77.019997"
"2015-12-10","79.089996"
"2015-12-11","76.559998"
"2015-12-14","75.610001"
"2015-12-15","76.510002"
"2015-12-16","72.360001"
"2015-12-17","68.750000"
"2015-12-18","66.160004"
"2015-12-21","62.200001"
"2015-12-22","63.349998"
"2015-12-23","67.459999"
"2015-12-24","67.919998"
"2015-12-28","65.430000"
"2015-12-29","66.440002"
"2015-12-30","66.019997"
"2015-12-31","66.900002"
"2016-01-04","66.110001"
"2016-01-05","65.190002"
"2016-01-06","62.200001"
"2016-01-07","60.400002"
"2016-01-08","60.759998"
"2016-01-11","57.599998"
"2016-01-12","58.520000"
"2016-01-13","59.509998"
"2016-01-14","62.680000"
"2016-01-15","63.160000"
"2016-01-19","60.480000"
"2016-01-20","60.910000"
"2016-01-21","64.099998"
"2016-01-22","66.169998"
"2016-01-25","62.080002"
"2016-01-26","66.529999"
"2016-01-27","68.269997"
"2016-01-28","72.790001"
"2016-01-29","75.550003"
"2016-02-01","72.599998"
"2016-02-02","71.250000"
"2016-02-03","74.879997"
"2016-02-04","72.000000"
"2016-02-05","67.309998"
"2016-02-08","69.949997"
"2016-02-09","67.059998"
"2016-02-10","67.330002"
"2016-02-11","67.900002"
"2016-02-12","69.129997"
"2016-02-16","67.970001"
"2016-02-17","70.440002"
"2016-02-18","70.250000"
"2016-02-19","72.080002"
"2016-02-22","73.699997"
"2016-02-23","69.989998"
"2016-02-24","71.720001"
"2016-02-25","71.559998"
"2016-02-26","72.599998"
"2016-02-29","71.250000"
"2016-03-01","72.489998"
"2016-03-02","74.000000"
"2016-03-03","72.510002"
"2016-03-04","75.989998"
"2016-03-07","76.239998"
"2016-03-08","74.389999"
"2016-03-09","74.699997"
"2016-03-10","75.080002"
"2016-03-11","78.430000"
"2016-03-14","76.010002"
"2016-03-15","76.980003"
"2016-03-16","77.110001"
"2016-03-17","77.489998"
"2016-03-18","77.620003"
"2016-03-21","78.050003"
"2016-03-22","78.019997"
"2016-03-23","76.699997"
"2016-03-24","77.430000"
"2016-03-28","76.459999"
"2016-03-29","77.160004"
"2016-03-30","79.029999"
"2016-03-31","77.180000"
"2016-04-01","76.769997"
"2016-04-04","74.510002"
"2016-04-05","73.800003"
"2016-04-06","76.690002"
"2016-04-07","79.070000"
"2016-04-08","81.050003"
"2016-04-11","80.580002"
"2016-04-12","82.050003"
"2016-04-13","81.400002"
"2016-04-14","81.730003"
"2016-04-15","80.110001"
"2016-04-18","81.820000"
"2016-04-19","82.300003"
"2016-04-20","83.449997"
"2016-04-21","82.550003"
"2016-04-22","83.680000"
"2016-04-25","84.480003"
"2016-04-26","86.510002"
"2016-04-27","88.430000"
"2016-04-28","86.879997"
"2016-04-29","86.580002"
"2016-05-02","87.610001"
"2016-05-03","84.900002"
"2016-05-04","84.169998"
"2016-05-05","87.680000"
"2016-05-06","85.459999"
"2016-05-09","85.730003"
"2016-05-10","87.410004"
"2016-05-11","86.489998"
"2016-05-12","87.139999"
"2016-05-13","85.489998"
"2016-05-16","86.580002"
"2016-05-17","86.940002"
"2016-05-18","86.930000"
