"date, price"
"2018-10-04","32.200001"
"2018-10-05","29.200001"
"2018-10-08","29.549999"
"2018-10-09","31.510000"
"2018-10-10","30.920000"
"2018-10-11","31.600000"
"2018-10-12","33.580002"
"2018-10-15","33.369999"
"2018-10-16","37.720001"
"2018-10-17","40.730000"
"2018-10-18","40.110001"
"2018-10-19","35.790001"
"2018-10-22","37.410000"
"2018-10-23","34.480000"
"2018-10-24","34.709999"
"2018-10-25","35.139999"
"2018-10-26","34.990002"
"2018-10-29","32.590000"
"2018-10-30","34.070000"
"2018-10-31","33.480000"
"2018-11-01","34.230000"
"2018-11-02","40.110001"
"2018-11-05","35.130001"
"2018-11-06","35.689999"
"2018-11-07","36.860001"
"2018-11-08","38.180000"
"2018-11-09","38.099998"
"2018-11-12","39.119999"
"2018-11-13","37.669998"
"2018-11-14","37.259998"
"2018-11-15","37.500000"
"2018-11-16","37.250000"
"2018-11-19","33.619999"
"2018-11-20","34.740002"
"2018-11-21","37.160000"
"2018-11-23","38.400002"
"2018-11-26","39.810001"
"2018-11-27","38.049999"
"2018-11-28","37.730000"
"2018-11-29","37.549999"
"2018-11-30","35.730000"
"2018-12-03","45.939999"
"2018-12-04","42.459999"
"2018-12-06","46.099998"
"2018-12-07","45.009998"
"2018-12-10","43.660000"
"2018-12-11","43.740002"
"2018-12-12","42.439999"
"2018-12-13","41.889999"
"2018-12-14","39.810001"
"2018-12-17","36.240002"
"2018-12-18","34.919998"
"2018-12-19","36.230000"
"2018-12-20","35.680000"
"2018-12-21","34.349998"
"2018-12-24","32.529999"
"2018-12-26","35.459999"
"2018-12-27","35.630001"
"2018-12-28","37.709999"
"2018-12-31","37.590000"
"2019-01-02","36.500000"
"2019-01-03","34.299999"
"2019-01-04","36.200001"
"2019-01-07","38.139999"
"2019-01-08","39.930000"
"2019-01-09","39.970001"
"2019-01-10","41.540001"
"2019-01-11","42.939999"
"2019-01-14","39.529999"
"2019-01-15","40.080002"
"2019-01-16","40.340000"
