"date, price"
"2018-04-27","15.750000"
"2018-04-30","14.800000"
"2018-05-01","15.010000"
"2018-05-02","14.950000"
"2018-05-03","15.380000"
"2018-05-04","15.350000"
"2018-05-07","15.830000"
"2018-05-08","16.650000"
"2018-05-09","16.830000"
"2018-05-10","16.930000"
"2018-05-11","16.830000"
"2018-05-14","16.570000"
"2018-05-15","16.469999"
"2018-05-16","16.250000"
"2018-05-17","15.600000"
"2018-05-18","16.200001"
"2018-05-21","16.200001"
"2018-05-22","16.090000"
"2018-05-23","16.450001"
"2018-05-24","16.480000"
"2018-05-25","16.410000"
"2018-05-29","16.430000"
"2018-05-30","16.540001"
"2018-05-31","16.150000"
"2018-06-01","16.230000"
"2018-06-04","16.200001"
"2018-06-05","17.400000"
"2018-06-06","17.110001"
"2018-06-07","18.740000"
"2018-06-08","19.500000"
"2018-06-11","21.139999"
"2018-06-12","22.840000"
"2018-06-13","22.270000"
"2018-06-14","24.080000"
"2018-06-15","23.770000"
"2018-06-18","25.430000"
"2018-06-19","27.139999"
"2018-06-20","26.600000"
"2018-06-21","26.080000"
"2018-06-22","26.219999"
"2018-06-25","26.920000"
"2018-06-26","28.200001"
"2018-06-27","26.500000"
"2018-06-28","26.049999"
"2018-06-29","24.959999"
"2018-07-02","23.760000"
"2018-07-03","23.940001"
"2018-07-05","24.660000"
"2018-07-06","24.969999"
"2018-07-09","26.610001"
"2018-07-10","24.950001"
"2018-07-11","24.990000"
"2018-07-12","26.700001"
"2018-07-13","26.059999"
"2018-07-16","25.840000"
"2018-07-17","28.240000"
"2018-07-18","27.709999"
"2018-07-19","29.080000"
"2018-07-20","26.920000"
"2018-07-23","26.570000"
"2018-07-24","26.410000"
"2018-07-25","27.870001"
"2018-07-26","27.620001"
"2018-07-27","26.860001"
"2018-07-30","26.719999"
"2018-07-31","27.170000"
"2018-08-01","27.129999"
"2018-08-02","27.770000"
"2018-08-03","27.680000"
"2018-08-06","27.360001"
"2018-08-07","27.309999"
"2018-08-08","26.480000"
"2018-08-09","26.010000"
"2018-08-10","27.250000"
"2018-08-13","26.430000"
"2018-08-14","26.240000"
"2018-08-15","27.170000"
"2018-08-16","26.850000"
"2018-08-17","26.610001"
"2018-08-20","27.100000"
"2018-08-21","27.100000"
"2018-08-22","26.680000"
"2018-08-23","26.700001"
"2018-08-24","26.459999"
"2018-08-27","26.590000"
"2018-08-28","27.299999"
"2018-08-29","29.920000"
"2018-08-30","28.820000"
"2018-08-31","31.020000"
"2018-09-04","33.750000"
"2018-09-05","32.139999"
"2018-09-06","30.309999"
"2018-09-07","31.570000"
"2018-09-10","33.599998"
"2018-09-11","35.360001"
"2018-09-12","35.439999"
"2018-09-13","35.820000"
"2018-09-14","36.430000"
"2018-09-17","35.680000"
"2018-09-18","35.599998"
"2018-09-19","35.250000"
"2018-09-20","35.009998"
"2018-09-21","35.500000"
"2018-09-24","33.840000"
"2018-09-25","32.130001"
"2018-09-26","30.770000"
"2018-09-27","33.080002"
"2018-09-28","33.869999"
"2018-10-01","31.920000"
"2018-10-02","30.920000"
"2018-10-03","28.610001"
"2018-10-04","28.940001"
"2018-10-05","29.540001"
"2018-10-08","29.090000"
"2018-10-09","28.980000"
"2018-10-10","28.530001"
"2018-10-11","28.309999"
"2018-10-12","27.540001"
"2018-10-15","26.350000"
"2018-10-16","26.410000"
"2018-10-17","28.299999"
"2018-10-18","28.160000"
"2018-10-19","28.639999"
"2018-10-22","28.680000"
"2018-10-23","29.379999"
"2018-10-24","30.580000"
"2018-10-25","33.230000"
"2018-10-26","31.090000"
"2018-10-29","31.879999"
"2018-10-30","35.250000"
"2018-10-31","34.279999"
"2018-11-01","35.410000"
"2018-11-02","36.169998"
"2018-11-05","36.000000"
"2018-11-06","31.955000"
"2018-11-07","31.709999"
"2018-11-08","29.150000"
"2018-11-09","28.320000"
"2018-11-12","27.000000"
"2018-11-13","25.940001"
"2018-11-14","24.850000"
"2018-11-15","22.370001"
"2018-11-16","21.959999"
"2018-11-19","23.670000"
"2018-11-20","24.320000"
"2018-11-21","24.030001"
"2018-11-23","24.379999"
"2018-11-26","24.920000"
"2018-11-27","23.950001"
"2018-11-28","25.299999"
"2018-11-29","26.540001"
"2018-11-30","25.420000"
"2018-12-03","26.420000"
"2018-12-04","25.450001"
"2018-12-06","26.520000"
