"date, price"
"2014-12-04","66.650002"
"2014-12-05","67.129997"
"2014-12-08","66.059998"
"2014-12-09","66.540001"
"2014-12-10","64.370003"
"2014-12-11","64.190002"
"2014-12-12","62.610001"
"2014-12-15","61.990002"
"2014-12-16","61.209999"
"2014-12-17","64.180000"
"2014-12-18","63.779999"
"2014-12-19","63.040001"
"2014-12-22","62.750000"
"2014-12-23","63.880001"
"2014-12-24","64.040001"
"2014-12-26","64.389999"
"2014-12-29","65.260002"
"2014-12-30","65.389999"
"2014-12-31","65.059998"
"2015-01-02","64.790001"
"2015-01-05","63.330002"
"2015-01-06","63.360001"
"2015-01-07","64.750000"
"2015-01-08","66.580002"
"2015-01-09","74.629997"
"2015-01-12","74.169998"
"2015-01-13","74.639999"
"2015-01-14","74.239998"
"2015-01-15","74.000000"
"2015-01-16","76.010002"
"2015-01-20","75.809998"
"2015-01-21","74.839996"
"2015-01-22","77.529999"
"2015-01-23","75.599998"
"2015-01-26","76.010002"
"2015-01-27","75.769997"
"2015-01-28","75.699997"
"2015-01-29","76.110001"
"2015-01-30","75.220001"
"2015-02-02","76.110001"
"2015-02-03","76.190002"
"2015-02-04","77.870003"
"2015-02-05","77.559998"
"2015-02-06","78.220001"
"2015-02-09","76.760002"
"2015-02-10","77.269997"
"2015-02-11","77.570000"
"2015-02-12","78.279999"
"2015-02-13","77.940002"
"2015-02-17","78.510002"
"2015-02-18","78.410004"
"2015-02-19","78.410004"
"2015-02-20","77.559998"
"2015-02-23","77.849998"
"2015-02-24","78.279999"
"2015-02-25","77.239998"
"2015-02-26","77.370003"
"2015-02-27","76.620003"
"2015-03-02","78.110001"
"2015-03-03","77.180000"
"2015-03-04","76.660004"
"2015-03-05","76.800003"
"2015-03-06","75.809998"
"2015-03-09","76.510002"
"2015-03-10","75.790001"
"2015-03-11","75.769997"
"2015-03-12","76.949997"
"2015-03-13","76.800003"
"2015-03-16","77.040001"
"2015-03-17","77.019997"
"2015-03-18","79.260002"
"2015-03-19","80.419998"
"2015-03-20","80.959999"
"2015-03-23","80.290001"
"2015-03-24","81.449997"
"2015-03-25","80.099998"
"2015-03-26","80.059998"
"2015-03-27","80.320000"
"2015-03-30","82.000000"
"2015-03-31","81.489998"
"2015-04-01","80.739998"
"2015-04-02","82.190002"
"2015-04-06","82.389999"
"2015-04-07","80.930000"
"2015-04-08","81.989998"
"2015-04-09","80.519997"
"2015-04-10","81.050003"
"2015-04-13","80.879997"
"2015-04-14","80.849998"
"2015-04-15","82.129997"
"2015-04-16","80.430000"
"2015-04-17","79.320000"
"2015-04-20","79.860001"
"2015-04-21","79.449997"
"2015-04-22","79.260002"
"2015-04-23","78.459999"
"2015-04-24","79.160004"
"2015-04-27","78.650002"
"2015-04-28","79.849998"
"2015-04-29","87.750000"
"2015-04-30","87.610001"
"2015-05-01","89.110001"
"2015-05-04","87.849998"
"2015-05-05","87.610001"
"2015-05-06","88.559998"
"2015-05-07","88.860001"
"2015-05-08","89.120003"
"2015-05-11","88.099998"
"2015-05-12","89.849998"
"2015-05-13","87.620003"
"2015-05-14","88.190002"
"2015-05-15","87.980003"
"2015-05-18","89.269997"
"2015-05-19","88.750000"
"2015-05-20","88.320000"
"2015-05-21","88.639999"
"2015-05-22","88.669998"
"2015-05-26","86.940002"
"2015-05-27","88.010002"
"2015-05-28","88.199997"
"2015-05-29","87.489998"
"2015-06-01","88.449997"
"2015-06-02","89.169998"
"2015-06-03","90.379997"
"2015-06-04","89.029999"
"2015-06-05","89.660004"
"2015-06-08","89.849998"
"2015-06-09","90.900002"
"2015-06-10","92.919998"
"2015-06-11","94.089996"
"2015-06-12","94.790001"
"2015-06-15","94.809998"
"2015-06-16","96.449997"
"2015-06-17","93.400002"
"2015-06-18","95.169998"
"2015-06-19","96.550003"
"2015-06-22","98.989998"
"2015-06-23","98.089996"
"2015-06-24","97.169998"
"2015-06-25","99.199997"
"2015-06-26","98.400002"
"2015-06-29","96.510002"
"2015-06-30","97.489998"
"2015-07-01","99.120003"
"2015-07-02","98.470001"
"2015-07-06","97.820000"
"2015-07-07","97.809998"
"2015-07-08","97.800003"
"2015-07-09","97.080002"
"2015-07-10","86.709999"
"2015-07-13","88.989998"
"2015-07-14","88.690002"
"2015-07-15","90.510002"
"2015-07-16","90.370003"
