"date, price"
"2014-12-04","23.570000"
"2014-12-05","23.540001"
"2014-12-08","23.580000"
"2014-12-09","23.730000"
"2014-12-10","23.629999"
"2014-12-11","23.730000"
"2014-12-12","23.379999"
"2014-12-15","23.250000"
"2014-12-16","23.330000"
"2014-12-17","23.860001"
"2014-12-18","23.879999"
"2014-12-19","23.900000"
"2014-12-22","24.330000"
"2014-12-23","24.299999"
"2014-12-24","24.230000"
"2014-12-26","24.290001"
"2014-12-29","24.139999"
"2014-12-30","24.120001"
"2014-12-31","23.770000"
"2015-01-02","23.809999"
"2015-01-05","23.620001"
"2015-01-06","23.520000"
"2015-01-07","23.650000"
"2015-01-08","23.900000"
"2015-01-09","23.740000"
"2015-01-12","23.790001"
"2015-01-13","23.750000"
"2015-01-14","23.719999"
"2015-01-15","23.760000"
"2015-01-16","23.719999"
"2015-01-20","23.690001"
"2015-01-21","23.610001"
"2015-01-22","24.110001"
"2015-01-23","24.129999"
"2015-01-26","24.139999"
"2015-01-27","23.980000"
"2015-01-28","23.500000"
"2015-01-29","23.639999"
"2015-01-30","22.889999"
"2015-02-02","22.980000"
"2015-02-03","23.309999"
"2015-02-04","23.070000"
"2015-02-05","23.420000"
"2015-02-06","23.160000"
"2015-02-09","22.940001"
"2015-02-10","23.139999"
"2015-02-11","23.200001"
"2015-02-12","23.700001"
"2015-02-13","23.620001"
"2015-02-17","23.559999"
"2015-02-18","23.540001"
"2015-02-19","21.870001"
"2015-02-20","21.770000"
"2015-02-23","21.610001"
"2015-02-24","21.320000"
"2015-02-25","21.250000"
"2015-02-26","21.120001"
"2015-02-27","21.000000"
"2015-03-02","21.430000"
"2015-03-03","21.340000"
"2015-03-04","20.900000"
"2015-03-05","20.660000"
"2015-03-06","20.280001"
"2015-03-09","20.430000"
"2015-03-10","20.260000"
"2015-03-11","20.389999"
"2015-03-12","20.850000"
"2015-03-13","20.799999"
"2015-03-16","21.030001"
"2015-03-17","21.059999"
"2015-03-18","21.379999"
"2015-03-19","21.230000"
"2015-03-20","21.719999"
"2015-03-23","21.520000"
"2015-03-24","21.150000"
"2015-03-25","20.510000"
"2015-03-26","20.280001"
"2015-03-27","20.040001"
"2015-03-30","20.350000"
"2015-03-31","20.180000"
"2015-04-01","20.260000"
"2015-04-02","20.490000"
"2015-04-06","20.340000"
"2015-04-07","20.000000"
"2015-04-08","20.190001"
"2015-04-09","19.920000"
"2015-04-10","19.930000"
"2015-04-13","20.230000"
"2015-04-14","19.959999"
"2015-04-15","19.930000"
"2015-04-16","20.240000"
"2015-04-17","20.600000"
"2015-04-20","20.600000"
"2015-04-21","20.549999"
"2015-04-22","20.620001"
"2015-04-23","20.680000"
"2015-04-24","20.690001"
"2015-04-27","20.629999"
"2015-04-28","20.400000"
"2015-04-29","20.270000"
"2015-04-30","20.139999"
"2015-05-01","20.320000"
"2015-05-04","20.320000"
"2015-05-05","19.830000"
"2015-05-06","19.450001"
"2015-05-07","19.799999"
"2015-05-08","20.320000"
"2015-05-11","20.139999"
"2015-05-12","20.110001"
"2015-05-13","19.990000"
"2015-05-14","20.400000"
"2015-05-15","20.600000"
"2015-05-18","20.549999"
"2015-05-19","20.610001"
"2015-05-20","20.330000"
"2015-05-21","20.219999"
"2015-05-22","20.090000"
"2015-05-26","20.020000"
"2015-05-27","20.180000"
"2015-05-28","20.090000"
"2015-05-29","19.920000"
"2015-06-01","20.270000"
"2015-06-02","20.230000"
"2015-06-03","20.100000"
"2015-06-04","19.870001"
"2015-06-05","19.570000"
"2015-06-08","19.400000"
"2015-06-09","19.430000"
"2015-06-10","19.559999"
"2015-06-11","19.709999"
"2015-06-12","19.920000"
"2015-06-15","19.709999"
"2015-06-16","19.950001"
"2015-06-17","20.110001"
"2015-06-18","20.520000"
"2015-06-19","20.410000"
"2015-06-22","20.469999"
"2015-06-23","20.290001"
"2015-06-24","20.730000"
"2015-06-25","20.299999"
"2015-06-26","20.139999"
"2015-06-29","19.559999"
"2015-06-30","19.830000"
"2015-07-01","20.400000"
"2015-07-02","20.510000"
"2015-07-06","20.559999"
"2015-07-07","20.940001"
"2015-07-08","20.650000"
"2015-07-09","20.559999"
"2015-07-10","20.650000"
"2015-07-13","20.760000"
"2015-07-14","20.910000"
"2015-07-15","21.090000"
"2015-07-16","21.290001"
"2015-07-17","21.200001"
"2015-07-20","21.129999"
"2015-07-21","20.930000"
"2015-07-22","20.900000"
"2015-07-23","20.160000"
"2015-07-24","19.730000"
"2015-07-27","19.709999"
"2015-07-28","20.059999"
"2015-07-29","20.430000"
"2015-07-30","19.549999"
"2015-07-31","19.379999"
"2015-08-03","19.350000"
"2015-08-04","19.190001"
"2015-08-05","18.830000"
"2015-08-06","18.950001"
"2015-08-07","18.969999"
"2015-08-10","19.200001"
"2015-08-11","19.160000"
"2015-08-12","19.129999"
"2015-08-13","19.240000"
"2015-08-14","19.270000"
"2015-08-17","19.600000"
"2015-08-18","19.610001"
"2015-08-19","19.150000"
"2015-08-20","18.719999"
"2015-08-21","18.290001"
"2015-08-24","17.559999"
"2015-08-25","17.000000"
"2015-08-26","17.709999"
"2015-08-27","18.170000"
"2015-08-28","18.280001"
"2015-08-31","17.730000"
"2015-09-01","17.330000"
"2015-09-02","17.459999"
"2015-09-03","17.559999"
"2015-09-04","17.200001"
"2015-09-08","17.580000"
"2015-09-09","17.330000"
"2015-09-10","17.340000"
"2015-09-11","17.740000"
"2015-09-14","17.680000"
"2015-09-15","17.270000"
"2015-09-16","17.410000"
"2015-09-17","17.420000"
"2015-09-18","16.530001"
"2015-09-21","16.620001"
"2015-09-22","16.040001"
"2015-09-23","16.170000"
"2015-09-24","16.049999"
"2015-09-25","16.250000"
"2015-09-28","15.650000"
"2015-09-29","15.390000"
"2015-09-30","15.810000"
"2015-10-01","16.070000"
"2015-10-02","16.250000"
"2015-10-05","16.650000"
"2015-10-06","17.070000"
"2015-10-07","17.650000"
"2015-10-08","17.850000"
"2015-10-09","17.629999"
"2015-10-12","17.650000"
"2015-10-13","17.379999"
"2015-10-14","17.280001"
"2015-10-15","17.690001"
"2015-10-16","17.570000"
"2015-10-19","17.690001"
"2015-10-20","17.690001"
"2015-10-21","17.120001"
"2015-10-22","17.570000"
"2015-10-23","16.540001"
"2015-10-26","16.299999"
"2015-10-27","16.270000"
"2015-10-28","16.559999"
"2015-10-29","17.240000"
"2015-10-30","17.330000"
"2015-11-02","17.600000"
"2015-11-03","17.510000"
"2015-11-04","17.610001"
"2015-11-05","17.830000"
"2015-11-06","17.480000"
"2015-11-09","17.139999"
"2015-11-10","17.209999"
"2015-11-11","17.150000"
"2015-11-12","17.040001"
"2015-11-13","16.600000"
"2015-11-16","16.700001"
"2015-11-17","16.389999"
"2015-11-18","16.480000"
"2015-11-19","16.240000"
"2015-11-20","16.110001"
"2015-11-23","16.260000"
"2015-11-24","16.240000"
"2015-11-25","16.520000"
"2015-11-27","16.620001"
"2015-11-30","16.600000"
"2015-12-01","16.850000"
"2015-12-02","16.400000"
"2015-12-03","15.990000"
"2015-12-04","16.340000"
"2015-12-07","15.910000"
"2015-12-08","16.000000"
"2015-12-09","15.870000"
"2015-12-10","16.129999"
"2015-12-11","15.810000"
"2015-12-14","15.710000"
"2015-12-15","15.870000"
"2015-12-16","16.020000"
"2015-12-17","15.750000"
"2015-12-18","15.330000"
"2015-12-21","15.200000"
"2015-12-22","15.430000"
"2015-12-23","15.960000"
"2015-12-24","15.950000"
"2015-12-28","15.780000"
"2015-12-29","15.930000"
"2015-12-30","15.760000"
"2015-12-31","15.340000"
"2016-01-04","15.160000"
"2016-01-05","15.390000"
"2016-01-06","15.070000"
"2016-01-07","14.550000"
"2016-01-08","14.510000"
"2016-01-11","14.750000"
"2016-01-12","14.330000"
"2016-01-13","13.460000"
"2016-01-14","13.780000"
"2016-01-15","13.160000"
"2016-01-19","12.820000"
"2016-01-20","12.830000"
"2016-01-21","13.500000"
"2016-01-22","13.800000"
"2016-01-25","13.570000"
"2016-01-26","13.870000"
"2016-01-27","13.550000"
"2016-01-28","13.190000"
"2016-01-29","13.850000"
"2016-02-01","13.710000"
"2016-02-02","13.230000"
"2016-02-03","13.640000"
"2016-02-04","14.200000"
"2016-02-05","14.150000"
"2016-02-08","13.760000"
"2016-02-09","13.850000"
"2016-02-10","14.080000"
"2016-02-11","13.880000"
"2016-02-12","14.420000"
"2016-02-16","14.840000"
"2016-02-17","14.970000"
"2016-02-18","15.320000"
"2016-02-19","15.060000"
"2016-02-22","15.320000"
"2016-02-23","14.960000"
"2016-02-24","15.050000"
"2016-02-25","15.510000"
"2016-02-26","15.390000"
"2016-02-29","15.310000"
"2016-03-01","15.850000"
"2016-03-02","15.950000"
"2016-03-03","16.110001"
"2016-03-04","16.490000"
"2016-03-07","16.840000"
"2016-03-08","16.270000"
"2016-03-09","16.170000"
"2016-03-10","16.049999"
"2016-03-11","16.629999"
"2016-03-14","16.870001"
"2016-03-15","16.559999"
"2016-03-16","16.910000"
"2016-03-17","16.750000"
"2016-03-18","16.969999"
"2016-03-21","16.820000"
"2016-03-22","16.480000"
"2016-03-23","16.180000"
"2016-03-24","16.180000"
"2016-03-28","16.340000"
"2016-03-29","16.459999"
"2016-03-30","16.459999"
"2016-03-31","16.700001"
"2016-04-01","16.059999"
"2016-04-04","15.680000"
"2016-04-05","15.440000"
"2016-04-06","15.480000"
"2016-04-07","15.290000"
"2016-04-08","15.260000"
"2016-04-11","15.530000"
"2016-04-12","15.860000"
"2016-04-13","16.100000"
"2016-04-14","16.090000"
"2016-04-15","16.209999"
"2016-04-18","15.860000"
"2016-04-19","15.860000"
"2016-04-20","15.540000"
"2016-04-21","15.590000"
"2016-04-22","15.340000"
"2016-04-25","15.270000"
"2016-04-26","15.510000"
"2016-04-27","15.940000"
"2016-04-28","15.820000"
"2016-04-29","15.820000"
"2016-05-02","16.010000"
"2016-05-03","16.110001"
"2016-05-04","16.160000"
"2016-05-05","16.180000"
"2016-05-06","16.360001"
"2016-05-09","16.410000"
"2016-05-10","16.670000"
"2016-05-11","16.070000"
"2016-05-12","15.890000"
"2016-05-13","15.610000"
"2016-05-16","15.630000"
"2016-05-17","15.490000"
"2016-05-18","15.000000"
"2016-05-19","14.660000"
"2016-05-20","14.580000"
"2016-05-23","14.780000"
"2016-05-24","15.070000"
"2016-05-25","15.350000"
"2016-05-26","15.200000"
"2016-05-27","15.300000"
"2016-05-31","15.400000"
"2016-06-01","15.440000"
"2016-06-02","15.770000"
"2016-06-03","15.650000"
"2016-06-06","15.680000"
"2016-06-07","15.740000"
"2016-06-08","15.690000"
"2016-06-09","15.590000"
"2016-06-10","15.400000"
"2016-06-13","15.380000"
"2016-06-14","15.540000"
"2016-06-15","15.980000"
"2016-06-16","16.040001"
"2016-06-17","16.440001"
"2016-06-20","16.549999"
"2016-06-21","16.650000"
"2016-06-22","16.799999"
"2016-06-23","16.950001"
"2016-06-24","15.700000"
"2016-06-27","14.790000"
"2016-06-28","15.150000"
"2016-06-29","16.049999"
"2016-06-30","16.209999"
"2016-07-01","16.450001"
"2016-07-05","16.090000"
"2016-07-06","16.260000"
"2016-07-07","16.410000"
"2016-07-08","16.760000"
"2016-07-11","16.990000"
"2016-07-12","17.160000"
"2016-07-13","16.480000"
"2016-07-14","16.709999"
"2016-07-15","16.980000"
"2016-07-18","17.090000"
"2016-07-19","17.250000"
"2016-07-20","17.120001"
"2016-07-21","17.510000"
"2016-07-22","17.910000"
"2016-07-25","17.959999"
"2016-07-26","17.600000"
"2016-07-27","17.139999"
"2016-07-28","17.280001"
"2016-07-29","17.740000"
"2016-08-01","17.889999"
"2016-08-02","17.440001"
"2016-08-03","17.549999"
"2016-08-04","17.379999"
"2016-08-05","17.840000"
"2016-08-08","18.240000"
"2016-08-09","18.180000"
"2016-08-10","18.200001"
"2016-08-11","17.990000"
"2016-08-12","18.020000"
"2016-08-15","18.180000"
"2016-08-16","18.150000"
"2016-08-17","17.930000"
"2016-08-18","18.100000"
"2016-08-19","18.200001"
"2016-08-22","18.370001"
"2016-08-23","18.309999"
"2016-08-24","18.270000"
"2016-08-25","18.139999"
"2016-08-26","17.959999"
"2016-08-29","18.010000"
"2016-08-30","18.090000"
"2016-08-31","17.820000"
"2016-09-01","17.570000"
"2016-09-02","17.410000"
"2016-09-06","17.070000"
"2016-09-07","17.059999"
"2016-09-08","16.809999"
"2016-09-09","16.200001"
"2016-09-12","16.190001"
"2016-09-13","16.020000"
"2016-09-14","16.180000"
"2016-09-15","16.100000"
"2016-09-16","16.000000"
"2016-09-19","16.020000"
"2016-09-20","16.030001"
"2016-09-21","15.980000"
"2016-09-22","16.309999"
"2016-09-23","16.250000"
"2016-09-26","16.010000"
"2016-09-27","15.740000"
"2016-09-28","15.600000"
"2016-09-29","15.650000"
"2016-09-30","15.570000"
"2016-10-03","15.580000"
"2016-10-04","15.440000"
"2016-10-05","15.410000"
"2016-10-06","15.550000"
"2016-10-07","15.490000"
"2016-10-10","15.690000"
"2016-10-11","15.450000"
"2016-10-12","15.530000"
"2016-10-13","15.510000"
"2016-10-14","15.440000"
"2016-10-17","15.490000"
"2016-10-18","15.700000"
"2016-10-19","15.720000"
"2016-10-20","15.510000"
"2016-10-21","15.470000"
"2016-10-24","15.540000"
"2016-10-25","15.400000"
"2016-10-26","15.010000"
"2016-10-27","14.890000"
"2016-10-28","15.000000"
"2016-10-31","15.480000"
"2016-11-01","15.260000"
"2016-11-02","15.240000"
"2016-11-03","14.830000"
"2016-11-04","15.160000"
"2016-11-07","15.710000"
"2016-11-08","15.970000"
"2016-11-09","16.110001"
"2016-11-10","16.070000"
"2016-11-11","16.480000"
"2016-11-14","17.379999"
"2016-11-15","17.120001"
"2016-11-16","16.980000"
"2016-11-17","16.690001"
"2016-11-18","16.410000"
"2016-11-21","16.680000"
"2016-11-22","16.930000"
"2016-11-23","16.889999"
"2016-11-25","16.940001"
"2016-11-28","16.969999"
"2016-11-29","17.299999"
"2016-11-30","17.840000"
"2016-12-01","18.139999"
"2016-12-02","17.740000"
"2016-12-05","18.270000"
"2016-12-06","18.480000"
"2016-12-07","18.920000"
"2016-12-08","19.010000"
"2016-12-09","19.180000"
"2016-12-12","18.990000"
"2016-12-13","19.049999"
"2016-12-14","18.870001"
"2016-12-15","18.920000"
"2016-12-16","19.010000"
"2016-12-19","19.180000"
"2016-12-20","19.120001"
"2016-12-21","19.170000"
"2016-12-22","18.799999"
"2016-12-23","18.930000"
"2016-12-27","18.959999"
"2016-12-28","18.570000"
"2016-12-29","18.750000"
"2016-12-30","18.840000"
"2017-01-03","19.129999"
"2017-01-04","19.340000"
"2017-01-05","18.500000"
"2017-01-06","18.250000"
"2017-01-09","18.200001"
"2017-01-10","18.030001"
"2017-01-11","18.180000"
"2017-01-12","18.020000"
"2017-01-13","18.260000"
"2017-01-17","18.150000"
"2017-01-18","18.309999"
"2017-01-19","18.219999"
"2017-01-20","18.330000"
"2017-01-23","18.240000"
"2017-01-24","18.270000"
"2017-01-25","18.480000"
"2017-01-26","18.610001"
"2017-01-27","18.590000"
"2017-01-30","17.940001"
"2017-01-31","18.070000"
"2017-02-01","17.870001"
"2017-02-02","17.910000"
"2017-02-03","18.090000"
"2017-02-06","17.879999"
"2017-02-07","18.010000"
"2017-02-08","18.330000"
"2017-02-09","18.350000"
"2017-02-10","18.360001"
"2017-02-13","18.559999"
"2017-02-14","18.750000"
"2017-02-15","18.620001"
"2017-02-16","18.580000"
"2017-02-17","18.389999"
"2017-02-21","18.690001"
"2017-02-22","18.350000"
"2017-02-23","18.030001"
"2017-02-24","18.010000"
"2017-02-27","18.209999"
"2017-02-28","17.990000"
"2017-03-01","18.389999"
"2017-03-02","18.610001"
"2017-03-03","18.379999"
"2017-03-06","18.500000"
"2017-03-07","18.180000"
"2017-03-08","18.129999"
"2017-03-09","17.840000"
"2017-03-10","17.910000"
"2017-03-13","17.870001"
"2017-03-14","17.750000"
"2017-03-15","18.340000"
"2017-03-16","18.240000"
"2017-03-17","18.440001"
"2017-03-20","18.379999"
"2017-03-21","17.969999"
"2017-03-22","18.090000"
"2017-03-23","18.020000"
"2017-03-24","18.049999"
"2017-03-27","18.020000"
"2017-03-28","18.170000"
"2017-03-29","18.240000"
"2017-03-30","18.540001"
"2017-03-31","18.660000"
"2017-04-03","18.370001"
"2017-04-04","18.299999"
"2017-04-05","18.260000"
"2017-04-06","18.520000"
"2017-04-07","18.299999"
"2017-04-10","18.430000"
"2017-04-11","18.570000"
"2017-04-12","18.379999"
"2017-04-13","18.450001"
"2017-04-17","18.469999"
"2017-04-18","18.610001"
"2017-04-19","19.000000"
"2017-04-20","19.049999"
"2017-04-21","18.820000"
"2017-04-24","19.000000"
"2017-04-25","19.049999"
"2017-04-26","19.270000"
"2017-04-27","19.240000"
"2017-04-28","17.950001"
"2017-05-01","18.049999"
"2017-05-02","18.440001"
"2017-05-03","18.200001"
"2017-05-04","18.000000"
"2017-05-05","18.129999"
"2017-05-08","17.799999"
"2017-05-09","17.830000"
"2017-05-10","18.010000"
"2017-05-11","17.680000"
"2017-05-12","17.480000"
"2017-05-15","17.750000"
"2017-05-16","17.680000"
"2017-05-17","17.639999"
"2017-05-18","18.030001"
"2017-05-19","18.090000"
"2017-05-22","18.110001"
"2017-05-23","18.160000"
"2017-05-24","18.209999"
"2017-05-25","18.090000"
"2017-05-26","18.070000"
"2017-05-30","17.850000"
"2017-05-31","17.990000"
"2017-06-01","17.879999"
"2017-06-02","18.170000"
"2017-06-05","17.870001"
"2017-06-06","17.850000"
"2017-06-07","17.980000"
"2017-06-08","18.139999"
"2017-06-09","18.379999"
"2017-06-12","18.629999"
"2017-06-13","18.700001"
"2017-06-14","18.570000"
"2017-06-15","18.590000"
"2017-06-16","18.740000"
"2017-06-19","19.100000"
"2017-06-20","18.920000"
"2017-06-21","18.600000"
"2017-06-22","18.670000"
"2017-06-23","18.719999"
"2017-06-26","18.950001"
"2017-06-27","18.809999"
"2017-06-28","18.600000"
"2017-06-29","18.480000"
"2017-06-30","18.270000"
"2017-07-03","18.809999"
"2017-07-05","18.709999"
"2017-07-06","18.299999"
