"date, price"
"2014-12-04","53.959999"
"2014-12-05","52.939999"
"2014-12-08","52.180000"
"2014-12-09","52.639999"
"2014-12-10","50.750000"
"2014-12-11","50.959999"
"2014-12-12","50.860001"
"2014-12-15","50.439999"
"2014-12-16","51.200001"
"2014-12-17","52.189999"
"2014-12-18","52.480000"
"2014-12-19","52.810001"
"2014-12-22","52.310001"
"2014-12-23","51.939999"
"2014-12-24","52.660000"
"2014-12-26","53.160000"
"2014-12-29","52.360001"
"2014-12-30","51.919998"
"2014-12-31","50.990002"
"2015-01-02","51.610001"
"2015-01-05","53.110001"
"2015-01-06","53.509998"
"2015-01-07","52.910000"
"2015-01-08","53.700001"
"2015-01-09","53.939999"
"2015-01-12","53.750000"
"2015-01-13","56.049999"
"2015-01-14","56.570000"
"2015-01-15","56.320000"
"2015-01-16","57.680000"
"2015-01-20","56.910000"
"2015-01-21","56.180000"
"2015-01-22","56.770000"
"2015-01-23","57.240002"
"2015-01-26","57.889999"
"2015-01-27","57.820000"
"2015-01-28","57.709999"
"2015-01-29","56.990002"
"2015-01-30","56.400002"
"2015-02-02","57.009998"
"2015-02-03","57.150002"
"2015-02-04","57.709999"
"2015-02-05","57.970001"
"2015-02-06","57.560001"
"2015-02-09","56.840000"
"2015-02-10","56.919998"
"2015-02-11","57.400002"
"2015-02-12","59.630001"
"2015-02-13","60.009998"
"2015-02-17","60.119999"
"2015-02-18","60.590000"
"2015-02-19","61.090000"
"2015-02-20","60.310001"
"2015-02-23","61.939999"
"2015-02-24","61.549999"
"2015-02-25","67.750000"
"2015-02-26","69.440002"
"2015-02-27","69.010002"
"2015-03-02","69.410004"
"2015-03-03","68.059998"
"2015-03-04","67.720001"
"2015-03-05","67.839996"
"2015-03-06","67.150002"
"2015-03-09","67.180000"
"2015-03-10","67.550003"
"2015-03-11","67.699997"
"2015-03-12","68.199997"
"2015-03-13","67.260002"
"2015-03-16","68.500000"
"2015-03-17","68.480003"
"2015-03-18","68.389999"
"2015-03-19","70.500000"
"2015-03-20","71.290001"
"2015-03-23","71.559998"
"2015-03-24","70.769997"
"2015-03-25","68.349998"
"2015-03-26","69.610001"
"2015-03-27","70.459999"
"2015-03-30","70.930000"
"2015-03-31","70.529999"
"2015-04-01","70.570000"
"2015-04-02","69.870003"
"2015-04-06","69.830002"
"2015-04-07","68.970001"
"2015-04-08","69.830002"
"2015-04-09","69.370003"
"2015-04-10","69.680000"
"2015-04-13","68.919998"
"2015-04-14","68.290001"
"2015-04-15","67.589996"
"2015-04-16","68.839996"
"2015-04-17","68.980003"
"2015-04-20","69.580002"
"2015-04-21","67.959999"
"2015-04-22","69.239998"
"2015-04-23","69.410004"
"2015-04-24","69.849998"
"2015-04-27","70.209999"
"2015-04-28","64.360001"
"2015-04-29","63.290001"
"2015-04-30","64.339996"
"2015-05-01","65.709999"
"2015-05-04","66.080002"
"2015-05-05","64.309998"
"2015-05-06","65.389999"
"2015-05-07","65.470001"
"2015-05-08","67.070000"
"2015-05-11","65.489998"
"2015-05-12","65.849998"
"2015-05-13","64.699997"
"2015-05-14","65.790001"
"2015-05-15","66.260002"
"2015-05-18","67.940002"
"2015-05-19","67.970001"
"2015-05-20","67.330002"
"2015-05-21","67.239998"
"2015-05-22","66.470001"
"2015-05-26","65.389999"
"2015-05-27","65.949997"
"2015-05-28","65.910004"
"2015-05-29","64.870003"
"2015-06-01","65.580002"
"2015-06-02","65.209999"
"2015-06-03","65.199997"
"2015-06-04","66.519997"
"2015-06-05","68.150002"
"2015-06-08","67.589996"
"2015-06-09","67.250000"
"2015-06-10","67.019997"
"2015-06-11","67.190002"
"2015-06-12","66.930000"
"2015-06-15","66.970001"
"2015-06-16","67.610001"
"2015-06-17","68.529999"
"2015-06-18","68.379997"
"2015-06-19","69.110001"
"2015-06-22","70.949997"
"2015-06-23","71.660004"
"2015-06-24","69.769997"
"2015-06-25","68.930000"
"2015-06-26","68.139999"
"2015-06-29","66.150002"
"2015-06-30","67.300003"
"2015-07-01","67.839996"
"2015-07-02","67.400002"
"2015-07-06","67.599998"
"2015-07-07","67.129997"
"2015-07-08","65.089996"
"2015-07-09","64.540001"
"2015-07-10","66.199997"
"2015-07-13","68.230003"
"2015-07-14","68.940002"
"2015-07-15","68.959999"
"2015-07-16","68.230003"
"2015-07-17","68.120003"
"2015-07-20","68.870003"
"2015-07-21","68.169998"
"2015-07-22","68.120003"
"2015-07-23","67.900002"
"2015-07-24","66.739998"
"2015-07-27","64.949997"
"2015-07-28","75.199997"
"2015-07-29","78.580002"
"2015-07-30","80.860001"
"2015-07-31","80.800003"
"2015-08-03","81.480003"
"2015-08-04","81.220001"
"2015-08-05","82.570000"
"2015-08-06","81.169998"
"2015-08-07","81.760002"
"2015-08-10","83.279999"
"2015-08-11","82.580002"
"2015-08-12","82.690002"
"2015-08-13","82.519997"
"2015-08-14","82.309998"
"2015-08-17","80.570000"
"2015-08-18","80.730003"
"2015-08-19","80.260002"
"2015-08-20","78.250000"
"2015-08-21","77.169998"
"2015-08-24","74.269997"
"2015-08-25","75.669998"
"2015-08-26","78.949997"
"2015-08-27","78.750000"
"2015-08-28","77.989998"
"2015-08-31","77.000000"
"2015-09-01","75.070000"
"2015-09-02","76.199997"
"2015-09-03","75.779999"
"2015-09-04","75.900002"
"2015-09-08","78.570000"
"2015-09-09","77.620003"
