"date, price"
"2014-12-04","81.269997"
"2014-12-05","81.410004"
"2014-12-08","80.610001"
"2014-12-09","80.430000"
"2014-12-10","79.949997"
"2014-12-11","80.519997"
"2014-12-12","82.160004"
"2014-12-15","83.010002"
"2014-12-16","82.309998"
"2014-12-17","83.099998"
"2014-12-18","84.379997"
"2014-12-19","83.830002"
"2014-12-22","84.480003"
"2014-12-23","84.930000"
"2014-12-24","84.910004"
"2014-12-26","84.919998"
"2014-12-29","85.000000"
"2014-12-30","84.680000"
"2014-12-31","84.250000"
"2015-01-02","83.220001"
"2015-01-05","81.849998"
"2015-01-06","80.440002"
"2015-01-07","80.309998"
"2015-01-08","81.260002"
"2015-01-09","80.809998"
"2015-01-12","79.870003"
"2015-01-13","80.080002"
"2015-01-14","78.410004"
"2015-01-15","78.279999"
"2015-01-16","79.820000"
"2015-01-20","81.480003"
"2015-01-21","82.040001"
"2015-01-22","84.230003"
"2015-01-23","83.019997"
"2015-01-26","82.739998"
"2015-01-27","81.669998"
"2015-01-28","80.500000"
"2015-01-29","80.150002"
"2015-01-30","79.610001"
"2015-02-02","81.220001"
"2015-02-03","82.000000"
"2015-02-04","82.000000"
"2015-02-05","83.180000"
"2015-02-06","82.029999"
"2015-02-09","81.169998"
"2015-02-10","81.110001"
"2015-02-11","81.000000"
"2015-02-12","81.790001"
"2015-02-13","82.879997"
"2015-02-17","83.239998"
"2015-02-18","83.139999"
"2015-02-19","82.900002"
"2015-02-20","85.150002"
"2015-02-23","85.809998"
"2015-02-24","86.300003"
"2015-02-25","86.029999"
"2015-02-26","86.019997"
"2015-02-27","85.500000"
"2015-03-02","85.570000"
"2015-03-03","84.800003"
"2015-03-04","83.879997"
"2015-03-05","84.410004"
"2015-03-06","84.570000"
"2015-03-09","84.529999"
"2015-03-10","83.769997"
"2015-03-11","86.800003"
"2015-03-12","86.410004"
"2015-03-13","86.760002"
"2015-03-16","89.300003"
"2015-03-17","88.739998"
"2015-03-18","89.260002"
"2015-03-19","88.550003"
"2015-03-20","90.010002"
"2015-03-23","88.860001"
"2015-03-24","87.760002"
"2015-03-25","85.660004"
"2015-03-26","85.389999"
"2015-03-27","84.790001"
"2015-03-30","85.330002"
"2015-03-31","85.400002"
"2015-04-01","85.239998"
"2015-04-02","84.169998"
"2015-04-06","84.769997"
"2015-04-07","84.690002"
"2015-04-08","86.160004"
"2015-04-09","86.449997"
"2015-04-10","87.669998"
"2015-04-13","87.730003"
"2015-04-14","91.820000"
"2015-04-15","91.699997"
"2015-04-16","91.320000"
"2015-04-17","90.180000"
"2015-04-20","91.500000"
"2015-04-21","92.000000"
