"date, price"
"2014-12-04","49.799999"
"2014-12-05","49.279999"
"2014-12-08","49.349998"
"2014-12-09","48.869999"
"2014-12-10","48.680000"
"2014-12-11","48.750000"
"2014-12-12","48.250000"
"2014-12-15","48.279999"
"2014-12-16","47.590000"
"2014-12-17","48.389999"
"2014-12-18","49.450001"
"2014-12-19","50.529999"
"2014-12-22","50.590000"
"2014-12-23","50.779999"
"2014-12-24","50.759998"
"2014-12-26","50.900002"
"2014-12-29","51.070000"
"2014-12-30","50.669998"
"2014-12-31","50.209999"
"2015-01-02","50.099998"
"2015-01-05","47.740002"
"2015-01-06","47.580002"
"2015-01-07","47.590000"
"2015-01-08","47.770000"
"2015-01-09","47.599998"
"2015-01-12","47.610001"
"2015-01-13","47.860001"
"2015-01-14","47.840000"
"2015-01-15","47.180000"
"2015-01-16","46.400002"
"2015-01-20","46.560001"
"2015-01-21","46.799999"
"2015-01-22","46.770000"
"2015-01-23","46.799999"
"2015-01-26","47.380001"
"2015-01-27","46.669998"
"2015-01-28","46.480000"
"2015-01-29","46.410000"
"2015-01-30","46.720001"
"2015-02-02","47.349998"
"2015-02-03","48.680000"
"2015-02-04","49.049999"
"2015-02-05","49.500000"
"2015-02-06","49.060001"
"2015-02-09","48.549999"
"2015-02-10","48.889999"
"2015-02-11","49.349998"
"2015-02-12","49.790001"
"2015-02-13","52.490002"
"2015-02-17","52.880001"
"2015-02-18","52.400002"
"2015-02-19","52.750000"
"2015-02-20","53.250000"
"2015-02-23","53.840000"
"2015-02-24","53.349998"
"2015-02-25","54.490002"
"2015-02-26","54.459999"
"2015-02-27","54.060001"
"2015-03-02","54.639999"
"2015-03-03","55.630001"
"2015-03-04","54.860001"
"2015-03-05","55.000000"
"2015-03-06","54.189999"
"2015-03-09","54.200001"
"2015-03-10","53.209999"
"2015-03-11","52.360001"
"2015-03-12","52.709999"
"2015-03-13","51.990002"
"2015-03-16","52.669998"
"2015-03-17","52.520000"
"2015-03-18","53.040001"
"2015-03-19","52.549999"
"2015-03-20","53.250000"
"2015-03-23","52.990002"
"2015-03-24","52.529999"
"2015-03-25","51.799999"
"2015-03-26","51.630001"
"2015-03-27","51.509998"
"2015-03-30","51.689999"
"2015-03-31","51.470001"
"2015-04-01","51.900002"
"2015-04-02","52.080002"
"2015-04-06","52.180000"
"2015-04-07","52.049999"
"2015-04-08","52.320000"
"2015-04-09","52.020000"
"2015-04-10","52.549999"
"2015-04-13","52.110001"
"2015-04-14","51.549999"
"2015-04-15","51.240002"
"2015-04-16","51.230000"
"2015-04-17","50.570000"
"2015-04-20","50.419998"
"2015-04-21","51.009998"
"2015-04-22","50.770000"
"2015-04-23","52.380001"
"2015-04-24","52.849998"
"2015-04-27","52.290001"
"2015-04-28","52.570000"
"2015-04-29","52.310001"
"2015-04-30","52.139999"
"2015-05-01","53.110001"
"2015-05-04","53.060001"
"2015-05-05","52.209999"
"2015-05-06","52.320000"
"2015-05-07","52.099998"
"2015-05-08","50.410000"
"2015-05-11","50.320000"
"2015-05-12","50.349998"
"2015-05-13","50.230000"
"2015-05-14","51.020000"
"2015-05-15","51.610001"
"2015-05-18","51.939999"
"2015-05-19","53.110001"
"2015-05-20","55.400002"
"2015-05-21","56.369999"
"2015-05-22","57.439999"
"2015-05-26","57.750000"
"2015-05-27","58.480000"
"2015-05-28","57.689999"
"2015-05-29","57.529999"
"2015-06-01","57.419998"
"2015-06-02","57.009998"
"2015-06-03","55.820000"
"2015-06-04","54.599998"
"2015-06-05","55.240002"
"2015-06-08","54.980000"
"2015-06-09","55.020000"
"2015-06-10","56.150002"
"2015-06-11","55.849998"
"2015-06-12","56.029999"
"2015-06-15","55.990002"
"2015-06-16","55.959999"
"2015-06-17","56.549999"
"2015-06-18","56.860001"
"2015-06-19","56.759998"
"2015-06-22","57.130001"
"2015-06-23","57.250000"
"2015-06-24","56.509998"
"2015-06-25","56.209999"
"2015-06-26","56.119999"
"2015-06-29","54.169998"
