"date, price"
"2014-12-04","42.910000"
"2014-12-05","44.509998"
"2014-12-08","44.869999"
"2014-12-09","45.580002"
"2014-12-10","44.500000"
"2014-12-11","43.299999"
"2014-12-12","41.799999"
"2014-12-15","41.450001"
"2014-12-16","42.259998"
"2014-12-17","43.700001"
"2014-12-18","44.650002"
"2014-12-19","43.980000"
"2014-12-22","44.270000"
"2014-12-23","45.009998"
"2014-12-24","45.130001"
"2014-12-26","44.880001"
"2014-12-29","45.049999"
"2014-12-30","44.669998"
"2014-12-31","44.549999"
"2015-01-02","44.770000"
"2015-01-05","44.389999"
"2015-01-06","43.189999"
"2015-01-07","43.639999"
"2015-01-08","43.619999"
"2015-01-09","42.709999"
"2015-01-12","42.080002"
"2015-01-13","41.189999"
"2015-01-14","40.910000"
"2015-01-15","40.520000"
"2015-01-16","41.320000"
"2015-01-20","41.040001"
"2015-01-21","41.730000"
"2015-01-22","43.049999"
"2015-01-23","42.490002"
"2015-01-26","43.040001"
"2015-01-27","42.310001"
"2015-01-28","41.009998"
"2015-01-29","41.549999"
"2015-01-30","41.150002"
"2015-02-02","41.450001"
"2015-02-03","42.770000"
"2015-02-04","42.660000"
"2015-02-05","43.650002"
"2015-02-06","44.849998"
"2015-02-09","44.380001"
"2015-02-10","45.000000"
"2015-02-11","45.000000"
"2015-02-12","45.459999"
"2015-02-13","45.599998"
"2015-02-17","45.759998"
"2015-02-18","44.950001"
"2015-02-19","44.910000"
"2015-02-20","45.689999"
"2015-02-23","45.500000"
"2015-02-24","45.580002"
"2015-02-25","45.459999"
"2015-02-26","44.970001"
"2015-02-27","44.860001"
"2015-03-02","45.580002"
"2015-03-03","45.310001"
"2015-03-04","45.180000"
"2015-03-05","45.250000"
"2015-03-06","45.549999"
"2015-03-09","45.790001"
"2015-03-10","45.150002"
"2015-03-11","45.400002"
"2015-03-12","46.029999"
"2015-03-13","45.689999"
"2015-03-16","46.009998"
"2015-03-17","45.959999"
"2015-03-18","45.290001"
"2015-03-19","45.279999"
"2015-03-20","46.480000"
"2015-03-23","46.310001"
"2015-03-24","46.330002"
"2015-03-25","45.810001"
"2015-03-26","45.560001"
"2015-03-27","44.790001"
"2015-03-30","44.990002"
"2015-03-31","43.860001"
"2015-04-01","43.389999"
"2015-04-02","43.970001"
"2015-04-06","44.099998"
"2015-04-07","43.270000"
"2015-04-08","43.380001"
"2015-04-09","41.720001"
"2015-04-10","40.730000"
"2015-04-13","40.700001"
"2015-04-14","41.990002"
"2015-04-15","40.869999"
"2015-04-16","40.709999"
"2015-04-17","40.340000"
"2015-04-20","40.849998"
"2015-04-21","40.709999"
"2015-04-22","40.910000"
"2015-04-23","41.029999"
"2015-04-24","40.470001"
"2015-04-27","40.650002"
"2015-04-28","40.830002"
"2015-04-29","41.060001"
"2015-04-30","40.470001"
"2015-05-01","40.349998"
"2015-05-04","40.810001"
"2015-05-05","40.700001"
"2015-05-06","40.619999"
"2015-05-07","40.700001"
"2015-05-08","40.849998"
"2015-05-11","40.939999"
"2015-05-12","40.810001"
"2015-05-13","41.070000"
"2015-05-14","41.240002"
"2015-05-15","41.419998"
"2015-05-18","42.849998"
"2015-05-19","42.849998"
"2015-05-20","42.540001"
"2015-05-21","42.490002"
"2015-05-22","42.669998"
"2015-05-26","42.450001"
"2015-05-27","42.540001"
"2015-05-28","42.540001"
"2015-05-29","42.639999"
"2015-06-01","42.590000"
"2015-06-02","43.930000"
"2015-06-03","45.099998"
"2015-06-04","44.860001"
"2015-06-05","45.619999"
"2015-06-08","45.400002"
"2015-06-09","45.549999"
"2015-06-10","47.299999"
"2015-06-11","47.099998"
"2015-06-12","46.860001"
"2015-06-15","46.599998"
"2015-06-16","47.669998"
"2015-06-17","47.250000"
"2015-06-18","47.529999"
"2015-06-19","47.299999"
"2015-06-22","47.630001"
"2015-06-23","47.650002"
"2015-06-24","46.730000"
"2015-06-25","46.660000"
"2015-06-26","47.759998"
"2015-06-29","45.889999"
"2015-06-30","46.490002"
"2015-07-01","46.799999"
"2015-07-02","46.720001"
"2015-07-06","46.070000"
"2015-07-07","45.689999"
"2015-07-08","44.250000"
"2015-07-09","44.599998"
"2015-07-10","45.400002"
"2015-07-13","46.160000"
"2015-07-14","46.349998"
"2015-07-15","46.240002"
"2015-07-16","47.020000"
"2015-07-17","47.450001"
"2015-07-20","47.360001"
"2015-07-21","46.400002"
"2015-07-22","46.930000"
"2015-07-23","46.520000"
"2015-07-24","46.590000"
"2015-07-27","45.840000"
"2015-07-28","46.779999"
"2015-07-29","47.220001"
"2015-07-30","47.090000"
"2015-07-31","47.150002"
"2015-08-03","47.340000"
"2015-08-04","48.090000"
"2015-08-05","43.660000"
"2015-08-06","43.740002"
"2015-08-07","43.230000"
"2015-08-10","43.529999"
"2015-08-11","42.750000"
"2015-08-12","42.869999"
"2015-08-13","42.549999"
"2015-08-14","42.830002"
"2015-08-17","43.490002"
"2015-08-18","43.529999"
"2015-08-19","42.820000"
"2015-08-20","42.230000"
"2015-08-21","40.939999"
"2015-08-24","39.500000"
"2015-08-25","39.450001"
"2015-08-26","40.000000"
"2015-08-27","40.200001"
"2015-08-28","40.340000"
"2015-08-31","40.220001"
"2015-09-01","39.400002"
"2015-09-02","39.619999"
"2015-09-03","39.209999"
"2015-09-04","39.209999"
"2015-09-08","40.070000"
"2015-09-09","39.549999"
"2015-09-10","39.689999"
"2015-09-11","39.750000"
"2015-09-14","39.970001"
"2015-09-15","40.450001"
"2015-09-16","40.889999"
"2015-09-17","39.919998"
"2015-09-18","38.990002"
"2015-09-21","40.200001"
"2015-09-22","40.889999"
"2015-09-23","41.570000"
"2015-09-24","40.610001"
"2015-09-25","41.119999"
"2015-09-28","38.950001"
"2015-09-29","39.410000"
"2015-09-30","39.770000"
"2015-10-01","39.389999"
"2015-10-02","38.560001"
"2015-10-05","39.080002"
"2015-10-06","38.700001"
"2015-10-07","38.950001"
"2015-10-08","38.770000"
"2015-10-09","38.110001"
"2015-10-12","38.660000"
"2015-10-13","38.130001"
"2015-10-14","37.599998"
"2015-10-15","38.320000"
"2015-10-16","38.630001"
"2015-10-19","39.759998"
"2015-10-20","39.790001"
"2015-10-21","39.380001"
"2015-10-22","40.320000"
"2015-10-23","40.910000"
"2015-10-26","41.119999"
"2015-10-27","40.470001"
"2015-10-28","41.209999"
"2015-10-29","42.910000"
"2015-10-30","42.599998"
"2015-11-02","43.919998"
"2015-11-03","44.130001"
"2015-11-04","44.209999"
"2015-11-05","43.919998"
"2015-11-06","44.720001"
"2015-11-09","44.590000"
"2015-11-10","44.209999"
"2015-11-11","44.790001"
"2015-11-12","44.119999"
"2015-11-13","43.599998"
"2015-11-16","44.110001"
"2015-11-17","44.279999"
"2015-11-18","44.970001"
"2015-11-19","44.540001"
"2015-11-20","44.580002"
"2015-11-23","45.180000"
"2015-11-24","45.500000"
"2015-11-25","45.799999"
"2015-11-27","45.599998"
"2015-11-30","45.980000"
"2015-12-01","46.750000"
"2015-12-02","46.369999"
"2015-12-03","45.799999"
"2015-12-04","46.470001"
"2015-12-07","46.099998"
"2015-12-08","45.060001"
"2015-12-09","43.820000"
"2015-12-10","44.110001"
"2015-12-11","42.490002"
"2015-12-14","42.980000"
