"date, price"
"2014-12-04","77.809998"
"2014-12-05","76.949997"
"2014-12-08","75.769997"
"2014-12-09","75.300003"
"2014-12-10","74.080002"
"2014-12-11","73.980003"
"2014-12-12","73.529999"
"2014-12-15","73.779999"
"2014-12-16","72.529999"
"2014-12-17","71.360001"
"2014-12-18","72.809998"
"2014-12-19","73.169998"
"2014-12-22","73.779999"
"2014-12-23","73.870003"
"2014-12-24","74.529999"
"2014-12-26","74.400002"
"2014-12-29","74.070000"
"2014-12-30","73.440002"
"2014-12-31","72.529999"
"2015-01-02","72.080002"
"2015-01-05","69.489998"
"2015-01-06","68.809998"
"2015-01-07","68.470001"
"2015-01-08","69.190002"
"2015-01-09","68.230003"
"2015-01-12","67.169998"
"2015-01-13","66.459999"
"2015-01-14","66.099998"
"2015-01-15","64.900002"
"2015-01-16","64.970001"
"2015-01-20","63.779999"
"2015-01-21","64.209999"
"2015-01-22","66.080002"
"2015-01-23","66.230003"
"2015-01-26","65.980003"
"2015-01-27","65.279999"
"2015-01-28","64.550003"
"2015-01-29","64.180000"
"2015-01-30","64.080002"
"2015-02-02","65.599998"
"2015-02-03","66.730003"
"2015-02-04","66.750000"
"2015-02-05","68.190002"
"2015-02-06","67.519997"
"2015-02-09","67.889999"
"2015-02-10","67.709999"
"2015-02-11","68.599998"
"2015-02-12","68.669998"
"2015-02-13","68.620003"
"2015-02-17","68.430000"
"2015-02-18","68.510002"
"2015-02-19","69.169998"
"2015-02-20","70.440002"
"2015-02-23","71.500000"
"2015-02-24","69.889999"
"2015-02-25","70.500000"
"2015-02-26","70.449997"
"2015-02-27","70.220001"
"2015-03-02","71.300003"
"2015-03-03","70.330002"
"2015-03-04","69.379997"
"2015-03-05","68.570000"
"2015-03-06","68.419998"
"2015-03-09","68.489998"
"2015-03-10","67.980003"
"2015-03-11","68.790001"
"2015-03-12","68.580002"
"2015-03-13","67.830002"
"2015-03-16","68.680000"
"2015-03-17","68.029999"
"2015-03-18","69.110001"
"2015-03-19","68.010002"
"2015-03-20","68.910004"
"2015-03-23","68.040001"
"2015-03-24","67.169998"
"2015-03-25","65.949997"
"2015-03-26","65.870003"
"2015-03-27","65.750000"
"2015-03-30","65.849998"
"2015-03-31","66.300003"
"2015-04-01","66.180000"
"2015-04-02","63.880001"
"2015-04-06","62.849998"
"2015-04-07","63.340000"
"2015-04-08","64.330002"
"2015-04-09","64.120003"
"2015-04-10","65.120003"
"2015-04-13","64.370003"
"2015-04-14","65.260002"
"2015-04-15","64.669998"
"2015-04-16","64.150002"
"2015-04-17","64.089996"
"2015-04-20","64.870003"
"2015-04-21","64.690002"
"2015-04-22","65.260002"
"2015-04-23","65.930000"
"2015-04-24","64.489998"
"2015-04-27","63.930000"
"2015-04-28","63.730000"
"2015-04-29","62.639999"
"2015-04-30","62.310001"
"2015-05-01","63.299999"
"2015-05-04","63.869999"
"2015-05-05","62.930000"
"2015-05-06","63.570000"
"2015-05-07","64.040001"
"2015-05-08","63.180000"
"2015-05-11","63.470001"
"2015-05-12","63.139999"
"2015-05-13","62.619999"
"2015-05-14","62.990002"
"2015-05-15","63.259998"
"2015-05-18","64.430000"
"2015-05-19","63.470001"
"2015-05-20","62.740002"
"2015-05-21","63.220001"
"2015-05-22","63.279999"
"2015-05-26","62.549999"
"2015-05-27","63.470001"
"2015-05-28","64.269997"
"2015-05-29","65.400002"
"2015-06-01","65.750000"
"2015-06-02","66.220001"
"2015-06-03","67.800003"
"2015-06-04","66.360001"
"2015-06-05","67.139999"
"2015-06-08","66.000000"
"2015-06-09","65.889999"
"2015-06-10","67.190002"
"2015-06-11","67.849998"
"2015-06-12","66.949997"
"2015-06-15","68.000000"
"2015-06-16","66.750000"
"2015-06-17","66.570000"
