"date, price"
"2014-12-04","77.940002"
"2014-12-05","78.989998"
"2014-12-08","78.989998"
"2014-12-09","78.370003"
"2014-12-10","77.480003"
"2014-12-11","77.620003"
"2014-12-12","76.760002"
"2014-12-15","77.570000"
"2014-12-16","76.279999"
"2014-12-17","76.739998"
"2014-12-18","77.349998"
"2014-12-19","77.430000"
"2014-12-22","78.459999"
"2014-12-23","78.540001"
"2014-12-24","78.349998"
"2014-12-26","78.690002"
"2014-12-29","79.080002"
"2014-12-30","78.300003"
"2014-12-31","78.029999"
"2015-01-02","77.750000"
"2015-01-05","75.620003"
"2015-01-06","74.669998"
"2015-01-07","76.379997"
"2015-01-08","78.910004"
"2015-01-09","78.730003"
"2015-01-12","77.910004"
"2015-01-13","77.419998"
"2015-01-14","76.570000"
"2015-01-15","76.099998"
"2015-01-16","75.889999"
"2015-01-20","76.320000"
"2015-01-21","76.260002"
"2015-01-22","78.480003"
"2015-01-23","78.510002"
"2015-01-26","79.419998"
"2015-01-27","78.610001"
"2015-01-28","76.900002"
"2015-01-29","77.110001"
"2015-01-30","74.500000"
"2015-02-02","74.800003"
"2015-02-03","76.629997"
"2015-02-04","75.940002"
"2015-02-05","75.699997"
"2015-02-06","74.220001"
"2015-02-09","73.389999"
"2015-02-10","77.230003"
"2015-02-11","77.019997"
"2015-02-12","79.019997"
"2015-02-13","79.400002"
"2015-02-17","81.290001"
"2015-02-18","81.449997"
"2015-02-19","83.099998"
"2015-02-20","83.000000"
"2015-02-23","82.949997"
"2015-02-24","82.250000"
"2015-02-25","82.360001"
"2015-02-26","83.220001"
"2015-02-27","83.099998"
"2015-03-02","84.830002"
"2015-03-03","83.910004"
"2015-03-04","83.150002"
"2015-03-05","82.900002"
"2015-03-06","81.519997"
"2015-03-09","82.480003"
"2015-03-10","81.260002"
"2015-03-11","81.070000"
"2015-03-12","82.800003"
"2015-03-13","82.080002"
"2015-03-16","83.489998"
"2015-03-17","82.440002"
"2015-03-18","83.230003"
"2015-03-19","84.309998"
"2015-03-20","84.040001"
"2015-03-23","84.269997"
"2015-03-24","82.250000"
"2015-03-25","79.790001"
"2015-03-26","80.580002"
"2015-03-27","80.820000"
"2015-03-30","81.500000"
"2015-03-31","80.320000"
"2015-04-01","80.330002"
"2015-04-02","80.150002"
"2015-04-06","80.279999"
"2015-04-07","79.150002"
"2015-04-08","80.190002"
"2015-04-09","80.220001"
"2015-04-10","80.320000"
"2015-04-13","80.209999"
"2015-04-14","79.260002"
"2015-04-15","78.959999"
"2015-04-16","78.510002"
"2015-04-17","77.639999"
"2015-04-20","79.769997"
"2015-04-21","80.470001"
"2015-04-22","80.790001"
"2015-04-23","81.349998"
"2015-04-24","81.839996"
"2015-04-27","81.370003"
"2015-04-28","81.320000"
"2015-04-29","83.870003"
"2015-04-30","80.050003"
"2015-05-01","80.970001"
"2015-05-04","80.510002"
"2015-05-05","78.209999"
"2015-05-06","78.820000"
"2015-05-07","78.480003"
"2015-05-08","80.300003"
"2015-05-11","79.720001"
"2015-05-12","79.160004"
"2015-05-13","78.680000"
"2015-05-14","80.580002"
"2015-05-15","80.900002"
"2015-05-18","81.230003"
"2015-05-19","80.900002"
"2015-05-20","80.660004"
"2015-05-21","80.470001"
"2015-05-22","80.150002"
"2015-05-26","78.709999"
"2015-05-27","79.199997"
"2015-05-28","79.029999"
"2015-05-29","77.989998"
"2015-06-01","77.970001"
"2015-06-02","78.430000"
"2015-06-03","79.379997"
"2015-06-04","78.480003"
"2015-06-05","78.379997"
"2015-06-08","76.959999"
"2015-06-09","77.320000"
"2015-06-10","77.230003"
"2015-06-11","77.269997"
