"date, price"
"2014-12-04","38.410000"
"2014-12-05","38.500000"
"2014-12-08","38.240002"
"2014-12-09","38.560001"
"2014-12-10","38.110001"
"2014-12-11","38.130001"
"2014-12-12","37.230000"
"2014-12-15","36.669998"
"2014-12-16","36.020000"
"2014-12-17","36.000000"
"2014-12-18","36.580002"
"2014-12-19","37.299999"
"2014-12-22","37.500000"
"2014-12-23","37.580002"
"2014-12-24","37.630001"
"2014-12-26","37.759998"
"2014-12-29","37.340000"
"2014-12-30","37.020000"
"2014-12-31","36.330002"
"2015-01-02","36.790001"
"2015-01-05","36.240002"
"2015-01-06","35.990002"
"2015-01-07","37.119999"
"2015-01-08","37.590000"
"2015-01-09","37.220001"
"2015-01-12","36.869999"
"2015-01-13","36.630001"
"2015-01-14","36.549999"
"2015-01-15","36.540001"
"2015-01-16","36.939999"
"2015-01-20","37.020000"
"2015-01-21","37.150002"
"2015-01-22","37.590000"
"2015-01-23","36.939999"
"2015-01-26","36.580002"
"2015-01-27","36.080002"
"2015-01-28","35.669998"
"2015-01-29","35.740002"
"2015-01-30","35.240002"
"2015-02-02","35.759998"
"2015-02-03","36.060001"
"2015-02-04","36.020000"
"2015-02-05","36.259998"
"2015-02-06","35.910000"
"2015-02-09","35.709999"
"2015-02-10","35.810001"
"2015-02-11","36.740002"
"2015-02-12","36.980000"
"2015-02-13","36.779999"
"2015-02-17","37.150002"
"2015-02-18","36.939999"
"2015-02-19","36.990002"
"2015-02-20","36.970001"
"2015-02-23","36.990002"
"2015-02-24","37.009998"
"2015-02-25","36.660000"
"2015-02-26","36.720001"
"2015-02-27","36.939999"
"2015-03-02","36.889999"
"2015-03-03","36.639999"
"2015-03-04","36.439999"
"2015-03-05","36.509998"
"2015-03-06","35.220001"
"2015-03-09","35.419998"
"2015-03-10","34.500000"
"2015-03-11","34.340000"
"2015-03-12","35.000000"
"2015-03-13","34.509998"
"2015-03-16","34.709999"
"2015-03-17","34.360001"
"2015-03-18","35.020000"
"2015-03-19","34.660000"
"2015-03-20","34.740002"
"2015-03-23","35.299999"
"2015-03-24","35.009998"
"2015-03-25","35.810001"
"2015-03-26","35.080002"
"2015-03-27","35.549999"
"2015-03-30","36.500000"
"2015-03-31","36.090000"
"2015-04-01","36.299999"
"2015-04-02","36.630001"
"2015-04-06","37.000000"
"2015-04-07","37.000000"
"2015-04-08","37.389999"
"2015-04-09","37.380001"
"2015-04-10","37.400002"
"2015-04-13","37.250000"
"2015-04-14","37.470001"
"2015-04-15","37.549999"
"2015-04-16","37.310001"
"2015-04-17","36.970001"
"2015-04-20","36.990002"
"2015-04-21","36.529999"
"2015-04-22","36.830002"
"2015-04-23","36.810001"
"2015-04-24","36.820000"
"2015-04-27","36.799999"
"2015-04-28","36.799999"
"2015-04-29","38.700001"
"2015-04-30","38.369999"
"2015-05-01","38.650002"
"2015-05-04","38.619999"
"2015-05-05","38.320000"
"2015-05-06","38.450001"
"2015-05-07","38.980000"
"2015-05-08","39.439999"
"2015-05-11","39.330002"
"2015-05-12","39.310001"
"2015-05-13","39.310001"
"2015-05-14","40.049999"
"2015-05-15","40.450001"
"2015-05-18","40.000000"
"2015-05-19","40.250000"
"2015-05-20","40.660000"
"2015-05-21","40.310001"
"2015-05-22","40.169998"
"2015-05-26","39.939999"
"2015-05-27","40.139999"
"2015-05-28","40.470001"
"2015-05-29","41.590000"
"2015-06-01","40.689999"
"2015-06-02","40.799999"
"2015-06-03","41.029999"
"2015-06-04","40.419998"
"2015-06-05","40.020000"
"2015-06-08","40.049999"
"2015-06-09","40.220001"
"2015-06-10","40.369999"
"2015-06-11","40.360001"
"2015-06-12","40.470001"
"2015-06-15","40.110001"
"2015-06-16","40.740002"
"2015-06-17","40.790001"
"2015-06-18","40.849998"
"2015-06-19","41.040001"
"2015-06-22","41.049999"
"2015-06-23","41.099998"
"2015-06-24","41.080002"
"2015-06-25","41.080002"
"2015-06-26","41.110001"
"2015-06-29","40.840000"
"2015-06-30","41.139999"
"2015-07-01","41.610001"
"2015-07-02","41.549999"
"2015-07-06","41.259998"
"2015-07-07","41.779999"
"2015-07-08","41.410000"
"2015-07-09","41.250000"
"2015-07-10","41.410000"
"2015-07-13","41.599998"
"2015-07-14","41.880001"
"2015-07-15","41.340000"
"2015-07-16","41.970001"
"2015-07-17","41.889999"
"2015-07-20","41.810001"
"2015-07-21","42.070000"
"2015-07-22","42.250000"
"2015-07-23","42.119999"
"2015-07-24","42.029999"
"2015-07-27","42.029999"
"2015-07-28","42.799999"
"2015-07-29","43.099998"
"2015-07-30","45.270000"
"2015-07-31","45.130001"
"2015-08-03","45.490002"
"2015-08-04","45.599998"
"2015-08-05","46.290001"
"2015-08-06","46.810001"
"2015-08-07","46.110001"
"2015-08-10","46.410000"
"2015-08-11","46.099998"
"2015-08-12","46.529999"
"2015-08-13","46.009998"
"2015-08-14","46.490002"
"2015-08-17","46.200001"
"2015-08-18","46.150002"
"2015-08-19","45.209999"
"2015-08-20","44.000000"
"2015-08-21","43.200001"
"2015-08-24","41.959999"
"2015-08-25","41.310001"
"2015-08-26","42.200001"
"2015-08-27","42.759998"
"2015-08-28","42.799999"
"2015-08-31","42.360001"
"2015-09-01","41.009998"
"2015-09-02","42.270000"
"2015-09-03","43.240002"
"2015-09-04","42.570000"
"2015-09-08","42.930000"
"2015-09-09","41.990002"
"2015-09-10","42.380001"
"2015-09-11","42.680000"
"2015-09-14","42.279999"
"2015-09-15","42.990002"
"2015-09-16","43.040001"
"2015-09-17","43.720001"
"2015-09-18","42.849998"
"2015-09-21","42.849998"
"2015-09-22","41.990002"
"2015-09-23","42.279999"
"2015-09-24","42.130001"
"2015-09-25","42.799999"
"2015-09-28","41.470001"
"2015-09-29","40.810001"
"2015-09-30","41.869999"
"2015-10-01","42.209999"
"2015-10-02","43.560001"
"2015-10-05","44.290001"
"2015-10-06","43.900002"
"2015-10-07","44.330002"
"2015-10-08","45.310001"
"2015-10-09","45.000000"
"2015-10-12","45.049999"
"2015-10-13","44.840000"
"2015-10-14","44.740002"
"2015-10-15","44.980000"
"2015-10-16","45.849998"
"2015-10-19","46.419998"
"2015-10-20","45.740002"
"2015-10-21","45.450001"
"2015-10-22","46.939999"
"2015-10-23","46.529999"
"2015-10-26","46.799999"
"2015-10-27","46.599998"
"2015-10-28","46.400002"
"2015-10-29","46.279999"
"2015-10-30","46.160000"
"2015-11-02","46.439999"
"2015-11-03","46.400002"
"2015-11-04","45.880001"
"2015-11-05","45.880001"
"2015-11-06","44.880001"
"2015-11-09","44.389999"
"2015-11-10","44.590000"
"2015-11-11","44.470001"
"2015-11-12","43.639999"
"2015-11-13","43.270000"
"2015-11-16","44.060001"
"2015-11-17","43.820000"
"2015-11-18","44.480000"
"2015-11-19","44.580002"
"2015-11-20","43.950001"
"2015-11-23","44.080002"
"2015-11-24","43.980000"
"2015-11-25","43.930000"
"2015-11-27","44.419998"
"2015-11-30","43.660000"
"2015-12-01","44.320000"
"2015-12-02","43.860001"
"2015-12-03","42.610001"
"2015-12-04","44.500000"
"2015-12-07","44.029999"
"2015-12-08","44.000000"
"2015-12-09","43.650002"
"2015-12-10","43.980000"
"2015-12-11","42.730000"
"2015-12-14","43.320000"
"2015-12-15","44.020000"
"2015-12-16","44.849998"
"2015-12-17","44.360001"
"2015-12-18","43.299999"
"2015-12-21","44.439999"
"2015-12-22","44.709999"
