"date, price"
"2015-11-19","10.100000"
"2015-11-20","10.150000"
"2015-11-23","10.220000"
"2015-11-24","10.210000"
"2015-11-25","10.180000"
"2015-11-27","10.070000"
"2015-11-30","10.110000"
"2015-12-01","10.460000"
"2015-12-02","10.210000"
"2015-12-03","9.600000"
"2015-12-04","9.780000"
"2015-12-07","9.780000"
"2015-12-08","9.830000"
"2015-12-09","9.740000"
"2015-12-10","10.020000"
"2015-12-11","10.420000"
"2015-12-14","10.000000"
"2015-12-15","10.000000"
"2015-12-16","10.020000"
"2015-12-17","10.000000"
"2015-12-18","9.890000"
"2015-12-21","9.890000"
"2015-12-22","9.890000"
"2015-12-23","9.850000"
"2015-12-24","9.870000"
"2015-12-28","9.610000"
"2015-12-29","9.310000"
"2015-12-30","9.640000"
"2015-12-31","9.600000"
"2016-01-04","9.060000"
"2016-01-05","8.930000"
"2016-01-06","9.000000"
"2016-01-07","8.930000"
"2016-01-08","8.600000"
"2016-01-11","8.630000"
"2016-01-12","8.550000"
"2016-01-13","8.170000"
"2016-01-14","8.290000"
"2016-01-15","7.720000"
"2016-01-19","7.720000"
"2016-01-20","7.840000"
"2016-01-21","7.960000"
"2016-01-22","7.950000"
"2016-01-25","7.670000"
"2016-01-26","6.910000"
"2016-01-27","6.710000"
"2016-01-28","6.200000"
"2016-01-29","7.590000"
"2016-02-01","9.210000"
"2016-02-02","8.770000"
"2016-02-03","10.000000"
"2016-02-04","10.380000"
"2016-02-05","10.350000"
"2016-02-08","9.980000"
"2016-02-09","9.370000"
"2016-02-10","9.390000"
"2016-02-11","9.290000"
"2016-02-12","9.510000"
"2016-02-16","9.590000"
"2016-02-17","9.490000"
"2016-02-18","9.720000"
"2016-02-19","9.560000"
"2016-02-22","9.610000"
"2016-02-23","9.240000"
"2016-02-24","9.590000"
"2016-02-25","9.520000"
"2016-02-26","9.920000"
"2016-02-29","9.360000"
"2016-03-01","10.220000"
"2016-03-02","10.730000"
"2016-03-03","10.760000"
"2016-03-04","10.270000"
"2016-03-07","9.820000"
"2016-03-08","9.850000"
"2016-03-09","9.340000"
"2016-03-10","8.660000"
"2016-03-11","8.910000"
"2016-03-14","9.020000"
"2016-03-15","9.750000"
"2016-03-16","10.330000"
"2016-03-17","10.450000"
"2016-03-18","10.000000"
"2016-03-21","10.560000"
"2016-03-22","10.590000"
"2016-03-23","10.070000"
"2016-03-24","10.220000"
"2016-03-28","10.040000"
"2016-03-29","9.930000"
"2016-03-30","10.000000"
"2016-03-31","9.730000"
"2016-04-01","9.650000"
"2016-04-04","9.640000"
"2016-04-05","9.970000"
"2016-04-06","9.740000"
"2016-04-07","9.720000"
"2016-04-08","8.900000"
"2016-04-11","9.180000"
"2016-04-12","8.590000"
"2016-04-13","8.480000"
"2016-04-14","8.510000"
"2016-04-15","8.230000"
"2016-04-18","8.050000"
"2016-04-19","8.120000"
"2016-04-20","8.450000"
"2016-04-21","8.150000"
"2016-04-22","8.500000"
"2016-04-25","8.600000"
"2016-04-26","8.660000"
"2016-04-27","8.080000"
"2016-04-28","8.130000"
"2016-04-29","7.950000"
"2016-05-02","7.970000"
"2016-05-03","7.510000"
"2016-05-04","7.660000"
"2016-05-05","7.640000"
"2016-05-06","7.650000"
"2016-05-09","7.670000"
"2016-05-10","7.650000"
"2016-05-11","7.160000"
"2016-05-12","7.460000"
"2016-05-13","7.540000"
"2016-05-16","7.980000"
"2016-05-17","8.000000"
"2016-05-18","7.770000"
"2016-05-19","7.600000"
"2016-05-20","7.800000"
"2016-05-23","7.880000"
"2016-05-24","8.220000"
"2016-05-25","8.790000"
"2016-05-26","8.880000"
"2016-05-27","8.620000"
"2016-05-31","8.390000"
"2016-06-01","8.350000"
"2016-06-02","8.720000"
"2016-06-03","8.960000"
"2016-06-06","9.140000"
"2016-06-07","9.190000"
"2016-06-08","9.400000"
"2016-06-09","9.520000"
"2016-06-10","10.000000"
"2016-06-13","10.150000"
"2016-06-14","10.730000"
"2016-06-15","10.980000"
"2016-06-16","11.500000"
"2016-06-17","11.980000"
"2016-06-20","11.130000"
"2016-06-21","10.920000"
"2016-06-22","10.330000"
"2016-06-23","11.060000"
"2016-06-24","10.255000"
"2016-06-27","10.050000"
"2016-06-28","10.050000"
"2016-06-29","9.960000"
"2016-06-30","10.010000"
"2016-07-01","10.010000"
"2016-07-05","9.910000"
"2016-07-06","9.920000"
"2016-07-07","9.980000"
"2016-07-08","10.230000"
"2016-07-11","10.180000"
"2016-07-12","10.050000"
"2016-07-13","10.120000"
"2016-07-14","10.140000"
"2016-07-15","10.040000"
"2016-07-18","10.000000"
"2016-07-19","9.990000"
"2016-07-20","10.080000"
"2016-07-21","9.990000"
"2016-07-22","10.700000"
"2016-07-25","10.730000"
"2016-07-26","10.450000"
"2016-07-27","10.700000"
"2016-07-28","11.010000"
"2016-07-29","11.030000"
"2016-08-01","11.500000"
"2016-08-02","11.590000"
