"date, price"
"2014-12-04","65.919998"
"2014-12-05","66.470001"
"2014-12-08","66.029999"
"2014-12-09","65.750000"
"2014-12-10","63.470001"
"2014-12-11","63.950001"
"2014-12-12","63.590000"
"2014-12-15","63.959999"
"2014-12-16","64.290001"
"2014-12-17","64.989998"
"2014-12-18","65.260002"
"2014-12-19","64.900002"
"2014-12-22","65.540001"
"2014-12-23","65.940002"
"2014-12-24","66.019997"
"2014-12-26","66.040001"
"2014-12-29","66.099998"
"2014-12-30","65.690002"
"2014-12-31","64.709999"
"2015-01-02","65.180000"
"2015-01-05","64.220001"
"2015-01-06","62.740002"
"2015-01-07","62.730000"
"2015-01-08","64.519997"
"2015-01-09","63.700001"
"2015-01-12","63.580002"
"2015-01-13","63.959999"
"2015-01-14","63.610001"
"2015-01-15","63.299999"
"2015-01-16","64.160004"
"2015-01-20","64.169998"
"2015-01-21","63.720001"
"2015-01-22","65.550003"
"2015-01-23","65.870003"
"2015-01-26","66.529999"
"2015-01-27","66.500000"
"2015-01-28","66.220001"
"2015-01-29","66.379997"
"2015-01-30","66.589996"
"2015-02-02","67.339996"
"2015-02-03","68.910004"
"2015-02-04","68.860001"
"2015-02-05","69.690002"
"2015-02-06","69.260002"
"2015-02-09","68.339996"
"2015-02-10","68.750000"
"2015-02-11","69.239998"
"2015-02-12","76.080002"
"2015-02-13","78.239998"
"2015-02-17","77.360001"
"2015-02-18","76.790001"
"2015-02-19","76.709999"
"2015-02-20","77.129997"
"2015-02-23","76.949997"
"2015-02-24","75.860001"
"2015-02-25","75.269997"
"2015-02-26","74.930000"
"2015-02-27","74.650002"
"2015-03-02","74.900002"
"2015-03-03","74.820000"
"2015-03-04","73.930000"
"2015-03-05","73.790001"
"2015-03-06","73.389999"
"2015-03-09","73.699997"
"2015-03-10","73.110001"
"2015-03-11","74.379997"
"2015-03-12","75.580002"
"2015-03-13","74.250000"
"2015-03-16","74.879997"
"2015-03-17","74.930000"
"2015-03-18","75.589996"
"2015-03-19","75.250000"
"2015-03-20","75.309998"
"2015-03-23","75.129997"
"2015-03-24","75.269997"
"2015-03-25","74.540001"
"2015-03-26","75.110001"
"2015-03-27","75.389999"
"2015-03-30","75.760002"
"2015-03-31","74.910004"
"2015-04-01","74.849998"
"2015-04-02","73.959999"
"2015-04-06","74.309998"
"2015-04-07","73.750000"
"2015-04-08","73.860001"
"2015-04-09","73.809998"
"2015-04-10","74.269997"
"2015-04-13","73.620003"
"2015-04-14","73.519997"
"2015-04-15","73.739998"
"2015-04-16","73.459999"
"2015-04-17","72.309998"
"2015-04-20","73.220001"
"2015-04-21","73.220001"
"2015-04-22","73.349998"
"2015-04-23","75.750000"
"2015-04-24","75.269997"
"2015-04-27","76.019997"
"2015-04-28","76.720001"
"2015-04-29","76.629997"
"2015-04-30","75.889999"
"2015-05-01","76.389999"
"2015-05-04","75.989998"
"2015-05-05","75.010002"
"2015-05-06","74.809998"
"2015-05-07","75.750000"
"2015-05-08","75.279999"
"2015-05-11","75.000000"
"2015-05-12","74.760002"
"2015-05-13","75.519997"
"2015-05-14","77.000000"
"2015-05-15","76.669998"
"2015-05-18","77.089996"
"2015-05-19","77.230003"
"2015-05-20","77.029999"
"2015-05-21","77.019997"
"2015-05-22","77.040001"
"2015-05-26","76.870003"
"2015-05-27","77.199997"
"2015-05-28","77.339996"
"2015-05-29","77.300003"
"2015-06-01","77.610001"
"2015-06-02","77.849998"
"2015-06-03","78.849998"
"2015-06-04","77.669998"
"2015-06-05","78.790001"
"2015-06-08","78.120003"
"2015-06-09","78.349998"
"2015-06-10","79.120003"
"2015-06-11","79.209999"
"2015-06-12","79.209999"
"2015-06-15","79.400002"
"2015-06-16","79.750000"
"2015-06-17","79.849998"
"2015-06-18","79.790001"
"2015-06-19","79.470001"
"2015-06-22","79.360001"
"2015-06-23","78.870003"
"2015-06-24","78.589996"
"2015-06-25","78.629997"
"2015-06-26","79.680000"
"2015-06-29","79.230003"
"2015-06-30","79.550003"
"2015-07-01","81.529999"
"2015-07-02","80.459999"
"2015-07-06","79.309998"
"2015-07-07","80.269997"
"2015-07-08","79.489998"
"2015-07-09","81.239998"
"2015-07-10","82.010002"
"2015-07-13","82.180000"
"2015-07-14","81.269997"
"2015-07-15","80.930000"
"2015-07-16","82.199997"
"2015-07-17","81.510002"
"2015-07-20","81.400002"
"2015-07-21","80.370003"
"2015-07-22","80.059998"
"2015-07-23","82.980003"
"2015-07-24","84.080002"
"2015-07-27","83.989998"
"2015-07-28","83.639999"
"2015-07-29","85.400002"
"2015-07-30","85.300003"
"2015-07-31","85.190002"
"2015-08-03","84.239998"
"2015-08-04","85.050003"
"2015-08-05","86.570000"
"2015-08-06","85.900002"
"2015-08-07","85.660004"
"2015-08-10","85.250000"
"2015-08-11","84.519997"
"2015-08-12","83.760002"
"2015-08-13","84.150002"
"2015-08-14","84.320000"
"2015-08-17","84.620003"
"2015-08-18","85.139999"
"2015-08-19","83.959999"
"2015-08-20","82.000000"
"2015-08-21","80.809998"
"2015-08-24","77.459999"
"2015-08-25","77.160004"
"2015-08-26","78.790001"
"2015-08-27","80.070000"
"2015-08-28","80.550003"
"2015-08-31","79.779999"
"2015-09-01","77.519997"
"2015-09-02","78.070000"
"2015-09-03","78.570000"
"2015-09-04","77.790001"
"2015-09-08","79.089996"
"2015-09-09","78.900002"
"2015-09-10","79.309998"
"2015-09-11","79.860001"
"2015-09-14","80.550003"
"2015-09-15","81.080002"
"2015-09-16","81.129997"
"2015-09-17","80.419998"
"2015-09-18","79.889999"
"2015-09-21","81.110001"
"2015-09-22","81.779999"
"2015-09-23","82.239998"
"2015-09-24","81.690002"
"2015-09-25","81.639999"
