"date, price"
"2014-12-04","18.686464"
"2014-12-05","18.837807"
"2014-12-08","18.355227"
"2014-12-09","18.455168"
"2014-12-10","17.944033"
"2014-12-11","17.952599"
"2014-12-12","17.769846"
"2014-12-15","17.495716"
"2014-12-16","17.153055"
"2014-12-17","17.332952"
"2014-12-18","17.538549"
"2014-12-19","17.558538"
"2014-12-22","17.524273"
"2014-12-23","17.472874"
"2014-12-24","17.652769"
"2014-12-26","17.809822"
"2014-12-29","17.678469"
"2014-12-30","17.567104"
"2014-12-31","17.358652"
"2015-01-02","17.218733"
"2015-01-05","17.118790"
"2015-01-06","17.181610"
"2015-01-07","17.150200"
"2015-01-08","17.569960"
"2015-01-09","17.564249"
"2015-01-12","17.267277"
"2015-01-13","17.729870"
"2015-01-14","17.535694"
"2015-01-15","17.372931"
"2015-01-16","17.589949"
"2015-01-20","17.789833"
"2015-01-21","17.652769"
"2015-01-22","17.784122"
"2015-01-23","18.106796"
"2015-01-26","18.335238"
"2015-01-27","18.006853"
"2015-01-28","17.604225"
"2015-01-29","17.335808"
"2015-01-30","17.404341"
"2015-02-02","17.875500"
"2015-02-03","18.292404"
"2015-02-04","17.133066"
"2015-02-05","17.133066"
"2015-02-06","17.138779"
"2015-02-09","17.130211"
"2015-02-10","17.204454"
"2015-02-11","17.612793"
"2015-02-12","18.172474"
"2015-02-13","18.446602"
"2015-02-17","18.697887"
"2015-02-18","18.874929"
"2015-02-19","18.926329"
"2015-02-20","19.149057"
"2015-02-23","19.194746"
"2015-02-24","19.263277"
"2015-02-25","19.180468"
"2015-02-26","19.197601"
"2015-02-27","19.251856"
"2015-03-02","19.568817"
"2015-03-03","19.537407"
"2015-03-04","19.548828"
"2015-03-05","19.805824"
"2015-03-06","19.882923"
"2015-03-09","19.925756"
"2015-03-10","19.403198"
"2015-03-11","19.343231"
"2015-03-12","19.600227"
"2015-03-13","19.411764"
"2015-03-16","19.291834"
"2015-03-17","19.634495"
"2015-03-18","19.743004"
"2015-03-19","19.511707"
"2015-03-20","19.500286"
"2015-03-23","19.460308"
"2015-03-24","19.331810"
"2015-03-25","19.089092"
"2015-03-26","18.932039"
"2015-03-27","19.260424"
"2015-03-30","19.131926"
"2015-03-31","19.266134"
"2015-04-01","19.177612"
"2015-04-02","19.274700"
"2015-04-06","19.383209"
"2015-04-07","19.822958"
"2015-04-08","20.708166"
"2015-04-09","20.719589"
"2015-04-10","20.713879"
"2015-04-13","20.716734"
"2015-04-14","20.502569"
"2015-04-15","20.573957"
"2015-04-16","20.548258"
"2015-04-17","20.202742"
"2015-04-20","20.396915"
"2015-04-21","20.565392"
"2015-04-22","20.870932"
"2015-04-23","20.668190"
"2015-04-24","20.599657"
"2015-04-27","20.374071"
"2015-04-28","20.405483"
"2015-04-29","20.496859"
"2015-04-30","19.937180"
"2015-05-01","20.465448"
"2015-05-04","20.479727"
"2015-05-05","20.930897"
"2015-05-06","21.073671"
"2015-05-07","20.993717"
"2015-05-08","21.002283"
"2015-05-11","20.922331"
"2015-05-12","20.813822"
"2015-05-13","20.651056"
"2015-05-14","21.119360"
"2015-05-15","21.179325"
"2015-05-18","21.253569"
"2015-05-19","21.225014"
"2015-05-20","21.342091"
"2015-05-21","21.413479"
"2015-05-22","21.679041"
"2015-05-26","21.250713"
"2015-05-27","21.699030"
"2015-05-28","21.499144"
"2015-05-29","21.436321"
"2015-06-01","21.964592"
"2015-06-02","21.793261"
"2015-06-03","22.133066"
"2015-06-04","21.836094"
"2015-06-05","21.870359"
"2015-06-08","21.567677"
"2015-06-09","21.453455"
"2015-06-10","22.141632"
"2015-06-11","22.010281"
"2015-06-12","21.681896"
"2015-06-15","21.781839"
"2015-06-16","21.836094"
"2015-06-17","21.707596"
"2015-06-18","21.964592"
"2015-06-19","21.816105"
"2015-06-22","22.210167"
"2015-06-23","22.464306"
"2015-06-24","22.061680"
"2015-06-25","23.183895"
"2015-06-26","22.981153"
"2015-06-29","22.364363"
"2015-06-30","22.747002"
"2015-07-01","22.855511"
"2015-07-02","23.106796"
"2015-07-06","22.781267"
"2015-07-07","22.741291"
"2015-07-08","22.558538"
"2015-07-09","22.809822"
"2015-07-10","23.015421"
"2015-07-13","23.577955"
"2015-07-14","24.154770"
"2015-07-15","23.469446"
"2015-07-16","23.632210"
"2015-07-17","23.969160"
"2015-07-20","24.011993"
"2015-07-21","23.749287"
"2015-07-22","23.757853"
"2015-07-23","23.526556"
"2015-07-24","23.326670"
"2015-07-27","22.852655"
"2015-07-28","23.015421"
"2015-07-29","22.187323"
"2015-07-30","22.053114"
"2015-07-31","22.061680"
"2015-08-03","21.776129"
"2015-08-04","21.953171"
"2015-08-05","21.907480"
"2015-08-06","21.210737"
"2015-08-07","21.273558"
"2015-08-10","21.547688"
"2015-08-11","21.253569"
