"date, price"
"2014-12-04","19.240000"
"2014-12-05","19.240000"
"2014-12-08","18.969999"
"2014-12-09","19.809999"
"2014-12-10","21.889999"
"2014-12-11","21.850000"
"2014-12-12","21.969999"
"2014-12-15","20.639999"
"2014-12-16","20.459999"
"2014-12-17","22.540001"
"2014-12-18","23.900000"
"2014-12-19","24.490000"
"2014-12-22","23.170000"
"2014-12-23","21.240000"
"2014-12-24","21.330000"
"2014-12-26","22.770000"
"2014-12-29","22.400000"
"2014-12-30","22.250000"
"2014-12-31","22.340000"
"2015-01-02","22.840000"
"2015-01-05","21.400000"
"2015-01-06","20.530001"
"2015-01-07","21.879999"
"2015-01-08","27.480000"
"2015-01-09","28.290001"
"2015-01-12","29.510000"
"2015-01-13","30.139999"
"2015-01-14","30.980000"
"2015-01-15","30.600000"
"2015-01-16","31.469999"
"2015-01-20","32.380001"
"2015-01-21","30.930000"
"2015-01-22","31.580000"
"2015-01-23","31.700001"
"2015-01-26","33.549999"
"2015-01-27","33.540001"
"2015-01-28","33.389999"
"2015-01-29","34.349998"
"2015-01-30","33.660000"
"2015-02-02","32.880001"
"2015-02-03","32.990002"
"2015-02-04","32.939999"
"2015-02-05","34.419998"
"2015-02-06","33.889999"
"2015-02-09","33.540001"
"2015-02-10","35.830002"
"2015-02-11","36.639999"
"2015-02-12","36.950001"
"2015-02-13","37.220001"
"2015-02-17","37.340000"
"2015-02-18","36.560001"
"2015-02-19","37.419998"
"2015-02-20","39.400002"
"2015-02-23","39.099998"
"2015-02-24","38.619999"
"2015-02-25","39.590000"
"2015-02-26","40.049999"
"2015-02-27","39.049999"
"2015-03-02","40.430000"
"2015-03-03","40.860001"
"2015-03-04","41.270000"
"2015-03-05","40.919998"
"2015-03-06","40.669998"
"2015-03-09","39.660000"
"2015-03-10","40.439999"
"2015-03-11","40.529999"
"2015-03-12","40.450001"
"2015-03-13","40.959999"
"2015-03-16","41.910000"
"2015-03-17","42.529999"
"2015-03-18","42.490002"
"2015-03-19","44.250000"
"2015-03-20","43.599998"
"2015-03-23","41.669998"
"2015-03-24","41.020000"
"2015-03-25","36.369999"
"2015-03-26","37.330002"
"2015-03-27","38.779999"
"2015-03-30","41.529999"
"2015-03-31","39.709999"
"2015-04-01","39.900002"
"2015-04-02","39.520000"
"2015-04-06","39.099998"
"2015-04-07","40.200001"
"2015-04-08","42.090000"
"2015-04-09","41.939999"
"2015-04-10","42.709999"
"2015-04-13","43.669998"
"2015-04-14","43.619999"
"2015-04-15","43.580002"
"2015-04-16","43.610001"
"2015-04-17","42.490002"
"2015-04-20","42.950001"
"2015-04-21","43.660000"
"2015-04-22","43.230000"
"2015-04-23","43.680000"
"2015-04-24","43.369999"
"2015-04-27","39.500000"
"2015-04-28","37.779999"
"2015-04-29","37.130001"
"2015-04-30","34.090000"
"2015-05-01","35.509998"
"2015-05-04","36.080002"
"2015-05-05","35.610001"
"2015-05-06","36.660000"
"2015-05-07","37.430000"
"2015-05-08","39.549999"
"2015-05-11","39.630001"
"2015-05-12","40.040001"
"2015-05-13","42.340000"
"2015-05-14","41.939999"
"2015-05-15","41.630001"
"2015-05-18","43.139999"
"2015-05-19","43.009998"
"2015-05-20","43.000000"
"2015-05-21","41.980000"
"2015-05-22","42.549999"
"2015-05-26","42.299999"
"2015-05-27","42.939999"
"2015-05-28","42.759998"
"2015-05-29","43.860001"
"2015-06-01","41.779999"
"2015-06-02","42.349998"
"2015-06-03","43.470001"
"2015-06-04","41.500000"
"2015-06-05","43.509998"
"2015-06-08","45.279999"
"2015-06-09","42.959999"
"2015-06-10","42.430000"
"2015-06-11","43.509998"
"2015-06-12","42.930000"
"2015-06-15","42.560001"
"2015-06-16","45.290001"
"2015-06-17","45.560001"
"2015-06-18","47.110001"
"2015-06-19","47.310001"
"2015-06-22","48.849998"
"2015-06-23","48.740002"
"2015-06-24","48.630001"
"2015-06-25","47.500000"
"2015-06-26","46.720001"
"2015-06-29","45.810001"
"2015-06-30","47.759998"
"2015-07-01","47.660000"
"2015-07-02","47.310001"
"2015-07-06","48.320000"
"2015-07-07","48.439999"
"2015-07-08","46.939999"
"2015-07-09","47.830002"
"2015-07-10","48.160000"
"2015-07-13","50.490002"
"2015-07-14","51.950001"
"2015-07-15","52.119999"
"2015-07-16","53.320000"
"2015-07-17","53.509998"
"2015-07-20","52.459999"
"2015-07-21","51.889999"
"2015-07-22","52.590000"
"2015-07-23","51.349998"
"2015-07-24","51.500000"
"2015-07-27","49.340000"
"2015-07-28","51.919998"
"2015-07-29","50.660000"
"2015-07-30","50.020000"
"2015-07-31","50.119999"
"2015-08-03","48.990002"
"2015-08-04","49.560001"
"2015-08-05","50.439999"
"2015-08-06","47.119999"
"2015-08-07","46.470001"
"2015-08-10","46.250000"
"2015-08-11","45.639999"
"2015-08-12","46.020000"
"2015-08-13","46.900002"
