"date, price"
"2020-07-14","91.589996"
"2020-07-15","72.339996"
"2020-07-16","68.239998"
"2020-07-17","74.000000"
"2020-07-20","74.099998"
"2020-07-21","74.970001"
"2020-07-22","74.800003"
"2020-07-23","71.570000"
"2020-07-24","73.839996"
"2020-07-27","71.599998"
"2020-07-28","72.129997"
"2020-07-29","72.510002"
"2020-07-30","76.669998"
"2020-07-31","79.099998"
"2020-08-03","77.279999"
"2020-08-04","76.000000"
"2020-08-05","77.180000"
"2020-08-06","75.330002"
"2020-08-07","75.370003"
"2020-08-10","76.790001"
"2020-08-11","78.879997"
"2020-08-12","82.389999"
"2020-08-13","84.599998"
"2020-08-14","80.250000"
"2020-08-17","84.500000"
"2020-08-18","81.989998"
"2020-08-19","78.250000"
"2020-08-20","82.760002"
"2020-08-21","82.599998"
"2020-08-24","84.800003"
"2020-08-25","89.230003"
"2020-08-26","86.709999"
"2020-08-27","83.379997"
"2020-08-28","88.480003"
"2020-08-31","92.949997"
"2020-09-01","98.040001"
"2020-09-02","97.580002"
"2020-09-03","87.000000"
"2020-09-04","79.260002"
"2020-09-08","77.480003"
"2020-09-09","79.070000"
"2020-09-10","84.199997"
"2020-09-11","77.690002"
"2020-09-14","76.570000"
"2020-09-15","77.190002"
"2020-09-16","75.680000"
"2020-09-17","74.260002"
"2020-09-18","75.550003"
"2020-09-21","80.059998"
"2020-09-22","80.349998"
"2020-09-23","82.190002"
"2020-09-24","78.800003"
"2020-09-25","79.790001"
"2020-09-28","82.129997"
"2020-09-29","80.010002"
"2020-09-30","79.680000"
"2020-10-01","78.959999"
"2020-10-02","77.209999"
"2020-10-05","75.639999"
"2020-10-06","71.089996"
"2020-10-07","76.300003"
"2020-10-08","78.680000"
"2020-10-09","79.860001"
"2020-10-12","80.400002"
"2020-10-13","78.190002"
"2020-10-14","76.489998"
"2020-10-15","77.480003"
"2020-10-16","77.080002"
"2020-10-19","79.889999"
"2020-10-20","81.500000"
"2020-10-21","81.860001"
"2020-10-22","76.570000"
"2020-10-23","73.160004"
"2020-10-26","71.889999"
"2020-10-27","73.459999"
"2020-10-28","72.300003"
"2020-10-29","72.059998"
"2020-10-30","70.519997"
"2020-11-02","69.199997"
"2020-11-03","72.559998"
"2020-11-04","75.599998"
"2020-11-05","77.669998"
"2020-11-06","76.750000"
"2020-11-09","73.000000"
"2020-11-10","71.010002"
"2020-11-11","71.489998"
"2020-11-12","73.500000"
