"date, price"
"2014-12-04","13.430000"
"2014-12-05","13.910000"
"2014-12-08","13.980000"
"2014-12-09","14.330000"
"2014-12-10","14.290000"
"2014-12-11","14.140000"
"2014-12-12","14.090000"
"2014-12-15","13.880000"
"2014-12-16","14.010000"
"2014-12-17","14.270000"
"2014-12-18","14.480000"
"2014-12-19","14.310000"
"2014-12-22","14.600000"
"2014-12-23","14.620000"
"2014-12-24","14.590000"
"2014-12-26","14.820000"
"2014-12-29","14.870000"
"2014-12-30","14.780000"
"2014-12-31","14.720000"
"2015-01-02","14.470000"
"2015-01-05","14.150000"
"2015-01-06","14.060000"
"2015-01-07","14.060000"
"2015-01-08","14.170000"
"2015-01-09","14.000000"
"2015-01-12","13.710000"
"2015-01-13","13.790000"
"2015-01-14","13.700000"
"2015-01-15","13.450000"
"2015-01-16","13.830000"
"2015-01-20","13.820000"
"2015-01-21","13.800000"
"2015-01-22","14.000000"
"2015-01-23","13.780000"
"2015-01-26","13.700000"
"2015-01-27","13.740000"
"2015-01-28","13.440000"
"2015-01-29","13.570000"
"2015-01-30","13.220000"
"2015-02-02","13.440000"
"2015-02-03","13.610000"
"2015-02-04","13.530000"
"2015-02-05","13.540000"
"2015-02-06","13.500000"
"2015-02-09","13.500000"
"2015-02-10","13.730000"
"2015-02-11","13.540000"
"2015-02-12","13.730000"
"2015-02-13","13.870000"
"2015-02-17","13.740000"
"2015-02-18","13.690000"
"2015-02-19","13.580000"
"2015-02-20","13.620000"
"2015-02-23","13.450000"
"2015-02-24","13.610000"
"2015-02-25","13.560000"
"2015-02-26","13.290000"
"2015-02-27","13.150000"
"2015-03-02","12.820000"
"2015-03-03","12.530000"
"2015-03-04","12.290000"
"2015-03-05","12.280000"
"2015-03-06","12.270000"
"2015-03-09","12.370000"
"2015-03-10","12.410000"
"2015-03-11","12.640000"
"2015-03-12","12.910000"
"2015-03-13","13.160000"
"2015-03-16","13.280000"
"2015-03-17","13.020000"
"2015-03-18","13.070000"
"2015-03-19","13.000000"
"2015-03-20","13.250000"
"2015-03-23","13.200000"
"2015-03-24","13.320000"
"2015-03-25","13.020000"
"2015-03-26","13.060000"
"2015-03-27","13.220000"
"2015-03-30","13.310000"
"2015-03-31","13.320000"
"2015-04-01","13.260000"
"2015-04-02","13.430000"
"2015-04-06","13.460000"
"2015-04-07","13.150000"
"2015-04-08","13.310000"
"2015-04-09","13.370000"
"2015-04-10","13.630000"
"2015-04-13","13.410000"
"2015-04-14","13.380000"
"2015-04-15","14.070000"
"2015-04-16","13.810000"
"2015-04-17","13.560000"
"2015-04-20","13.890000"
"2015-04-21","13.780000"
"2015-04-22","13.740000"
"2015-04-23","13.740000"
"2015-04-24","13.780000"
"2015-04-27","13.930000"
"2015-04-28","13.980000"
"2015-04-29","14.000000"
"2015-04-30","13.280000"
"2015-05-01","13.470000"
"2015-05-04","13.360000"
"2015-05-05","13.240000"
"2015-05-06","13.200000"
"2015-05-07","14.410000"
"2015-05-08","14.300000"
"2015-05-11","14.280000"
"2015-05-12","14.280000"
