"date, price"
"2014-12-04","67.529999"
"2014-12-05","68.360001"
"2014-12-08","68.669998"
"2014-12-09","68.379997"
"2014-12-10","67.089996"
"2014-12-11","66.860001"
"2014-12-12","65.900002"
"2014-12-15","65.650002"
"2014-12-16","64.730003"
"2014-12-17","66.360001"
"2014-12-18","68.029999"
"2014-12-19","67.300003"
"2014-12-22","67.860001"
"2014-12-23","68.699997"
"2014-12-24","68.330002"
"2014-12-26","68.150002"
"2014-12-29","68.309998"
"2014-12-30","68.080002"
"2014-12-31","67.400002"
"2015-01-02","67.550003"
"2015-01-05","65.070000"
"2015-01-06","63.240002"
"2015-01-07","64.260002"
"2015-01-08","65.260002"
"2015-01-09","64.110001"
"2015-01-12","63.340000"
"2015-01-13","63.459999"
"2015-01-14","62.250000"
"2015-01-15","61.790001"
"2015-01-16","62.299999"
"2015-01-20","62.439999"
"2015-01-21","66.320000"
"2015-01-22","68.000000"
"2015-01-23","66.879997"
"2015-01-26","67.610001"
"2015-01-27","66.309998"
"2015-01-28","64.839996"
"2015-01-29","66.410004"
"2015-01-30","65.379997"
"2015-02-02","66.610001"
"2015-02-03","68.139999"
"2015-02-04","67.750000"
"2015-02-05","68.510002"
"2015-02-06","69.610001"
"2015-02-09","68.940002"
"2015-02-10","69.900002"
"2015-02-11","70.580002"
"2015-02-12","70.589996"
"2015-02-13","70.080002"
"2015-02-17","70.209999"
"2015-02-18","69.180000"
"2015-02-19","69.629997"
"2015-02-20","70.080002"
"2015-02-23","70.139999"
"2015-02-24","71.089996"
"2015-02-25","71.110001"
"2015-02-26","70.180000"
"2015-02-27","69.830002"
"2015-03-02","70.510002"
"2015-03-03","70.169998"
"2015-03-04","69.370003"
"2015-03-05","69.480003"
"2015-03-06","70.360001"
"2015-03-09","70.510002"
"2015-03-10","69.379997"
"2015-03-11","69.820000"
"2015-03-12","70.900002"
"2015-03-13","70.870003"
"2015-03-16","71.870003"
"2015-03-17","72.089996"
"2015-03-18","71.309998"
"2015-03-19","70.930000"
"2015-03-20","71.349998"
"2015-03-23","70.720001"
"2015-03-24","69.629997"
"2015-03-25","68.849998"
"2015-03-26","69.620003"
"2015-03-27","69.330002"
"2015-03-30","69.930000"
"2015-03-31","69.650002"
"2015-04-01","70.050003"
"2015-04-02","70.699997"
"2015-04-06","70.440002"
"2015-04-07","71.000000"
"2015-04-08","71.180000"
"2015-04-09","71.209999"
"2015-04-10","70.860001"
"2015-04-13","71.459999"
"2015-04-14","71.339996"
"2015-04-15","71.150002"
"2015-04-16","71.010002"
"2015-04-17","69.830002"
"2015-04-20","70.230003"
"2015-04-21","71.889999"
"2015-04-22","73.849998"
"2015-04-23","73.790001"
"2015-04-24","73.099998"
"2015-04-27","73.010002"
"2015-04-28","73.540001"
"2015-04-29","73.739998"
"2015-04-30","73.150002"
"2015-05-01","73.699997"
"2015-05-04","74.550003"
"2015-05-05","74.559998"
"2015-05-06","74.230003"
"2015-05-07","74.639999"
"2015-05-08","75.250000"
"2015-05-11","75.050003"
"2015-05-12","74.639999"
"2015-05-13","74.730003"
"2015-05-14","75.010002"
"2015-05-15","74.720001"
"2015-05-18","75.699997"
"2015-05-19","76.150002"
"2015-05-20","76.160004"
"2015-05-21","76.029999"
"2015-05-22","75.559998"
"2015-05-26","74.790001"
"2015-05-27","75.510002"
"2015-05-28","75.650002"
"2015-05-29","74.550003"
"2015-06-01","74.250000"
"2015-06-02","74.400002"
"2015-06-03","75.099998"
"2015-06-04","74.269997"
"2015-06-05","75.250000"
"2015-06-08","75.660004"
"2015-06-09","75.879997"
"2015-06-10","77.260002"
"2015-06-11","77.500000"
"2015-06-12","77.589996"
"2015-06-15","77.239998"
"2015-06-16","77.330002"
"2015-06-17","76.879997"
"2015-06-18","77.699997"
"2015-06-19","77.559998"
"2015-06-22","78.209999"
"2015-06-23","78.400002"
"2015-06-24","77.709999"
"2015-06-25","77.690002"
"2015-06-26","78.639999"
"2015-06-29","76.279999"
"2015-06-30","76.459999"
"2015-07-01","76.949997"
"2015-07-02","76.680000"
"2015-07-06","75.989998"
"2015-07-07","75.870003"
"2015-07-08","74.050003"
"2015-07-09","74.739998"
"2015-07-10","76.379997"
"2015-07-13","77.160004"
"2015-07-14","77.239998"
"2015-07-15","77.709999"
"2015-07-16","78.660004"
"2015-07-17","77.919998"
"2015-07-20","78.339996"
"2015-07-21","78.050003"
"2015-07-22","77.970001"
"2015-07-23","78.000000"
"2015-07-24","76.970001"
"2015-07-27","75.769997"
"2015-07-28","76.500000"
"2015-07-29","76.750000"
"2015-07-30","77.260002"
"2015-07-31","76.489998"
"2015-08-03","76.620003"
"2015-08-04","77.199997"
"2015-08-05","77.209999"
"2015-08-06","77.150002"
"2015-08-07","77.660004"
"2015-08-10","78.529999"
"2015-08-11","77.669998"
"2015-08-12","76.599998"
"2015-08-13","76.989998"
"2015-08-14","77.699997"
"2015-08-17","77.629997"
"2015-08-18","77.599998"
"2015-08-19","77.339996"
"2015-08-20","75.029999"
"2015-08-21","72.519997"
"2015-08-24","67.160004"
"2015-08-25","65.250000"
"2015-08-26","68.019997"
"2015-08-27","70.070000"
"2015-08-28","70.139999"
"2015-08-31","69.839996"
"2015-09-01","68.000000"
"2015-09-02","68.930000"
"2015-09-03","69.430000"
"2015-09-04","68.279999"
"2015-09-08","70.550003"
"2015-09-09","69.669998"
"2015-09-10","69.900002"
"2015-09-11","70.029999"
"2015-09-14","70.019997"
"2015-09-15","70.790001"
"2015-09-16","70.790001"
"2015-09-17","69.419998"
"2015-09-18","67.129997"
"2015-09-21","68.389999"
"2015-09-22","67.339996"
"2015-09-23","67.489998"
"2015-09-24","67.120003"
"2015-09-25","69.050003"
"2015-09-28","67.150002"
"2015-09-29","67.250000"
"2015-09-30","68.160004"
"2015-10-01","68.209999"
"2015-10-02","67.389999"
"2015-10-05","68.779999"
"2015-10-06","68.349998"
"2015-10-07","69.000000"
"2015-10-08","69.120003"
"2015-10-09","68.480003"
"2015-10-12","68.800003"
"2015-10-13","68.440002"
"2015-10-14","67.680000"
"2015-10-15","69.449997"
"2015-10-16","69.110001"
"2015-10-19","68.339996"
"2015-10-20","69.570000"
"2015-10-21","66.550003"
"2015-10-22","68.099998"
"2015-10-23","69.169998"
"2015-10-26","68.900002"
"2015-10-27","68.930000"
"2015-10-28","71.440002"
"2015-10-29","71.019997"
"2015-10-30","70.389999"
"2015-11-02","71.290001"
"2015-11-03","71.730003"
"2015-11-04","72.169998"
"2015-11-05","73.279999"
"2015-11-06","74.970001"
"2015-11-09","74.040001"
"2015-11-10","74.820000"
"2015-11-11","74.949997"
"2015-11-12","73.949997"
"2015-11-13","73.230003"
"2015-11-16","74.010002"
"2015-11-17","73.980003"
"2015-11-18","75.760002"
"2015-11-19","75.400002"
"2015-11-20","75.639999"
"2015-11-23","75.199997"
"2015-11-24","75.099998"
"2015-11-25","75.000000"
"2015-11-27","75.540001"
"2015-11-30","74.940002"
"2015-12-01","75.019997"
"2015-12-02","74.199997"
"2015-12-03","72.769997"
"2015-12-04","75.529999"
"2015-12-07","74.610001"
"2015-12-08","74.320000"
"2015-12-09","72.480003"
"2015-12-10","72.129997"
"2015-12-11","70.110001"
"2015-12-14","70.029999"
"2015-12-15","72.680000"
"2015-12-16","74.050003"
"2015-12-17","71.970001"
"2015-12-18","70.059998"
"2015-12-21","71.150002"
"2015-12-22","72.040001"
"2015-12-23","73.099998"
"2015-12-24","72.959999"
"2015-12-28","72.900002"
"2015-12-29","73.580002"
"2015-12-30","72.830002"
"2015-12-31","72.089996"
"2016-01-04","70.589996"
"2016-01-05","70.690002"
"2016-01-06","69.010002"
"2016-01-07","67.180000"
"2016-01-08","65.930000"
"2016-01-11","65.889999"
"2016-01-12","66.309998"
"2016-01-13","64.750000"
"2016-01-14","65.739998"
"2016-01-15","63.779999"
"2016-01-19","63.930000"
"2016-01-20","61.430000"
"2016-01-21","59.009998"
"2016-01-22","60.419998"
"2016-01-25","58.790001"
"2016-01-26","59.849998"
"2016-01-27","59.810001"
"2016-01-28","59.770000"
"2016-01-29","62.080002"
"2016-02-01","61.250000"
"2016-02-02","59.240002"
"2016-02-03","59.459999"
"2016-02-04","60.340000"
"2016-02-05","60.020000"
"2016-02-08","57.720001"
"2016-02-09","57.990002"
"2016-02-10","56.900002"
"2016-02-11","54.500000"
"2016-02-12","56.849998"
"2016-02-16","58.250000"
"2016-02-17","59.610001"
"2016-02-18","59.080002"
"2016-02-19","59.380001"
"2016-02-22","60.900002"
"2016-02-23","59.740002"
"2016-02-24","58.720001"
"2016-02-25","59.520000"
"2016-02-26","60.240002"
"2016-02-29","59.380001"
"2016-03-01","62.500000"
"2016-03-02","63.230000"
"2016-03-03","64.430000"
"2016-03-04","65.660004"
"2016-03-07","65.889999"
"2016-03-08","63.959999"
"2016-03-09","63.639999"
"2016-03-10","63.599998"
"2016-03-11","65.709999"
"2016-03-14","65.449997"
"2016-03-15","65.000000"
"2016-03-16","64.690002"
"2016-03-17","65.160004"
"2016-03-18","66.040001"
"2016-03-21","66.129997"
"2016-03-22","66.110001"
"2016-03-23","65.629997"
"2016-03-24","65.220001"
"2016-03-28","65.059998"
"2016-03-29","64.970001"
"2016-03-30","65.480003"
"2016-03-31","65.169998"
"2016-04-01","65.849998"
"2016-04-04","65.680000"
"2016-04-05","64.559998"
"2016-04-06","65.180000"
"2016-04-07","63.020000"
"2016-04-08","63.259998"
"2016-04-11","63.880001"
"2016-04-12","65.160004"
"2016-04-13","67.610001"
"2016-04-14","67.980003"
"2016-04-15","67.580002"
"2016-04-18","68.290001"
"2016-04-19","71.839996"
"2016-04-20","72.250000"
"2016-04-21","71.779999"
"2016-04-22","72.360001"
"2016-04-25","71.669998"
"2016-04-26","72.470001"
"2016-04-27","72.269997"
"2016-04-28","71.610001"
"2016-04-29","71.080002"
"2016-05-02","71.860001"
"2016-05-03","70.279999"
"2016-05-04","69.330002"
"2016-05-05","68.989998"
"2016-05-06","69.019997"
"2016-05-09","68.720001"
"2016-05-10","70.279999"
"2016-05-11","69.419998"
"2016-05-12","69.459999"
"2016-05-13","68.470001"
"2016-05-16","68.989998"
"2016-05-17","68.930000"
"2016-05-18","71.529999"
"2016-05-19","71.000000"
"2016-05-20","71.879997"
"2016-05-23","71.320000"
"2016-05-24","72.629997"
"2016-05-25","74.059998"
"2016-05-26","73.769997"
"2016-05-27","74.239998"
"2016-05-31","74.099998"
"2016-06-01","74.019997"
"2016-06-02","74.349998"
"2016-06-03","72.320000"
"2016-06-06","73.309998"
"2016-06-07","72.610001"
"2016-06-08","72.680000"
"2016-06-09","71.870003"
"2016-06-10","70.980003"
"2016-06-13","70.669998"
"2016-06-14","69.430000"
"2016-06-15","69.730003"
"2016-06-16","69.279999"
"2016-06-17","69.279999"
"2016-06-20","69.489998"
"2016-06-21","69.529999"
"2016-06-22","69.389999"
"2016-06-23","71.540001"
"2016-06-24","65.500000"
"2016-06-27","61.669998"
"2016-06-28","63.570000"
"2016-06-29","65.269997"
"2016-06-30","66.260002"
"2016-07-01","65.230003"
"2016-07-05","63.549999"
"2016-07-06","63.470001"
"2016-07-07","63.520000"
"2016-07-08","64.529999"
"2016-07-11","65.029999"
"2016-07-12","66.290001"
"2016-07-13","65.870003"
"2016-07-14","66.779999"
"2016-07-15","67.019997"
"2016-07-18","67.419998"
"2016-07-19","67.110001"
"2016-07-20","66.470001"
"2016-07-21","66.730003"
"2016-07-22","67.080002"
"2016-07-25","67.110001"
"2016-07-26","68.080002"
"2016-07-27","68.480003"
"2016-07-28","67.739998"
"2016-07-29","67.589996"
"2016-08-01","67.089996"
"2016-08-02","66.209999"
"2016-08-03","67.010002"
"2016-08-04","66.779999"
"2016-08-05","69.139999"
"2016-08-08","69.199997"
"2016-08-09","69.190002"
"2016-08-10","68.360001"
"2016-08-11","68.629997"
"2016-08-12","67.830002"
"2016-08-15","68.339996"
"2016-08-16","68.180000"
"2016-08-17","68.320000"
"2016-08-18","68.279999"
"2016-08-19","68.570000"
"2016-08-22","68.629997"
"2016-08-23","68.669998"
"2016-08-24","68.379997"
"2016-08-25","68.830002"
"2016-08-26","69.349998"
"2016-08-29","69.889999"
"2016-08-30","70.820000"
"2016-08-31","70.589996"
"2016-09-01","70.410004"
"2016-09-02","70.650002"
"2016-09-06","69.860001"
"2016-09-07","69.690002"
"2016-09-08","69.830002"
"2016-09-09","68.949997"
"2016-09-12","69.720001"
"2016-09-13","68.779999"
"2016-09-14","68.459999"
"2016-09-15","69.379997"
"2016-09-16","68.360001"
"2016-09-19","68.510002"
"2016-09-20","68.629997"
"2016-09-21","69.160004"
"2016-09-22","69.400002"
"2016-09-23","69.309998"
"2016-09-26","67.459999"
"2016-09-27","67.550003"
"2016-09-28","67.589996"
"2016-09-29","66.699997"
"2016-09-30","67.989998"
"2016-10-03","68.150002"
"2016-10-04","69.830002"
"2016-10-05","71.900002"
"2016-10-06","72.040001"
"2016-10-07","71.949997"
"2016-10-10","72.070000"
"2016-10-11","71.070000"
"2016-10-12","71.110001"
"2016-10-13","69.809998"
"2016-10-14","70.589996"
"2016-10-17","70.269997"
"2016-10-18","70.949997"
"2016-10-19","71.129997"
"2016-10-20","70.980003"
"2016-10-21","70.980003"
"2016-10-24","70.980003"
"2016-10-25","70.320000"
"2016-10-26","71.459999"
"2016-10-27","72.400002"
"2016-10-28","72.400002"
"2016-10-31","72.419998"
"2016-11-01","72.720001"
"2016-11-02","72.019997"
"2016-11-03","72.379997"
"2016-11-04","72.080002"
"2016-11-07","74.000000"
"2016-11-08","73.980003"
"2016-11-09","77.150002"
"2016-11-10","78.519997"
"2016-11-11","79.879997"
"2016-11-14","82.820000"
"2016-11-15","82.970001"
"2016-11-16","81.040001"
"2016-11-17","81.500000"
"2016-11-18","81.500000"
"2016-11-21","81.889999"
"2016-11-22","81.910004"
"2016-11-23","82.019997"
"2016-11-25","82.150002"
"2016-11-28","80.589996"
"2016-11-29","81.139999"
"2016-11-30","82.150002"
"2016-12-01","85.419998"
"2016-12-02","84.510002"
"2016-12-05","85.400002"
"2016-12-06","86.379997"
"2016-12-07","89.309998"
"2016-12-08","89.769997"
"2016-12-09","89.370003"
"2016-12-12","88.809998"
"2016-12-13","89.000000"
"2016-12-14","88.500000"
"2016-12-15","90.059998"
"2016-12-16","88.459999"
"2016-12-19","88.669998"
"2016-12-20","90.150002"
"2016-12-21","90.080002"
"2016-12-22","89.699997"
"2016-12-23","89.529999"
"2016-12-27","89.839996"
"2016-12-28","89.209999"
"2016-12-29","88.629997"
"2016-12-30","89.050003"
"2017-01-03","89.639999"
"2017-01-04","90.489998"
"2017-01-05","90.099998"
"2017-01-06","89.839996"
"2017-01-09","89.029999"
"2017-01-10","89.269997"
"2017-01-11","90.019997"
"2017-01-12","89.790001"
"2017-01-13","90.190002"
"2017-01-17","88.150002"
"2017-01-18","83.989998"
"2017-01-19","83.519997"
"2017-01-20","83.360001"
"2017-01-23","82.669998"
"2017-01-24","83.489998"
"2017-01-25","84.070000"
"2017-01-26","83.949997"
"2017-01-27","83.680000"
"2017-01-30","83.150002"
"2017-01-31","82.959999"
"2017-02-01","83.309998"
"2017-02-02","82.820000"
"2017-02-03","84.400002"
"2017-02-06","84.550003"
"2017-02-07","84.360001"
"2017-02-08","84.000000"
"2017-02-09","85.510002"
"2017-02-10","85.370003"
"2017-02-13","86.279999"
"2017-02-14","87.580002"
"2017-02-15","88.660004"
"2017-02-16","87.339996"
"2017-02-17","87.199997"
"2017-02-21","88.059998"
"2017-02-22","87.500000"
"2017-02-23","87.690002"
"2017-02-24","87.050003"
"2017-02-27","87.529999"
"2017-02-28","87.349998"
"2017-03-01","89.410004"
"2017-03-02","88.339996"
"2017-03-03","88.709999"
"2017-03-06","87.709999"
"2017-03-07","88.389999"
"2017-03-08","88.919998"
"2017-03-09","89.400002"
"2017-03-10","89.300003"
"2017-03-13","89.809998"
"2017-03-14","89.720001"
"2017-03-15","89.529999"
"2017-03-16","89.989998"
"2017-03-17","88.680000"
"2017-03-20","88.019997"
"2017-03-21","86.330002"
"2017-03-22","86.570000"
"2017-03-23","86.739998"
"2017-03-24","85.750000"
"2017-03-27","85.070000"
"2017-03-28","86.190002"
"2017-03-29","86.120003"
"2017-03-30","87.190002"
"2017-03-31","86.580002"
"2017-04-03","86.220001"
"2017-04-04","86.279999"
"2017-04-05","85.750000"
"2017-04-06","86.400002"
"2017-04-07","86.089996"
"2017-04-10","85.519997"
"2017-04-11","86.639999"
"2017-04-12","85.769997"
"2017-04-13","85.029999"
"2017-04-17","86.419998"
"2017-04-18","85.760002"
"2017-04-19","86.010002"
"2017-04-20","87.449997"
"2017-04-21","87.360001"
"2017-04-24","89.379997"
"2017-04-25","90.580002"
"2017-04-26","91.680000"
"2017-04-27","91.519997"
"2017-04-28","90.000000"
"2017-05-01","90.129997"
"2017-05-02","89.620003"
"2017-05-03","90.209999"
"2017-05-04","90.540001"
"2017-05-05","90.529999"
"2017-05-08","90.930000"
"2017-05-09","90.790001"
"2017-05-10","90.809998"
"2017-05-11","90.309998"
"2017-05-12","89.660004"
"2017-05-15","90.150002"
"2017-05-16","90.599998"
"2017-05-17","85.760002"
"2017-05-18","86.739998"
"2017-05-19","86.940002"
"2017-05-22","87.680000"
"2017-05-23","88.599998"
"2017-05-24","88.410004"
"2017-05-25","88.279999"
"2017-05-26","88.690002"
"2017-05-30","88.099998"
"2017-05-31","87.440002"
"2017-06-01","89.000000"
"2017-06-02","88.510002"
"2017-06-05","88.730003"
"2017-06-06","87.620003"
"2017-06-07","89.199997"
"2017-06-08","90.089996"
"2017-06-09","91.750000"
"2017-06-12","91.910004"
"2017-06-13","92.730003"
"2017-06-14","93.360001"
"2017-06-15","93.889999"
"2017-06-16","94.550003"
"2017-06-19","95.300003"
"2017-06-20","94.639999"
"2017-06-21","94.389999"
"2017-06-22","94.339996"
"2017-06-23","94.010002"
"2017-06-26","94.199997"
"2017-06-27","95.419998"
"2017-06-28","96.660004"
"2017-06-29","97.000000"
"2017-06-30","97.209999"
"2017-07-03","98.389999"
"2017-07-05","98.980003"
"2017-07-06","97.540001"
"2017-07-07","98.129997"
"2017-07-10","98.550003"
"2017-07-11","97.900002"
"2017-07-12","97.980003"
"2017-07-13","98.190002"
"2017-07-14","98.110001"
"2017-07-17","98.029999"
"2017-07-18","97.370003"
"2017-07-19","89.209999"
"2017-07-20","87.500000"
"2017-07-21","87.839996"
"2017-07-24","87.900002"
"2017-07-25","88.150002"
"2017-07-26","87.900002"
"2017-07-27","87.660004"
"2017-07-28","87.260002"
"2017-07-31","87.510002"
"2017-08-01","88.110001"
"2017-08-02","88.110001"
"2017-08-03","87.980003"
"2017-08-04","88.989998"
"2017-08-07","88.290001"
"2017-08-08","88.790001"
"2017-08-09","89.239998"
"2017-08-10","87.199997"
"2017-08-11","87.150002"
"2017-08-14","88.639999"
"2017-08-15","88.690002"
"2017-08-16","89.480003"
"2017-08-17","87.430000"
"2017-08-18","87.930000"
"2017-08-21","87.870003"
"2017-08-22","89.059998"
"2017-08-23","89.209999"
"2017-08-24","89.750000"
"2017-08-25","89.730003"
"2017-08-28","88.959999"
"2017-08-29","88.540001"
"2017-08-30","88.309998"
"2017-08-31","88.500000"
"2017-09-01","88.959999"
"2017-09-05","86.510002"
"2017-09-06","86.589996"
"2017-09-07","86.839996"
"2017-09-08","88.459999"
"2017-09-11","90.029999"
"2017-09-12","90.570000"
"2017-09-13","88.269997"
"2017-09-14","87.809998"
"2017-09-15","87.959999"
"2017-09-18","88.540001"
"2017-09-19","88.580002"
"2017-09-20","89.680000"
"2017-09-21","90.839996"
"2017-09-22","90.419998"
"2017-09-25","89.389999"
"2017-09-26","89.870003"
"2017-09-27","91.680000"
"2017-09-28","91.930000"
"2017-09-29","91.930000"
"2017-10-02","92.500000"
"2017-10-03","92.389999"
"2017-10-04","91.660004"
"2017-10-05","92.970001"
"2017-10-06","93.269997"
"2017-10-09","92.650002"
"2017-10-10","93.269997"
"2017-10-11","93.730003"
"2017-10-12","93.349998"
"2017-10-13","92.989998"
"2017-10-16","91.919998"
"2017-10-17","91.099998"
"2017-10-18","94.580002"
"2017-10-19","94.980003"
"2017-10-20","95.269997"
"2017-10-23","95.410004"
"2017-10-24","96.449997"
"2017-10-25","94.760002"
"2017-10-26","95.519997"
"2017-10-27","94.709999"
"2017-10-30","94.650002"
"2017-10-31","93.519997"
"2017-11-01","93.410004"
"2017-11-02","94.010002"
"2017-11-03","94.389999"
"2017-11-06","94.220001"
"2017-11-07","92.410004"
"2017-11-08","92.870003"
"2017-11-09","92.160004"
"2017-11-10","92.510002"
"2017-11-13","92.459999"
"2017-11-14","92.639999"
"2017-11-15","93.279999"
"2017-11-16","93.709999"
"2017-11-17","94.070000"
"2017-11-20","94.430000"
"2017-11-21","94.459999"
"2017-11-22","94.389999"
"2017-11-24","94.260002"
"2017-11-27","94.110001"
"2017-11-28","96.290001"
"2017-11-29","98.239998"
"2017-11-30","97.779999"
"2017-12-01","97.660004"
"2017-12-04","98.949997"
"2017-12-05","96.949997"
"2017-12-06","96.500000"
"2017-12-07","97.320000"
"2017-12-08","97.730003"
"2017-12-11","97.559998"
"2017-12-12","98.550003"
"2017-12-13","97.480003"
"2017-12-14","96.589996"
"2017-12-15","97.849998"
"2017-12-18","98.589996"
"2017-12-19","98.019997"
"2017-12-20","98.440002"
"2017-12-21","100.050003"
"2017-12-22","98.980003"
"2017-12-26","98.699997"
"2017-12-27","98.680000"
"2017-12-28","100.320000"
"2017-12-29","99.889999"
"2018-01-02","99.459999"
"2018-01-03","100.050003"
