"date, price"
"2015-10-01","22.000000"
"2015-10-02","18.280001"
"2015-10-05","18.690001"
"2015-10-06","16.680000"
"2015-10-07","15.940000"
"2015-10-08","18.940001"
"2015-10-09","21.020000"
"2015-10-12","25.879999"
"2015-10-13","27.600000"
"2015-10-14","25.450001"
"2015-10-15","25.870001"
"2015-10-16","25.980000"
"2015-10-19","23.209999"
"2015-10-20","19.870001"
"2015-10-21","20.200001"
"2015-10-22","19.150000"
"2015-10-23","19.520000"
"2015-10-26","20.580000"
"2015-10-27","23.870001"
"2015-10-28","24.200001"
"2015-10-29","22.850000"
"2015-10-30","22.469999"
"2015-11-02","23.830000"
"2015-11-03","26.040001"
"2015-11-04","26.309999"
"2015-11-05","26.240000"
"2015-11-06","25.680000"
"2015-11-09","24.830000"
"2015-11-10","24.080000"
"2015-11-11","22.350000"
"2015-11-12","22.700001"
"2015-11-13","22.799999"
"2015-11-16","21.940001"
"2015-11-17","22.340000"
"2015-11-18","22.690001"
"2015-11-19","22.410000"
"2015-11-20","22.040001"
"2015-11-23","24.900000"
"2015-11-24","23.910000"
"2015-11-25","23.650000"
"2015-11-27","24.990000"
"2015-11-30","24.350000"
"2015-12-01","24.070000"
"2015-12-02","24.059999"
"2015-12-03","24.010000"
"2015-12-04","24.820000"
"2015-12-07","27.160000"
"2015-12-08","26.719999"
"2015-12-09","26.780001"
"2015-12-10","26.420000"
"2015-12-11","26.860001"
"2015-12-14","27.639999"
"2015-12-15","28.110001"
"2015-12-16","27.120001"
"2015-12-17","27.500000"
"2015-12-18","27.719999"
"2015-12-21","27.559999"
"2015-12-22","27.020000"
"2015-12-23","26.590000"
"2015-12-24","25.930000"
"2015-12-28","24.799999"
"2015-12-29","23.820000"
"2015-12-30","23.379999"
"2015-12-31","22.360001"
"2016-01-04","22.549999"
"2016-01-05","22.740000"
"2016-01-06","22.420000"
"2016-01-07","19.760000"
"2016-01-08","20.150000"
"2016-01-11","20.549999"
"2016-01-12","21.900000"
"2016-01-13","20.480000"
"2016-01-14","19.299999"
"2016-01-15","17.790001"
"2016-01-19","17.059999"
"2016-01-20","14.230000"
"2016-01-21","15.050000"
"2016-01-22","13.810000"
"2016-01-25","14.500000"
"2016-01-26","14.510000"
"2016-01-27","14.090000"
"2016-01-28","12.990000"
"2016-01-29","12.480000"
"2016-02-01","11.290000"
"2016-02-02","10.300000"
"2016-02-03","11.030000"
"2016-02-04","11.810000"
"2016-02-05","11.460000"
"2016-02-08","12.310000"
"2016-02-09","12.690000"
"2016-02-10","13.120000"
"2016-02-11","12.060000"
"2016-02-12","12.110000"
"2016-02-16","12.230000"
"2016-02-17","12.560000"
"2016-02-18","12.220000"
"2016-02-19","11.780000"
"2016-02-22","12.010000"
"2016-02-23","11.820000"
"2016-02-24","11.460000"
"2016-02-25","10.800000"
"2016-02-26","11.170000"
"2016-02-29","11.690000"
"2016-03-01","12.350000"
"2016-03-02","14.580000"
"2016-03-03","16.030001"
"2016-03-04","16.549999"
"2016-03-07","17.400000"
"2016-03-08","16.059999"
"2016-03-09","14.340000"
"2016-03-10","13.910000"
"2016-03-11","13.750000"
"2016-03-14","12.820000"
"2016-03-15","12.310000"
"2016-03-16","11.990000"
"2016-03-17","12.750000"
"2016-03-18","12.450000"
"2016-03-21","12.620000"
"2016-03-22","13.220000"
"2016-03-23","13.170000"
"2016-03-24","13.130000"
"2016-03-28","12.850000"
"2016-03-29","12.940000"
"2016-03-30","13.360000"
"2016-03-31","14.480000"
"2016-04-01","14.130000"
"2016-04-04","13.810000"
"2016-04-05","13.640000"
"2016-04-06","14.160000"
"2016-04-07","14.790000"
"2016-04-08","15.660000"
"2016-04-11","15.230000"
"2016-04-12","15.170000"
"2016-04-13","15.310000"
"2016-04-14","15.930000"
"2016-04-15","15.470000"
"2016-04-18","14.690000"
"2016-04-19","13.650000"
"2016-04-20","13.710000"
"2016-04-21","13.600000"
"2016-04-22","13.740000"
"2016-04-25","14.140000"
"2016-04-26","14.190000"
"2016-04-27","13.750000"
"2016-04-28","13.170000"
"2016-04-29","12.900000"
"2016-05-02","12.810000"
"2016-05-03","12.000000"
"2016-05-04","11.390000"
"2016-05-05","11.340000"
"2016-05-06","12.590000"
"2016-05-09","12.920000"
"2016-05-10","12.880000"
"2016-05-11","12.890000"
"2016-05-12","12.090000"
"2016-05-13","12.270000"
"2016-05-16","12.200000"
"2016-05-17","11.940000"
"2016-05-18","11.730000"
"2016-05-19","11.600000"
"2016-05-20","11.600000"
"2016-05-23","11.520000"
"2016-05-24","11.390000"
"2016-05-25","11.500000"
"2016-05-26","11.300000"
"2016-05-27","11.300000"
"2016-05-31","11.130000"
"2016-06-01","10.935000"
"2016-06-02","10.990000"
"2016-06-03","10.830000"
"2016-06-06","11.880000"
"2016-06-07","11.750000"
"2016-06-08","12.270000"
"2016-06-09","13.350000"
"2016-06-10","13.410000"
"2016-06-13","10.970000"
"2016-06-14","10.890000"
"2016-06-15","10.760000"
"2016-06-16","11.310000"
"2016-06-17","10.890000"
"2016-06-20","11.670000"
"2016-06-21","11.330000"
"2016-06-22","10.870000"
"2016-06-23","10.960000"
"2016-06-24","10.610000"
"2016-06-27","10.280000"
"2016-06-28","11.000000"
"2016-06-29","11.400000"
"2016-06-30","11.670000"
"2016-07-01","12.200000"
"2016-07-05","11.010000"
"2016-07-06","10.950000"
"2016-07-07","10.880000"
"2016-07-08","11.660000"
"2016-07-11","11.720000"
"2016-07-12","12.200000"
"2016-07-13","11.960000"
"2016-07-14","11.780000"
"2016-07-15","11.570000"
"2016-07-18","11.870000"
"2016-07-19","11.570000"
"2016-07-20","11.890000"
"2016-07-21","11.950000"
