"date, price"
"2014-12-04","27.150000"
"2014-12-05","27.400000"
"2014-12-08","26.830000"
"2014-12-09","27.639999"
"2014-12-10","26.920000"
"2014-12-11","26.860001"
"2014-12-12","26.610001"
"2014-12-15","25.809999"
"2014-12-16","25.590000"
"2014-12-17","26.400000"
"2014-12-18","27.480000"
"2014-12-19","27.629999"
"2014-12-22","27.629999"
"2014-12-23","27.820000"
"2014-12-24","27.879999"
"2014-12-26","28.129999"
"2014-12-29","28.059999"
"2014-12-30","27.940001"
"2014-12-31","27.750000"
"2015-01-02","27.969999"
"2015-01-05","27.440001"
"2015-01-06","27.030001"
"2015-01-07","27.750000"
"2015-01-08","28.139999"
"2015-01-09","29.100000"
"2015-01-12","28.780001"
"2015-01-13","28.639999"
"2015-01-14","27.559999"
"2015-01-15","25.990000"
"2015-01-16","25.980000"
"2015-01-20","26.440001"
"2015-01-21","26.660000"
"2015-01-22","27.500000"
"2015-01-23","28.200001"
"2015-01-26","30.129999"
"2015-01-27","31.070000"
"2015-01-28","33.250000"
"2015-01-29","32.070000"
"2015-01-30","31.860001"
"2015-02-02","33.389999"
"2015-02-03","33.570000"
"2015-02-04","33.340000"
"2015-02-05","33.459999"
"2015-02-06","33.599998"
"2015-02-09","33.919998"
"2015-02-10","33.650002"
"2015-02-11","34.450001"
"2015-02-12","35.250000"
"2015-02-13","35.570000"
"2015-02-17","35.630001"
"2015-02-18","35.680000"
"2015-02-19","35.810001"
"2015-02-20","35.939999"
"2015-02-23","35.619999"
"2015-02-24","35.500000"
"2015-02-25","35.570000"
"2015-02-26","36.759998"
"2015-02-27","34.389999"
"2015-03-02","37.200001"
"2015-03-03","35.980000"
"2015-03-04","36.580002"
"2015-03-05","38.869999"
"2015-03-06","38.580002"
"2015-03-09","38.049999"
"2015-03-10","37.669998"
"2015-03-11","38.320000"
"2015-03-12","40.090000"
"2015-03-13","41.630001"
"2015-03-16","41.740002"
"2015-03-17","45.070000"
"2015-03-18","46.130001"
"2015-03-19","44.310001"
"2015-03-20","44.419998"
"2015-03-23","46.810001"
"2015-03-24","47.230000"
"2015-03-25","46.119999"
"2015-03-26","45.639999"
"2015-03-27","46.779999"
"2015-03-30","46.630001"
"2015-03-31","46.750000"
"2015-04-01","46.990002"
"2015-04-02","47.160000"
"2015-04-06","46.919998"
"2015-04-07","46.430000"
"2015-04-08","46.919998"
"2015-04-09","47.419998"
"2015-04-10","47.849998"
"2015-04-13","47.270000"
"2015-04-14","46.660000"
"2015-04-15","48.590000"
"2015-04-16","49.009998"
"2015-04-17","48.200001"
"2015-04-20","48.240002"
"2015-04-21","47.560001"
"2015-04-22","46.980000"
"2015-04-23","47.340000"
"2015-04-24","47.599998"
"2015-04-27","46.599998"
"2015-04-28","46.000000"
"2015-04-29","45.450001"
"2015-04-30","44.070000"
"2015-05-01","44.590000"
"2015-05-04","45.669998"
"2015-05-05","45.099998"
"2015-05-06","44.930000"
"2015-05-07","45.200001"
"2015-05-08","49.980000"
"2015-05-11","49.369999"
"2015-05-12","48.230000"
"2015-05-13","49.410000"
"2015-05-14","50.880001"
"2015-05-15","50.389999"
"2015-05-18","51.119999"
"2015-05-19","51.320000"
"2015-05-20","52.599998"
"2015-05-21","52.549999"
"2015-05-22","53.459999"
"2015-05-26","53.650002"
"2015-05-27","54.119999"
"2015-05-28","53.919998"
"2015-05-29","53.709999"
"2015-06-01","54.889999"
"2015-06-02","54.970001"
"2015-06-03","55.290001"
"2015-06-04","54.830002"
"2015-06-05","55.200001"
"2015-06-08","54.950001"
"2015-06-09","55.060001"
"2015-06-10","54.889999"
"2015-06-11","54.820000"
"2015-06-12","53.630001"
"2015-06-15","53.740002"
"2015-06-16","52.970001"
"2015-06-17","53.220001"
"2015-06-18","54.459999"
"2015-06-19","54.290001"
"2015-06-22","54.509998"
"2015-06-23","53.910000"
"2015-06-24","53.000000"
"2015-06-25","53.889999"
"2015-06-26","52.630001"
"2015-06-29","51.139999"
"2015-06-30","51.730000"
"2015-07-01","51.590000"
"2015-07-02","50.520000"
"2015-07-06","51.169998"
"2015-07-07","50.110001"
"2015-07-08","48.240002"
"2015-07-09","48.630001"
"2015-07-10","48.020000"
"2015-07-13","47.959999"
"2015-07-14","48.240002"
"2015-07-15","47.799999"
"2015-07-16","48.310001"
"2015-07-17","48.209999"
"2015-07-20","47.939999"
"2015-07-21","47.750000"
"2015-07-22","48.110001"
"2015-07-23","47.630001"
"2015-07-24","47.520000"
"2015-07-27","47.299999"
"2015-07-28","47.759998"
"2015-07-29","47.910000"
"2015-07-30","47.930000"
"2015-07-31","47.709999"
"2015-08-03","47.099998"
"2015-08-04","46.290001"
"2015-08-05","46.080002"
"2015-08-06","44.660000"
"2015-08-07","41.529999"
"2015-08-10","40.270000"
"2015-08-11","39.770000"
"2015-08-12","40.419998"
"2015-08-13","40.049999"
"2015-08-14","38.720001"
"2015-08-17","40.669998"
"2015-08-18","38.680000"
"2015-08-19","37.730000"
"2015-08-20","35.900002"
"2015-08-21","35.459999"
"2015-08-24","35.180000"
"2015-08-25","35.270000"
"2015-08-26","36.869999"
"2015-08-27","37.849998"
"2015-08-28","37.529999"
"2015-08-31","36.840000"
"2015-09-01","36.060001"
"2015-09-02","36.759998"
"2015-09-03","36.349998"
"2015-09-04","36.720001"
"2015-09-08","38.150002"
"2015-09-09","38.599998"
"2015-09-10","38.380001"
"2015-09-11","37.750000"
"2015-09-14","37.439999"
"2015-09-15","37.950001"
"2015-09-16","38.520000"
"2015-09-17","38.970001"
"2015-09-18","38.500000"
"2015-09-21","38.290001"
"2015-09-22","36.660000"
"2015-09-23","35.630001"
"2015-09-24","35.639999"
"2015-09-25","35.450001"
"2015-09-28","34.070000"
"2015-09-29","33.730000"
"2015-09-30","33.900002"
"2015-10-01","33.009998"
"2015-10-02","34.400002"
"2015-10-05","35.830002"
"2015-10-06","35.549999"
"2015-10-07","36.099998"
"2015-10-08","36.369999"
"2015-10-09","39.830002"
"2015-10-12","38.869999"
"2015-10-13","38.389999"
"2015-10-14","38.320000"
"2015-10-15","39.290001"
"2015-10-16","35.049999"
"2015-10-19","35.200001"
"2015-10-20","34.470001"
"2015-10-21","33.360001"
"2015-10-22","33.709999"
"2015-10-23","34.299999"
"2015-10-26","33.689999"
"2015-10-27","33.630001"
"2015-10-28","36.009998"
"2015-10-29","35.330002"
"2015-10-30","34.310001"
"2015-11-02","34.700001"
"2015-11-03","36.000000"
"2015-11-04","36.490002"
"2015-11-05","35.930000"
"2015-11-06","40.549999"
"2015-11-09","40.259998"
"2015-11-10","40.540001"
"2015-11-11","40.270000"
"2015-11-12","40.389999"
"2015-11-13","39.919998"
"2015-11-16","40.990002"
"2015-11-17","40.820000"
"2015-11-18","43.509998"
"2015-11-19","48.180000"
"2015-11-20","48.709999"
"2015-11-23","48.169998"
"2015-11-24","48.470001"
"2015-11-25","51.950001"
"2015-11-27","52.820000"
"2015-11-30","52.560001"
"2015-12-01","53.330002"
"2015-12-02","55.900002"
"2015-12-03","53.220001"
"2015-12-04","54.709999"
"2015-12-07","55.590000"
"2015-12-08","55.849998"
"2015-12-09","55.130001"
"2015-12-10","55.430000"
"2015-12-11","52.680000"
"2015-12-14","53.259998"
"2015-12-15","50.910000"
"2015-12-16","51.799999"
"2015-12-17","50.959999"
"2015-12-18","50.939999"
"2015-12-21","52.599998"
"2015-12-22","52.349998"
"2015-12-23","52.450001"
"2015-12-24","52.639999"
"2015-12-28","52.439999"
"2015-12-29","52.360001"
"2015-12-30","56.020000"
"2015-12-31","54.439999"
"2016-01-04","53.430000"
"2016-01-05","52.770000"
"2016-01-06","51.799999"
"2016-01-07","49.610001"
"2016-01-08","50.220001"
"2016-01-11","49.849998"
"2016-01-12","49.779999"
"2016-01-13","48.779999"
"2016-01-14","49.950001"
"2016-01-15","45.160000"
"2016-01-19","45.689999"
"2016-01-20","44.700001"
"2016-01-21","44.700001"
"2016-01-22","46.169998"
"2016-01-25","45.730000"
"2016-01-26","46.180000"
"2016-01-27","44.950001"
"2016-01-28","44.299999"
"2016-01-29","49.099998"
"2016-02-01","48.799999"
"2016-02-02","48.360001"
"2016-02-03","47.820000"
"2016-02-04","48.240002"
"2016-02-05","45.419998"
"2016-02-08","41.689999"
"2016-02-09","42.930000"
"2016-02-10","43.209999"
"2016-02-11","43.279999"
"2016-02-12","44.900002"
"2016-02-16","45.020000"
"2016-02-17","46.020000"
"2016-02-18","48.540001"
"2016-02-19","47.419998"
"2016-02-22","49.270000"
"2016-02-23","48.529999"
"2016-02-24","50.419998"
"2016-02-25","49.680000"
"2016-02-26","43.990002"
"2016-02-29","47.779999"
"2016-03-01","50.220001"
"2016-03-02","50.730000"
"2016-03-03","49.090000"
"2016-03-04","48.790001"
"2016-03-07","51.810001"
"2016-03-08","51.389999"
"2016-03-09","52.000000"
"2016-03-10","49.970001"
