"date, price"
"2014-12-04","46.520000"
"2014-12-05","47.490002"
"2014-12-08","47.310001"
"2014-12-09","47.580002"
"2014-12-10","45.950001"
"2014-12-11","45.580002"
"2014-12-12","45.220001"
"2014-12-15","44.700001"
"2014-12-16","44.230000"
"2014-12-17","45.049999"
"2014-12-18","46.090000"
"2014-12-19","45.200001"
"2014-12-22","45.549999"
"2014-12-23","45.880001"
"2014-12-24","45.790001"
"2014-12-26","45.740002"
"2014-12-29","46.200001"
"2014-12-30","46.180000"
"2014-12-31","45.459999"
"2015-01-02","45.779999"
"2015-01-05","44.549999"
"2015-01-06","43.509998"
"2015-01-07","44.040001"
"2015-01-08","44.820000"
"2015-01-09","44.060001"
"2015-01-12","43.419998"
"2015-01-13","43.299999"
"2015-01-14","42.389999"
"2015-01-15","41.610001"
"2015-01-16","42.049999"
"2015-01-20","42.330002"
"2015-01-21","41.930000"
"2015-01-22","43.919998"
"2015-01-23","43.200001"
"2015-01-26","44.209999"
"2015-01-27","43.849998"
"2015-01-28","42.810001"
"2015-01-29","43.130001"
"2015-01-30","42.759998"
"2015-02-02","44.200001"
"2015-02-03","45.270000"
"2015-02-04","45.020000"
"2015-02-05","45.750000"
"2015-02-06","46.840000"
"2015-02-09","46.340000"
"2015-02-10","46.919998"
"2015-02-11","46.110001"
"2015-02-12","46.869999"
"2015-02-13","47.029999"
"2015-02-17","46.930000"
"2015-02-18","46.060001"
"2015-02-19","45.320000"
"2015-02-20","45.549999"
"2015-02-23","45.610001"
"2015-02-24","45.730000"
"2015-02-25","45.660000"
"2015-02-26","46.820000"
"2015-02-27","45.840000"
"2015-03-02","44.990002"
"2015-03-03","44.459999"
"2015-03-04","44.709999"
"2015-03-05","44.770000"
"2015-03-06","45.459999"
"2015-03-09","45.630001"
"2015-03-10","44.810001"
"2015-03-11","46.099998"
"2015-03-12","47.000000"
"2015-03-13","47.009998"
"2015-03-16","47.090000"
"2015-03-17","47.160000"
"2015-03-18","46.720001"
"2015-03-19","46.209999"
"2015-03-20","47.259998"
"2015-03-23","46.520000"
"2015-03-24","46.150002"
"2015-03-25","45.310001"
"2015-03-26","45.619999"
"2015-03-27","45.669998"
"2015-03-30","46.509998"
"2015-03-31","46.889999"
"2015-04-01","46.509998"
"2015-04-02","46.750000"
"2015-04-06","46.799999"
"2015-04-07","46.820000"
"2015-04-08","46.790001"
"2015-04-09","46.439999"
"2015-04-10","46.660000"
"2015-04-13","46.770000"
"2015-04-14","46.630001"
"2015-04-15","46.730000"
"2015-04-16","46.110001"
"2015-04-17","45.320000"
"2015-04-20","45.509998"
"2015-04-21","45.680000"
"2015-04-22","45.570000"
"2015-04-23","45.610001"
"2015-04-24","45.430000"
"2015-04-27","44.820000"
"2015-04-28","45.279999"
"2015-04-29","45.500000"
"2015-04-30","45.099998"
"2015-05-01","44.720001"
"2015-05-04","45.360001"
"2015-05-05","45.529999"
"2015-05-06","45.770000"
"2015-05-07","45.259998"
"2015-05-08","45.880001"
"2015-05-11","46.279999"
"2015-05-12","46.340000"
"2015-05-13","46.480000"
"2015-05-14","46.290001"
"2015-05-15","45.119999"
"2015-05-18","46.250000"
"2015-05-19","46.290001"
"2015-05-20","46.000000"
"2015-05-21","45.459999"
"2015-05-22","45.459999"
"2015-05-26","45.139999"
"2015-05-27","45.430000"
"2015-05-28","45.099998"
"2015-05-29","44.889999"
"2015-06-01","44.689999"
"2015-06-02","45.250000"
"2015-06-03","46.080002"
"2015-06-04","45.869999"
"2015-06-05","46.500000"
"2015-06-08","46.270000"
"2015-06-09","46.980000"
"2015-06-10","46.860001"
"2015-06-11","47.349998"
"2015-06-12","47.630001"
"2015-06-15","47.470001"
"2015-06-16","47.709999"
"2015-06-17","46.720001"
"2015-06-18","47.040001"
"2015-06-19","47.000000"
"2015-06-22","47.500000"
"2015-06-23","48.299999"
"2015-06-24","48.139999"
"2015-06-25","48.349998"
"2015-06-26","48.099998"
"2015-06-29","46.680000"
"2015-06-30","46.759998"
"2015-07-01","47.029999"
"2015-07-02","46.320000"
"2015-07-06","46.580002"
"2015-07-07","45.910000"
"2015-07-08","45.480000"
"2015-07-09","46.169998"
"2015-07-10","46.610001"
"2015-07-13","47.220001"
"2015-07-14","47.040001"
"2015-07-15","47.060001"
"2015-07-16","47.639999"
"2015-07-17","47.639999"
"2015-07-20","47.740002"
"2015-07-21","47.500000"
"2015-07-22","48.000000"
"2015-07-23","47.599998"
"2015-07-24","46.939999"
"2015-07-27","46.180000"
"2015-07-28","46.180000"
"2015-07-29","46.139999"
"2015-07-30","46.209999"
"2015-07-31","46.290001"
"2015-08-03","46.349998"
"2015-08-04","46.290001"
"2015-08-05","46.720001"
"2015-08-06","46.520000"
"2015-08-07","46.369999"
"2015-08-10","47.330002"
"2015-08-11","47.189999"
"2015-08-12","46.209999"
"2015-08-13","45.650002"
"2015-08-14","46.549999"
"2015-08-17","46.320000"
"2015-08-18","46.689999"
"2015-08-19","45.889999"
"2015-08-20","43.860001"
"2015-08-21","43.009998"
"2015-08-24","40.790001"
"2015-08-25","40.220001"
"2015-08-26","41.630001"
"2015-08-27","42.570000"
"2015-08-28","42.290001"
"2015-08-31","42.639999"
"2015-09-01","40.930000"
"2015-09-02","41.110001"
"2015-09-03","42.099998"
"2015-09-04","41.599998"
"2015-09-08","43.130001"
"2015-09-09","42.889999"
"2015-09-10","43.209999"
"2015-09-11","43.340000"
"2015-09-14","43.619999"
"2015-09-15","44.310001"
"2015-09-16","44.560001"
"2015-09-17","43.439999"
"2015-09-18","42.169998"
"2015-09-21","42.930000"
"2015-09-22","42.650002"
"2015-09-23","42.709999"
"2015-09-24","42.950001"
"2015-09-25","43.259998"
"2015-09-28","42.080002"
"2015-09-29","41.900002"
"2015-09-30","42.810001"
"2015-10-01","42.970001"
"2015-10-02","43.009998"
"2015-10-05","43.770000"
