"date, price"
"2014-12-04","70.230003"
"2014-12-05","70.250000"
"2014-12-08","69.610001"
"2014-12-09","70.519997"
"2014-12-10","68.309998"
"2014-12-11","69.449997"
"2014-12-12","67.699997"
"2014-12-15","67.510002"
"2014-12-16","67.720001"
"2014-12-17","68.000000"
"2014-12-18","69.540001"
"2014-12-19","69.239998"
"2014-12-22","69.190002"
"2014-12-23","69.449997"
"2014-12-24","69.419998"
"2014-12-26","69.129997"
"2014-12-29","69.599998"
"2014-12-30","68.800003"
"2014-12-31","68.010002"
"2015-01-02","68.150002"
"2015-01-05","65.860001"
"2015-01-06","65.949997"
"2015-01-07","66.830002"
"2015-01-08","67.709999"
"2015-01-09","65.230003"
"2015-01-12","65.830002"
"2015-01-13","65.360001"
"2015-01-14","64.750000"
"2015-01-15","63.360001"
"2015-01-16","64.500000"
"2015-01-20","64.480003"
"2015-01-21","65.099998"
"2015-01-22","64.669998"
"2015-01-23","64.550003"
"2015-01-26","65.209999"
"2015-01-27","64.120003"
"2015-01-28","63.439999"
"2015-01-29","64.050003"
"2015-01-30","60.110001"
"2015-02-02","61.410000"
"2015-02-03","62.750000"
"2015-02-04","62.459999"
"2015-02-05","62.250000"
"2015-02-06","62.750000"
"2015-02-09","63.160000"
"2015-02-10","63.160000"
"2015-02-11","62.840000"
"2015-02-12","63.240002"
"2015-02-13","64.220001"
"2015-02-17","64.459999"
"2015-02-18","64.500000"
"2015-02-19","64.500000"
"2015-02-20","64.589996"
"2015-02-23","63.910000"
"2015-02-24","63.790001"
"2015-02-25","64.610001"
"2015-02-26","64.650002"
"2015-02-27","64.050003"
"2015-03-02","64.910004"
"2015-03-03","64.540001"
"2015-03-04","62.709999"
"2015-03-05","62.450001"
"2015-03-06","61.660000"
"2015-03-09","62.259998"
"2015-03-10","60.500000"
"2015-03-11","60.990002"
"2015-03-12","62.360001"
"2015-03-13","61.730000"
"2015-03-16","62.529999"
"2015-03-17","62.570000"
"2015-03-18","63.740002"
"2015-03-19","62.590000"
"2015-03-20","63.610001"
"2015-03-23","63.750000"
"2015-03-24","64.110001"
"2015-03-25","62.630001"
"2015-03-26","62.320000"
"2015-03-27","62.169998"
"2015-03-30","63.450001"
"2015-03-31","63.139999"
"2015-04-01","61.900002"
"2015-04-02","61.200001"
"2015-04-06","62.049999"
"2015-04-07","62.150002"
"2015-04-08","62.759998"
"2015-04-09","63.189999"
"2015-04-10","63.240002"
"2015-04-13","62.799999"
"2015-04-14","63.279999"
"2015-04-15","64.190002"
"2015-04-16","63.950001"
"2015-04-17","62.770000"
"2015-04-20","63.880001"
"2015-04-21","66.720001"
"2015-04-22","67.410004"
"2015-04-23","66.489998"
"2015-04-24","66.139999"
"2015-04-27","66.489998"
"2015-04-28","66.900002"
"2015-04-29","66.260002"
"2015-04-30","65.349998"
"2015-05-01","65.570000"
"2015-05-04","66.059998"
"2015-05-05","65.129997"
"2015-05-06","64.820000"
"2015-05-07","65.690002"
"2015-05-08","66.489998"
"2015-05-11","66.750000"
"2015-05-12","66.099998"
"2015-05-13","66.570000"
"2015-05-14","66.820000"
"2015-05-15","66.449997"
"2015-05-18","65.769997"
"2015-05-19","65.540001"
"2015-05-20","65.389999"
"2015-05-21","65.540001"
"2015-05-22","65.769997"
"2015-05-26","65.410004"
"2015-05-27","66.199997"
"2015-05-28","65.169998"
"2015-05-29","63.560001"
"2015-06-01","64.059998"
"2015-06-02","64.589996"
"2015-06-03","64.489998"
"2015-06-04","63.820000"
"2015-06-05","63.529999"
"2015-06-08","63.349998"
"2015-06-09","63.759998"
"2015-06-10","65.040001"
"2015-06-11","65.470001"
"2015-06-12","65.010002"
"2015-06-15","64.300003"
"2015-06-16","64.050003"
"2015-06-17","63.900002"
"2015-06-18","64.849998"
"2015-06-19","64.750000"
"2015-06-22","65.160004"
"2015-06-23","65.059998"
"2015-06-24","64.900002"
"2015-06-25","64.330002"
"2015-06-26","64.820000"
"2015-06-29","63.410000"
"2015-06-30","63.810001"
"2015-07-01","64.349998"
"2015-07-02","64.690002"
"2015-07-06","64.180000"
"2015-07-07","64.410004"
"2015-07-08","62.930000"
"2015-07-09","62.900002"
"2015-07-10","63.389999"
"2015-07-13","64.599998"
"2015-07-14","64.889999"
"2015-07-15","65.110001"
"2015-07-16","65.540001"
"2015-07-17","64.480003"
"2015-07-20","64.889999"
"2015-07-21","65.230003"
"2015-07-22","65.459999"
"2015-07-23","65.290001"
"2015-07-24","64.900002"
"2015-07-27","64.650002"
"2015-07-28","64.800003"
"2015-07-29","65.660004"
"2015-07-30","64.760002"
"2015-07-31","64.839996"
"2015-08-03","64.480003"
"2015-08-04","63.139999"
"2015-08-05","63.599998"
"2015-08-06","63.299999"
"2015-08-07","62.950001"
"2015-08-10","63.820000"
"2015-08-11","62.990002"
"2015-08-12","62.770000"
"2015-08-13","62.669998"
"2015-08-14","62.919998"
"2015-08-17","63.029999"
"2015-08-18","62.939999"
"2015-08-19","62.480000"
"2015-08-20","60.820000"
"2015-08-21","58.439999"
"2015-08-24","56.389999"
"2015-08-25","55.900002"
"2015-08-26","58.279999"
"2015-08-27","59.580002"
"2015-08-28","59.450001"
"2015-08-31","58.970001"
"2015-09-01","57.029999"
"2015-09-02","58.150002"
"2015-09-03","58.070000"
"2015-09-04","56.840000"
"2015-09-08","57.599998"
"2015-09-09","57.380001"
"2015-09-10","57.340000"
"2015-09-11","57.470001"
"2015-09-14","57.060001"
"2015-09-15","58.270000"
"2015-09-16","58.650002"
"2015-09-17","57.750000"
"2015-09-18","56.310001"
"2015-09-21","56.549999"
"2015-09-22","55.040001"
"2015-09-23","54.980000"
"2015-09-24","54.490002"
"2015-09-25","53.160000"
"2015-09-28","51.770000"
"2015-09-29","52.209999"
"2015-09-30","52.169998"
"2015-10-01","51.660000"
"2015-10-02","52.060001"
"2015-10-05","54.250000"
"2015-10-06","54.090000"
"2015-10-07","55.049999"
"2015-10-08","55.799999"
"2015-10-09","55.279999"
"2015-10-12","54.860001"
"2015-10-13","53.910000"
"2015-10-14","53.299999"
"2015-10-15","53.480000"
"2015-10-16","52.529999"
"2015-10-19","52.259998"
"2015-10-20","53.020000"
"2015-10-21","52.770000"
"2015-10-22","53.930000"
"2015-10-23","54.849998"
