"date, price"
"2014-12-04","97.750000"
"2014-12-05","97.760002"
"2014-12-08","97.779999"
"2014-12-09","97.129997"
"2014-12-10","96.180000"
"2014-12-11","96.290001"
"2014-12-12","94.739998"
"2014-12-15","94.139999"
"2014-12-16","92.589996"
"2014-12-17","93.720001"
"2014-12-18","95.360001"
"2014-12-19","95.440002"
"2014-12-22","96.620003"
"2014-12-23","97.360001"
"2014-12-24","97.089996"
"2014-12-26","97.050003"
"2014-12-29","96.730003"
"2014-12-30","95.959999"
"2014-12-31","94.559998"
"2015-01-02","94.440002"
"2015-01-05","93.730003"
"2015-01-06","93.019997"
"2015-01-07","95.739998"
"2015-01-08","97.480003"
"2015-01-09","96.820000"
"2015-01-12","96.419998"
"2015-01-13","96.349998"
"2015-01-14","96.669998"
"2015-01-15","96.669998"
"2015-01-16","97.290001"
"2015-01-20","97.510002"
"2015-01-21","97.400002"
"2015-01-22","98.900002"
"2015-01-23","98.529999"
"2015-01-26","98.690002"
"2015-01-27","96.720001"
"2015-01-28","95.720001"
"2015-01-29","96.029999"
"2015-01-30","93.779999"
"2015-02-02","95.330002"
"2015-02-03","96.199997"
"2015-02-04","96.599998"
"2015-02-05","96.610001"
"2015-02-06","96.709999"
"2015-02-09","95.970001"
"2015-02-10","97.989998"
"2015-02-11","100.400002"
"2015-02-12","100.269997"
"2015-02-13","99.129997"
"2015-02-17","98.360001"
"2015-02-18","99.330002"
"2015-02-19","98.720001"
"2015-02-20","99.059998"
"2015-02-23","99.449997"
"2015-02-24","99.580002"
"2015-02-25","99.500000"
"2015-02-26","99.070000"
"2015-02-27","98.980003"
"2015-03-02","99.000000"
"2015-03-03","98.400002"
"2015-03-04","97.360001"
"2015-03-05","97.230003"
"2015-03-06","96.169998"
"2015-03-09","96.040001"
"2015-03-10","94.430000"
"2015-03-11","93.629997"
"2015-03-12","95.709999"
"2015-03-13","94.320000"
"2015-03-16","95.449997"
"2015-03-17","94.129997"
"2015-03-18","94.639999"
"2015-03-19","94.099998"
"2015-03-20","95.339996"
"2015-03-23","95.849998"
"2015-03-24","95.860001"
"2015-03-25","95.260002"
"2015-03-26","95.629997"
"2015-03-27","95.949997"
"2015-03-30","96.519997"
"2015-03-31","95.620003"
"2015-04-01","95.089996"
"2015-04-02","95.690002"
"2015-04-06","96.480003"
"2015-04-07","96.209999"
"2015-04-08","96.029999"
"2015-04-09","96.349998"
"2015-04-10","96.199997"
"2015-04-13","95.529999"
"2015-04-14","96.489998"
"2015-04-15","96.629997"
"2015-04-16","96.449997"
"2015-04-17","95.809998"
"2015-04-20","96.500000"
"2015-04-21","96.779999"
"2015-04-22","97.279999"
"2015-04-23","95.730003"
"2015-04-24","95.169998"
"2015-04-27","94.489998"
"2015-04-28","94.419998"
"2015-04-29","94.379997"
"2015-04-30","95.120003"
"2015-05-01","95.559998"
"2015-05-04","95.949997"
"2015-05-05","95.419998"
"2015-05-06","95.480003"
"2015-05-07","95.150002"
"2015-05-08","96.550003"
"2015-05-11","96.349998"
"2015-05-12","96.199997"
"2015-05-13","96.410004"
"2015-05-14","98.000000"
"2015-05-15","98.220001"
"2015-05-18","98.050003"
"2015-05-19","97.949997"
"2015-05-20","97.690002"
"2015-05-21","97.199997"
"2015-05-22","96.260002"
"2015-05-26","95.790001"
"2015-05-27","96.379997"
"2015-05-28","97.059998"
"2015-05-29","96.430000"
"2015-06-01","95.970001"
"2015-06-02","96.050003"
"2015-06-03","95.300003"
"2015-06-04","94.139999"
"2015-06-05","93.050003"
"2015-06-08","92.839996"
"2015-06-09","93.070000"
"2015-06-10","93.690002"
"2015-06-11","94.089996"
"2015-06-12","93.739998"
"2015-06-15","92.639999"
"2015-06-16","93.550003"
"2015-06-17","94.050003"
"2015-06-18","95.230003"
"2015-06-19","94.860001"
"2015-06-22","95.599998"
"2015-06-23","95.599998"
"2015-06-24","95.290001"
"2015-06-25","94.830002"
"2015-06-26","94.910004"
"2015-06-29","93.690002"
"2015-06-30","93.339996"
"2015-07-01","94.519997"
"2015-07-02","94.660004"
"2015-07-06","94.400002"
"2015-07-07","96.400002"
"2015-07-08","95.610001"
"2015-07-09","94.589996"
"2015-07-10","95.550003"
"2015-07-13","97.220001"
"2015-07-14","97.129997"
"2015-07-15","96.349998"
"2015-07-16","96.900002"
"2015-07-17","96.779999"
"2015-07-20","97.309998"
"2015-07-21","96.930000"
"2015-07-22","97.169998"
"2015-07-23","96.870003"
"2015-07-24","96.180000"
"2015-07-27","95.660004"
"2015-07-28","96.110001"
"2015-07-29","96.529999"
"2015-07-30","96.629997"
"2015-07-31","96.349998"
"2015-08-03","97.449997"
"2015-08-04","97.809998"
"2015-08-05","99.190002"
"2015-08-06","99.150002"
"2015-08-07","99.099998"
"2015-08-10","99.089996"
"2015-08-11","98.620003"
"2015-08-12","98.379997"
"2015-08-13","98.790001"
"2015-08-14","99.230003"
"2015-08-17","99.860001"
"2015-08-18","99.769997"
"2015-08-19","98.989998"
"2015-08-20","97.980003"
"2015-08-21","96.250000"
"2015-08-24","91.830002"
"2015-08-25","89.639999"
"2015-08-26","92.489998"
"2015-08-27","93.599998"
