"date, price"
"2014-12-04","60.759998"
"2014-12-05","61.230000"
"2014-12-08","61.009998"
"2014-12-09","61.970001"
"2014-12-10","60.930000"
"2014-12-11","61.689999"
"2014-12-12","61.230000"
"2014-12-15","61.099998"
"2014-12-16","60.750000"
"2014-12-17","62.439999"
"2014-12-18","62.680000"
"2014-12-19","61.590000"
"2014-12-22","62.250000"
"2014-12-23","62.939999"
"2014-12-24","62.619999"
"2014-12-26","63.389999"
"2014-12-29","64.089996"
"2014-12-30","63.849998"
"2014-12-31","63.439999"
"2015-01-02","63.080002"
"2015-01-05","62.639999"
"2015-01-06","62.400002"
"2015-01-07","63.880001"
"2015-01-08","64.790001"
"2015-01-09","64.580002"
"2015-01-12","64.370003"
"2015-01-13","64.379997"
"2015-01-14","63.650002"
"2015-01-15","62.939999"
"2015-01-16","63.389999"
"2015-01-20","62.860001"
"2015-01-21","63.439999"
"2015-01-22","64.519997"
"2015-01-23","64.779999"
"2015-01-26","65.080002"
"2015-01-27","64.709999"
"2015-01-28","63.119999"
"2015-01-29","63.880001"
"2015-01-30","62.209999"
"2015-02-02","62.919998"
"2015-02-03","64.059998"
"2015-02-04","64.010002"
"2015-02-05","64.919998"
"2015-02-06","64.410004"
"2015-02-09","63.400002"
"2015-02-10","64.669998"
"2015-02-11","64.669998"
"2015-02-12","69.800003"
"2015-02-13","70.089996"
"2015-02-17","69.489998"
"2015-02-18","69.809998"
"2015-02-19","69.830002"
"2015-02-20","69.930000"
"2015-02-23","69.449997"
"2015-02-24","69.500000"
"2015-02-25","69.379997"
"2015-02-26","69.849998"
"2015-02-27","69.169998"
"2015-03-02","69.779999"
"2015-03-03","69.360001"
"2015-03-04","68.540001"
"2015-03-05","68.180000"
"2015-03-06","67.660004"
"2015-03-09","68.099998"
"2015-03-10","67.320000"
"2015-03-11","68.180000"
"2015-03-12","69.370003"
"2015-03-13","69.330002"
"2015-03-16","69.760002"
"2015-03-17","69.709999"
"2015-03-18","70.290001"
"2015-03-19","69.779999"
"2015-03-20","70.430000"
"2015-03-23","70.389999"
"2015-03-24","69.830002"
"2015-03-25","68.680000"
"2015-03-26","67.870003"
"2015-03-27","69.139999"
"2015-03-30","70.209999"
"2015-03-31","69.760002"
"2015-04-01","68.970001"
"2015-04-02","68.500000"
"2015-04-06","67.809998"
"2015-04-07","68.370003"
"2015-04-08","68.900002"
"2015-04-09","68.589996"
"2015-04-10","68.919998"
"2015-04-13","68.489998"
"2015-04-14","68.779999"
"2015-04-15","69.250000"
"2015-04-16","69.180000"
"2015-04-17","68.080002"
"2015-04-20","68.910004"
"2015-04-21","68.669998"
"2015-04-22","68.550003"
"2015-04-23","70.029999"
"2015-04-24","67.589996"
"2015-04-27","67.419998"
"2015-04-28","67.449997"
"2015-04-29","66.500000"
"2015-04-30","64.889999"
"2015-05-01","65.889999"
"2015-05-04","65.889999"
"2015-05-05","65.459999"
"2015-05-06","65.169998"
"2015-05-07","65.760002"
"2015-05-08","66.300003"
"2015-05-11","66.519997"
"2015-05-12","66.730003"
"2015-05-13","66.400002"
"2015-05-14","68.129997"
"2015-05-15","68.519997"
"2015-05-18","68.940002"
"2015-05-19","69.050003"
"2015-05-20","68.809998"
"2015-05-21","67.760002"
"2015-05-22","67.599998"
"2015-05-26","66.949997"
"2015-05-27","68.010002"
"2015-05-28","67.870003"
"2015-05-29","66.279999"
"2015-06-01","66.839996"
"2015-06-02","67.279999"
"2015-06-03","68.230003"
"2015-06-04","67.669998"
"2015-06-05","68.430000"
"2015-06-08","68.419998"
"2015-06-09","68.459999"
"2015-06-10","69.180000"
"2015-06-11","69.209999"
"2015-06-12","68.769997"
"2015-06-15","67.860001"
"2015-06-16","68.269997"
"2015-06-17","68.800003"
"2015-06-18","70.050003"
"2015-06-19","70.599998"
"2015-06-22","71.279999"
"2015-06-23","70.410004"
"2015-06-24","70.879997"
"2015-06-25","71.510002"
"2015-06-26","71.800003"
"2015-06-29","69.930000"
"2015-06-30","70.180000"
"2015-07-01","70.949997"
"2015-07-02","69.860001"
"2015-07-06","70.080002"
"2015-07-07","70.070000"
"2015-07-08","69.559998"
"2015-07-09","70.160004"
"2015-07-10","71.199997"
"2015-07-13","71.720001"
"2015-07-14","70.900002"
"2015-07-15","70.500000"
"2015-07-16","71.370003"
"2015-07-17","71.709999"
"2015-07-20","72.370003"
"2015-07-21","71.260002"
